40:26:001:1	Pen . xxvj .
40:26:041:0	Gwiliwch , a’ gweðiwch rac eich myned ym‐provedigaeth : diau vot yr yspryt yn parat , eithyr y cnawt ys ydd ’wan .
40:26:042:0	Ef aeth trachefn yr ailwaith ac a weddiawð , can ddywedyt Vy‐Tat , any’s gall y cwpan hwn vynet y wrthyf , eb orvod i mi ei yvet , byddet dy ewyllys .
40:26:043:0	Ac ef a ddeuth , ac y cavas wy yn cyscu trachefyn : can ys ei llygait wy oedd drymion ,
40:26:044:0	Ac ef ei gadawodd wy ac aech ymaith drachefyn , ac a weddiawdd y trydeð waith , can ddywedyt yr vn gairiae .
40:26:045:0	Yno y daeth ef at ei discipulon , ac a ddyvot wrthynt , Cuscwch bellach a’ gorphwyswch : nycha , mae’r awr wedy nesay , a’ Map y dyn a roddir yn‐dwylaw pechaturieit .
40:26:046:0	Cyvodwch , awn : nycha , y mae geyr llaw yr hwn a’m bradycha .
40:26:047:0	Ac ef eto yn dywedyt hyn , nycha , Iudas , vn or dauddec yn dyvot a’ thorf vawr cyd a’ ef a chleddyvae a’ ffynn , ywrth yr Archoffeiriait a’ henurieit y popul .
40:26:048:0	A’ hwn aei bradychawdd ef , a royðesei arwydd yddynt , can ddywedyt , Pwy’n bynac a gysanwyf , hwnw ytyw , deliwch ef .
40:26:049:0	Ac yn ebrwydd e ddaeth at yr Iesu , ac a ddyvot , Henpych‐well Athro , ac ei cusanawð .
40:26:050:0	A’r Iesu a ddyvot wrthaw , Y car y ba beth y daethost ? Yno y deuthant ac y roesont ddwylo ar yr Iesu , ac ei daliesant .
40:26:051:0	A’ nycha , vn or ei oedd gyd a’r Iesu , a estennawdd ei law , ac a dynnawdd ei gleddyf , ac a drawawdd was yr Archoffeiriat , ac a dorawdd ei glust ymaith .
40:26:052:0	Yno y dyvot yr Iesu wrthaw , Dod dy gleddyf yn ei le : can ys pawp a’r a gymerant gleddyf , a chleddyf eu collir .
40:26:053:0	Ai wyti yn tybiet , na’s gallaf yr awrhon weddiaw ar vy‐Tad , ac ef rydd i mi vwy na dauddec lleng o Angelion ?
40:26:054:0	Can hyny pa vodd y cyflawnir yr Scrythurae y ddyvvedant , y gorvydd bot velly ?
40:26:055:0	Yn yr awr hono y dyvot yr Iesu wrth y durfa , Chwi a ddeuthoch allan megis at leitr a chleddyfae ac a’ ffynn im dal i : ydd oeddwn baunyð yn eistedd ac yn dyscy’r popul yn y Templ yn eich plith ac ni’m daliesoch .
40:26:056:0	A’ hyn oll awnaethpwyt , er cyflawny’r Scrythure ’r Prophwyti . Yno yr oll ddiscipulon ei gadasant , ac a giliesant .
40:26:057:0	Ac wynt a ðaliesant yr Iesu , ac aethant ac ef at Caiaphas yr Archoffeiriat , lle ydd edd yr Scrivenyddion ar Henuriait wedy’r ymgascly yn‐cyt .
40:26:058:0	Ac Petr y cynlynawdd ef o hirbell yd yn llys yr Archoffeiriat , ac aeth y mewn , ac a eisteddawdd gyd a’r gweision i weled y diben .
40:26:059:0	A’r Archoffeirieit a’r Henureit , a’r oll gymmynva y geisiesōt gaudestiolyeth yn erbyn yr Iesu , yw ddody ef i angae .
40:26:060:0	Ac ny’s cawsant neb , ac er dyvot yno lawer gaudystion , ny chawsont chwaith . Ac o’r dywedd y deuth dau gau dystion ,
40:26:061:0	ac a ddywedesont , Hwn yma a ddyvot , Mi allaf ddestcyw Templ Dduw , a’ hei adaillat mewn tri‐dievvarnot .
40:26:062:0	Yno y cyfodes yr Archoffeiriat ac a ddyvot wrthaw , A atepy di ddim ? Pa peth yvv pan vo rei hyn yn testolaethy yn dy erbyn ?
40:26:063:0	A’r Iesu a dawodd . Yno ydd atepawdd yr Archoffeiriat , ac a ddyvot wrthaw , Mi ath dyngaf trwy’r Duw byw , ddywedyt o hanot i ni , a’s ti ywr Christ Map Duw .
40:26:064:0	Yr Iesu a ddyvot wrthaw , Tu ei dywedeist ; eithyr mi a ddywedaf wrthych , ar ol hynn y gwelwch Vap y dyn , yn eistedd ar ddeheu gallu Duvv , ac yn dawot yn wybrenae’r nef .
40:26:065:0	Yno y rhwygawdd yr Archoffeiriat ei ddillat , can ddywedyt , Ef a gablawdd : pa reit i ni mwy wrth testion ? nycha , clywsoch y gabl ef .
40:26:066:0	Peth dybygwch chwi ? Wy a atepesant , can ddywedyt , Mae ef yn auawc i angae .
40:26:067:0	Yno y poeresont wy yn ei wynep , ac ei cer nodiesont : ac eraill y trawsant ef a ei gwiail ,
40:26:068:0	gan ddywedyt , Prophwyta i ni , Christ , pwy yw hwn ath trawodd ?
40:26:069:0	Petr oedd yn eistedd hwnt yn ynauadd , ac a ddaeth morwynic attaw , ac a ddyvot , Ac ydd oeddyt ti y gyd ac Iesu o’r Galilea .
40:26:070:0	Ac ef a watawdd geyr ei bron wy oll , ac a ddyvot , Ny’s gwnn beth ddywedy .
40:26:071:0	A’ phan aeth ef allan ir porth , y gwelawdd morvvynic arall ef , ac a ddyvot wrth yr ei oedd ynow , Ydd oedd hwnn hefyt gyd ac Iesu o Nazaret .
40:26:072:0	A’ thrachefyn ef a’ wadawdd gan dyngu , Nyd adwaen i’r dyn .
40:26:073:0	Ac ychydic gwedy , y deuth attaw ’rei oeð yn sefyll geyr llaw , ac a ddywedesont wrth Petr , Yn wir ydd yw ti yn vn o hanwynt , can ys bot dy lediaith yn dy gyhoeddy .
40:26:074:0	Yno y drechreawdd ef ymregy , a’ thyngy , can ddyvvedyt , Nyd adwaen i’r dyn . Ac yn y man y canawdd y ceiliawc .
40:26:075:0	Yno y cofiawdd Petr ’airie ’r Iesu yr hwn a ddywedesei wrthaw , Cyn canu yr ceilioc , tu a’m gwedy deirgwaith . Yno ydd aeth ef allan ac ydd wylawdd yn dost .
