40:23:001:1	Pen . xxiij .
40:23:015:0	Gwae chwychvvi ’r Gwyr‐llen a’r Pharisaieit hypocriteit : can ys‐amgylchiwch vor a’ thir i wneythy ’r vn o’ch proffes eich vnain : a’ gwedy y gwneler , ys gwnewch ef yn ddaublygach yn vap i yffern na chwi ych vnain .
40:23:016:0	Gwae chwychvvi dywysogion daillion , yr ei a ddywedwch , Pwy pynac a dwng i’r Templ , nid yw ddim : an’d pwy pynac a dwng i aur y Templ , y mae ef yn gwneythyd ar gam .
40:23:017:0	Chvvychvvi ynfydion a’ deillion , pa vn vwyaf ai’r aur , ai’r Templ rhon ’sy yn sancteiddion ’r aur ?
40:23:018:0	A’ phwy pynac a dwng i’r allor , nid yw ddim : an’d pynac a dyngo i’r offrwm ys ydd arnei y mae ef yngham .
40:23:019:0	Chvvychvvi ynfydion a’ deillion , pwy vn vwyaf , ai ’r offrwm , ai’r allor a sancteiddia ’r offrwm ?
40:23:020:0	Pwy pynac gan hyny a dwng i’r allor , a dwng iddi , ac i’r oll y sy arnei .
40:23:021:0	A’ phwy pynac a dwng i’r Templ , a dwng iddi , ac i hwn a dric ynthei .
40:23:022:0	A’ hwn a dwng ir nefoedd , a dwng i eisteddfa Dew , ac i hwn a eistedd arnei .
40:23:023:0	Gwae chwychvvi ’r Gwyr‐llen , a’r Pharisaieit , hypocriteit , canys decymwch y myntys , ac anis , a’ chwmin , ac ych yn maddae pethae trymach o’r Ddeddyf , ’sef barn , a’ thrugaredd a’ ffyddlondep . Y pethae hyn oedd ddir ychvvi ei gwneythyd , ac na vaddeuit y llaill .
40:23:024:0	Chvvychvvi dywysogion deillion , yr ei a hidlwch wybedyn ac a draflyngwch gamel .
40:23:025:0	Gwae chwychvvi ’wyr‐llen a’r Pharisaieit hypocritieit : can ys‐glanewch y tu allan i’r cwpan , a’r ddescl : ac o’r tu mewn y maent yn llawn trais a’ gormoddedd .
40:23:026:0	Tydi Pharisai dall , carth yn gyntaf y tu mewn ir cwpan a’r ddescil , val y bo’r tu allan yn lan hefyt .
40:23:027:0	Gwae chwychvvi ’r Gwyr‐llen a’r Pharisaieit , hypocriteit : can ys ich cyffelypir i veddae gwedy ei gwynhay , yr ei a welir yn brydferth o ddyallan , ac o ymywn y maent yr llawn escyrn y meirw , a’ phop aflendit .
40:23:028:0	Ac velly ydd ychwithe : can ys o ddiallan yr ymddangoswch i ðynion yn gyfion , ac o ymewn ydd ych yn llawn hypocrisi ac enwiredd .
40:23:029:0	Gwae chwi’r Gwyr‐llen a’r Pharisaieit hypocriteit : can ys ych bot yn adailiat beddae’r Prophwyti , ac yn addurnaw monwenti y cyfiownion ,
40:23:030:0	ac yn dywedyt , Pe bysem yn‐dyddiae eyn tadae , ny vesem ni gyfranogion ac wynt yn‐gwaed y Prophwyti .
40:23:031:0	Ac velly ydd ych yn testiolaethy y chwy ych hunain ych bot yn blant ir ei a laddawð y Prophwyti .
40:23:032:0	Cyflawnwch chwithae hefyt vesur eich tadae .
40:23:033:0	A seirph genedlaethae gwiperot , pa vodd y gallwch ddianc rac barn yffern ? Yr Euāgel ar ddydd S . Stephan .
40:23:034:0	¶ Erwydd paam nycha , ydd wyf yn danvon atoch Prophwyti , a’ doethion , ac Scrivenyddion , ar ei a hanynt a yscyrsiwch yn eich synagogae , ac a erlidiwch o dref i dref ,
40:23:035:0	mal y del arnoch chwi yr oll waed gwirian a’r a ellyngwyt ar y ddaear , o waet Abel gyfiawn yd yn‐gwaet Zacharias vap Barachias , yr hwn a laðesoch rhwng y Templ a’r allor .
40:23:036:0	Yn wir y dywedaf wrthych , y daw hyn oll ar y genedlaeth hon ,
40:23:037:0	Caerusalem , Caerusalem , yr hon wyt yn lladd y Prophwyti , ac yn llapyddiaw yr ei a ddanvonir atat’ , pa sawl gwaith y myneswn gasclu dy blant ynghyt , megys y cascla yr iar hei chywion y dan hei adanedd , ac ny’s mynech ?
40:23:038:0	Nycha , e adewir ychwy eich cartref yn ancyvanedd .
40:23:039:0	Can ys dywedaf wrthych , n’ym gwelwch yn ol hyn , yd yny ðywedoch , Bendigedic yw’r hwn a ddaw yn Enw yr Arglwydd .
