40:18:001:1	Pen . xviij .
40:18:025:0	A’ chā nad oeð ganto ddim oei daly , e ’orchymynawdd ei Arglwydd y werthy ef , a’ ei wreic , a’ ei blant , ac oll a veddei , a’ thaly yr ddlet .
40:18:026:0	A’r gwas a gwympawdd i lawr , ac atolygawdd iddaw , can ddywedyt , Arglwydd , oeda dy ddigoveint wrthyf , a’ thalaf y‐ty y cvvbl oll .
40:18:027:0	Yno Arglwydd y gwas hwnw a drugarhaodd wrtho , ac ei gellyngawdd , ac a vaddeuawdd iddaw y ddled .
40:18:028:0	A’ gwedy myned y gwas ymaith , e gavas vn oe gyveillion , yr hwn oedd yn y ddlet ef o gant ceiniawc , ac a ymavlawdd yntaw ac ei llindagawdd , gan ddywedyt , Tal i mi dy ddlet .
40:18:029:0	Yno y syrthiawdd ei gyfeill wrth y draet ef , ac a atolygwadd yðaw , can ddywedyt , Oeda dy ddigoveint wrthyf , a’ thalaf y‐ty y cvvbyl oll .
40:18:030:0	Ac ny’s gwnai ef , anyd myned a’ ei vwrw ef yn‐carchar , y ’n y dalei yr ðlet .
40:18:031:0	A’ phan weles ei gyveillion ereill y pethau a ddaroedd , ydd oedd yn ddrwc dros pen ganthwynt , ac a ddeuthant , ac a vanegesant y ew h’ arglwydd yr oll pethae a ddarvesynt .
40:18:032:0	Yno y galwawdd ei Arglwydd arnaw , ac a ddyvot wrthaw , A was drwc , maddeueis yty yr oll ddyled , can yty weddiaw arnaf .
40:18:033:0	Ac a ny ddylesyt tithe tosturiaw wrth dy gyfeill , megis ac y tosturiais i wrthy ti ?
40:18:034:0	A’ llitiaw a wnaeth ei Arglwydd , ac ei rhoddes ef ir poenwyr , y’n y dalei ei holl ddylet iddaw .
40:18:035:0	Ac velly yr vn ffynyt y gwna veu nefawl Dat i chwithae , any vaddeuwch o’ch calonae , pop vn y’w vrawd eu camweddae .
