40:8:001:1	Pen . viij .
40:8:025:0	Yno y daeth ei ddiscipulon ataw , ac ei defroesant , can ddywedyt , Arglwydd , cadw ni : e ddarfu am danam .
40:8:026:0	Ac ef a ddyvot wrthynt , Paam ydd ofnwch , havvyr a’r ffydd vechan ? Yno y codawdd ef , ac y goharddawdd ef y gwyntoedd a’r mor : ac yno ydd aeth hi yn araf hin .
40:8:027:0	A’r dynion a ryvedodd , gan ddywedyt Pa ryw vvr yw hwn , pan vo’r gwyntoedd ar mor yn uvyddhay yddaw ?
40:8:028:0	A’ gwedy ei ddawot ef ir lan arall , i wlat y Gergesieit , e gyfarfu ac ef ddau a diavleit ynthwynt , yr ei a ddaethen o’r monwenti yn dra ffyrnicion , mal na allai vn‐dyn vyned y ffordd honno .
40:8:029:0	A’ nycha , llefain awnaethant , gan ddywedyt , Iesu vap Duw , beth y sy i ni a wnelom a thi ? A ddaethast ti yma in poeni cyn yr amser ?
40:8:030:0	Ac ydd oedd ym‐pell o ywrthynt genvaint o voch lawer yn pori .
40:8:031:0	A’r diavleit a ddeisyfesont arnaw , gan ddywedyt , A’s bwry ni allan , gad i ni vynet i’r genvaint voch .
40:8:032:0	Ac ef a ddyvot wrthynt , Ewch . Ac wy aethant allan , ac aethant ir genvaint voch : a’ nycha , yr oll genvaint voch a ymdreiglei dros y dibin i’r mor , ac a vuō veirw yn y dyfredd .
40:8:033:0	Yno y ffoawdd y meichiait : a’ gwedy y dyvot hwy i’r dinas , menegy a wnaethant pop peth , a’ pha beth a ddarfesei ir ei oedd y diavleit ynthwynt .
40:8:034:0	A’ nycha , yr oll ddinas a ddaeth allan , y gyvarvot a’r Iesu : a’ phan ei gwelsont , atolugy a wnaeehant iddaw , ymadel oei teruyneu .
