40:21:001:1	Pen . xxj .
40:21:027:0	Yno ydd atepesont i’r Iesu , gan ddywedyt , Ny wyddam ni . Ac ef a ddyvot wrthwynt , Ac ny’s dyweda vinef y chwi wrth pa awturtot y gwnaf vi hyn .
40:21:028:0	And beth dybygwchvii ? Ydd oedd i wr ddau vap , ac ef a ddaeth at yr hynaf , ac a ddyvot , Ha vap , does a’ gweithia heddyw yn vy‐gwinllan .
40:21:029:0	Ac ef a atebodd ac a ddyvot , Nyd af vi : an’d gwedy edifarhay arno , ydd aeth .
40:21:030:0	Yno y daeth ef at yr ail , ac a ddyvot yr vn ffynyt . Ac ef a atepawdd , ac a ddyvot , Mi vvnaf , Arglwydd : ac nyd aeth ef .
40:21:031:0	Pa vn o’r ddau a wnaeth ewyllys y tad ? Dywedyt o hanynt wrthaw , Y cyntaf . Yr Iesu a ddyvot wrthynt , Yn wir y dywedaf wrthych’ , yr aa ’r Publicanot a’r putenieit o’ch blaen chwi i deyrnas Duw .
40:21:032:0	Can ys daeth Ioan atoch yn ffordd vniondep , ac ny chredesoch ef : and y Publicanot a’r puteinieit ei credesont ef , a’ chwychwi , er y chvvy weled , ny’s edifarhaech gwedy , yd yn y chredech ef .
40:21:033:0	Clywch barabol arall , Ydd oedd ryw berchen tuy yr hwn a blannodd ’winllan , ac y caeawdd hi o yamgylch , ac a wnaeth ynthei winwascpren , ac a adeiladawdd dwr , ac ei llogawdd hi i dirddiwilliawdwyr ac aeth i wlad bell .
40:21:034:0	A’ phan nesawdd amser y ffrwythae , e ddanfonawdd ei weision at y tir‐ðiwilliawdrō y dderbyn y ffrwythae hi .
40:21:035:0	A’r tir‐ðiwilliawdwyr a ddaliesont y weision ef , ac a vayddesont vn , ac a laddasont arall , ac a lapyddiesont vn arall .
40:21:036:0	Trachefyn yd anfonawdd weision ereill , mwy na’r ei cyntaf : ac wy a wnaethant yddwynt yr vn ffynyt .
40:21:037:0	Ac yn ddywethaf oll yd anvonawdd ef ei vap y vn , gan ddywedyt , Wy a barchan vy map ,
40:21:038:0	A’ phan welawdd y tir‐ðiwilliawdwyr y map , y dywedesont yn y plith y vnain , Hwn yw ’r etivedd : dewch , llaðwn ef , a’ chymerwn y etifeddiaeth ef .
40:21:039:0	Yno y cymeresont ef , ac ei tavlesont allan o’r winllan , ac ei lladdasont .
40:21:040:0	Can hyny pan ddel Arglwydd y winllan , beth a wna ef ir tir‐ðiwilliawdwyr hyny ?
40:21:041:0	Wy a ddywedesont wrtho . Ef a ddifetha yn graulawn y dynion drwc hyny , ac a lloca ci winllan i dir‐ddiwilliawdwir ereill , yr ei y roðant yðo y ffrwythae yn y hamserae .
40:21:042:0	Yr Iesu a ddyvot wrthwynt , Any ðarlleneso‐chwi erioed yn yr Scrythurae , Y maen yr hwn a wrthddodawdd yr adailiadwyr , hwnw a wnaethpwyt yn ben congyl ? Hyn oedd weithred yr Arglwydd , a’ rhyvedd yw yn ein llygait ni .
40:21:043:0	Am hyny y dywedaf wrthych , y cymerir teyrnas Duw y arnoch , ac y rhoddir i genedl a ddwc y ffrwyth hi .
40:21:044:0	A’ phwy pynac a gwympo ar y maen hwn , ef a ddryllir : ac ar pwy pynac y cwymp , y mal ef yn vriwion .
40:21:045:0	A’ phan glybu ’r Archoffeirieit a’r Pharisaieit ei barabolae , y gwybuont mai am danynt wy y dywedesei ef .
40:21:046:0	Ac wy yn ceisiaw ymavlyt ynðo , a ofnesant rac y bopul , canys yddynt y gymeryd ef val Prophwyt .
