40:25:001:1	Pen . xxv .
40:25:016:0	Yno hwn a dderbynesei y pemp talent , aeth ac a vasnachodd ac wynt , ac enillodd bemp talent ereill .
40:25:017:0	A’r vnffynyt , hwn a dderbyniesei ddwy dalent , a enillod ynteu ddwy ereill .
40:25:018:0	An’d hwn a dderbyniesei yr vn , aeth ac ei claddodd yn y ddaiar , ac a guddiodd vath ei Arglwydd ,
40:25:019:0	A’ gwedy llawer o amser , y daeth Arglwydd y gweision hyny , ac a gyfrifawdd a’ hwy .
40:25:020:0	Ac yno y daeth hwn a dderbynesei bemp talent , ac a dduc bemp talent eraill , gan , ddywedyt , Arglwydd , pemp talent a roist attaf : wele , yr enilleis a hwy bemp talent ereill .
40:25:021:0	Yno y dyvot ei Arglwydd wrthaw , Da‐iavvn was da a’ ffyðlawn , Ys buost ffyddlawn yn ychydigion , mi ath ’osodaf di vn oruchaf ar lawer : dyred y mewn i lawenydd dy Arglwydd .
40:25:022:0	A’ hwn a dderbyniesei ddwy dalent , a ddaeth ac a ddyuot , Arglwydd , dwy dalent a roist ataf : wele ddwy ereill a eneilleis ac wynt .
40:25:023:0	Ei Arglwydd a ðyuot wrthaw , Da iavvn was da a’ ffyðlon , ys buost ffyddlon yn ychydigion , mi ath ’osodaf yn oruchaf ar lawer : dyred y mewn i lawenydd dy Arglwydd .
40:25:024:0	Yno hwn a dderbynesei ’r vn talent , a ddaeth ac a ddyvot : Arglwydd , ys gwydwn mai dyn caled oeddyt , yn medi lle ny’s heyaist , ac yn cascly , lle ny ’oyscereist :
40:25:025:0	ac am hyny ydd ofneis , ac ydd aethym ac a guddieis dy dalent yn y ddaear : wel ’dyma iti , ys ydd vn daudi .
40:25:026:0	A’ ei Arglwydd a atepawdd ac a ddyvot wrthaw , Ti was drwc , a’ dioc , gweddyt’ vy‐bot yn meti lle ny’s heuais , ac yn cascly lle ny ’oyscereis .
40:25:027:0	Am hyny y dylesyt ddodi vy monei i at y cyf newidwyr , ac yno wrth ddyvot adref y cawswn i y meu vi gyd ac elwach .
40:25:028:0	Cymerwch am hyny y dalent y arnaw , a’ rhowch i hwn ’sy ganthaw ddec talent .
40:25:029:0	Can ys i bob vn a vo ganthaw , y rhoddir , ac ef gaiff ehelaethrwydd , ac y gan hwn ny’d oes ganthaw , ys hyn ’sy ganthaw , a ddugir y arno .
40:25:030:0	Am hyny tavlwch y gwas anvuddiol i’r tywyllwch eithav : yno y bydd wylofain ac yscyrnygy dannedd .
40:25:031:0	A’ phan ðel Map y dyn yn ei ’ogoniant a’ ei oll Angelion sainctavvl y gyd ac ef , yno ydd eistedd ar eisteddfa ei ’ogoniant .
40:25:032:0	A’ geyr y vron ef y cynnullir yr oll genedloedd , ac ef y gohana hwy y wrth y gylydd , megis y didol y bugail y defait y wrth y geifr .
40:25:033:0	Ac ef a’ osyt y devait ar ei ddeheulavv , ar ceifr ar yr aswy .
40:25:034:0	Yno y dyweit y Brenhin wrth yr ei vo ar ei ddeheulavv , Dewchvvi vendigeidion vy‐Tad : etiueddwch y deyrnas’ sy yn parot i chwi er pan sailiwyt y byd .
40:25:035:0	Can ys‐bum yn newynoc , a’ chvvi roesoch i mi vwyt : bu arnaf sychet , a’ rhoesoch i mi ddiot : hum yn ddyn diethr , a lletuyesoch vi :
40:25:036:0	Bum noeth , a dilladesoch vi : bum glaf , ac ymwelsoch a’ mi : bum yn‐carchar , a’ daethoch ataf .
40:25:037:0	Yno ydd atep yr ei cyfion yddo , gan ddywedyt , Arglwydd , pa bryd ith welsam yn newynoc , ac ith porthesam ? nei a syched arnat , ac y rhoesam yty ddiot ?
40:25:038:0	A’ pha bryd ith welsam yn ddyn diethr , ac ith letuysam ? nei yn noeth , ac ith ddilladesam ?
40:25:039:0	Ai pa bryd ith welsam yn glaf , nei yn‐carchar , ac yd aetham atat ?
40:25:040:0	A’r Brenhin a etyp , ac a ddyweit wrthwynt , Yn wir y dywedaf ychwi , yn gymeint a gwneythyd o hanoch ir vn lleiaf om broder hynn , ys gwnaethoch i mi .
40:25:041:0	Yno y dyweit ef wrth yr ei vo ar yr llavv aswy , Tynnwch y wrthyf yr ei melltigedic , ir tan tragyvythawl , yr hwn a paratowyt i ddiavol , ac y’w angelion .
40:25:042:0	Can ys bum newynoc , ac ny roesoch y my vwyt : bu ar naf sythet , ac ny roesoch ymy ddiot :
40:25:043:0	bum ddyndieithr , ac ni’m lletuyesoch : bum noeth , ac ny’m dilladesoch : bum glaf , ac yn‐carchar , ac ny ymwelsoch a mi .
40:25:044:0	Yno ydd atepant wy hefyt yðo , gan ddywedyt , Arglwydd , pa bryd ith welsam yn newynoc , ai yn sychedic , ai yn ddyndiethr , ai yn noeth , ai yn glaf , ai yn‐carchar , ac ny buam ith wei ni ?
40:25:045:0	Yno ydd atep ef yddwynt , ac y dywait , Yn wir y dywedaf wrthych , yn gymeint na’s gwnethoch ir vn o’r ei lleiaf hyn , ny’s gwnaethoch i minef .
40:25:046:0	A’r ei hyn aant i boen dragyvythawl , ar ei cyfion i vywyt tragyvythawl .
