11:2:001:1	David éí Sálaman neineeztą́ą́'
11:2:024:0	Éí bąą k'ad ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí Adonáíjah t'áá díí jį́ t'óó hodi'yoolyééł . Bóhólníihii shohoníłdzilgo áshiilaa , áádóó David shizhé'é bibikáá'dóó nahat'áii yikáá' dashineesdá , índa ahii' háá'ahiyoolchííłgóó aláahgo naat'áanii nidahaleeh dooleełii shá yee haadzí'ígíí bik'ehgo shá áyiilaa .
11:2:025:0	Áádóó aláahgo naat'áanii Sálaman éí Jiihóíyada biye' Biinéíyah ákǫ́ǫ́ ayííł'a' , áko yił íídéelgo yiyiisxį́ .
11:2:026:0	Nít'éé' aláahgo naat'áanii éí náá'iiłniihii Abáíyathar ííłní , Nílááh , ni Ánathath kin haal'áágóó dínááh , t'áá ni nikéyahjį' , háálá dadíítsaał bą́ą́h anílį́ , nidi t'áá k'ad éí doo nidiyeeshxéeł da , háálá biniinaanii éí Bóhólníihii Diyin God bitsits'aa' dólzinii shizhé'é David yę́ę binááł nisíní'ą́ , áádóó ałdó' nich'į' nahwiisnáá' , t'áá shizhé'é yę́ę t'áá át'é bee bich'į' nahwiisnáá nít'éé' yę́ęgi át'éego .
11:2:027:0	Kót'éego Sálaman éí Abáíyathar joolyéii Bóhólníihii bich'į' doo náá'iiłniihii náájídlį́į da doogo t'óó nahjį' hahóółt'e' . Éí Bóhólníihii t'áá bí bizaad bohodoolníiłgo Sháíloh haz'ánídi Íílai ba'áłchíní ahoolchíiłii bídéét'i'go yee haadzíí' nít'éé' .
11:2:028:0	Jó'ab hane' baa yit'ą́ ; jó , Jó'ab éí Adonáíjah bikéé' nizhníyáá nít'éé' , nidi Ábsalam éí doo bikéé' nizhníyáa da , áko Jó'ab éí Bóhólníihii biníbaal bii' hodílzinii bich'į' azhnííchą́ą́' , áádóó bikáá' náá'iiniihí adee' bits'ádaaz'áhígíí jisił .
11:2:029:0	Nít'éé' aláahgo naat'áanii Sálaman bił hóóne'go Jó'ab éí Bóhólníihii biníbaal bii' hodílzinii yich'į' anííchą́ą́' , áádóó , shoo , bikáá' náá'iiniihí yíighahgi sizį́ . Nít'éé' Sálaman éí Jiihóíyada biye' Biinéíyah ákǫ́ǫ́ ayííł'a'go ííłní , Nílááh , bił andeełgo síłhé .
11:2:030:0	Áko Biinéíyah éí Bóhólníihii biníbaal bii' hodílzindi jiníyáago Jó'ab ábijiní , Aláahgo naat'áanii kóní , Wóshdę́ę́' ch'ínínááh . Áko ání , Dooda , t'áá kwe'é yee' dadeestsaał . Áádóó Biinéíyah éí aláahgo naat'áanii díí saadígíí yił náhoolne'go ání , Jó'ab kóníigo shich'į' haadzíí' .
11:2:031:0	Áádóó aláahgo naat'áanii áháłní , T'áá ánínígi át'éego ánílééh ; bił andeełgo síłhé áádóó yóó'ádíílííł ; kót'éego Jó'ab t'áadoo biniinaanígóó diné nidzistseedígíí bidił doo bee nihidahodidoot'ih da biniyé shí áádóó shizhé'é yę́ę ba'áłchíní ahoolchíiłii bił doo nihihodiit'i'góó ádíílííł .
11:2:032:0	Jó , Bóhólníihii atíhodoolíiłgo hadił hak'ijį' nídoodleeł ; t'áá hó diné nidilt'éego haláahgo t'áá ákogi át'éii áádóó yá'át'éehii nilį́įgo diltłish bee nidzistseed , áko shizhé'é David t'áadoo bił bééhóziní . Ízrel dine'é bisiláo dah deínéehii yinanit'a'í nilíinii Ner biye' Ábner áádóó Júdah dine'é bisiláo dah deínéehii yinanit'a'í nilíinii Jííther biye' Améísa ákójííł'įįd lá .
11:2:033:0	Áko díí diné bidił yę́ę bee Jó'ab bihodiit'i' doo áádóó ha'áłchíní ahoolchíłígíí ałdó' bihodiit'i'go ahool'áa doo , nidi David áádóó ba'áłchíní áádóó ba'áłchíní náás ahoolchíiłii índa bibikáá'dóó nahat'áii éí Bóhólníihii bits'ą́ą́dę́ę́' bee ach'į' hózhǫ́ náhásdlį́į'go ahóyéel'áa doo .
11:2:034:0	Áko Jiihóíyada biye' Biinéíyah ákóde haayáago yił íídéelgo yiyiisxį́ , áádóó t'áá bí bighandi honoojíidi yóó'ájiilaa .
11:2:035:0	Áádóó aláahgo naat'áanii éí Jiihóíyada biye' Biinéíyah joolyéii siláo dah deínéehii binanit'a'í jílį́į doo biniyé Jó'ab yitsásk'eh góne' ahóółt'e' , áádóó aláahgo naat'áanii éí Zéídak náá'iiłniihii nilį́į doo biniyé Abáíyathar bitsásk'eh góne' ayííłt'e' .
11:2:036:0	Áko aláahgo naat'áanii i'ííł'a'go Shímiyai hágo yidííniidgo ííłní , Jerúsalem kin haal'áadi hooghan ádá ánílééh índa t'áá ákwe'é kééhonít'į́įgo t'áadoo háájída nanináhí doo .
11:2:037:0	Áko nílááhgóó ch' ííníyá bijį́ Kídran tó nílínígíí ha'naa nííníyáago díí ts'ídá nił bééhodoozįįł : t'áá aaníí dadíítsaałígíí t'áá ni nidił bee nináhodiit'i'go dadíítsaał .
11:2:038:0	Áádóó Shímiyai éí aláahgo naat'áanii ííłní , Ádínínígíí yá'át'ééh ; bóhonishníihii aláahgo naat'áanii t' áá ádííníniidígi át'éego ná naal'a'í nishłíinii ákódeeshnííł . Áko Shímiyai éí Jerúsalemgi haghango t'óó ahayóí yiską́ .
11:2:039:0	Nít'éé' táá' nááhaijį' nihoolzhiizhgo Shímiyai bá naalte' nidilt'éego Gath kin haal'áádóó aláahgo naat'áanii Méíyakah biye' Éíkish yich'į' yóó'ahi'noolchą́ą́' . Áko éí Shímiyai yił dahoolne'go ádaaní , Shoo , ná naalte' Gathdi naa'aash .
11:2:040:0	Áko Shímiyai nídii'na'go bitélii yik'i dah aznilgo há naalte' hazhdínóotaał biniyé Gath kin haal'áágóó Éíkish bich'į' jiníyá ; nít'éé' Shímiyai éí Gathgóó nijiyáago áádę́ę́' há naalte' názhní'eezh .
11:2:041:0	Áádóó Sálaman bił hóóne' , Shímiyai éí Jerúsalemdóó Gathgóó naayá , áádóó áádę́ę́' nínáánádzá .
11:2:042:0	Áko aláahgo naat'áanii éí Shímiyai yíká i'ííł'a'go hágo yidííniidgo ííłní , Da' doósh Bóhólníihii bee ádee haniyííłdzíi' go ándííniid da ? Díí ts'ídá nił bééhodoozįįł : nílááhgóó ch'ííníyá bijį́ índa háájída nisíníyáago t'áá aaníí dadíítsaał . Áko áshidííníniid ni' , Diséts'ą́'ígíí éí yá'át'ééh .
11:2:043:0	Ákoshą' ha'át'éego Bóhólníihii bee ádee hadíínídzí'ígíí , áádóó shí nich'į' bee haasdzíi'go bee ándííniidígíí t'áadoo bik'eh íinidzaa da ?
11:2:044:0	Aláahgo naat'áanii éí Shímiyai náá'áłdó' ánéidoo'niid , Doo yá'áshǫ́ǫ́góó nitsáhákees t'áá át'é nijéí bii' ádaa ákonínízin ; shizhé'é David yę́ę bide íinínízingo nabí'si'ní'įįd ; éí bąą Bóhólníihii éí doo yá'áshǫ́ǫ́góó na'í'si'ní'įįdígíí nik'ijį' násdlį́į́' íidoolííł ,
11:2:045:0	nidi aláahgo naat'áanii Sálaman bik'ihojidlíi doo , índa David bibikáá'dóó nahat'áii chánah íidoolíiłgo Bóhólníihii binááł ákót'éego ahool'áa doo .
11:2:046:0	Áko aláahgo naat'áanii éí Jiihóíyada biye' Biinéíyah yiyííł'aad , áádóó éí ch'íníyáago Shímiyai yił íídéelgo yiyiisxį́ . Kót'éego Sálaman bibee óhólníihgo bił haz'áanii chánahgo bidziil silį́į́' .
