11:8:001:1	Sálaman éí kin bii' sohodizin góne' tsits'aa' dílzinii niiní'ą́
11:8:002:1	Kin bii' sohodizin diyingo nideet'ą́
11:8:011:0	áko kin bii' sohodizin góne' k'os ni' nihisheegizhígíí biniinaa nááda'iiłniihii doo nidaol'a' át'ée da , háálá Bóhólníihii bee bi'oh hodidilyéehii Bóhólníihii bikin bii' sohodizin góne' hadeezbin .
11:8:012:0	Áádóó Sálaman haadzíi'go ání , Bóhólníihii kóníi ni' , K'os diłhił bii' honishłǫ́ǫ doo .
11:8:013:0	Áko Sálaman ázhdííniid , T'áá aaníí kin ayóó át'é bii' kééhót'į́į dooleełii ná áshłaa ; éí bii' honílǫ́ǫgo ahóyéel'áa doo .
11:8:014:0	Áádóó aláahgo naat'áanii náhaayáago Ízrel dine'é t'áá ałtso áłah silį́'ígíí yik'ijisdli' índa Ízrel dine'é t'áá ałtso deizį'go yik'ijisdli' ,
11:8:015:0	áko ádííniid , Ízrel dine'é biBóhólníihii Diyin God baa ha'niih le' ; éí shizhé'é David yę́ę yich'į' yee haadzí'ígíí ła' yiyiilaago kóní ,
11:8:016:0	Shidine'é Ízrel éí Ííjip kéyahdę́ę́' ch'íní'eezh bijį́į́dóó Ízrel dine'é ał'ąą dóone'é danilíinii bikin hadaas'áhígóó doo łahgo kin bii' sohodizin shá ádoolníiłgo bii' shízhi' baa ha'niih dooígíí doo bee hooł'a' da , nidi David t'éí shidine'é Ízrel dine'é binazhnit'áa doo biniyé náhodiiłtį́ .
11:8:017:0	Áko shizhé'é David yę́ę díí bíni' nilį́į́ nít'éé' : éí kin bii' sohodizin ádoolníiłgo bii' Ízrel dine'é biBóhólníihii Diyin God bízhi' baa ha'niih doo , nízin nít'éé' .
11:8:018:0	Nít'éé' Bóhólníihii éí shizhé'é David yę́ę áyidííniid ni' , Kin bii' sohodizin ádíílíiłgo bii' shízhi' baa ha'niih dooígíí níni' nilį́į́ nít'éé' yę́ę éí yá'át'éhígi át'éego baa nitsísíníkééz .
11:8:019:0	Azhą́ ákót'ée nidi ni éí doo kin shá ádíílíił da , nidi niye' t'áá ni ná yizhchínígíí éí kin íidoolíiłgo bii' shízhi' baa ha'niih doo , níi ni' .
11:8:020:0	Áko Bóhólníihii t'áá bí bizaad yee haadzí'ígíí bohoolyaago shizhé'é David yę́ę bitsásk'ehjį' ííyá áádóó Bóhólníihii yee haadzí'ígi át'éego Ízrel dine'é bá bikáá'dóó nahat'áii bikáá'dóó dah nédá índa kin íishłaago bii' Ízrel dine'é biBóhólníihii Diyin God bízhi' baa ha'niih doo .
11:8:021:0	Áko tsits'aa' dílzinii bá haz'ą́ą dooígi hasht'ehooshłaa ; Bóhólníihii bibee aha'deet'áanii danihizhé'é yę́ę yił ahada'deest'ánígíí éí bii' sinil ; Ííjip kéyahdę́ę́' náá'néełgo yił ahada'deest'ą́ .
11:8:022:0	Nít'éé' Sálaman éí Bóhólníihii bibikáá' náá'iiniihí bidáahjigo Ízrel dine'é áłah nilínígíí yinááł yiizį'go dego yá'ąąshjigo yadidiilnii'
11:8:023:0	áádóó ání , Ízrel dine'é biBóhólníihii Diyin God nílíinii , yá'ąąshdi índa nahasdzáán bikáa'gi nigi át'éego diyin doo ła' hólǫ́ǫ da ; ni t'éiyá ná nidaal'a'í dabijéí t'áá át'é yee ninááł deíkáhígíí bee aha'deet'áanii áádóó aa a'ááh hasinii bił hasht'eyínísin .
11:8:024:0	Ni éí ná naal'a'í shizhé'é David yę́ę bee bich'į' hahíínídzí'ígíí hasht'eyínísin nít'éé' ; t'áá aaníí bee háínídzíi'go díí jį́ át'éhígi át'éego bi'iinilaa .
11:8:025:0	Éí bąą k'ad , Ízrel dine'é biBóhólníihii Diyin God nílíinii , ná naal'a'í shizhé'é David yę́ę bee bá nihwííní'ánígíí hasht'eyínísin ; jó , ábidííniid , Na'áłchíní ádaa dahóyą́ągo t'áá ni shinááł yínááł yę́ęgi át'éego shinááł deíkáahgo Ízrel dine'é bá bikáá'dóó nahat'áii bikáá'dóó dah dínóodaałii ts'ídá doo ła' yi'oh dínóol'ąął da .
11:8:026:0	K'ad Ízrel dine'é biDiyin God nílíinii , díí baa nánooshkąąh : ná naal'a'í shizhé'é David yę́ę bich'į' háínídzí'ígíí éí t'áá aaníi le' .
11:8:027:0	Nidi Diyin Godísh t'áá aaníí nahasdzáán yikáa'gi kééhat'į́į doo ? Jó , yádiłhił índa yá'ąąsh t'áá náhwiist'ą́ą́ nít'éé' doo nihóoghah da , índa díí kin ná áshłaaígíí ádiyooshéhí yee' .
11:8:028:0	Ákót'ée nidi ná naal'a'í bisodizin áádóó ná'ookąąhgo yíísíníłts'ą́ą́' , Bóhólníihii shiDiyin God nílíinii , díí jį́ ná naal'a'í nich'į' ná'ookąąhgo sodoolzingo bá disíníts'ą́ą́' ,
11:8:029:0	áko tł'ée'go áádóó jį́įgo díí kin si'ánígi shízhi' baa ha'niih doo , dííníniid yę́ę bik'i díní'į́į' doo , áko ná naal'a'í díí haz'ánígíí yich'į'go déez'į́į'go nich'į' sonídílzįįhgo bá nídiits'į́įh dooleeł .
11:8:030:0	Ná naal'a'í áádóó nidine'é Ízrel kojį' dadéez'į́į'go nich'į' nída'ookąąhígíí yíísíníłts'ą́ą́' ; yá'ąąshdi honílónídę́ę́' íísíníłts'ą́ą'go ádił nida'iisíihgo bá yóó'ahidí'aah doo .
11:8:031:0	Diné ła'da yił kééhat'íinii yich'į' bee haz'áanii k'íiníti'go éí ádee habidi'yooldzíi'go díí kin bii' bikáá' náá'iiniihí bidááhdóó nidoogáałgo ádee hadidoodzihgo
11:8:032:0	yá'ąąshdi didííts'į́įłgo ná naal'a'í nidilt'éhígíí t'áá ha'át'éegoda ádíílíiłgo baa nídíít'įįł ; doo yá'áshǫ́ǫ́góó ádzaaígíí yá ninádootłishgo bee bá nihodíí'ááł , índa t'áá ákogi ááníiłii éí bit'áá ákogi át'éii bik'ehgo bik'ijiidíídliił .
11:8:033:0	Nidine'é Ízrel nich'į' nida'iisíi'go biniinaa bi'ana'í bik'eh dadeesdlį́į'go áádóó nízhi' dayózhíigo nich'į' ninákaigo índa díí kin biyi' nída'ookąąhgo sodadilzingo
11:8:034:0	yá'ąąshdi didííts'į́įłgo nidine'é Ízrel nida'iisí'ígíí bá yóó'adidíí'ááł áádóó dabizhé'é yę́ę kéyah baa dííní'ánígíí áajį' ninádíí'ish .
11:8:035:0	Nidine'é Ízrel nich'į' nida'iisíi'go biniinaa níłtsą́ nihéé'ni' áádóó bich'į' nidahoyíníłnáa'go díí haz'ánígíí yich'į'go dadéez'į́į'go nich'į' sodadilzingo índa nízhi' dayózhíigo nida'iisí'ígíí yits'ą́ąjigo ninákaigo
11:8:036:0	yá'ąąshdi didííts'į́įłgo ná nidaal'a'í éí nidine'é Ízrel yá'át'éehgo honít'i'góó deíkáah dooígíí bee nanítingo nida'iisí'ígíí bá yóó'ahidí'aah doo , índa kéyah daabíí' dooleełgo nidine'é baa dííní'ánígíí bik'ijį' nidahodoołtį́į́ł .
11:8:037:0	Kéyah bikáá'góó hodííchįįdgo , doodaii' nidahałniihgo , doodaii' nídahooltseigo , doodaii' dláád dahazlį́į'go , doodaii' nahachagiitsoh dahazlį́į'go , doodaii' ch'osh ditł'ooí dahazlį́į'go , doodaii' bikéyahdóó kin hadaas'áhígíí ła' bi'ana'í yináshzhiizhgo , t'áá ha'át'íhída atí'oolíiłii bidadeesna'go , t'áá ha'át'íhída naałniih baa níłnii'go ,
11:8:038:0	t'áá háiida diné ła' , doodaii' nidine'é Ízrel t'áá át'é éí bijéí biyi'di bee bich'į' nidahwii'nánígíí bił béédahózingo áádóó díí haz'áníjį' dah dadéelníihgo sodadilzingo áádóó nída'ookąąhgo
11:8:039:0	yá'ąąshdi kééhót'į́įdi didííts'į́įłgo nida'iisí'ígíí bá yóó'ahidí'aah doo áádóó t'ááłá'í nítínígo diné dabijéí nił bééhózingo bá dahonít'i' bik'ehgo bá ádadííliił ; ( háálá t'áá ni t'éiyá nihokáá' dine'é t'áá ałtso dabijéí nił bééhózin ; )
11:8:040:0	éí danihizhé'é yę́ę kéyah baa dííní'ánígíí yikáá' t'áá abídayiiską́ bijį́įjį' dandósin doo biniyé ákódíínííł .
11:8:041:0	Áádóó ałdó' dé'éyóní ła' doo Ízrel dine'é nilíinii nízhi' ayóó át'éii biniinaa kéyah nízaadę́ę́' níyáago ,
11:8:042:0	( háálá nízhi' ílį́įgo wójíii áádóó ayóó ánóodziilii índa nigaan bee k'ídíínílnii'go yaa dahodidoots'į́į́ł ; ) éí níyáago díí haz'ánígíí yich'į'go déez'į́į'go nich'į' sodidoolzįįłgo
11:8:043:0	yá'ąąshdi kééhót'į́įdi didííts'į́į́ł áádóó dé'éyóní níyókeedígíí t'áá ałtso bá bi'díílííł , áko díí t'áá nidine'é Ízrel nízhi' deidósinígi át'éego nihokáá' dine'é t'áá át'é dandósin doo áádóó díí bił béédahózin : díí kin áshłaaígíí nízhi' bee wójí .
11:8:044:0	Nidine'é bi'ana'í danilíinii yich'į' dahidibáahgo índa t'áá háájída hidíł'áago kin haal'á nidííní'ánígíí bich'į'go áádóó kin éí nízhi' bee wójíigo íishłaaígíí yich'į' dadéez'į́į'go Bóhólníihii yich'į' sodadilzingo
11:8:045:0	yá'ąąshdi bisodizin índa biná'ookąąh bá didííts'į́įłgo índa yiniyé ádaaníinii bá bich'ą́ą́h nihidi'nił'áa doo .
11:8:046:0	Nich'į' ádił nida'iisíihgo , ( jó , diné t'áá ałtso nida'iisííh , ) áko hach'į' náhóóchįįdgo áádóó hwe'ana'í baa hodidíí'áałgo , áko dahodoołnéełgo bikéyahgóó éí nízaadgóó , doodaii' áhą́dígóoda ákǫ́ǫ́ adahodínóołkałgo ,
11:8:047:0	nidi éí kéyahgóó yisnááh ádaho'diilyaa yę́ędi hajéítł'áahdi łahgo át'éego tsíńdazdookosgo áádóó dahasnánígíí bikéyahdi nich'į' nída'jookąąhgo kódajiníigo , Nida'ayeelzíí' áádóó doo ádahwiilyą́ą́góó doo yá'áshǫ́ǫ́góó ádeiit'įįd ;
11:8:048:0	hweda'ana'í éí dahasnánígíí bikéyahdi háni' t'áá át'é bee índa hajéí t'áá át'é bee łahgo át'éego tsíńdazdookosgo áádóó bikéyah éí dabizhé'é yę́ę baa dííní'ánígíí índa kin haal'á nidííní'ánígíí áádóó kin nízhi' bee wójíigo áshłaaígíí yich'į' dadéez'į́į'go nich'į' sodadilzingo
11:8:049:0	yá'ąąshdi kééhót'į́įdi bisodizin áádóó biná'ookąąh didííts'į́į́ł áádóó yiniyé ádaaníinii bá bich'ą́ą́h nihidi'nił'áa doo ,
11:8:050:0	áádóó nidine'é nich'į' ádił nida'iisí'ígíí áádóó bee haz'áanii nidayiitíihgo yee nich'į' ádáát'įįdígíí bá yóó'ahidí'aahgo dabisnánígíí binááł haa a'ááh díníízįįł , áko haa a'ááh dadínóozįįł ,
11:8:051:0	háálá nidine'é danilį́ áádóó níí' danilį́ ; éí kǫ' hózhdínił nahalingo Ííjip kéyahdi ach'į' nahwii'ná biníí'dę́ę́' háíní'eezh .
11:8:052:0	Áko níníł'į́įgo ná naal'a'í índa nidine'é Ízrel yaa nídanookąąhii yee nich'į' ádaaní bá yísíníłts'ą́ą'go biná'ookąąhígíí t'áá ałtso baa ákonínízin doo .
11:8:053:0	Jó , Ííjip kéyahdę́ę́' danihizhé'é háíní'eezh yę́ędą́ą́' nihokáá' dine'é t'áá át'é bitahdóó níí' dooleeł biniyé ná naal'a'í Mózes bich'į' bee háínídzí'ígíí bik'ehgo ats'áhodííní'ą́ , Bóhólníihii Diyin God nílíinii .
11:8:054:0	Ákohgo Sálaman éí Bóhólníihii yich'į' ná'ookąąhgo ałtso sodoolzingo , Bóhólníihii bibikáá' náá'iiniihí bidááhdóó yá'ąąshjigo dah doolnihgo nitsidéesgo' yę́ędóó nídii'na' .
11:8:055:0	Áádóó yiizį'go Ízrel dine'é t'áá át'é yik'ijisdli'go chánahgo haadzíi'go ání ,
11:8:056:0	Bóhólníihii baa ha'niih le' ; bidine'é Ízrel yee yá nihoní'ánígíí t'áá át'é bik'ehgo háá'áyį́į́h yeidiní'ą́ ; bá naal'a'í Mózes yę́ę bá yáłti'go yá'át'éehii yee nihwiiz'ánígíí t'ááłá'í nidi t'áadoo bee bi'ohí t'áá ałtso bohoolyaa .
11:8:057:0	Bóhólníihii nihiDiyin God t'áá nihizhé'é yił hólǫ́ yę́ęgi át'éego nihił hólǫ́ǫ doo , áko doo t'óó nihi'doołnihgo yóó'anihididoo'áał da .
11:8:058:0	Áko Bóhólníihii nihá niyiizla' yę́ę bik'ehgóó deíníikáah doo áádóó bibik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii índa yee nihodii'aahii éí danihizhé'é bich'į' bee hahínídzí' ígíí bik'eh dahoniil'į́į doo biniyé danihijéí bee bídin daniidlį́įgo ánihósin doo .
11:8:059:0	Bóhólníihii bich'į' díí saad bee ná'iisékanígíí bíni' Bóhólníihii Diyin God áhánígi tł'ée'go áádóó jį́įgo hólǫ́ǫ doo , áko t'áá hoolzhish bik'ehgo bá naal'a'í áádóó bidine'é Ízrel yiniyé ádaaníinii bá bich'ą́ą́h nihidi'nił'áa doo ,
11:8:060:0	áko nihokáá' dine'é t'áá át'é éí Bóhólníihii Diyin God nilį́įgo áádóó doo ła' nááhódlǫ́ǫ dago bił béédahodoozįįł .
11:8:061:0	Éí bąą Bóhólníihii nihiDiyin God yee nihwiiz'áanii bik'ehgo deínóhkáahgo áádóó bibik'eh ó'oo'níiłii bik'eh dahonoł'į́įgo díí jį́ át'éhígi át'éego danihijéí doo naaki nilį́į́góó bee Bóhólníihii bich'į' ádanoht'ée le' .
11:8:062:0	Nít'éé' aláahgo naat'áanii áádóó Ízrel dine'é t'áá át'é t'áá bił Bóhólníihii bich'į' didlidgo nááhániihii náádadziisnii' .
11:8:063:0	Áádóó Sálaman hózhǫ́ǫ́jí nááhániihii nááyiisnii'go éí naadiin naakidi mííl béégashii índa neeznádiindóó ba'aan naadiindi míilgo dibé éí Bóhólníihii bich'į' didlidgo nááyiisnii' . Áko aláahgo naat'áanii áádóó Ízrel dine'é t'áá ałtso éí Bóhólníihii bikin bii' sohodizin diyingo nideideez'ą́ .
11:8:064:0	T'áá éí bijį́ aláahgo naat'áanii éí Bóhólníihii bikin bii' sohodizin bidááhdę́ę'go nahaníí' haz'ánígi diyingo ats'áidiní'ą́ ; ákwii didlidgo nááhániihii índa ak'áán nááhániihii áádóó hózhǫ́ǫ́jí ak'ah nááhániihii nááyiisnii' , háálá didlidgo nááhániihii áádóó ak'áán nááhániihii índa hózhǫ́ǫ́jí ak'ah nááhániihii éí Bóhólníihii bidáahgi béésh łitsoii bikáá' náá'iiniihí bikáá' doo hózhǫ́ bihóoghah da .
11:8:065:0	Íídą́ą́' Sálaman áádóó Ízrel dine'é t'áá ałtso éí Héímath yah ahóót'i'dóó Ííjip tooh nílíníjį' diné kéédahat'ínígíí t'óó ahayóí yił áłah silį́į'go Bóhólníihii yidááhdóó tsosts'id yiską́ąjį' áádóó tsosts'id nánéíską́ąjį' , t'áá éí dį́į́'ts'áadah yiską́ąjį' hodílzingo áłah nádleeh .
11:8:066:0	Tseebíí yiską́ąjį' diné dabighangóó yéé'iisnii' , áko aláahgo naat'áanii yá'át'éehii yee yá hadaasdzíí' índa Bóhólníihii éí yá'ádaat'éehii t'áá át'é bá naal'a'í David yę́ę áádóó bidine'é Ízrel yá yaa naayáhígíí yaa bił dahózhǫ́ǫgo índa bijéí bił nidahoozhǫǫhgo dabiníbaalgóó anídahaaskai .
