11:20:001:1	Éíhab éí Síriya dine'é yik'eh deesdlį́į́'
11:20:013:0	Áádóó shoo , Diyin God yá halne'ii léi' Ízrel dine'é yá aláahgo naat' áanii Éíhab yaa níyáago ání , Bóhólníihii kóní , Díí t'óó ahayóí dah oonéłígíísh t'áá át'é yiniłtsą́ ? Jó , díí jį́ naa dideesh'ááł , áko shí Bóhólníihii ásht'į́įgo nił bééhodoozįįł .
11:20:014:0	Nít'éé' Éíhab ání , Háishą' bee ? Áko ání , Bóhólníihii kóní , T'áá kodóó aláahgo naat'áanii bitsíłkéí siláo danilíinii lą́ą . Nít'éé' ání , Háishą' anaa' yich'į' adooł'aał ? Áádóó bich'į' háádzoodzíi'go ájíní , Ni lą́ą .
11:20:015:0	Nít'éé' aláahgo naat'áanii bitsíłkéí siláo danilíinii jííłta'go naakidi neeznádiindóó ba'aan tádiindóó ba'aan naaki lá , áádóó bik'ijį' diné t'áá ałtso t'áá Ízrel dine'é nidi t'áá ałtso jííłta'go tsosts'idi míilgo ánéelą́ą́' .
11:20:016:0	Áádóó ałní'ní'ą́ągo ch'ékai . Nidi Ben-héídad áádóó aláahgo naat'áanii tádiindóó ba'aan naaki háká ííjé'ígíí bił chaha'oh góne' da'jidlą́ągo nídazdí'néesdlą́ą́' .
11:20:017:0	Áko aláahgo naat'áanii bitsíłkéí siláo danilíinii áłtsé ch'ékai , áádóó Ben-héídad ch'í'níł'a' , nít'éé' bił dahoolne'go ádaaní , Samériya kin haal'áádę́ę́' diné ła' ch'ékai .
11:20:018:0	Áádóó ání , K'égo yikah ládą́ą́' yah adadoohnił ; anaa' biniyé yikah ládą́ą́' yah adadoohnił .
11:20:019:0	Kót'éego díí aláahgo naat'áanii bitsíłkéí siláo danilíinii áádóó siláo t'áá bikéé' yinéełgo kin haal'áádę́ę́' ch'íníná .
11:20:020:0	Áko t'áá ałtso t'áá bí diné nideideez'ánígíí nideistseed , áádóó Síriya dine'é adahineezhchą́ą'go Ízrel dine'é akéé' nídiijéé' nít'éé' ; Síriya dine'é yá aláahgo naat'áanii Ben-héídad éí siláo danilíinii łį́į́' yee nidaabaahígíí yił łį́į́' ayaa bił háájéé' .
11:20:021:0	Áádóó Ízrel dine'é yá aláahgo naat'áanii ch'íníyáago łį́į́' áádóó tsindaabąąs bijáád naakiígíí yee nidaabaahígíí yił ał k'iijée'go Síriya dine'é t'óó ahayóigo nideistseed .
11:20:022:0	Diyin God yá halne'ii éí Ízrel dine'é yá aláahgo naat'áanii yaa níyáago ííłní , Nílááh , nidziilgo í'dílnééh , áádóó hazhó'ó baa nidíínaałígíí hazhó'ó baa nanítá , háálá nááhaigo Síriya dine'é yá aláahgo naat'áanii nich'į' nídidoobah .
11:20:023:0	Síriya dine'é yá aláahgo naat'áanii bá nidaal'a'í ádabiłní , Dawók'ą́ą́góó diyinígíí éí dabidiyin ; éí bąą bí danihiláahgo dabidziil , nidi bíni'dii halgaidi bił ałk'iidiijah , áko t'áá aaníí nihí haláahgo danihidziil doo .
11:20:024:0	Áko kódíínííł , Aláahgo naat'áanii danilíinii bá nahaz'ánídóó t'ááłá'í nítínígo nahjį' hahidíínił áádóó dabitsásk'eh góne' siláo binanit'a'í danilíinii ahidíínił ,
11:20:025:0	áádóó siláo yóó'íínínil yę́ę bíighahgo ánánéelą́ą'go índa łį́į́' bik'eh nánítį́įgo tsinaabąąs bijáád naakiígíí bik'eh nání'ą́ągo ahíidíínił , áko halgaidi bik'iidiijah ; t'áá aaníí nihí dahaláahgo danihidziil doo . Áko ádaanínígíí bá jidiizts'ą́ą'go bi'jiilaa .
11:20:026:0	Nít'éé' nááhaigo Ben-héídad éí Síriya dine'é ahíyiinilgo Éífek kin haal'á góde Ízrel dine'é yik'iidoojah biniyé haazná .
11:20:027:0	Áko Ízrel dine'é ahídabidii'nilgo bikiin dooleełii bitaa dadeest'ą́ągo yich'į' nídii'ná ; Ízrel dine'é éí tł'ízí yázhí naakigo ał'ąą dah noolkałígíí nahalingo hanááł niníná , nidi Síriya dine'é éí kéyah t'áá át'éé nít'éé' nihinéést'e' .
11:20:028:0	Nít'éé' Diyin God bá halne'ii léi' níyáago Ízrel dine'é yá aláahgo naat'áanii yich'į' haadzíi'go ání , Bóhólníihii kóní , Síriya dine'é ádaaní , Bóhólníihii éí deílk'idgóó bidiyin jílį́ , nidi honíts'aa'góó éí doo bidiyin jílį́į da , daaní ; éí bąą díí ayóó ánéelą́ą'go dah oonéłígíí t'áá át'é naa dideesh'ááł , áko shí éí Bóhólníihii ásht'į́įgo nił bééhodoozįįł .
11:20:029:0	Áko tsosts'id yiską́ąjį' ahíłnaashiijí nidahaazná . Áádóó tsosts'id yiską́ągo ałk'iijée'go Ízrel dine'é éí Síriya dine'é t'áá ni' naajeehígíí t'ááłáhídi míilgo t'áá ła'a jį́ nideistseed .
11:20:030:0	Nidi łahjį' éí Éífek kin haal'áágóó adaneezhchą́ą́' ; ákwii naadiin tsosts'idi míilgo diné ch'éékaígíí éí kin haal'áii ditą́ągo binaa ahéé'ítł'inígíí bik'iiłdááz . Áko Ben-héídad éí kin haal'áajį' náwóne' góne' anííchą́ą́' .
11:20:031:0	Áko bá nidaal'a'í ádabiłní , Jó k'ad , Ízrel dine'é yá aláahgo naat'áanii danilíinii dajooba'go baa dahosidiits'ą́ą́' ; nánooshkąąh , nihíni'dii tł'oh yishbizh nihiníí' gónaa bik'ídadiiltih , índa tł'óół nihitsii' binídadiilt'ihgo Ízrel dine'é yá aláahgo naat'áanii bich'į' diikah ; néididoochiłgo da'át'é .
11:20:032:0	Kót'éego tł'oh yishbizh biníí' gónaa yik'ídeisti' , índa tł'óół bitsii' yinídeist'i'go Ízrel dine'é yá aláahgo naat'áanii yaa yíkaigo ádaaní , Ná naal'a'í Ben-héídad kóní , Nánooshkąąh , shíni'dii hinishná . Áko ájíní , Da' t'ahdiísh hiná ? Éí lá shik'is át'é ni .
11:20:033:0	Ákohgo diné t'áá ha'át'éegoda í'jiilaaígíí bee bééhodoozįįł danízingo ts'ídá hazhó'ó haa háashjéé' ; éí yaa ákodaniizį́į'go ádaaní , Nik'is Ben-héídad . Nít'éé' ájíní , Nílááh , bił de'nohkááh . Áádóó Ben-héídad hach'į' niníyáago tsinaabąąs bijáád naakiígíí biih ninááh bizhdííniidgo yiih yíyá .
11:20:034:0	Áko Ben-héídad áháłní , Shizhé'é éí kin hadaas'á nizhé'é yighaiideet'ánígíí naa nídideesh'áałgo Samériyagi shizhé'é kintah da'nítiingo áyiilaaígi át'éego Damáskasgi kintah da'nítiingo ádíílííł . Nít'éé' Éíhab ání , Díí aha'deet'ą́ bił dah nándideesh'aał . Kót'éego bił ahazhdeet'ą́ągo dah náhodiił'a' .
11:20:035:0	Diyin God yá dahalne'ii bídahooł'aahígíí ła' éí Bóhólníihii bizaad k'ehgo yił kééhat'íinii ííłní , Nánooshkąąh , náshidiiłhaał . Áko éí diné doo íiniizį́į' da .
11:20:036:0	Nít'éé' ábijiní , Bóhólníihii ánínígíí doo bik'eh hwííníł'įįdígíí biniinaa , jó , t'áá shits'ą́ąjį' dah diniyáhí , náshdóítsoh bitsiijį' ditł'ooígíí nidiyoołhééł . Áko bits'ą́ą́' dashdiiyáago t'áá áko náshdóítsoh bitsiijį' ditł'ooígíí hak'íníyáago hwiisxį́ .
11:20:037:0	Nít'éé' diné ła' bik'ínáádzídzáago ábijiní , Nánooshkąąh , náshidiiłhaał . Áko náhodííłhaalgo éí yee atíhoolaa .
11:20:038:0	Kót'éego Diyin God yá halne'ii dah diiyáago doo béého'dílzin da doo biniyé bitsii' yik'ídeezdizgo binák' ee na'níłbaalgo atiingi aláahgo naat'áanii yiba' sidá .
11:20:039:0	Áko aláahgo naat'áanii kǫ́ǫ́ yigáałgo yéego bich'į' ázhdííniidgo ájíní , Ná naal'a'í éí da'ahijigą́ ałníí' góne' ííyáá nít'éé' ; shoo , diné léi' nahjį' hááyáago diné ła' yił shaa ní'áazhgo ání , Díí diné baa áhólyą́ ; t'áá haa dayit'éego bóhoohya' ládą́ą́' , éí t'áá ni bá ninádíítłish , éí doodago béésh łigaii tálent wolyéii ninádíídlééł .
11:20:040:0	Ná naal'a'í nishłíinii kǫ́ǫ́ áádóó nahgóó tádíshníishgo háájí shį́į́ ííyáá lá . Áádóó Ízrel dine'é yá aláahgo naat'áanii áháłní , Ákót'éego ná nihodoot'ááł ; t'áá ni ádá nihwíínít'ą́ .
11:20:041:0	Áádóó hatsii' bik'ídeesdizgo hanák'ee naníbaalígíí tsį́įłgo denizhníłts'ǫ́ǫ́d , áko Ízrel dine'é yá aláahgo naat'áanii éí Diyin God yá halne'ii ájít'į́į́ lágo hwééhoosįįd .
11:20:042:0	Áko ábijiní , Bóhólníihii kóní , Diné ła' ałtso ádííłdįįł nidííniidígíí béédííníchidgo biniinaa be'iina' bá ninádíítłish , áádóó nidine'é éí bí bidine'é yá ninádínóodah .
11:20:043:0	Áádóó Ízrel dine'é yá aláahgo naat'áanii éí t'áá íiyisí bíni' yii'a'go bik'ee doo bił haldingóó Samériyadi bighango ákǫ́ǫ́ anáádzá .
