11:22:001:1	Maikéíyah éí Éíhab áádóó Jiiháshafat bik'eh hodidoodleeł yaa hoolne'
11:22:021:0	Nít' éé' níłch'i léi' ch'íníyáago Bóhólníihii yidááhdóó yiizį'go ání , Shí lá bíni' áhodeeshłíił ni .
11:22:022:0	Áko Bóhólníihii ábíłní , Ha'át'íishą' bee dooleeł ? Áko ání , Ákǫ́ǫ́ deeshááł , áádóó bá dahalne'ii t'áá ałtso dabizéé' góne' níłch'i biyooch'íidii nishłį́į doo . Áko ání , Ni lą́ą bíni' áhodíílíiłgo ak'eh didíídleeł ; nílááh , dínáahgo ákónínééh .
11:22:023:0	Éí bąą k'ad , Bóhólníihii éí níłch'i biyooch'íidii díí ná dahalne'ii t'áá ałtso dabizéé' góne' ayiis'a' ; jó , Bóhólníihii doo yá'áshóonii yee ná haadzíí' .
11:22:024:0	Nidi Kiinéíyanah biye' Zedekáíyah áyídíjį' niníyáago Maikéíyah biniitsį' néidííkaadgo ání , Shits'ą́ą́dóó lá háajigo Bóhólníihii biNíłch'i dahodiile'go nich'į' haadzíí' ?
11:22:025:0	Áádóó Maikéíyah ání , Jó , náwóne'í góne' nídidíít'į́į́ł biniyé ííníyáago éí bijį́ yidííłtsééł .
11:22:026:0	Áko Ízrel dine'é aláahgo binanit'a'í ání , Maikéíyah daosiłgo kin haal'áádóó naat'áanii Éíman áádóó aláahgo naat'áanii biye' Jó'ash bich'į' bił dadohkááh ;
11:22:027:0	ábidohní , Aláahgo naat'áanii kóní , Hodiiyeelgo nánísdzáajį' díí diné awáalyaadi yah adaałt'e'go t'áá ach'į' nahwii'nánígo bááh éí tó bił banída'ołtso' .
11:22:028:0	Áko Maikéíyah ání , Hodiiyeelgo néínídzáá ládą́ą́' Bóhólníihii doo shee haadzíi' da doo . Áádóó ání , Dine'é nohłíinii , łá'í nootínígo da'íísółts'ą́ą́' .
11:22:029:0	Kót'éego Ízrel dine'é yá aláahgo naat'áanii índa Júdah dine'é aláahgo binanit'a'í Jiiháshafat éí Réímath-gíliyad góde ííná .
11:22:030:0	Áko Ízrel dine'é aláahgo binanit'a'í éí Jiiháshafat ííłní , Łahgo áneeshningo adi'deeshníiłgo atah deeshbah , nidi ni éí ni'éénééz biih ninááh . Áádóó Ízrel dine'é aláahgo binanit'a'í łahgo ánoolningo í'diilyaago atah ííbaa' .
11:22:031:0	Nidi Síriya dine'é aláahgo binanit'a'í éí tádiindóó ba'aan naaki siláo binanit'a'í danilíinii éí hatsindaabąąs bijáád naakiígíí bee bídahólníihii yich'į' haadzíi'go ání , Ádaałts'ísígíí , doodaii' ayóó ádaat'éhígíí t'áadoo bił da'ahohgání , nidi Ízrel dine'é yá aláahgo naat'áanii t'éiyá .
11:22:032:0	Nít'éé' tsindaabąąs bijáád naakiígíí bindanit'a'í éí Jiiháshafat dayiiłtsą́ągo ádaaní , T'áá aaníí Ízrel dine'é yá aláahgo naat'áanii át'į́ . Áko yił da'ahidoogą́ą́ł biniyé naanáskaigo Jiiháshafat hadoolghaazh .
11:22:033:0	Áko nít'éé' tsindaabąąs bijáád naakiígíí bindanit'a'í doo Ízrel dine'é aláahgo binanit'a'í át'į́į dago yaa ákodaniizį́į'go baa da'ígháhígíí t'óó t'ą́ą́' hanáákai .
11:22:034:0	Nít'éé' diné léi' t'óó dzólníí góne' be'ełtį́į́' yił k'ídeeshchidgo Ízrel dine'é aláahgo binanit'a'í bibéésh éé' ahidadii'á bita' góne' yiskah ; éí bąą Éíhab hatsinaabąąs bijáád naakiígíí neilo'ígíí ábijiní , Hashi'doolk'ehéii ; naa'í'íléehgo nahjį' shił ha'íłbąąs .
11:22:035:0	Íídą́ą́' éí bijį́ t'óó yówehda ałk'i jiijéé' , áko aláahgo naat'áanii bitsinaabąąs bijáád naakiígíí biyi'dóó Síriya dine'é bich'į'go de ádahojósin , áádóó i'íí'ą́ągo dadziztsą́ , índa haho'doolk'eh yę́ędę́ę́' tsinaabąąs bijáád naakiígíí bii'jį' dił háálį́ .
11:22:036:0	Áko i'íí'ą́ągo siláo dah deínéehii bitahgóó hane' dideezdláadgo áhá' ní , Diné t'áá ałtso danihikin hadaas'áágóó índa danihikéyahgóó nídadohkááh .
11:22:037:0	Ákohgo aláahgo naat'áanii daaztsą́ągo Samériya kin haal'áagi nábi'deeltį́ , áádóó Samériyagi aláahgo naat'áanii yóó'ádayiilaa .
11:22:038:0	Áko Samériya tó sikánígi t'áá éí ałjiłnii yii' ninádaabeehígi tsinaabąąs bijáád naakiígíí táádeizgiz ; éí Bóhólníihii t'áá yee haadzí'ígíí bik'ehgo łééchąą'í hadił dayííłch'al .
11:22:039:0	K'ad łahjį' Éíhab ádzaaígíí índa yaa naayáhígíí t'áá át'é áádóó áívori wolyéii yee kin áyiilaii , índa kin hadaas'áago t'áá át'é ádayiilaii éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo .
11:22:002:1	Jiiháshafat nant'áá nít'éé'
11:22:040:0	Kót'éego Éíhab éí dabizhé'é yę́ę da'iiłhaazhígi át'éego i'ííłhaazh , áko haye' Eihazáíyah hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́' .
11:22:041:0	Áko Éíhab éí Ízrel dine'é yá aláahgo naat'áanii nilį́įgo dį́į́' náhááh binih Éísa biye' Jiiháshafat Júdah dine'é yinanit'a'í silį́į́' .
11:22:042:0	Jiiháshafat éí tádiindóó ba'aan ashdla' binááhaigo aláahgo naat'áanii silį́į́' , áádóó Jerúsalem kin haal'áagi nant'áago naadiin ashdla' nááhai . Bimá éí Sháílhai bitsi' Azúbah wolyé .
11:22:043:0	Áko Éísa hazhé'é yę́ę yaa naayáhígíí t'áá át'é yik'ehgo jiníyá ; Bóhólníihii binááł t'áá ákogi ádaat'éii yaa naayáhígíí t'áadoo bits'ázhníyáa da ; azhą́ ákót'ée nidi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí t'áadoo nahjį' ályaa da ; jó , diné t'ahdii ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi tsin bijeeh dilidgo łikání halchinii nínáádayiilnih .
11:22:044:0	Áádóó Jiiháshafat éí Ízrel dine'é yá aláahgo naat'áanii yił k'é ahidoo'niid .
11:22:045:0	K'ad łahjį' Jiiháshafat ádzaaígíí áádóó yee ayóó át'éego áát'įįdígíí índa haash yit'éego naazbaa'ígíí éí Júdah dine'é yá aláahgo naat'áanii danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo .
11:22:046:0	Áádóó hazhé'é Éísa yę́ę bíyoołkááł yę́ędą́ą́' diné ahaa ninádaaldeehii daadziihígíí éí kéyahdóó nahjį' kóyiilaa .
11:22:047:0	Íídą́ą́' Íídam kéyahgi aláahgo naat'áanii doo hólǫ́ǫ da , nidi ła' nibi'deeltíinii aláahgo naat'áanii nilį́ .
11:22:048:0	Jiiháshafat éí Ófer kéyahgóó óola bíká dazhdooł'oł biniyé Társhishdóó tsinaa'eeł ál'ínígi át'éego ádajiilaa , nidi t'áadoo ákǫ́ǫ́ dah dazhdiił'éel da , háálá t'áá Ííziyan-gííber kin haal'á binaashiidi tsinaa'eeł hats'ą́ą́' nidahaastǫ' .
11:22:049:0	Nít'éé' Éíhab yę́ę biye' Eihazáíyah éí Jiiháshafat ííłní , Bíni'dii shá nidaal'a'í éí ná nidaal'a'í yił tsinaa'eeł yee dookah . Nidi Jiiháshafat doo íinízin da .
11:22:003:1	Eihazáíyah éí Ízrel kéyahgi nant'áá nít'éé'
11:22:050:0	Áádóó Jiiháshafat éí dabizhé'é yę́ę da'iiłhaazhígi át'éego i'ííłhaazhgo hazhé'é David yę́ę bikin haal'áagi dahazhé' é yę́ę yóó'ádaalyaa yę́ęgi yóó'áho'diilyaa , áko haye' Jiihóram hatsásk'eh góne' aláahgo naat'áanii náánásdlį́į́' .
11:22:051:0	Áádóó Jiiháshafat éí Júdah dine'é yá aláahgo naat'áanii nilį́įgo tsosts'idts'áadah náhááh binih Éíhab biye' Eihazáíyah Samériya kin haal'áagi Ízrel dine'é yinanit'a'í silį́į́' áádóó yinant'áago naaki nááhai .
11:22:052:0	Eihazáíyah éí Bóhólníihii binááł doo yá'áshóonii baa nijiyá , índa hazhé'é áádóó hamá bik'ehgo jiníyá , áádóó Nííbat biye' Jerobówam éí Ízrel dine' é nida'iisíihgo áyiilaaígíí bik'ehgo jiníyá ,
11:22:053:0	háálá Béíyal bá nijil'a' áádóó bich'į' nahojiłá ; hazhé'é áát'įįdígíí t'áá át'é bik'ehgo éí bee Bóhólníihii Ízrel biDiyin God bá hojííłchįįd .
