11:7:001:1	Sálaman bikin náádaała'ígíí
11:7:011:0	Áádóó éí bikáa'di tsé ílíinii bída'néél'ąądígíí bik'ehgo hasht'e'nibída' astsélígíí ahidaneeznil índa éí bikáá' dilk'is bídáátsélígíí ha'naa nidaaz'ą́ .
11:7:002:1	Háíram éí kin bii' sohodizin góne' binaanish
11:7:012:0	Hótsaago ahééhool'áhígíí tsé hasht'e'nibída'astséelii táá' ałk'i yítł'ingo bikáa'gi dilk'is bídáátsélígíí bik'i daní'áago ahééhool'á ; éí Bóhólníihii bikin bii' sohodizingi nááda'iiłniihii bá haz'ánígi át'éego índa yah a'atiindę́ę́' chaha'oh ályaaígi át'éego áhoolaa .
11:7:013:0	Áádóó aláahgo naat'áanii Sálaman i'ííł'a'go Táir kin haal'áádę́ę́' Háíram yił nídaaskai .
11:7:014:0	Áko Háíram éí Náftalai dine'é bits'ą́ą́dóó asdzání bąąh áhásdįįdii biyáázh jílį́ índa hazhé'é yę́ę éí Táir kin haal'áádóó diné nilį́į́ nít'éé' ; éí béésh łitsoii yinaalnishii nilį́į́ nít'éé' . Háíram éí béésh łitsoii bina'anishjí t'áá ałtso jiichįįh áádóó bee hódzáanii índa ak'idi'yiitįįhii hwii' hólǫ́ . Áko aláahgo naat'áanii Sálaman baazhníyáago díí t'áá ałtso bá binjishnish .
11:7:015:0	Béésh łitsoii doolyį́į'go naaki íí'áa dooleełígíí áyiilaa . T'áá áłah dego naadiin tsosts'idi ké silá áníłnééz índa tseebííts'áadahdi ké silá bíighahgo níyiz .
11:7:016:0	Béésh łitsoii íí'áa dooígíí ał'ąą bílátah dah doo'nil biniyé béésh łitsoii doolyį́į'go naaki nímazgo áyiilaa : nímazígíí ła' dego tsosts'idóó ałníí' ké silá áníłtso ; náánáła'ígíí dego t'áá ákónááníłtso .
11:7:017:0	Béésh łitsoii naneesdizígíí áádóó da'ahólzha'go náhineests'ee'go éí béésh łitsoii íí'áa dooígíí bílátah dah doo'niłígíí biniyé áyiilaa ; éí dah doo'niłígíí yá tsosts'idgo , náánáła'ígíí ałdó' yá tsosts'idgo áyiilaa .
11:7:018:0	Áko béésh łitsoii íí'áa dooígíí áyiilaa , áádóó bílátah dah doo'niłígíí bá naneesdizígíí bąąh pámgrenit aneest'ą' béé'ályaago yił yik'ídeisti' ; łahjí dah si'ą́ą dooígíí ałdó' ákót'éego yá ádayiilaa .
11:7:019:0	Áko béésh łitsoii íí'áa dooígíí bílátah dah doo'niłígíí éí yah a'atiindę́ę'go hastą́ą́h ké silá áníłtsogo ch'ilátah hózhóón lílii wolyéii nahalin .
11:7:020:0	Béésh łitsoii naakigo íí'áa dooígíí bílátah dah doo'niłígíí binahjį' naneesdizígíí níyizgo ahééní'áhígíí pámgrenit wolyéii naakidi neeznádiingo naakigo ahéénít'i'go bik'i sinilgo áyiilaa ; bílátah dah doo'niłígíí náánáła'ígíí ałdó' t'áá ákónáánát'é .
11:7:021:0	Kin bii' sohodizin yah a'atiinídę́ę́' béésh łitsoii íí'áa dooleełígíí ayíítsih : nish'náájí ayíítsiígíí éí Jéíkin yee yiyíízhi' , nishtł'ají ayíítsiígíí éí Bó'az yee yiyíízhi' .
11:7:022:0	Áko béésh łitsoii yaa'áhígíí bílátahgi ch'ilátah hózhóón lílii wolyéhígíí be'elyaago áyiilaa ; kót'éego béésh łitsoii íí'áhígíí ałtso bina'azhnish .
11:7:023:0	Áádóó bii' tá'ádígisí nitsaaígíí béésh łitsoii doolyį́į'go bee ályaa , éí názbąsgo ha'naa ashdla'áadahdi ké silá áhonízah áádóó dego tsosts'idóó ná'áłníí' ké silá ánízah índa bidáá' gónaa dízdiindóó ba'aan ashdladi ké silá ahééhool'á .
11:7:024:0	Bidáá' gónaa biyaadóogo t'ááłá'ídóó ná'áłníí' ké naazlá ádanízahgo neeznáá adee' bééda'alyaago béésh łitsoii doolyį́į'go naaki ałk'inít'i'go bídadiilyį́į'go ahééhool'á .
11:7:025:0	Béésh łitsoii bee dóola ályaaígíí naakits'áadahgo naazį́ , táa'go náhookǫsjigo dadéez'į́į́' , táa'go e'e'aahjigo dadéez'į́į́' , táa'go shádi'áahjigo dadéez'į́į́' índa táa'go ha'a'aahjigo dadéez'į́į́' ; dabitł'aa' ahidadii'áago bikáa'gi bii' tá'ádígisí nitsaaígíí dah yist'ą́ .
11:7:026:0	Dį́į́' bik'ehgo íídéetą́ą́' , áádóó bidáá' gónaa éí bee adlání bidáá' gónaaígíí nahalingo ch'ilátah hózhóón lílii wolyéii bee naashch'ąą' ; t'ááłáhídi neeznádiindóó ba'aan náhást'édiin tóshjeeh bíighahgo bee tó siką́ .
11:7:027:0	Áádóó bii' tá'ádígisí bá si'ą́ą dooleełígíí neeznáá béésh łitsoii yee áyiilaa ; t'ááłá'í ní'ánígo éí hastą́ądi ké naazlá ádaníłnééz áádóó hastą́ądi ké naazlá ádaníłtéél índa dego dį́į́'dóó ná'áłníí' ké naazlá ádanízah .
11:7:028:0	Kót'éego ádaalyaa : bii' tá'ádígisí bá naaznil dooleełígíí dadeekį́į́góó nihidadii'áhígíí éí bita' gónaa dah naazkaadígíí biih daaz'á ,
11:7:029:0	áko náshdóítsoh bitsiijį' daditł'ooígíí áádóó dóola índa diyingo nidaal'a'í chérabim wolyéii bida'alyaa ; bikáá' gónaa áádóó biyaa gónaa béésh łitsoii ałk'ídaasgizgo bee bik'i nidaashch'ąą' .
11:7:030:0	Bii' tá'ádígisí bá naaz'ą́ą dooleełígíí t'ááłá'í ní'ánígo tsinaabąąs bijáád nahalingo áádóó bita' nidaaz'áhígíí éí t'áá áłah béésh łitsoii bee ádaalyaa ; t'áá dį́į'go naanídaaz'áhígóó bii' tá'ádígisí bee niłdzil dooígíí naashch'ąą'go bídadiilyį́į́' .
11:7:031:0	Ch'ah biih hodzánígíí nahalingo názbąs , áko éí dego t'ááłá'ídóó ná'áłníí' ké silá ánízah ; bii' tá'ádígisí bá naaznilii biih dahasdzą́ągo ályaaígi át'éego názbąsgo ahénálch'ahgo ályaa , áádóó naakidi ké naazláádóó táá' dah alzhin bíighahgo yaago biih hool'á ; biih hoodzánígíí bíighahgóó dah naazkaadígíí éí nidaask'ęę'go nidaashch'ąą' áádóó éí doo nídaazbąs da , nidi dadik'ą́ .
11:7:032:0	Bii' tá'ádígisí bá naaz'ą́ą dooleełígíí éí tsinaabąąs bijáád bá nidaaz'áhígíí bitł'ááhdóó bídiilyį́į́' ; bijáád éí dį́į'go biyaadóó bąąh dah naaznilgo dego naakidi ké naazláádóó táá' dah alzhin ádanízah .
11:7:033:0	Tsinaabąąs bijáád naakiígíí bijáád ádaalyaaígi át'éego dabijáád bita' nidaaz'áhígíí áádóó binídaaz'áhígíí áádóó binídaneeskálígíí índa bitsiits'iin éí t'áá át'é ahídahidiilyį́į́' .
11:7:034:0	Bii' tá'ádígisí bá si'ą́ą dooleełígíí dį́į'go naanídaaz'áhígóó bee niłdzil dooleełii éí dį́į́' , éí bii' tá'ádígisí bá si'ą́ą dooleełígíí bił t'áá ła' bizhi'eego ályaa .
11:7:035:0	Áádóó bii' tá'ádígisí bá si'ą́ą dooleełígíí bikáa'gi dego náhást'éí dah alzhin ánízahgo ahénálch'ah ; éí bii' tá'ádígisí bá si'ą́ą dooleełígíí bibąąhgóó ahéédaaz'áhígíí índa bita' góne' naaztánígíí t'áá ła' bizhi'ee ahídadiilyį́į́' .
11:7:036:0	Bii' tá'ádígisí bá si'ą́ą dooleełígíí bibąąhgóó ahéédaaz'áhígíí índa bita' góne' naaztánígíí binahjį' diyingo nidaal'a'í chérabim wolyéii áádóó náshdóítsoh bitsiijį' ditł'ooígíí índa tsin sikaadii páam wolyéii t'áá ádaníłtsooígíí bik'ehgo nidaask'ęę'go nidaashch'ąą' .
11:7:037:0	Ákót'éego bii' tá'ádígisí bá naaznilígíí neeznáá áyiilaa ; éí t'áá ałtso aheedaníłtsogo índa ahedaałt'éego ahídahidiilyį́į́' .
11:7:038:0	Náá'áłdó' béésh łitsoii bii' tá'ádazdigisí neeznáá sinilgo áyiilaa ; t'ááłá'í bii' tá'ádígisí éí hastą́ą́h tóshjeeh bíighahgo bee tó naazką́ ; bii' tá'ádígisí éí hastą́ądi ké naazlá ádaníłtéél ; bii' tá'ádígisí bá naaz'ą́ą dooígíí éí t'ááłá'í ní'ánígo bii' tá'ádígisí t'ááłá'í bik'eh ní'ą́ .
11:7:039:0	Áádóó bii' tá'ádígisí bá naaz'ą́ą dooígíí kin bii' sohodizin si'ą́ą́dóó nishtł'ajígo ashdla' niinínil , nish'náájígo ałdó' ashdla' niinínil , áádóó kin bii' sohodizin si'ánígíí ha'a'aahjígo shádi'ááhjí bii' tá'ádígisí nitsaaígíí niiní'ą́ .
11:7:040:0	Áko Háíram éí bii' tá'ádazdigisí áádóó łeeshch'iih bee hadahakaahí índa łeets'aa'da áyiilaa . Áko Háíram éí díí t'áá ałtso yinaashnishgo aláahgo naat'áanii Sálaman yá ííléehgo Bóhólníihii bikin bii' sohodizin hadidzaa :
11:7:041:0	naaki íí'áa dooígíí áádóó łeets'aa' nímazí nahalingo bílátah dah doo'niłígíí naaki íí'áii bílátahdi dah sinilgo áyiilaa índa naaki ałnánaneesdizgo yistł'ǫ́ǫgo ályaaígíí éí łeets'aa' nímazí nahalingo naaki ályaaígíí yik'íísti'go neizhch'ąą' ;
11:7:042:0	naaki ałnánaneesdizgo yistł'ónígíí bá dį́įdi neeznádiin pámgrenit aneest'ą' béé'ályaago neizhch'ąą' , éí naaki íí'áhígíí t'áá áłah bílátahgi łeets'aa' nímazí nahalingo ályaaígíí béésh łitsoii ahidiníłnádaozt'i'go t'áá ał'ąą pámgrenit ahąąh ahéénít'i'go binázt'i'go áyiilaa ;
11:7:043:0	bii' tá'ádazdigisí éí neeznáá áádóó bá naaz'ánígíí ałdó' neeznáá ;
11:7:044:0	bii' tá'ádígisí nitsaaígíí índa biyaadóó dóola naakits'áadah naazį́įgo áyiilaa .
11:7:045:0	Áko ásaa' áádóó łeeshch'iih bee hadahakaahí índa łeets'aa'da éí Bóhólníihii bikin bii' sohodizin góne' chodao'ínígíí t'áá ałtso Háíram éí aláahgo naat'áanii Sálaman yá áyiilaaígíí béésh łitsoii bídazdilidgo áyiilaa .
11:7:046:0	Jórdan tooh bíighahgi halgai hóteelgi aláahgo naat'áanii bíniik'ehgo Sákath haz'ání áádóó Zárthan haz'ání bita'gi bis hólónígi béésh łitsoii doolyį́į'go chodao'íinii áyiilaa .
11:7:047:0	Sálaman éí łeets'aa' chodao'ínígíí t'áá át'é t'áadoo dah deidiyiilo' da , háálá ts'ídá t'áá íiyisí t'óó ahayóí ; béésh łitsoii doolyį́į'goígíí dah hidédlo' ánéelą́ą́' t'áadoo bééhoozin da .
11:7:048:0	Áko Sálaman bíniik'ehgo Bóhólníihii bikin bii' sohodizin biyi' góne' łeets'aa' chodao'ínígíí t'áá át'é ályaa ; óola bee bikáá' náá'iiniihí ályaa áádóó óola bee bikáá' adání ályaago Diyin God bich'į' bááh nááhániihii niná'niłgo ályaa ;
11:7:049:0	bee dahool'iní bá yadaa'áa dooígíí óola t'áá bízhání bee ádaalyaa ; agháago hodiyingo haz'ánígíí bidááhjí bíighahgi nish'náájígo ashdla' sinil áádóó nishtł'ajígo ashdla' sinil ; ch'ilátah hózhóón áádóó tókǫ'í índa tsííd bee náhádláhí óola bee ádaalyaa ,
11:7:050:0	łeets'aa' danímazí , kǫ' bee nídahiniltsésí , bii' tá'ádazdigisí , adee' índa tsííd bee nidaakáhí éí óola t'áá bízhání bee ádaalyaa ; náwóne'ídi ts'ídá agháago hodiyingo haz'ánígíí bidáádílkał áádóó kin bii' sohodizin bidáádílkał ąą ánát'įįh dooleełígíí t'áá áłah óola bee ádaalyaa .
11:7:051:0	Kót'éego aláahgo naat'áanii Sálaman naashnishgo Bóhólníihii bikin bii' sohodizin ałtso áyiilaa . Áádóó Sálaman éí bizhé'é David yę́ę diyingo niidiní'ánígíí , éí béésh łigaii áádóó óola índa łeets'aa'da Bóhólníihii bikin bii' sohodizin bíighahgi yódí bá hooghan góne' hasht'e'niyiiznil .
