11:15:001:1	Abáíjam nant'áá nít'éé'
11:15:013:0	Náá'áłdó' hamá Méíyakah asdzą́ą́ naat'ááh nilį́įgo éí nidi nahjį' hayííłt'e' , háálá asdzání be'elyaii doo daaldinii áyiilaa , áko éí asdzání be'elyaii áyiilaaígíí hats'ą́ą́' Éísa niyiishchǫ'go Kídran tó nílínígi yidííłid .
11:15:014:0	Nidi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí éí t'áadoo nahjį' kódaalyaa da ; azhą́ ákót'ée nidi Éísa éí Bóhólníihii yich'į' bijéí t'áá ákogi át'éego bíiníłką́ .
11:15:003:1	Éísa éí Ben-héídad yił aha'deet'ą́
11:15:015:0	Áádóó hazhé'é yę́ę diyingo neidiyiiz'ánígíí índa t'áá bí ałdó' diyingo neidiyiiz'ánígíí éí béésh łigaii áádóó óola índa ákóne' chodao'íinii Bóhólníihii bikin bii' sohodizin góne' yah ayiizhjaa' .
11:15:016:0	Áko Éísa áádóó Ízrel dine'é aláahgo binanit'a'í Béíyasha bíyoołkááłdą́ą́' t'áá áłahjį' yił anaa' hółǫ́ǫ́ nít'éé' .
11:15:017:0	Áádóó Ízrel dine'é aláahgo binanit'a'í Béíyasha éí Júdah dine'é yik'ijį' nídiibaa'go Júdah dine'é aláahgo binanit'a'í Éísa bich'į' doo ałná'áhát'į́į da doo biniyé Réímah kin haal'á áyiilaa .
11:15:018:0	Nít'éé' Éísa éí Bóhólníihii bikin góne' áádóó aláahgo naat'áanii bikin góne' yódí bá haz'ánígi béésh łigaii áádóó óola nii'nilígíí ałtso néidiinilgo bá nidaal'a'í yílák'ee yíínil , áko aláahgo naat'áanii Éísa éí Síriya dine'é aláahgo binanit'a'í Hííziyan binálí Tabríman biye' Ben-héídad wolyéii éí Damáskasgi kééhat'ínígíí bich'į' yił ayiis'a'go ání ,
11:15:019:0	Shizhé'é yę́ę áádóó nizhé'é yę́ę ałha'deet'ą́ ; nihita'gi ałdó' t'áá ákót'ée doo ; jó , béésh łigaii áádóó óola aa doolyéełii nich'į' áshłaa ; hágoshį́į́ Ízrel dine'é aláahgo binanit'a'í Béíyasha shits'ádoogááł biniyé bił ałha'díínít'ánígíí yóó'adí'aah .
11:15:020:0	Aláahgo naat'áanii Éísa ádííniidígíí Ben-héídad yi'iilaago siláo dah deínéehii bindanit'a'í éí Ízrel bikin hadaas'áágóó Áíjan áádóó Dan áádóó Éíbel-beth-méíyakah índa Kínerath dahoolyéégóó t'áá át'é áádóó Náftalai dine'é bikéyah t'áá át'é yich'į' ayiis'a'go yik'eh dadeesdlį́į́' .
11:15:021:0	Áko nít'éé' Béíyasha éidí yaa hodiizts'ą́ą'go Réímah kin haal'á ánéídléhígíí yik'i deeyáago Térzah kin haal'áagi kééhat'į́į́ nít'éé' .
11:15:022:0	Áko aláahgo naat'áanii Éísa éí Júdah dine'é t'áadoo ła' doodaií t'áá át'é bich'į' hadzoodzíi'go hágo dabizhdííniid , áádóó kin haal'á Réímahdóó tsé índa tsin éí Béíyasha yee hałbį' nít'é'ígíí yits'ą́ą́' adayiizyį́įgo éí yee aláahgo naat'áanii Éísa éí Bénjamin dine'é bikéyahdi Gííba áádóó Mízpah kin haal'áago áyiilaa .
11:15:023:0	Áko łahjį' Éísa yaa naayáhígíí t'áá át'é áádóó ayóó ádaat'éego yaa naayáhígíí índa kin hadaas'áago ádayiilaa yę́ę Júdah dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo . Azhą́ ákót'ée nidi haastih silį́į'go bikee' naałniih bee bąąh dahoo'a' .
11:15:004:1	Néídab nant'áá nít'éé'
11:15:024:0	Áádóó Éísa éí dabizhé'é yę́ę ada'iishxaazhígi át'éego i'jííłhaazhgo hazhé'é David yę́ę bikin haal'áagi dahazhé'é yę́ę bitahgi yóó'áho'diilyaa , áádóó haye' Jiiháshafat hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́' .
11:15:025:0	Íídą́ą́' Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo naaki náhááh binih Jerobówam biye' Néídab éí Ízrel dine'é aláahgo yinanit'a'í silį́į́' áádóó Ízrel dine'é binazhnit'áago naaki nááhai .
11:15:026:0	Áko Bóhólníihii binááł doo yá'áshónígi ájíít'įįd ; hazhé'é ádił ni'iisíhígíí bee Ízrel dine'é ałdó' ádił nida'iisíihgo áyiilaii jideeskáá' .
11:15:027:0	Áádóó Ísakar dine'é ahoolchíiłii ła' Aháíjah biye' Béíyasha éí Néídab yihodeez'ą́ągo Gíbiithan éí Filístiya dine'é bikin haal'áagi yiyiisxį́ , háálá Néídab áádóó Ízrel dine'é t'áá át'é Gíbiithan yizénáshzhiizh .
11:15:028:0	Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo táá' náhááh góne' Béíyasha éí Néídab yiyiisxį́įgo yitsásk'eh góne' nináánít'áá nít'éé' .
11:15:029:0	Nít'éé' Béíyasha nant'áago Jerobówam ba'áłchíní ahoolchíiłii t'áá át'é ałtso neistseed ; Bóhólníihii kóníigo bá naal'a'í Sháíloh kin haal'áádóó diné Aháíjah wolyéii yee yich'į' haadzí'ígíí bik'ehgo Jerobówam yits'ą́ą́dóó danilíinii nabi'diztseedjį' doo ła' ch'ééyáa da ,
11:15:030:0	háálá Jerobówam ádił ni'iisíihgo yee ni'iisíí' yę́ę bee Ízrel dine'é nida'iisíihgo ájiilaa ; éí biniinaa Bóhólníihii Ízrel biDiyin God bá hojííłchįįd .
11:15:031:0	Áko Néídab yaa naayáhígíí t'áá át'é índa íídą́ą́' ádahóót'įįdígíí éí Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo .
11:15:005:1	Béíyasha nant'áá nít'éé'
11:15:032:0	Nít'éé' Éísa áádóó Ízrel dine'é aláahgo binanit'a'í Béíyasha bíyoołkááłdą́ą́' t'áá áłahjį' yił anaa' hółǫ́ǫ́ nít'éé' .
11:15:033:0	Áádóó Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo táá' náhááh binih Aháíjah biye' Béíyasha éí Térzah kin haal'áagi Ízrel dine'é t'áá át'é binazhnit'áago naadiin dį́į́' nááhai .
11:15:034:0	Áko Bóhólníihii binááł doo yá'áshónígi ájíít'įįd ; Jerobówam ádił ni'iisíhígíí bee Ízrel dine'é ałdó' ádił nida'iisíihgo áyiilaii jideeskáá' .
