11:11:001:1	Sálaman doo ákwii deeyáa da áádóó bi'ana'í
11:11:017:0	Héídad áádóó hazhé'é bá nidaal'a'í ła' bił Ííjip kéyahgóó adazhneezhchą́ą́' , áko íídą́ą́' Héídad t'ah áłchíní nilį́ .
11:11:018:0	Áádóó Mídiyandóó dah náázhdiikaigo Péírangi jíkai ; nít'éé' Péírandóó diné ła' bił dah náázhdiikaigo Ííjip kéyahgi aláahgo naat'áanii Féro baa jíkai , áko éí kin ła' haidiní'ą́ągo ch'iyáán ałdó' ła' haidiní'ą́ índa kéyah ałdó' ła' haidiní'ą́ .
11:11:019:0	Nít'éé' Héídad éí Féro t'áá íiyisí ayóo bił yá'ájít'éehgo bąą t'áá bí be'asdzą́ą́ éí asdzą́ą́ naat'ááh Táhpiiniiz wolyéii bideezhí hwe'asdzą́ą doogo hainíłtį́ .
11:11:020:0	Áádóó Táhpiiniiz bideezhí éí haye' há yishchį́įgo Jiinóbath wolyé ; éí Féro bighangi Táhpiiniiz bizhdíít'óód , áko Jiinóbath éí Féro biye'ké yił dabighan nít'éé' .
11:11:021:0	Nít'éé' David yę́ę áádóó siláo dah deínéehii yinanit'a'í Jó'ab yę́ę dabizhé'é yę́ę bikéé' áhásdįįdgo éí Ííjip kéyahgi Héídad yiyíínii'go Féro ííłní , T'áá shí shikéyahgóó nídeeshdááł biniyé sha'di'ní'aah .
11:11:022:0	Nidi Féro áháłní , Ha'át'íísh t'ah doo naa nishłéégóó biniinaa , Shikéyahgóó nídeeshdááł , nínízin ? Áádóó bich'į' hanáádzoodzíi'go ájíní , T'áadoo bídin nishłíní da , nidi t'óó shéé'níłnííh .
11:11:023:0	Áádóó ałdó' Diyin God éí Iiláíyada biye' Ríízan , éí Zóbah kéyahgi aláahgo naat'áanii Hadadíízer honanit'a'í bits'ą́ą́' yóó'ajoolwodígíí , éí ana'í nilį́įgo Sálaman bik'ijį' tsínáánéideeskééz :
11:11:024:0	íídą́ą́' David éí Zóbah dine'é neistseed yę́ędą́ą́' Ríízan aghada'ii'níiłii danilíinii ádíyii'nilgo yinanit'a'í silį́į́' , áko éí Damáskasgóó eekaigo áadi kéédahat'į́įgo ákwii nant'áá nít'éé' .
11:11:025:0	Sálaman bíyoołkááł yę́ędą́ą́' Héídad ach'į' nahwiiłná yę́ęgi át'éego ákót'éego ałdó' Ríízan éí Ízrel dine'é yi'ana'í nilį́įgo hoolzhiizh , áko Ízrel dine'é ayóo yijoołáá nít'éé' índa Síriya kéyahgi nant'áá nít'éé' .
11:11:026:0	Zeríídah haz'ánídóó Íífreiyim dine'é ł a' Nííbat yę́ę biye' áádóó Zerówah asdzání bąąh áhásdįįdii biyáázh Jerobówam , éí Sálaman yá naal'a'í nilíinii , t'áá éí ałdó' aláahgo naat'áanii yik'ijį' silį́į́' .
11:11:027:0	Díí biniinaa aláahgo naat'áanii yik'ijį' silį́į́' : Sálaman éí Míllo áyiilaa , áádóó bizhé'é David yę́ę bikin haal'áhígíí binaagóó ahéé'ítł'inígíí nídadíníizhoozhígíí hasht'ééyiidlaa .
11:11:028:0	Jerobówam éí diné doo nánílyéesii nilį́įgo Sálaman éí díí dinééh naanish yíneedlíinii nilį́įgo yiyiiłtsą́ , áko naanish bí'nílchéehii éí Jóseph dine'é yindaalnishígíí bee bóhólníihgo áyiilaa .
11:11:029:0	Nít'éé' ákwe'é hoolzhish yę́ędą́ą́' Jerobówam Jerúsalemdóó ch'ízhníyáago Sháílohdóó diné Diyin God yá halne'ii Aháíjah atiingi hak'íníyá , áko Aháíjah éé' ániidíii yiih yííyáá lá , áádóó doo naagháhígi t'áá ájíłah t'áá sáhí ahizhdii'áázh ,
11:11:030:0	áádóó Aháíjah bi'éé' ániidíii yii' sitínígíí yisiłgo naakits'áadahgo ałts'áyiizǫ́ǫ́z ,
11:11:031:0	áko Jerobówam áyidííniid , Neheesdǫ́zígíí neeznáago nídiinííł , háálá Bóhólníihii éí Ízrel dine'é biDiyin God ání , Shoo , Sálaman dadine'é bee hóhólníhígíí haghahideeshxą́ąłgo neeznáago dine'é naa dideesh'ááł .
11:11:032:0	( Nidi David shá naal'a'í nilíinii binahjį' áádóó Ízrel dine'é bitahdóó kin haal'á náhodii'ánígíí Jerúsalem binahjį' t'ááłá'í dine'égo haa dideesh'ááł , )
11:11:033:0	háálá yóó'adashideez'ą́ągo Sáídan dine'é éí asdzą́ą́ diyin deiłníinii Áshtoreth daolyéii , áádóó Mó'ab dine'é bidiyin bidi'níinii Kíímash wolyéii índa Áman dine'é bidiyin bidi'níinii Mólek wolyéii éí díí yich'į'go nidahałáago doo shik'ehgóó deíkáah da . Bizhé'é David yę́ę shich'į' t'áá ákogi át'éego ááníiłgo bee nihoyí'áanii áádóó bee nihodiish'aahii yik'eh hół'į́į́ nít'éé' yę́ęgi át'éego doo dajíkáah da .
11:11:034:0	Ákót'ée nidi bee óhólníihii doo t'áá át'é bighadideesh'áał da , nidi shá naal'a'í nídiiłtínígíí David yę́ę binahjį' éí shibik'eh ó'oo'níił ii áádóó bee nihoyí'áanii yik'eh hół'į́įgo bąą Sálaman éí t'áá naat'áanii nilį́įgo ni'doołdįįł ,
11:11:035:0	nidi bee óhólnííh éí haye' bighadideesh'áałgo Ízrel dine'é neeznáá dine'é bíighahgo naa dideesh'ááł .
11:11:036:0	Kin haal'á Jerúsalem , shízhi' bee wójíi doo biniyé náhodii'ánígi shá naal'a'í David yę́ę bighą́ąhjį' t'áá áłahjį' bee hool'inii bá hólǫ́ǫ doo biniyé Ízrel t'ááłá'í dine'é haye' baa dideesh'ááł .
11:11:037:0	Áko ni éí nindeeshtéełgo íinínízinii t'áá át'é bik'ehgo hóó'áałgo Ízrel dine'é binanit'a'í nílį́į doo .
11:11:038:0	Áko kót'ée doo , shá naal'a'í David yę́ę ádzaaígi át'éego bee nich'į' hahasdziihii t'áá át'é bik'eh honíł'į́įgo áádóó shik'ehgóó yínáałgo áádóó shinááł t'áá ákóne' ááníiłgo índa bee nihoyí'áanii áádóó shibik'eh ó'oo'níiłii bik'eh honíł'į́įgo nił honishłǫ́ǫ doo áádóó t'áá David bidine'é doo nidoot'ihgóó náás ahoolchíiłgo áshłaa yę́ęgi át'éego ni ałdó' nidine'é náás ahoolchííłgóó doo nidoot'ihgóó ádeeshłííł índa Ízrel dine'é naa dideesh'ááł .
11:11:039:0	Áko David bits'ą́ą́dóó náás ahoolchíłígíí yóó'adashizhdeez'ánígíí biniinaa atídeeshłííł , nidi hool'áágóó doo t'áá ákót'ée da doo .
11:11:002:1	Sálaman daaztsą́
11:11:040:0	Éí bąą Sálaman éí Jerobówam diyeeshxééł nízin . Nidi Jerobówam nídii'na'go Ííjip kéyahgóó aláahgo naat'áanii Sháíshak yich'į' yóó'anííchą́ą́' áádóó Sálaman yę́ę daaztsą́ąjį' Ííjip kéyahdi naagháá nít'éé' .
11:11:041:0	Áko Sálaman łahjį' yaa naayáhígíí t'áá át'é áádóó bibee hódzáanii éí Sálaman yaa naayáhígíí binaaltsoos bii' bik'e'ashchį́ .
11:11:042:0	Jerúsalemgi Sálaman éí Ízrel dine'é t'áá át'é yinant'áago dízdiin nááhai .
11:11:043:0	Áko Sálaman éí dabizhé' é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh , áádóó hazhé'é David yę́ę bikin haal'áagi yóó'áho'diilyaago haye' Riihobówam hatsásk'ehgi nant'áá nít'éé' .
