11:21:001:1	Éíhab áádóó Néíbath bich'il na'atł'o'ii yíl'áhígíí
11:21:013:0	Nít'éé' ákwii diné doo yá'áshóonii naaki yah íí'áázh , éí hadááhdę́ę́' dah neezkéego hak'ijį' nahasne' ; t'áá Néíbath bik'ijį' diné t'áá dabinááł kóníigo , Néíbath éí Diyin God áádóó aláahgo naat'áanii baa'ihgo yá haadzíí' . Nít'éé' kin haal'áádóó ch'ídahastį́įgo hoł nidadzisne' .
11:21:014:0	Áko nít'éé' Jézebel yich'į' ada'as'a' go ádaaní , Néíbath yę́ę bił nidzílne' .
11:21:015:0	Kódahóót'įįdgo Jézebel éí Néíbath yę́ę bił nidzílne'ígíí yaa hodiizts'ą́ą'go Éíhab ííłní , Nídiidááh , Jézriyeldóó diné nilíinii Néíbath yę́ę bich'il na'atł'o'ii yíl'áhígíí éí béeso bik'é baa níníiłgo doo íinízin da yę́ę ádaa dinít'aah ; jó , Néíbath éí doo hináa da , nidi daaztsą́ .
11:21:016:0	Ákót'éego Éíhab éí Néíbath daaztsánígíí yaa hodiizts'ą́ą'go , nídii'na'go Jézriyeldóó diné nilíinii Néíbath yę́ę bich'il na'atł'o'ii yíl'áhígíí ádeididoot'ááł biniyé ákóyaa níyá .
11:21:017:0	Áádóó Bóhólníihii éí Tíshbeh diné nilíinii Iiláíjah yich'į' haadzíi'go ání ,
11:21:018:0	Nídiidáahgo , Ízrel dine'é yá aláahgo naat'áanii Éíhab bidááh díínááł biniyé Samériya góyaa dínááh ; éí áadi naaghá ; jó , Néíbath yę́ę bich'il na'atł'o'ii yíl'áhígíí ádeididoot'ááł biniyé ákóyaa ííyá .
11:21:019:0	Áko bich'į' hadíídzihgo kóbididííniił , Bóhólníihii kóní , Da' asíníłhį́įgoósh , áádóó ałdó' nídi'nilá ? Áádóó bich'į' hadíídzihgo kóbididííniił , Bóhólníihii kóní , Łééchąą'í éí Néíbath yę́ę bidił dayííłch'alígi ákwe'é łééchąą'í t'áá ni nidił deidoołch' ał .
11:21:020:0	Nít'éé' Éíhab éí Iiláíjah ííłní , Shi'ana'í nílíinii , da' shik'ííníyáásh ? Áko bich'į' hadzoodzíí' , Nik'íníyáá lą́ą , háálá Bóhólníihii binááł t'áá ni doo yá'áshóonii bindíílnishgo niná'ádíínít'ą́ .
11:21:021:0	Jó , doo yá'áshóonii nik'ijį' kódeeshłííł áádóó nits' ą́ą́dóó diné deíchíhígíí t'áá éí Ízrel kéyahdóó diné daadziihígíí ałtso Éíhab bits'ą́ą́dóó áhodeeshdįįł ,
11:21:022:0	áádóó Nííbat biye' Jerobówam índa Aháíjah biye' Béíyasha bada'áłchíní náás ahoolchíiłii áshłaaígi át'éego na'áłchíní náás ahoolchíiłii ákót'éego ádeeshł ííł , háálá bee áhodoolchįįłii bee shá hwííníłchįįdgo Ízrel dine'é ádił nida'iisíihgo íinilaa .
11:21:023:0	Áádóó Bóhólníihii ałdó' Jézebel yaa haadzíi'go ání , Jézriyel kin haal'áii binaa ahéé'ítł'in bíighahgi łééchąą'í éí Jézebel deidoolghał .
11:21:024:0	T'áá háiida Éíhab bits'ą́ą́dóó dahodzizlį́'ígíí kin haal'áagi dazhninéhígíí łééchąą'í dahodoolghał , índa t'áá háiida dadzígaidi dadziztsánígíí naat'agii dahodooyį́į́ł .
11:21:025:0	Nidi Éíhab hwe'asdzą́ą́ Jézebel hodiyiisnáa'go Bóhólníihii binááł doo yá'áshóonii binizhdoolnishgo biniyé niná'ázhdeet'ánígíí éí diné doo ła' ákót'ée da nít'éé' .
11:21:026:0	Áko Bóhólníihii éí Ízrel dine'é bits'ą́ą́dóó Ámor dine'é ch'íininíłkaadígíí éí yaa naaskaii t'áá át'é bik'ehgo bida'alyaii bich'į' nahojiłáago bee t'áá íiyisí doo yildinii baa nijiyá .
11:21:027:0	Nít'éé' Éíhab díí saad yidiizts'ą́ą'go bi'éé' ák'iniyiisdláadgo tł'oh yishbizh ák'íísti'go t'áadoo ayání tł'oh yishbizh yii' sitį́ , áádóó doo ha'atahaa nijigháá nít'éé' .
11:21:028:0	Áko Bóhólníihii éí Tíshbeh diné nilíinii Iiláíjah yich'į' haadzíi'go ání ,
11:21:029:0	Shoo , Éíhab shinááł ayáhígo í'diilyaaígíísh yiniłtsą́ ? Shinááł ayáhígo ázhdiilyaaígíí biniinaa hwíyoołkááł biyi' doo yá'áshóonii doo hak'ijį' bi'deeshnih da , nidi haye' bíyoołkááł biyi' doo yá'áshóonii ha'áłchíní náás ahoolchíłígíí bik'ijį' bi'deeshnih .
