41:15:001:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
41:15:018:0	Áko hach'į' nehekáahgo, Yá'át'éhéi, Jew dine'é Aláahgo biNanit'a'í nílíinii! dahałníigo haa nídiikai. 
41:15:019:0	Áko lók'aatsoh yee hatsiits'iin nínádeidiiłhał, áádóó hak'ídahidizheeh, índa hach'į' nitséédadigohgo hach'į' nidahałá. 
41:15:004:1	Tsin ałnáoszid bikáa'jį' Jesus hoł o'oolkaal
41:15:020:0	Índa há nidahast'i'dóó bik'ijį', éénééz tsídídééh nahalingo łichí'ígíí haa nídeidiiłtsoozgo t'áá hó ha'éé' yee háádahodiidlaa. Áádóó tsin ałnáoszid bikáa'jį' hoł ada'doołkał biniyé ch'ídahazlóóz. 
41:15:021:0	Nít'éé' Sairíin hoolyéédę́ę́' diné léi' Sáíman wolyéego, Alezáander áádóó Rúfas bizhé'é nilį́įgo dáda'ak'ehdę́ę́' yigááł, áko, Tsin ałnáoszid yítį́į́ł, deiłníigo áajį' adeineeshchą́ą́'. 
41:15:022:0	Áko Gálgatha hoolyéejį' adahazlóóz, éí tsiits'in si'ání jiníigo óolyé. 
41:15:023:0	Áádóó wáin, jeeh mir wolyéii bił ałtahgo jidoodlį́į́ł biniyé haa deizką́, nidi doo jinízin da. 
41:15:024:0	Áko tsin ałnáoszid bikáa'jį' hoł ada'askaal, índa ha'éé' t'ááłá'í níłtsoozígo yiniyé yáá'iilt'e' yaa naaskaigo ałtaadeis'nii'. 
41:15:025:0	Abínígo náhást'éigi oolkiłgo tsin ałnáoszid bikáa'jį' hoł ada'askaal. 
41:15:026:0	Yee hak'i dahodii'ánígíí éí, Jew dine'é Aláahgo biNanit'a'í, níigo bee ak'e'ashchį́. 
41:15:027:0	Áádóó ani'įįhii nidilt'éego ałdó' t'áá ał'ąą tsin ałnáoszid bikáa'jį' bił ada'askaal, ła' éí honish'náájí dah hidiilt'e', ła' éí honishtł'ají. 
41:15:028:0	[Áko, Bee haz'áanii yilááh nidahideestáalii bił bi'déélta', níigo bee ak'e'ashchínígíí bohoolyaa.] 
41:15:029:0	Áko hwíighah dahidikáhígíí há nidahałt'i'go bitsiits'iin deiłne'go ádaaní, Há háa! Kin bii' sohodizin atídeeshłííł, áádóó táá' yiską́ąjį' ninádeesh'ááł dííníniidii, 
41:15:030:0	tsin ałnáoszid bąąhdę́ę́' hadáánídáahgo yisdá'ádílteeh. 
41:15:031:0	T'áá ákót'éego ałdó' aláahgo nááda'iiłniihii áádóó bee haz'áanii yínda'niłtinii há nidahałt'i'go áda'ahidi'ní, Náánáła' yisdánídziiznil nidi, t'áá hó t'éí doo yisdá'ázhdóltééł át'ée da. 
41:15:005:1	Jesus dadziztsą́
41:15:032:0	K'ad Christ, Ízrel dine'é Aláahgo biNanit'a'í jílíinii háni'dii dahoníil'į́įgo tsin ałnáoszid bąąhdę́ę́' hadajighááh, áko índa dahwiidiidląął. Áádóó nidilt'éego, hoł bił ada'askaalígíí ałdó' hóó'įįd. 
41:15:033:0	Nít'éé' ałní'ní'ą́ą́dóó táadi ahéé'ílkidjį' t'áá át'éé nít'éé' chahóółhéél. 
41:15:034:0	Áko tá'ígi oolkiłgo Jesus yéego hadoolghaazhgo ání, Éílii, Éílii, lama sabákthanii? Éí, ShiDiyin God, shiDiyin God, ha'át'éegoshą' yóó'ashidííní'ą́? jiníigo óolyé. 
41:15:035:0	Áko ła' ákǫ́ǫ́ naazínígíí éí deidiizts'ą́ą'go, Jó'akon, Iiláíjah yíká ání, dadííniid. 
41:15:036:0	Áko ła' dah diilwodgo tó náyiits'ǫsígíí ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí yénéíz'ą́, áádóó lók'aatsoh bílátahgi dah yiz'ą́ągo bąąh jidoots'ǫs biniyé haa yí'níłtsih kóníigo, Átsé, t'áadoo baa nídaaht'íní, haa'íshą' Iiláíjah daats'í haa doogáałgo adahodoołtééł dadíníil'įįł. 
41:15:037:0	Nít'éé' Jesus yéego hazhdoolghaazhgo hajííyol. 
41:15:038:0	Áko kin bii' sohodizin biyi' góne' ach'ą́ą́h naníbaal wódahdę́ę́' yaago ałch'áádláád. 
41:15:039:0	Ákohgo siláo neeznádiingo binanit'a'í hadááhdę́ę́' sizínígíí ákót'éego [hazhdoolghaazh áádóó] hajííyolgo yiyiiłtsą́ągo ání, T'áá aaníí, díí diné Diyin God biYe' nilį́į́ nít'éé' lá. 
41:15:040:0	Ákwe'é ałdó' asdzání ła' Mary Mágdaliin áádóó Mary, éí James akéédę́'ígíí áádóó Jóses bimá, índa Salómii nízaadę́ę́' dadéez'į́į'go atah naazį́. 
41:15:006:1	Jesus yóó'áho'diilyaa
41:15:041:0	Éí díí asdzání, Gáliliidi nijighá yę́ędą́ą́' hakéé' naakaigo há nidaal'a' nít'éé', áádóó asdzání náádaała' lą'í Jerúsalemgi bił jíkaígíí ałdó' áadi atah naazį́. 
41:15:042:0	Áko hííłch'į'go hasht'ehodi'nééh bijį́, jó, éí biiskání háá'áyį́į́h jį́ dooleełgo bąą, 
41:15:043:0	Arimathíya hoolyéédę́ę́' Jóseph éí diné ándaha'áii bitahdóó hastóí ílíinii jílį́, hó ałdó' Diyin God bee bóhólníihgo bił haz'áanii nijólí, áko éí t'áadoo dzisti'í Páílat baazhníyáago Jesus bits'íís yę́ę bíjííkeed. 
41:15:044:0	Áko Páílat, t'áá daats'í íídą́ą́' dadziztsą́ niizį́į'go t'óó bił ahayóí, áko siláo binanit'a'í hágo yidííniid, T'áá daats'í íídą́ą́' dadziztsą́, níigo nayídééłkid. 
41:15:045:0	Áko siláo binanit'a'í bits'ą́ą́dę́ę́' náhóóne'go índa Jesus bits'íís yę́ę Jóseph yeidiní'ą́. 
41:15:046:0	Áádóó Jóseph éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii nayiisnii', áádóó tsin ałnáoszid bąąhdę́ę́' nayííłtį́įgo éí yił yizdis, índa tséní'ootséél góne' ayííłtį́įgo tsé yidéidiníłmááz. 
41:15:047:0	Áko Mary Mágdaliin índa Mary, Jóses bimá éí niho'deeltínígi bił bééhoozin.
