41:5:001:1	Gádara dine'é níłch'i bida'iiníziinii bii' hólónígíí hanoolkaad
41:5:019:0	Nidi Jesus t'áadoo ha'di'ní'ą́ą́góó kóhodííniid, Nílááh, nighangóó nik'éí bich'į' nídídáahgo ayóó ádaat'éii Bóhólníihii ná yaa naayáhígíí índa yee naa joozba'ígíí bee bił dahólne'. 
41:5:002:1	Jéí'iras bitsi' áádóó asdzání Jesus bi'éé' yideelchidii
41:5:020:0	Áko dashdiiyáago kéyah Diikápolis hoolyéégóó t'áá át'éé nít'éé' Jesus ayóó át'éii há yaa naayáhígíí baa hojilne'go tázhdíghááh, áko diné t'áá ałtso t'óó bił adahayóí. 
41:5:021:0	Áádóó be'ek'id tsé'naagóó Jesus hoł niná'ní'éelgo, diné t'óó ahayóí haa nánízą́, áko be'ek'id bibąąhgi dzizį́. 
41:5:022:0	Áko diné áłah ná'ádleehgo á dah náńdaahígíí ła', Jéí'iras wolyéhígíí, níyáago, hoołtsą́ągo hach'į' nitsidinígo', 
41:5:023:0	áádóó t'áá íiyisí náhookąąhgo ání, Shitsi' áłts'íísígíí bi'niitsą́. Tį' ákǫ́ǫ́, hadaałt'é nídoodleełígíí biniyé bik'i dah didíílnih, áko náádidoodáałgo hináa doo. 
41:5:024:0	Áádóó ákǫ́ǫ́ Jesus hoł dah dii'áázh.Áko diné t'óó ahayóí hakéé' yikahgo hoł dinííyił. 
41:5:025:0	Nít'éé' ákwe'é asdzání léi' dił bigháńdiniiltałgo naakits'áadah nááhai lá, 
41:5:026:0	áko azee' ádeił'íní lą'í ch'ééh ádahóół'įįdgo biniinaa ałtso ádaa nahozdeesdzá, nidi t'áadoo náázdiidzáa da, nidi t'óó tsé'édinda ádziidzaa. 
41:5:027:0	Nít'éé' Jesus baa hojíínii', áko diné ahénál'áago Jesus bine'dę́ę́' nizhníyáii' bi'éé' bizhdeelchid. 
41:5:028:0	Háálá ájíní, Bi'éé' t'éiyá bidinishchid nidi hadaałt'é nídeeshdleeł. 
41:5:029:0	T'áá áko dił haghánílínígíí ásdįįd, áko hąąh dah haz'ánígíí náázdiidzáago hoł bééhoozin. 
41:5:030:0	Áko Jesus bee adziilii hats'áhoníle'go baa ákozniizį́į'go honás'áhígíí bich'į' nídzízyizgo ájíní, Háishą' shi'éé' yideelchid? 
41:5:031:0	Áko hódahooł'aahii ádahodííniid, Jó, diné ninás'áhígíí nił bééhózin. Ha'át'éegoshą' háí shideelchid diní? 
41:5:032:0	Nidi hodeelchidígíí yizdoołtsééł biniyé diné bitaa dzizghal. 
41:5:033:0	Nít'éé' asdzání doo át'éhí da áho'diilyaaígíí hoł bééhózingo, nídzíldzidgo hatah hoditłidgo Jesus baazhníyáago biyaajį' nitsizhdinígo', áko t'áá ałtso t'áá aaníígóó bee bił hojoolne'. 
41:5:034:0	Áko asdzání ábizhdííniid, Shitsi', ne'oodlą' bee doo ánít'éhí da násínídlį́į́'; nił hózhǫ́ǫgo náádááł, áádóó nąąh dah haz'ą́ nít'é'ígíí bits'ą́ąjį' hadaníłt'ée doo. 
41:5:035:0	Áko Jesus t'ah yájíłti'go diné ła' Jéí'iras bighandę́ę́' yíkaigo ádaaní, Nitsi' daaztsą́. T'áásh doo biniyéhégóó Na'nitiní baa nínáánít'į́į dooleeł? 
41:5:036:0	Nidi ha'oodzí'ígíí Jesus doo yaa ná'áhodílt'į́į́góó áłah ná'ádleehgo á dah náńdaahígíí áyidííniid, T'áadoo nił yé'í, t'óó iinídlą́ągo aa dzíínílí. 
41:5:037:0	Áko diné doo ła' hakéé' yigáał da dooleełgo ájiilaa, t'áá hazhó'ó Peter áádóó James índa James bitsilí John t'éiyá bił ákǫ́ǫ́ jíkai. 
41:5:038:0	Áko áłah ná'ádleehgo á dah náńdaahígíí bighandi jíkai, nít'éé' diné hahóół'áago ła' daacha índa ła' ayóó íits'a'go ák'idadiit'aahgo jiiłtsą́. 
41:5:039:0	Áko yah ajííyáago ábizhdííniid, Ha'át'íishą' biniyé hahooł'áago daahcha? At'ééd doo daaztsą́ą da, nidi t'óó ałhosh. 
41:5:040:0	Áko t'óó há nidahałt'i'go haa daadloh. Nidi t'áá ádzíłtso ch'íhonizhníłkaadgo at'ééd bizhé'é índa bimá áádóó bił nijikaígíí t'éiyá at'ééd sitíní góne' bił yah ajookai. 
41:5:041:0	Áko at'ééd bíla' jiiłtsoodgo ábijiní, Talétha kóomii, éí, At'ééd, nídiidááh nidishní, jiníigo óolyé. 
41:5:042:0	T'áá áko at'ééd nídii'na'go dah diiyá, háálá éí naakits'áadah binááhai. T'áá áko t'áá ádzíłtso t'áá íiyisí t'óó hoł adahóóyóí. 
41:5:043:0	Áko Jesus hach'į' haadzíi'go áháłní, T'ááká diné ła'da bił dahoołne' yíila', áádóó ábizhdííniid, At'ééd ba'nołtsóód.
