41:9:001:1	Łahgo ázhnoolningo áho'diilyaa
41:9:012:0	Áko ánáábizhdoo'niid, Iiláíjah t'áá aaníí átsé doogááł, áko t'áá ałtsoní hasht'éidoodlííł, ákoshą' haa yit'éego Diné Silį́į'ii kót'éego yeinít'į́įgo bee ak'e'ashchį́, Lą'ígóó ti'hwiizhdoonih, áádóó doo ił jílį́į da doo? 
41:9:002:1	Jesus éí ashkii níłch'i bi'iiníziinii bii' hólóonii hadaałt'é ánáyiidlaa
41:9:013:0	Nidi shí ánihidishní, Iiláíjah t'áá íídą́ą́' níyá, áko t'áá bee ak'e'ashchínígi át'éego t'áá bí danízinígi ádayííł'įįd. 
41:9:014:0	Áko hódahooł'aahii ła'ígíí baa níjíkai, nít'éé' t'óó ahayóí baa áłah ílį́įgo bee haz'áanii yínda'niłtinii yił ałghada'dit'ááh lágo dajiiłtsą́. 
41:9:015:0	T'áá áko áłah ílínígíí dahoołtsą́ągo t'áá íiyisí t'óó bił adahóóyóí, áko k'é dahałníigo hadááh heezhjéé'. 
41:9:016:0	Áko bee haz'áanii yínda'niłtinii nayízhdééłkidgo ábijiní, Ha'át'íishą' baa nídaaht'į́? 
41:9:017:0	Áko diné áłah nilínígíí ła' ání, Na'nitiní, shiye' bił naa ní'áázh, jó, éí níłch'i doo yájíłti'góó áhoolaii hayi' hólǫ́, 
41:9:018:0	áádóó t'áá nahwiiłáágóó naa'anáhwiilghą́ąhgo hazhéé' hahagháahgo hawoo' ahízhdíłk'ash índa k'ééjíjił, nít'éé' nídahooł'aahii ábidishní, Bii'dę́ę́' hadanołchééh, nidi ch'ééh ádayííł'įįd. 
41:9:019:0	Áko ánáábizhdoo'niidgo ájíní, Doo da'oodlą́ą́góó ahoolchíiłii danohłíinii, haash nízáagi nihił honishłǫ́ǫ doo? Haash nízáagi nihich'į' ha'ííníshníi dooleeł? Níláhdę́ę́' hoł shaa nohkááh. 
41:9:020:0	Áko ashkii bił baa jíkai, nít'éé' níłch'i bi'iiníziinii éí Jesus yiyiiłtsą́ągo t'áá áko ashkii ahaniiní'ą́, áko naa'ajíígo'go hazhéé' hahagháahgo nidzimaas. 
41:9:021:0	Áko Jesus éí ashkii bizhé'é nayízhdééłkidgo ábijiní, Hádą́ą'shą' kót'į́ silį́į́'? Áko ájíní, T'áá áłchíní nilį́į́dą́ą́'. 
41:9:022:0	Áko t'áá hodiyoołhéełgo t'áá ahą́ą́h dzídza náhwiilghą́ą́h índa taah náhwiilghą́ą́h, nidi bíninil'ą́ą́ ládą́ą́' nihaa jiiníbaahgo nihíká anilyeed. 
41:9:023:0	Nít'éé' Jesus áháłní, Iisínídląądgo lą́ą! Diyin God yoodláanii yee' t'áá ałtsoní bá bohónéedzą́. 
41:9:024:0	T'áá áko ashkii bizhé'é chayi' yádeesti'go ání, Ooshdlą́, nidi hózhǫ́ ooshdlą́ą doogi bee shíká anilyeed! 
41:9:025:0	Nít'éé' Jesus éí diné t'óó ahayóí kodę́ę́' dayíjeehgo jiiłtsą́ągo níłch'i nichxǫ́'ígíí dzideeztehgo ábijiní, Ni, níłch'i doo yájíłti'góó áádóó doo azdiits'a'góó áhwiinilaii hwii'dę́ę́' haninááh, áádóó t'ááká hwiih náodza' yíila', nidishní. 
41:9:026:0	Ákohgo hadoolghaazhgo t'áá íiyisí ahanihoní'ą́ągo hwii'dę́ę́' hahóóle', áko ashkii daaztsą́ nahalin silį́į́', áko diné aghá'ánéelą́ą'go, Daaztsą́, dadííniid. 
41:9:027:0	Nidi Jesus hála' yiyiiłtsoodgo náhodiidzį́į́z, áko dziizį'. 
41:9:028:0	Áko Jesus hooghan góne' yah ííyáago bídahooł'aahii t'áá sahdii nidabídééłkidgo ádabidííniid, Nihíshą' éí haa yit'éego hadaniilchéehgo ch'ééh ádeiil'įįd? 
41:9:003:1	Jesus bidi'yoolyéłígíí yaa nááhálne'
41:9:029:0	Áádóó ánáábizhdoo'niid, Sohodizingo [áádóó hodílzingo doo adą́ą́góó] t'éiyá kódaat'éhígíí hadínóolkał. 
41:9:030:0	Áádóó dah náázhdiikaigo Gálilii kéyah góne' ch'íjíkai. Áko éí diné ła'da doo yidoonih da dzinízin, 
41:9:031:0	háálá hódahooł'aahii nazhnitingo kóbijiní, Diné Silį́į'ii diné bílák'eejį' ninábidi'doot'áałgo dabidiyoołhééł, áko bi'diisyį́į́dóó bik'ijį' táá' yiską́ągo náádidoodááł. 
41:9:004:1	Háishą' aláahdi ayóó át'éii nilį́?
41:9:032:0	Nidi bee ha'oodzí'ígíí t'áadoo bik'idazh'diitą́ą da, áádóó t'óó bíndabízhdídóołkiłgi nidi bits'ąą dajíítiid. 
41:9:033:0	Áádóó Kapérniyamgi jíkaigo hooghangi yah ajííyáago hódahooł'aahii nayízhdééłkidgo ábijiní, Níláhdę́ę́' wohkahgoshą' ha'át'íí baa nídaaht'į́į́ nít'éé'? 
41:9:034:0	Nidi t'áadoo hadaasdzíi' da, háálá jookahdę́ę́', Háí lá nihitahdóó aláahdi át'ée dooleeł lá, dajiníigo baa nídajit'į́į́ nít'éé'. 
41:9:035:0	Áko jineezdáago naakits'áadahígíí hágo bizhdííniidgo ábijiní, Diné t'áá háiida ła' alą́ąjį' na'ázhdiiltéego éí akéédę́ę́' jílį́į doo, áádóó t'áá ałtso binaal'a'í jílį́į doo. 
41:9:036:0	Áko áłchíní yázhí ła' biníi'gi bidziisį', áádóó nízhdiiłtį́įgo hódahooł'aahii ábizhdííniid, 
41:9:005:1	Doo nihik'ijį' nilínígíí éí nihich'ijí nilį́
41:9:037:0	T'áá háiida áłchíní yázhí kót'éhígíí ła' shízhi' bee bich'į' k'éznídzinígíí éí shich'į' k'éznídzin, áádóó t'áá háiida shich'į' k'éznídzinígíí éí doo shí t'éí shich'į' k'éznídzin da, nidi shiníł'a'ígíí ałdó' bich'į' k'éznídzin.  
41:9:038:0	Nít'éé' John áháłní, Na'nitiní, diné léi' nízhi' bee níłch'i bida'iiníziinii hainiiłkaadgo dahwiiltsą́, áko, T'áadoo ánít'íní, dahodii'niid, háálá doo hoł nikéé' neiikai da. 
41:9:039:0	Nidi Jesus ání, T'áadoo ánít'íní, t'áadoo dabidohníní, háálá diné ła' shízhi' bee naanish ayóó át'éii yaa naagháago t'áá áko doo nichxǫ́'ógo shá hadoodzih da. 
41:9:040:0	Háálá doo nihik'ijį' nilínígíí éí nihich'ijí nilį́. 
41:9:006:1	Bąąhági át'į́ ájiilaaígíí
41:9:041:0	Jó, t'áá aaníígóó ánihidishní, Christ bíí' nohłį́įgo ła'da shízhi' bee tó doohdlį́į́ł biniyé nihainíką́ągo, éí baa doolyéłígíí ts'ídá t'áá aaníí baa doolyééł.  
41:9:042:0	T'áá háiida díí áłchínígi át'éego a'ohgo ádaa nitsídaakeesgo dashoodlánígíí ła'da bąąhági át'į́ ájiilaaígíí, t'áá hó tsé daashjéé' nitsaii hazéédéet'ą́ągo tónteel biih hodi'yoolghanjígo, há yá'át'éeh doo. 
41:9:043:0	Áádóó níla' bąąhági ánít'į́ ánóhsingo, éí k'ínígéésh, háálá t'ááłáhíjí níla' nidi iiná biih yíníyáájígo doo ná yá'át'éeh da, nidi níla' t'áá ałch'ijígo hool'áágóó ti'hoo'nííh bił haz'ą́ąjį' kǫ' doo nitséesii biih nidi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da 
41:9:044:0	[ákwe'é haz'ą́ągi ch'osh doo daninée da, índa kǫ' doo nitsées da]. 
41:9:045:0	Áádóó nikee' bąąhági ánít'į́ ánóhsingo, éí k'ínígéésh, háálá na'níłhod nidi iiná biih yíníyáájígo doo ná yá'át'éeh da, nidi nikee' t'áá ałch'ijígo hool'áágóó ti'hoo'nííh bił haz'ą́ąjį' [kǫ' doo nitséesii biih] nidi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da 
41:9:046:0	[ákwe'é haz'ą́ągi ch'osh doo daninée da, índa kǫ' doo nitsées da]. 
41:9:047:0	Áádóó nináá' bąąhági ánít'į́ ánóhsingo, hadíí'ááł, háálá nináá' t'ááłá'í nidi Diyin God bee bóhólníihgo bił haz'áanii biih yíníyáájígo doo ná yá'át'éeh da, nidi nináá' t'áá ałch'ijígo hool'áágóó ti'hoo'nííh bił haz'ą́ąjį' kǫ' biih nidi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da, 
41:9:048:0	ákwe'é haz'ą́ągi ch'osh doo daninée da, índa kǫ' doo nitsées da. 
41:9:049:0	Áshįįh ak'é'niłígi át'éego t'áá ádzíłtso kǫ' hak'ídadoo'nił [áádóó nááhániihígíí t'áá ałtso áshįįh bee halniihgo ádadoolnííł]. 
41:9:050:0	Áshįįh éí yá'át'ééh, nidi áshįįh doo halniih da silį́į'goshą' ha'át'éego halniih áńdoolnííł? Áshįįh nihiyi'di dahólǫ́ nidahonohłin doo, áádóó k'é da'ahíínóhníi doo.
