41:7:001:1	Jew dine'é bizází yę́ę bi'é'él'į'
41:7:012:0	Áko bizhé'é índa bimáda yíká adoolwoł yę́ę dooda dadohní. 
41:7:002:1	Diné bidoołchxǫǫłii
41:7:013:0	Ákót'éego nihí nihi'é'él'į' yił ahoolchíiłii éí bee Diyin God bizaad doo idééłníígóó ádaał'į́. Áádóó ákódaat'éhígíí lą'í baa naahkai. 
41:7:014:0	Áádóó diné yíl'áhígíí hágo náábizhdoo'niidgo ábizhdííniid, Dashíínółts'ą́ą́', t'ááłá'í nootínígo, áádóó díí bik'ida'doohtįįh: 
41:7:015:0	ha'át'íhída t'áá bikáá'dę́ę́' diné biih hwiileehii éí doo nibiiłchxǫǫh da, nidi bii'dę́ę́' hahwiileehii t'éiyá nibiiłchxǫǫh. 
41:7:016:0	[Diné ła'da hajaa' hólǫ́ǫgo azdiits'a'ígíí háni' ajíists'ą́ą́'.] 
41:7:017:0	Áko áłah ílínígíí bits'ą́ą́' kin góne' yah ajííyáago, hódahooł'aahii hane' bee ak'idi'dootį́įłii baa níjít'į́į́ nít'é'ígíí yíndahódééłkid. 
41:7:018:0	Áko ábizhdííniid, Da' nihíísh ałdó' t'áá ákót'éego doo ak'ida'doohtįįh da? Da' díísh doo nihił béédahózin da? Ha'át'íhída t'áá bikáá'dę́ę́' diné biih hwiileehgo doo bółchxǫǫh át'ée da, 
41:7:019:0	háálá éí hajéí doo yiih hwiileeh da, nidi habid t'éiyá yiih hwiileeh áádóó haghá hwiileeh. (Kózhdííniidígíí bee ch'iyáán t'áá ałtso t'áadoo át'éhígóó yidą́ jidííniid.) 
41:7:020:0	Áko ánáázhdí'ní, Diné bii'dę́ę́' hahwiileehii éí diné niyiiłchxǫǫh. 
41:7:021:0	Háálá diné bii'dę́ę́', bijéí bii'dę́ę́' nichxǫ́'ógo nitsáhákees hahwiileeh, adilyé, na'ageh bee tsi'na'adá, diné naatseed, 
41:7:022:0	ani'į́į́', adáhonooní, bąąhági áhoonííł, na'adlo', tsi'na'adá, ooch'į́į́d, baa'ihgo áyáti', ádaa ha'niih, áhodiigis. 
41:7:003:1	Sáirofiníishiya dine'é asdzání nilíinii bi'oodlą'
41:7:023:0	Díí t'áá ałtso doo yá'ádaashxóonii diné bii'dę́ę́' hadahwiileehgo nidabiiłchxǫǫh. 
41:7:024:0	Áko Jesus nízhdii'na' áádóó dashdiiyá, áko Táir índa Sáídan nahós'a'di jiníyá. Áadi kin léi' biyi' góne' yah ajííyáago diné ła' doo yidoonih da jinízin, nidi ch'ééh na'ázhdinil'in. 
41:7:025:0	Nít'éé' t'áá áko asdzání ła', bich'é'é áłts'ísí léi' éí níłch'i nichxǫ́'í bii' hólǫ́ǫgo haa hóónii' lá, áko haa níyáago hach'į' nitsidinígo'. 
41:7:026:0	Éí asdzání Gríik dine'é nilį́įgo Sáirofiníishiya hoolyéedi bi'dizhchį́. Áko náhookąąhgo áhodííniid, Níłch'i bi'iiníziinii shich'é'é bii'dę́ę́' haníłchééh. 
41:7:027:0	Áko Jesus áhodííniid, Bíni' áłchíní átsé hwiih daaleeh, háálá áłchíní bich'iyą' łééchąą'í bich'į' ajiiłtł'iidgo doo aaníi da. 
41:7:028:0	Nidi asdzání ánááhodoo'niid, T'áá aaníí ákót'é, Bóhólníihii, nidi bikáá' adání bikáá'dę́ę́' łees'áán bizéí áłchíní bílák'ee hadandéhígíí łééchąą'í deiyą́. 
41:7:029:0	Áko asdzání ánáábizhdoo'niid, Jó, yá'át'éehgo háínídzíí'. Nílááh náádááł; jó, níłch'i bi'iiníziinii nich'é'é biyi'dę́ę́' hahóóle'. 
41:7:004:1	Jesus éí diné bijééhkał áádóó ałt'andzihii hadaałt'é ánáyiidlaa
41:7:030:0	Áko hooghangóó nídzídzá, nít'éé' at'ééd tsásk'eh yikáá' sitį́įgo jiiłtsą́, níłch'i bi'iiníziinii biyi'dę́ę́' hahóóle' lá. 
41:7:031:0	Áko Jesus éí Táir índa Sáídan nahós'a'dóó dah náázdiidzáago, Diikápolis biyi' góne' ch'ízhníyáago Gálilii be'ek'idi jiníyá. 
41:7:032:0	Áko diné ła' bijééhkał índa ałt'andzihgo yił haadaaskaigo, Bik'i dah didíílnih, dahałníigo nídahookąąh. 
41:7:033:0	Áko jíl'áhígíí bits'ą́ądi t'áá sáhí hoł nizhní'áázh, áko áadi bijeeyi' góne' azhdoolchid áádóó azhdíízhée'go bitsoo' bizhdeelchid, 
41:7:034:0	áádóó yá'ąąshgóó dzidéez'į́į'go ádił hadzoodzolgo áhojiní, Éfatha, éí, Ąą ánínééh, jiníigo óolyé. 
41:7:035:0	T'áá áko hajeeyi' aní'díídláád índa hazaad doo át'éhígóó t'áá bééhózínígo hadzoodzíí'. 
41:7:036:0	Áko, T'ááká diné ła' bee bił dahoołne' yíila', bizhdííniid; t'áá ákóbijiníi nidi, t'óó yówehda yee haa tádahodoolne'. 
41:7:037:0	Áko nádį́'ídi t'óó hoł adahayóigo ádajiní, T'áá ałtso yá'át'éehgo áyiilaa; bijééhkałii nidi adiits'a'go, índa doo yáłti'ii nidi yáłti'go ánáyoodlííł lá.
