41:2:001:1	Jesus éí diné bitah doo nahwii'náanii néidiisá
41:2:017:0	Jesus éí yidiizts'ą́ą'go áhodííniid, Diné doo bąąh dah nidahaz'ánígíí éí azee' ííł'íní doo yich'į' dadikáah da, nidi bąąh dah nidahaz'ánígíí t'éiyá; ts'ídá t'áá ákogi ádaat'éii doo bíká ádideeshniił biniyé níyáa da, nidi bąąhági ádaaníiłii, Łahgo át'éego Diyin God bich'į' tsíńdadohkeesgo nihibąąhági át'éii bits'áhóhkááh, bidideeshniił biniyé níyá. 
41:2:018:0	John bídahooł'aahii índa Férisii danilíinii dahodísingo doo da'ayą́ą da nít'éé', áko diné ła' haa yíkaigo ádahodííniid, Ha'át'éegoshą' John bídahooł'aahii áádóó Férisii danilíinii bídahooł'aahii hodílzingo doo adánígíí yee ádá nídahool'aah, nidi ni nídahooł'aahii doo ákódaat'į́į da? 
41:2:019:0	Áádóó Jesus áhodííniid, Iiyehii t'ah bił nijikaigo iigehgi neheeskaígíísh dahodísingo doo da'dooyį́įł da? Iiyehii t'áá hataagháhájį' da'jiyą́ą doo. 
41:2:020:0	Nidi beidoołkááł, iiyehii hats'ą́ą́' nídidooltééł, áko éí bijį́įdi índa dahozdísingo doo dazh'dooyį́įł da. 
41:2:021:0	Diné ła'da ha'éé' haastihgo, adanídadit'a'í ániidíígíí doo bidanídazhdidoo'áał da; ákódziidzaago adanídadit'a'í ániidíígíí ha'éé' haastihígíí bits'ádoodlałgo ha'éé' ídládígíí t'óó yówehda adoodlał. 
41:2:004:1	Jesus bídahooł'aahii háá'áyį́į́h jį́į́ góne' tł'oh naadą́ą́' deinizh
41:2:022:0	Índa diné ła'da wáin ániidíígíí tó abid hadaastihii doo yiih yikaah da; ákódziidzaago wáin éí tó abid deidoołdoh, áko wáin éí yóó'íína' doo, índa tó abid éí t'áá ádzaaí dadooleeł, nidi wáin ániidíígíí tó abid ádaaniidíígíí biih yikááh. 
41:2:023:0	Háá'áyį́į́h jį́ azlį́į'go Jesus hódahooł'aahii bił tł'oh naadą́ą́' bitahgóó jookah, nít'éé' hódahooł'aahii tł'oh naadą́ą́' yida'niinizh. 
41:2:024:0	Áko Férisii danilíinii ádahodííniid, Shoo, ha'át'éegoshą' háá'áyį́į́h jį́į́ góne' doo bee haz'ánígíí baa nijikai? 
41:2:025:0	Áko ábizhdííniid, David índa yił naakaígíí dichin daazlį́į'go ádaadzaa yę́ęgi da' éísh doo baa da'íínółta' da? 
41:2:026:0	Shą́ą́', Abáíyathar aláahgo náá'iiłniihii nilį́į́dą́ą́', David éí Diyin God bikin góne' yah ajííyáago Diyin God bich'į' bááh nááhániihii jííyą́ą́', hoł naakaígíí ałdó' ła' baz'níłtsood, éí nááda'iiłniihii t'éiyá yidooyį́įłgo bee haz'ą́ą́ nít'éé'. 
41:2:027:0	Áádóó ánéídoo'niid, Háá'áyį́į́h jį́ éí diné bá ályaa, nidi diné éí háá'áyį́į́h jį́ doo bá áho'diilyaa da; 
41:2:028:0	éí bąą Diné Silį́į'ii háá'áyį́į́h jį́ nidi bee bóhólnííh.
