40:16:001:1	Bee ééhózinii daniidzin daaníigo dayííkeed
40:16:014:0	Áko ádadííniid , Ła' éí John Tó Yee Asį́įhii yę́ę át'į́ , daniłní , ła' éí Iiláíjah , náánáła' éí Jeremáíyah , éí náádoodago Diyin God yá dahalne'ii yę́ę ła' át'į́ , daniłní .
40:16:015:0	Áko ábizhdííniid , Nidi nihíshą' éí háí ájít'į́ dashidohní ?
40:16:016:0	Nít'éé' Sáíman Peter haadzíi'go , Diyin God hináanii biYe' Christ nílį́ , hodííniid .
40:16:017:0	Áko Jesus ánááhodoo'niid , Sáíman , Jónah biye' nílíinii , nízhánee' ! Háálá bits'íís índa bidił hólóonii doo nił ííshją́ą́ áyiilaa da , nidi shiTaa' yá'ąąshdi hólóonii nił ííshją́ą́ áyiilaa .
40:16:018:0	Áádóó shí ándishní , Peter ánít'į́ , áko díí tsé'éłká'ígíí bikáá'dóó dashoodláanii t'áá ła' bizhi'ee kin álnéhígi át'éego deeshtł'į́į́ł , áko hool'áágóó ti'hoo'nííh bibee adziilii doo bik'eh didoodleeł da .
40:16:019:0	Yá'ąąshii bee bóhólníihgo bił haz'ą́ągi bee ąą ńdítį́hí naa deeshnił , áko ha'át'íhída nahasdzáán bikáa'gi doo bee a'dííní'ánígíí , t'áá éí yá'ąąshdi doo bee a'deet'ą́ą da doo , índa ha'át'íida nahasdzáán bikáa'gi bee a'dííní' ánígíí , t'áá éí yá'ąąshdi bee a'deet'ą́ą dooleeł .
40:16:004:1	Jesus bidi'yoolyéłígíí yaa halne'
40:16:020:0	Ákohgo hódahooł'aahii hó Jesus éí Christ jílínígíí diné ła'da ts'ídá doo bee bił dahozhdoolnihgóó bee bich'į' hadzoodzíí' .
40:16:021:0	Áádóó bik'ijį' Jesus éí Jerúsalemjį' jideeyáago diné yá aląąjį' naazíinii áádóó aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii bik'ee lą'ígóó ti'hwiizhdoonih , áádóó hodi'yoolyééł , índa tágí jį́ aleeh góne' , nááhodi'doodláłígíí éí hódahooł'aahii bee bił ahozhniilne' .
40:16:022:0	Nít'éé' Peter ats'áhonílóozgo hodeeztehgo áháłní , Bóhólníihii , Diyin God naa jooba'go doo ákóndi'doolníił da .
40:16:023:0	Nidi Peter bits'ą́ąjį' nídzízyizgo ábizhdíiniid , Séítan nílíinii , shidinínáágóó aninááh ! Shiníłtł'aii nílį́ , háálá doo Diyin God k'ehgo nitsíníkees da , nidi diné k'ehgo t'éí nitsíníkees .
40:16:024:0	Áko Jesus éí hódahooł'aahii ábizhdííniid , Diné t'áá háiida shikéé' dashdiigháhígíí éí ádeizhdiyoo'nah , áko hatsin ałnáoszid nízhdidootį́į́ł áádóó shikéé' joogáał doo .
40:16:025:0	Háálá t'áá háiida jiinánígíí bąąh hą́ą́snízinígíí éí yóó'azhdootłish , nidi t'áá háiida shí shiniinaa jiinánígíí ninázhdiní'ą́ągo , éí jiinánígíí ádá shóizhdoołt'eeł .
40:16:026:0	Háálá diné ła'da nahasdzáán t'áá si'ą́ą́ nít'éé' hóó' dooleeł biniyé t'áá ákójínéehgo hwii' sizíinii yóó'azhdíí'ą́ągo , haa néelą́ą́' há bínéidoodił ? Éí doodaii' , diné ła'da t'áá hó hwii' sizíinii ha'át'íí bił aheełt'é shį́įshą' bił ałnázhdoolééł ?
40:16:027:0	Diné Silį́į'ii biTaa' bee bits'ádi'nílíidii yee , bidiyingo nidaal'a'í yił dookah , áko índa diné t'ááłá'í jinítínígo ádajíít'įįdii bik'ehgo haa dadi'yoolyééł .
40:16:028:0	T'áá aaníígóó ánihidishní , Kǫ́ǫ́ naazínígíí ła' éí Diné Silį́į'ii bee bóhólníihgo bił haz'áanii yił yígháhígíí t'áadoo dayiiłtséhí aniné ts'ídá doo deidoolįh da .
