40:7:001:1	Aa hwiinít'įįh
40:7:011:0	Áko nihí doo yá'ádanoht'éeh da nidi , aa doolyéełii yá'ádaat'éehii nihada'áłchíní baa dadoohłéełii nihił béédahózingo , éí bilááh át'éego nihiTaa' yá' ąąshdi hólóonii ha'át'íhída yá'ádaat'éehii bídajókeedígíí haa yiiníiłgo át'é .
40:7:003:1	Áhoołts'óózígo yah ahóót'i'
40:7:012:0	Éí bąą diné hach'į' ádaaníił le' danohsinígi át'éego nihígo yee' bich'į' ákódaahníił le' , háálá éí bee haz'áanii áádóó Diyin God yá dahalne'ii yee nida'nitin .
40:7:013:0	Áhoołts'óózígo yah ahóót'i'í góne' yah ahohkááh , háálá atí'oolníiłjį' hóteelgo yah ahóót'i' áádóó hóteelgo bich'į' honít'i' , áko diné lą'í ákóne' yah ahikááh .
40:7:004:1	Tsin naazkaadii áádóó dabineest'ą'
40:7:014:0	Háálá iináajį' áhoołts'óózígo yah ahóót'i' áádóó áhoołts'óózígo bich'į' honít'i' , áko t'áá díkwíí éí yik'ídahakááh .
40:7:015:0	T'óó ádahodil'į́įgo dahalne'ii bits'ąą ádaa ádahołyą́ , jó éí dibégi át'éego doo báhádzidgóó nihaa nídaakah , nidi dabiyi'di t'éí mą'iitsoh t'óó báhádzidgo dichin daazlį́į'go da'aldeełii nidahalin .
40:7:016:0	Nidi éí tsin bineest'ą' bee bééhózinígi át'éego ádaaníłígíí bee nihił béédahózin doo . Da' ch'il deeníníísh bąąhdóó ch'il na'atł'o'ii wóbé , éí doodaii' , da' hoshísh bąąhdóó fig wolyéhígíí wóbé ?
40:7:017:0	Jó , tsin yá'ádaat'éehii t'áá ałtso bąąhdóó aneest'ą' yá'át'éehii nídahoodleeł , nidi tsin nichxǫ́'ígíí bąąhdóó aneest'ą' nichxǫ́'ígíí náhoodleeł .
40:7:018:0	Tsin yá'át'éehii bąąhdóó aneest'ą' nichxǫ́'ígíí doo hóle' át'ée da , áádóó tsin nichxǫ́'ígíí bąąhdóó aneest'ą' yá'át'éehii doo hóle' át'ée da .
40:7:019:0	Tsin t'áá ałtso bineest'ą' doo yá'át'ééhgóó bąąh nídahadleehígíí k'ídahalne'go kǫ' biyi' góne' adahaltł'iid .
40:7:005:1	Ts'ídá doo nihéédahasin da
40:7:020:0	Áko tsin bineest'ą' bee bééhózinígi át'éego t'óó ádahodil'į́įgo dahalne'ii ádaaníłígíí bee nihił béédahózin doo .
40:7:021:0	T'ááłá'í jinítínígo , Bóhólníihii , Bóhólníihii , dashijinínígíí doo t'áá ádzíłtso yá'ąąshii bee bóhólníihgo bił haz'áanii biih dahizhdookah da , nidi t'áá háiida shiTaa' yá'ąąshdi hólóonii íinízinii bik'eh ájít'éhígíí t'éiyá .
40:7:022:0	Éí bijį́įdi lą'í ádashididooniił , Bóhólníihii , Bóhólníihii , da' nízhi'ísh bee doo Diyin God bá nidahosiilne' da , da' nízhi'ísh bee doo níłch'i bida'iiníziinii ayi'dę́ę́' hadahineelkaad da , áádóó da' doósh ádahooníiłii ayóó ádaat'éii lą'í nízhi' bee baa nidasiikai da ?
40:7:006:1	Kin bitł'ááh nástł'in naaki t'áá ał'ąą át'éii
40:7:023:0	Ákondi ádabidideeshniił , Ts'ídá doo nihééhasin da ; bąąhági át'éii baa deínóhkáahii , shits'ánóhkááh .
40:7:024:0	Áko t'ááłá'í jinítínígo díí shizaad dazdiits'a'go bida'jił'ínígíí éí diné léi' hóyą́ągo tsé'éłkáa'gi bikin niiní'ánígíí nidahojílin ,
40:7:025:0	áko nahóółtą́ índa tó dááląąd , áádóó ayóó át'éego éí kin bich'į' deeyol , nidi t'áadoo ahiih náázhoozh da , háálá tsé'éłkáa'gi niit'ą́ .
40:7:026:0	Áádóó t'ááłá'í jinítínígo díí shizaad dazdiits'a'go doo bida'jił'ínígíí , éí diné léi' doo hóyą́ą́góó séítahgi bikin niiní'ánígíí nidahojílin .
40:7:027:0	Áko nahóółtą́ índa tó dááląąd , áádóó ayóó át'éego éí kin bich'į' deeyolgo ahiih náázhoozh . Dooládó' ahiih ná'ííłdáaz da !
40:7:028:0	Ákohgo Jesus díí saad ałtso bee hadzoodzíi'go diné yíl'áhígíí hana'nitin bik'ee t'óó bił adahóóyóí ,
40:7:029:0	háálá naat'áanii ídlį́įgo na'nitinígíigi át'éego naz'neeztą́ą́' , bee haz'áanii yínda'niłtinii nahalingo éí dooda .
