40:12:001:1	Jesus bídahooł'aahii háá'áyį́į́h jį́į́ góne' tł'oh naadą́ą́' deinizh
40:12:010:0	Nít'éé' jó'akon , diné léi' bíla' t'ááłáhíjí bąąh dah haz'ą́ą́ léi' ákwe'é naagháá lá . Áádóó , Háá'áyį́į́h jį́į́ góne'ésh nááhodi'doodláałgo bee haz'ą́ ? daaníigo nidahódééłkid , éí yee hak'i dahodidoo'ááł yiniyé ádaaní .
40:12:011:0	Áko Jesus áhodííniid , Nihí nihitahdóó diné ła'da dibé t'ááłá'í bee hólǫ́ǫgo , nít'éé' háá'áyį́į́h jį́į́ góne' bits'ą́ą́' a'ą́ą́tłizhgo , da' doósh áádę́ę́' háidoołtéeł da ?
40:12:012:0	Dooládó' diné éí dibé yiláahgo ílį́į da lá ! Éí bąą háá'áyį́į́h jį́į́ góne' yá'át'éehgo ázhdooníiłgo bee haz'ą́ .
40:12:013:0	Ákohgo diné bíla' bąąh dah haz'áanii ííłní , K'ídílchííd . Áko k'ídeeshchidgo bíla' t'áá łahjí át'éhígi át' éego hadaałt'é násdlį́į́' .
40:12:003:1	Á naal'a'í nídiiltíinii
40:12:014:0	Nidi Férisii danilíinii ch'ékaigo haa nídaast'įįd , áádóó ha'át'éegoda dahodiyoołhéłígíí yee hondahaz'ą́ .
40:12:015:0	Éidíígíí Jesus hoł bééhózingo , áádóó dashdiiyá . Áádóó diné t'óó ahayóí hakéé' neheeskai , áko t' áá ałtso náádabizhdiyiisá ,
40:12:016:0	áko hadzoodzíi'go ábijiní , T'ááká shaa ch'ídahooh'ááł lágo .
40:12:017:0	Kóhá'níigo Aizéíyah , Diyin God yá halne'ii , yaa hoolne'ígíí bohodoolnííł biniyé ákóbizhdííniid :
40:12:018:0	Jó'akon , shá naal'a'í nídiiłtíinii , ayóó'óósh'níinii shii' sizíinii baa bił hózhǫ́ , shiNíłch'i Diyinii baa dideesh'ááł , áko doo Jew dine'é danilíinii ts'ídá t'áá ákwii é'ét'éego ánihwiit'aah yee yił hodoolnih .
40:12:019:0	Doo ináádiiltłi' da doo , índa doo yéego dilwosh da doo , kintah da'nítiingóó nidi biinéé' doo ła' jididoots'į́įł da .
40:12:020:0	Ts'ídá t'áá ákwii é'ét'é ak'eh didlį́įgo áyiilaajį'lók'aatsoh yisk'isii nidi doo k'íidootih da , índa bee hool'iní biih yít'i'ígíí t'óó bilid nidi doo yidínóołtsis da ,
40:12:004:1	Jesus áádóó Béíyalzííbab
40:12:021:0	Áádóó doo Jew dine'é danilíinii éí házhi' binahjį' bił chodahoo'į́į doo .
40:12:022:0	Nít'éé' diné léi' níłch'i bi'iiníziinii bii' hólǫ́ǫgo doo yáłti'góó índa doo oo'į́į́góó yił haa daaskai , áádóó hadaałt'é áńjiidlaa , áko diné doo yáłti' da yę́ę yáłti' áádóó oo'į́ silį́į́' .
40:12:023:0	Áko diné t'áá ałtso t'óó bił adahóóyóigo ádadííniid , Da' díísh David biYe' át'į́ ?
40:12:024:0	Nidi Férisii danilíinii éidíígíí deidiizts'ą́ą'go ádadííniid , Díí diné éí Béíyalzííbab , níłch'i bida'iiníziinii binanit'a'í nilíinii t'éiyá bee níłch'i bida'iiníziinii ayi'dę́ę́' hahizhniłkaad lá .
40:12:025:0	Nidi yaa nitsídaakeesígíí hoł bééhózingo ábizhdííniid , Ła' dine'é t'áá bił dah nahaz'ą́ą́góó t'áá bí ałk'i néijahgo éí t'áá ádzaaí neheleeh , índa kin haal'áagi kéédahat'ínígíí áádóó łahgo dah oonééł t'áá bí ałdó' ałk'i néijahgo t'óó ałts' á'áldah doo ,
40:12:026:0	áko Séítan nilíinii t'áá bí diné yii'dę́ę́' ha'ádi'nilchéehgo , t'áá bí ák'i néilwo' doo , ákoshą' haa yit'éego t'áá bí bee bóhólníihgo bił haz'áanii didoonaał ?
40:12:027:0	Béíyalzííbab bee níłch'i bida'iiníziinii ayi'dę́ę́' hahinishkaadgo , ákoshą' nihídahooł'aahígíí éí háí bibee adziilii bee ayi'dę́ę́' hadeiniiłkaad ? Éí bąą éí t'áá bí nihaa nídadóot'įįł .
40:12:028:0	Nidi Diyin God biNíłch'i Diyinii bee níłch'i bida'iiníziinii ayi'dę́ę́' hahinishkaadgo , éí bee t'áadoo bahat'aadí Diyin God bee bóhólníihgo bił haz'áanii bił nihaa honíyá .
40:12:029:0	Áádóó haa yit'éego diné ła' diné bidziilii bighan góne' yah azhdoogáałgo binaalye'é bighahizhdoo'nił ? Jó , átsé be'dziztł'ǫ́ǫgo índa . Ákohgo índa binaalye'é bighandę́ę́' ch'íhizhdoojih .
40:12:030:0	Diné doo shich'ijí jílínígíí éí shits'ą́ą́jí jílį́ , áádóó doo shił ahanizh'niiłkaadígíí éí ta'izhnoołkaad .
40:12:031:0	Éí bąą ánihidishní , Diné yee bąąhági ádaat'íinii índa Diyin God baa'ihgo baa yáti' ts'ídá t'áá ałtso bá yóó'anídahidit'aah dooleeł , nidi Níłch'i Diyinii baa'ihgo baa yáti' t'éí ts'ídá doo á yóó'anídidoot'áał da .
40:12:005:1	Ajéí bii' daahéełii hahwiileeh
40:12:032:0	Áádóó t'áá háiida Diné Silį́į'ii bik'ijį' jílį́įgo hadziidziihígíí , éí há yóó'anídidoot'ááł , nidi t'áá háiida Níłch'i Diyinii bik'ijį' jílį́įgo hadziidziihígíí , éí k'ad hoolzhishígíí biyi' índa náábíkéédę́ę́' hoolzhishígíí biyi' nidi , ts'ídá doo há yóó'anídidoot'áał da .
40:12:033:0	Éí bąą tsinígíí yá'át'éehgo , bineest'ą' ałdó' yá'át'éeh doo ; éí doodago tsinígíí nichxǫ́'ógo , bineest'ą' ałdó' nichxǫ́'ó doo , háálá tsinígíí bineest'ą' bee bééhózin .
40:12:034:0	Tł'iish ba'áłchíní danohłíinii , doo yá'ádanoht'ééhgóoshą' haa yit'éego éí yá'át'éehii bee hadahohdziih doo ? Háálá t'áá hajéí bii' hólónígíí t'áá éí bee yájíłti' łeh .
40:12:035:0	Diné yá'át'éehgo hináanii éí yá'ádaat'éehii bijéí bii' hólóonii bits'ą́ą́dóó yá'át'éehii hahwiileeh , áádóó diné doo yá'áshóonii éí doo yá'ádaat'éehii bijéí bii' hólóonii bits'ą́ą́dóó doo yá'át'éehii hahwiileeh .
40:12:036:0	Áko ánihidishní , Diné saad t'ááłá'í ní'ánígo t'áadoo nánídlíinii yee hadahadziihígíí ánihwiit'aah beiníłką́ądi t'áá éí bee ádaa nidahozhdoolnih ,
40:12:006:1	Doo yá'áshxǫ́ǫ́góó ahoolchíiłii bee ééhózinii hadeintá
40:12:037:0	háálá nizaadígíí binahjį' ts'ídá t'áá ákogi ánít'éego ná ha'doodzih , doodaii' nizaadígíí binahjį' ná nihodoot'ááł .
40:12:038:0	Ákohgo bee haz'áanii yínda'niłtinii áádóó Férisii danilíinii ła' kódaaníigo hach'į' hadaasdzíí' , Na'nitiní , nibee adziilii bee bééhózinii ła' ná dadíníil'įįł .
40:12:039:0	Áko Jesus hach'į' hanáádzíi'go áhodííniid , Doo yá'áshxǫ́ǫ́góó índa adilyé yee ahoolchíiłii bee ééhózinii hadeintá , nidi bee ééhózinii doo ła' bá ádoolníił da , t'áá hazhó'ó Jónah , Diyin God yá halne'ii nilį́įgo bee ééhózinii silį́'ígíí t'éiyá .
40:12:040:0	Háálá t'áá Jónah tágí jį́ áádóó tágí tł'éé' łóó'tsoh bibid yii' sitį́į́ nít'éé' yę́ęgi át'éego , Diné Silį́į'ii ałdó' nahasdzáán bijéí bii' tágí jį́ áádóó tágí tł'éé' hólǫ́ǫ doo .
40:12:041:0	Níneveh dine'é yę́ę ánihwiit'aah beiníłką́ądi díí k'ad ahoolchíłígíí yá nidahodoo'áałgo yee deidoozįįł , háálá Jónah éí Diyin God bizaad yaa hoolne'ígíí binahjį' łahgo át'éego Diyin God yich'į' tsíńdadeezkéezgo dayoosdląądgo ádił nida'iiszí'ígíí yits'áhaaskai , nidi jó'akon , Jónah yiláahgo át'éii éí kǫ́ǫ́ naaghá .
40:12:007:1	Níłch'i nichxǫ́'íii nádááh
40:12:042:0	Kéyah Shádi'ááh hoolyéedi asdzání naat'áanii jílį́į́ nít'é'ígíí díí k'ad ahoolchíłígíí ánihwiit'aah beiníłką́ądi bił náázhdidoojahgo bá nihozhdoo'ááł , háálá éí Sálaman bibee hódzáanii yízdóołts'įįł biniyé , ni' nineel'ą́ą́dę́ę́' jiníyá , nidi jó'akon , Sálaman yiláahgo ayóó át'éii éí kǫ́ǫ́ naaghá .
40:12:043:0	Níłch'i nichxǫ́'ígíí diné yii'dę́ę́' haagháahgo , háádoolyįhgi haintáago tó ádaadingóó hahidiighááh , nidi doo ła' yik'égháah da .
40:12:044:0	Áko ániih , Shighandóó ch'íníyá yę́ęgóó nídeeshdááł . Áko nádáahgo doo siláhígóó , áádóó nahashzhóo'go , índa hasht'ehoolyaago yik'éghááh .
40:12:008:1	Jesus bimá índa bitsilíké
40:12:045:0	Áko dah náádiidáahgo , náánáła' níłch'i tsosts'idgo t'ah biláhídi doo yá'ádaashóonii yił nákah , áko éí yił hwiih yikahgo hwii' kéédahat'į́į łeh , áko diné áłtséédą́ą́' át'éé nít'éé' yę́ę t'óó nówehda át'įįh . T'áá éigi át'éego díí doo yá'áshxǫ́ǫ́góó ahoolchíłígíí ałdó' t'áá ákót'ée dooleeł .
40:12:046:0	Jesus éí diné áłah nilínígíí t'ah bich'į' yájíłti'go , jó'akon , hamá índa hatsilíké hach'į' hadadiidzih daaníigo tł'óo'di naazį́ .
40:12:047:0	[ Nít'éé' diné ła' áhodííniid , Nimá índa nitsilíké nich'į' hadadiidzih daaníigo tł'óo'di naazį́ . ]
40:12:048:0	Nidi hoł hoolne'ígíí bich'į' hadzoodzíi'go ábizhdííniid , Háishą' shimá nilį́ , áádóó háishą' shitsilíké danilį́ ?
40:12:049:0	Áko Jesus hódahooł'aahii bich'į' dashdidiilnii'go ázhdííniid , Jó , kǫ́ǫ́ shimá áádóó shitsilíké !
40:12:050:0	Háálá t'áá háiida shiTaa' yá'ąąshdi hólóonii íinízinii bi'jił'ínígíí éí shitsilí áádóó shideezhí índa shimá jílį́ .
