40:25:001:1	Ch'ikéí neeznált'éego binahjį' hane' bee ak'idi'dootį́įłii
40:25:026:0	Nidi hananit'a'í hach'į' haadzíi'go áhodííniid , Bąąhági ánít'éii índa bił hóyée'go naal'a'í nílíinii ! T'áadoo k'éé'díshdléehgi ná'áshgishgo , áádóó t'áadoo ná'ooshch'ihgi hééł áná'iish'įįhgo nił bééhózin lá ya' ?
40:25:027:0	Áko shibéeso éí béeso yaa ádahalyánígíí baa díínił nít'éé' , áko nánísdzáago shibéeso ínáóltą'í bił shaa ná'nil dooleeł nít'éé' .
40:25:028:0	Áko tálent t'ááłá'í ba'ít'ánígíí bits'ą́ą́' nídooh'aahgo tálent neeznáá neijaahígíí baa noh'aah .
40:25:029:0	Háálá t'ááłá'í jinítínígo ha'át'íhída hwee hólónígíí biláahgo ła' haa náádoolyééł , áko lą'í hwee hólǫ́ǫ dooleeł , nidi ha'át'íhída hwee ádinígíí éí t'áá hwee hólónígíí nidi haghadoolyééł .
40:25:003:1	Ał'ąą dine'é baa náhódóot'įįł
40:25:030:0	Áádóó naal'a'í t'áadoo yee choo'ínígíí tł'óó'dóó nówehjį' chahałheeł góne' ahołhan ; áadi diné daachxa áádóó biwoo' ahídeidiłk'ash doo .
40:25:031:0	Nidi Diné Silį́į'ii bits'ádi'nílíidgo índa diyingo nidaal'a'í t'áá ałtso yił yíkaigo , áadi índa bikáá'dóó nahat'áii bits' ádi'nílíidii yikáá'dóó dah dínóodaał .
40:25:032:0	Áádóó ał'ąą dine'é t'áá ałtso baa áłah ádoolnííł , índa na'niłkaadii bidibé éí tł'ízí yits'áyiiníłígi át'éego , éí t'ááłá'í nítínígo ałts'áidoonił ,
40:25:033:0	áko dibé éí binish'náájígo niidoonił , tł'ízí éí binishtł'ajígo niidoonił .
40:25:034:0	Áko índa Aláahgo Naat'áanii binish'náájígo yíl'áhígíí áyididooniił , ShiTaa' nihik'ijidlíii , hágo , aláahgo bee óhólníihgo bił haz'áanii nahasdzáán niit'ą́ą́dę́ę́' nihá hasht'eelyaaígíí nihíí' ádaahłééh ,
40:25:035:0	háálá dichin nishłį́įgo shada'soołtsood , dibáá' nishłį́įgo tó shaa dasooką́ , dé'éyóní nishłį́įgo shił yah adasoohkai ,
40:25:036:0	shi'éé' ádingo hadashidoohłaa , daastsaahgo shaa nidasinootą́ą́' , awáalyaa góne' sédáago shaa dasoohkai .
40:25:037:0	Ákohgo t'áá ákogi ádaat'éii kódaaníigo hach'į' hadadoodzih , Bóhólníihii , hádą́ą'shą' dichin nílį́įgo daniiltsą́ągo nada'siiltsood , éí doodaii' dibáá' nílį́įgo tó naa dasiiką́ ?
40:25:038:0	Áádóó hádą́ą'shą' dé'éyóní nílį́įgo daniiltsą́ągo , nił yah adasiikai , doodaii' ni'éé' ádingo hadandiilyaa ?
40:25:039:0	Áádóó hádą́ą'shą' dantsaahgo , éí doodago awáalyaa góne' sínídáago daniiltsą́ągo naa dasiikai ?
40:25:040:0	Áádóó Aláahgo Naat'áanii hach'į' t'ą́ą́' háádoodzihgo áhodidooniił , T'áá aaníí ánihidishní , Díí shik'is ła' ts'ídá hojooba' ádaat'éii bá baa nidasoohkaígíí , éí shí shá baa nidasoohkai .
40:25:041:0	Áádóó binishtł'ajígo jíl'áhígíí áhodidooniił , Nihí atídanihidi'doolníiłgo nihá hada'iisdzíi'ii hool'áágóó hodook'ą́ą́ł , níłch'i bida'iiníziinii binanit'a'í áádóó bá nidaal'a'í bá hasht'ehoolyaaígíí biyi'jį' shits'ánóhkááh ,
40:25:042:0	háálá dichin nishłį́įgo t'áadoo shada'soołtsood da , dibáá' nishłį́įgo t'áadoo tó shaa dasooką́ą da ,
40:25:043:0	dé'éyóní nishłį́įgo t'áadoo shił yah adasoohkai da , shi'éé' ádingo t'áadoo hadashidoohłaa da , daastsaahgo índa awáalyaa góne' sédáago t'áadoo shaa nidasinootą́ą' da .
40:25:044:0	Ákohgo éí ałdó' kódaaníigo hach'į' t'ą́ą́' háádadoodzih , Bóhólníihii , hádą́ą'shą' dichin nílį́įgo , doodaii' dibáá' nílį́įgo , doodaii' dé'éyóní nílį́įgo , doodaii' ni'éé' ádingo , doodaii' dantsaahgo , doodaii' awáalyaa góne' sínídáago daniiltsą́ągo , t'áadoo naa ádahosiilyąąd da ?
40:25:045:0	Áádóó kóníigo hach'į' hanáádoodzihgo áhodidooniił , T'áá aaníí ánihidishní , Díidí ts'ídá hojooba' ádaat'éii t'áadoo bá baa nidasoohkaígíí , éí t'áadoo shá baa nidasoohkai da .
40:25:046:0	Áko díidí hool'áágóó até'él'į́ biyi'jį' dashdidookah , nidi t'áá ákogi ádaat'éii éí iiná doo ninít'i'ii yiyi'jį' dah didookah .
