40:21:001:1	Jesus ak'eh deesdlį́į'ii k'ehgo Jerúsalem góne' ííyá
40:21:003:1	Fig sikaadii bineest'ą' doo bąąh nááhodoodleełgóó bá ha'oodzíí'
40:21:017:0	Áko bits'ą́ą́' dashdiiyáago kin haal'áádóó ch'ízhníyá , áko Béthaniidi jiníyáago ákwii hwiiską́ .
40:21:018:0	Áádóó abínígo kin haal'áágóó níjoodáałgo dichin dzizlį́į́' .
40:21:019:0	Áko fig léi' atiin bąąhgi sikaadgo jiiłtsą́ , áko baazhníyáago t'áadoo bąąh hólónígóó t'áá hazhó'ó bit'ąą' t'éiyá bąąh hólǫ́ǫgo jiiłtsą́ . Áko ábizhdííniid , Kodóó hool'áágóó ts'ídá t'ááká nineest'ą' nąąh hóle' yíila' ! T'áá áko fig sikaadii niiłna' .
40:21:020:0	Áko hódahooł'aahii éí dayiiłtsą́ągo t'óó bił adahayóigo ádaaní , Haa lá yit'éego fig sikaadii tsxį́įłgo niiłna' ?
40:21:021:0	Áko Jesus hanáánáádzíi'go áhodííniid , T'áá aaníí ánihidishní , T'áadoo nihił naaki danilíní da'iinohdlą́ągo , t'áá díí fig sikaadii áshłaaígi át'éii doo t'éí baa nidaahkai da doo , nidi azhą́ díí dził , Dah ni'doot'aahgo tónteel biyi' góne' andi'yólghan , bidooniid nidi , ákódoonííł .
40:21:004:1	Jesus háí bee óhólnííh beidiní'ánígíí bínabídéékid
40:21:022:0	Áko da'iinohdlą́ągo t'áá ha'át'íhída dayínóhkeedgo sodadołzingo , éí nihaa dahalyée doo .
40:21:023:0	Nít'éé' kin bii' sohodizin bił haz'ání góne' yah ajííyáago , diné nazhnitingo aláahgo nááda'iiłniihii índa diné yá aląąjį' naazíinii haa yíkaigo ádaaní , Ha'át'íí bee óhólnííh shį́įshą' bik'ehgo díidí baa naniná , áádóó háishą' díí bee óhólnííh neidiní'ą́ ?
40:21:024:0	Áko Jesus hach'į' hanáádzíi'go áhodííniid , Shí ałdó' łahgo nanihídídéeshkił , áko éí bee shił dahoołne' ládą́ą́' , shí ałdó' bee óhólnííh bik'ehgo díí baa naasháhígíí bee nihił hodeeshnih .
40:21:025:0	John lá háádę́ę́' bee óhólníihii bik'ehgo tó bee adzisį́į́h nít'éé' ? Yá'ąąshdę́ę́' daats'í , éí doodaléi' diné bits'ą́ą́dóó daats'í ? Áko yaa nídaat'į́įgo ádaaní , Yá'ąąshdę́ę́' dadii'niidgo la' , ánihididooniił , Ákoshą' haa yit'éego doo dahwiisoohdląąd da ?
40:21:026:0	Doodaii' , Diné bits'ą́ą́dóó , dadii'niidgo la' , diné yíl'áhígíí béédeiildzid , háálá éí t'áá ałtso John yę́ę Diyin God yá halne'ii nilį́į́ nít'éé' dayó'ní .
40:21:005:1	Aye' nilíinii nidilt'éego binahjį' hane' bee ak'idi'dootį́įłii
40:21:027:0	Áko Jesus yich'į' hadaasdzíi'go ádaaní , Doo nihił béédahózin da . Áko Jesus áhodííniid , Shí ałdó' bee óhólnííh bik'ehgo díidí baa naasháhígíí doo bee nihił hodeeshnih da .
40:21:028:0	Nidi díí haash yit'éego baa nitsídaahkees ? Diné léi' biye' naaki , áko alą́ąjį' naagháhígíí yaa níyáago áyidííniid , Shiye' , nílááh díí jį́ shich'il na'atł'o'ii bitahgi nidíílnish .
40:21:029:0	Nít'éé' biye' ání , Doo ádeeshníił da , nidi áádóó bik'ijį' łahgo át'éego yąąh tsíńdeezkéezgo ákǫ́ǫ́ dah diiyá .
40:21:030:0	Áádóó akéédę́ę́' naagháhígíí yaa náánádzáago t'áá ákót'éego yich'į' hanáánáádzíí' , áko nít'éé' , Deeshááł , shizhé'é , dííniid , nidi t'áadoo ákǫ́ǫ́ deeyáa da .
40:21:031:0	Díí naakigoshą' háidíígíí bizhé'é íinízinígíí yi'iilaa ? Áko ádaaní , Áłtséhígíí lą́ą . Jesus áháłní , T'áá aaníígóó ánihidishní , Tax nahalyéhígíí yiniyé naazdáii áádóó da'ałjiłnii éí Diyin God bee bóhólníihgo bił haz'áanii t'áá nihí átsé yiih hikááh .
40:21:006:1	Ch'il na'atł'o'ii áádóó yaa ádahalyáanii binahjį' hane' bee ak'idi'dootį́įłii
40:21:032:0	Háálá John yę́ę ts'ídá t'áá ákogi é'ét'é bił nahazt'i'ii yił nihaa níyáa nidi , t'áadoo deisoohdląąd da , nidi tax nahalyéhígíí yiniyé naazdáii áádóó da'ałjiłnii daboosdląąd , áádóó azhą́ hadasidooł'į́į́'dóó bik'ijį' nidi , t'áadoo łahgo át'éego bąąh nitsíńdasookéezgo deisoohdląąd da .
40:21:033:0	Hane' bee ak'idi'dootį́įłii náánáła' dadoohts'į́į́h . Diné ła' kéyah bee bóhólníihii jílį́įgo , ch'il na'atł'o'ii k'izhdííláago tsé binaa ahénátł'ingo ájiilaa , áádóó ákwii ch'il na'atł'o'ii yiljizh dooleełgi hahodziiznil , índa bikáá'dóó ha'alzídí hajíítł'ingo nízaadgóó yaa'áago ájiilaa , áko ch'il na'atł'o'ii yaa ádahalyą́ą dooleełii baa dzisįįdgo náánáła' kéyahgóó ajííyá .
40:21:034:0	Áko k'adę́ę da'nit'ą́ągo , há nidaal'a'í ła' daneest'ánígíí ła' há nídeidoojih biniyé ch'il na'atł'o'ii yaa ádahalyánígíí bich'į' adziis'a' .
40:21:035:0	Nít'éé' ch'il na'atł'o'ii yaa ádahalyánígíí há nidaal'a'í deisiłgo , ła' nídeineesxaal , ła' éí dayiisxį́ , índa náánáła' éí yił nidadzisne' .
40:21:036:0	Áko náá'áłdó' nááná ła' há nidaal'a'í áłtséédą́'ígíí t'ah bilááh ánéelą́ą'go ákǫ́ǫ́ anáádziis'a' , áko éí ałdó' t'áá ákónáádayiidlaa .
40:21:037:0	Áádóó éí bik'ijį' índa , Shiye'jígo bił danilį́į dooleeł , jiníigo bich'į' haye' ajííł'a' .
40:21:038:0	Nidi ch'il na'atł'o'ii yaa ádahalyánígíí haye' dayiił tsą́ągo áda'ahidoo'niid , Díí ch'il na'atł'o'ii bíí' dooleełígíí át'į́į́ lá ; sołtį' , dadiyiilyééł , áko bíí' dooleeł yę́ę nihíí' dadooleeł .
40:21:039:0	Áko dahasiłgo ch'il na'atł'o'ii bitahdóó ch'ídahwiisxango dahwiisxį́ .
40:21:040:0	Áko ch'il na'atł'o'ii bee hóhólníhígíí jiníyáago , ch'il na'atł'o'ii yaa ádahalyánígíí lá haazhdoolííł lá ?
40:21:041:0	Áko diné ádahodííniid , Éí diné doo ádadiilkóhígíí bik'e'íyée'ii yee neidoołtsił , áko ch'il na'atł'o'ii éí náánáła' yaa ádahalyą́ą dooleełii yaa néidoosįįł , áko éí da'nit'ą́ąjį' anáhwiilzhíishgo ch'il na'atł'o'ii bineest'ą' baa nídayiigéeh doo .
40:21:042:0	Nít'éé' Jesus áháłní , Da' kót'éego Diyin God bizaad bee ak'eda'ashchínígíísh biyi' t'ah doo dayínółta' da ? Kin ádeił'íní tsé doo deiniizį́'ígíí , t'áá éí tsé bee naaná'ástł'inii silį́į́' ; díidí Bóhólníihii áát'įįdígíí át'é , áko daníil'į́įgo bik'ee t'óó nihił adahayóí .
40:21:043:0	Éí bąą ánihidishní , Diyin God bee bóhólníihgo bił haz'áanii nihighadidoot'ááł , índa náánáła' dine'é éí bits'ą́ą́dóó aneest'ą' nídahoodleeł doo biniyé baa didoot'ááł .
40:21:044:0	[ Áádóó t'áá háiida díí tsé bik'ijį' ajíígo'ígíí nihizhdooltǫǫł , nidi t'áá háiida hak'ijį' naalts'idígíí ch'íhodoołk'ááł . ]
40:21:045:0	Áko aláahgo nááda'iiłniihii índa Férisii danilíinii hane' bee ak'idi'dootį́įłii bee hadziisdzí'ígíí deidiizts'ą́ą'go , éí binahjį' bí baa níjít'į́įgo bił béédahoozin .
40:21:046:0	Nidi hodi'dooltsoł ch'ééh daniizį́į́' , diné yíl'áhígíí yéédaaldzidgo biniinaa , háálá Diyin God yá halne'ii át'į́ danízin .
