40:8:001:1	Jesus éí diné łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ągo néidiisá
40:8:010:0	Áko Jesus éí yidiizts'ą́ą'go t'óó bił ahóóyóí , áádóó bikéé' nidaakaígíí áyidííniid , T'áá aaníí ánihidishní , Oodlą́ ayóó át'éii Ízrel dine'é bitahgi nidi , t'ah doo kót'éii bik'ínísháah da .
40:8:011:0	Áádóó ánihidishní , Ha'a'aahdę́ę́' índa e'e'aahdę́ę́' diné lą'í nidahidookah , áádóó yá'ąąshii bee bóhólníihgo bił haz'ą́ądi Éíbraham áádóó Áízak índa Jéíkab yił da'dooyį́į́ł biniyé yił dah dínóobįįł ,
40:8:012:0	nidi yá'ąąshii bee bóhólníihgo bił haz'áanii hwíí' dadooleeł yę́ę tł'óó'dóó yówehjį' chahałheełjį' ahodi'yooltł'ił ; áadi diné daachxa áádóó biwoo' ahídeidiłk'ash doo .
40:8:003:1	Jesus éí diné t'óó ahayóí hadaałt'é áńdayiidlaa
40:8:013:0	Áko Jesus éí siláo binanit'a'í áyidííniid , Nílááh yínááł ; t'áá iinídlánígi át'éego ná ádoolnííł . T'áá áko hanaal'a'í náádiidzá .
40:8:014:0	Áádóó Peter bighan góne' Jesus yah ajííyáago , Peter be'asdzą́ą́ bimá bitah honeezgaigo sitį́įgo jiiłtsą́ ,
40:8:015:0	áko bíla' bizhdeelchidgo , tah honiigááh yę́ę bits'áldoh , áko nídii'na'go há chooz'įįd .
40:8:016:0	T'áá éí bee i'íí'ání , níłch'i bi'iiníziinii bii' dahólóonii lą'í hach'į' yił neheeskai , áko t'ááłáhídi hadziidziihgo níłch'i bida'iiníziinii haz'niiskaad , índa diné bitah dahoneezgai t'áá ałtso hadaałt'é áńdajiidlaa .
40:8:004:1	Jesus yikéé' dayíkáah dadooleeł nít'ée'ii
40:8:017:0	Kót'éego baa nijiyáhígíí , Aizéíyah , Diyin God yá halne'ii , yaa hoolne'ígíí bohodoolnííł biniyé baa nijiyá , T'áá hó , doo nihitah dahółdzilii ák'ijį' kójiilaa , índa nihitah dahoneezgaii bá dziizį' , dííniid .
40:8:018:0	Nít'éé' Jesus binaagi diné t'óó ahayóí yíl'áago yiyiiłtsą́ągo , Wónaanígóó diikah , dííniid .
40:8:019:0	Nít'éé' bee haz'áanii yínda'niłtinii ła' níyáago áhodííniid , Na'nitiní , t'áá nanináágóó nikéé' naasháa doo .
40:8:020:0	Áko Jesus áháłní , Mą'ii dootł'izhí be'a'áán dahólǫ́ , áádóó tsídii wódahgo nidaat'a'ígíí bit'oh dahólǫ́ , nidi Diné Silį́į'ii éí t'áadoo nizhnót'áałgi da .
40:8:021:0	Áádóó ídahooł'aahii náánáła' ábidííniid , Bóhólníihii , áłtsé shizhé'é łeeh deeshtééłgóó nídeeshdáałgo bee sha'di'ní'aah .
40:8:005:1	Jesus tó náádadiidáahii índa níyol hasht'eidííłt'e'
40:8:022:0	Nidi Jesus áhodííniid , Shikéé' yínááł , áádóó bíni'dii daneeznáanii t'áá bí łeeh da'ahii'nííł .
40:8:023:0	Áádóó tsinaa'eeł biih jííyáago hódahooł'aahii hakéé' iih yíjéé' .
40:8:024:0	Áádóó jó'akon , táłkáa'gi ayóó át'éego deeyolgo , tó náádadiidáhígíí tsinaa'eeł biih yilk'ooł , nidi Jesus éí ajiłhosh .
40:8:025:0	Áko hódahooł'aahii hach'į' niikaigo ch'éédahasidgo ádaaní , Táłtł'ááh yiildaas , Bóhólníihii , yisdánihínííł .
40:8:026:0	Nít'éé' áháłní , Ha'át'éegoshą' nídasoołdzííd , t'įįhdígo da'iinohdláanii ? Áko yiizį'go níyol índa tó yideezteh , áko t'áá íiyisí hodiiyeel .
40:8:006:1	Gérgasa dine'é nidilt'éego níłch'i bida'iiníziinii bii' hólóonii hanoolkaad
40:8:027:0	Áko hódahooł'aahii t'óó bił adahayóigo kódaaní , Díí lá ha'át'íí diné shį́į́ át'į́įgo , níyol áádóó tó nidi bik'eh dahół'į́ ?
40:8:028:0	Wónaaníjį' Gérgasa dine'é bikéyahjį' ha'naa nida'dzis'éelgo , dajishcháá'dę́ę́' diné nidilt'éego níłch'i bida'iiníziinii tsi'nabiił'aashgo hadááh ahi'neelchą́ą́' , éí t'áá íiyisí báhádzidgo bąą diné ła' doo áajigo ch'óoya' át'ée da .
40:8:029:0	Nít'éé' jó'akon , éí kóníigo hadoolghaazh , Haashą' nihíléehgo ánít'į́ , Jesus , Diyin God biYe' nílíinii ? Atínihidi'doolníłígíí t'ah doo baa hoolzhíish da nidiísh atínihidíílíiłgo biniyé yíníyá ?
40:8:030:0	Áko éí áádóó t'áá nízaadi bisóodi lą'í nida'ałchozh .
40:8:031:0	Áko níłch'i bida'iiníziinii nídahookąąhgo ádaaní , Hanihiníłkaad ládą́ą́' , níléí bisóodi naakaígíí biih danihidííł'aał .
40:8:032:0	Áko ábizhdííniid , Nihílááh lą́ą . Áko níłch'i bida'iiníziinii éí diné yiyi'dę́ę́' hahaazhjée'go bisóodi yiih heezhjéé' , áko jó'akon , bisóodi t'áá ałtso bidah ch'ééjée'go be'ek'id yiih heezhjéé' , áko tó bííghą́ą́' .
40:8:033:0	Áko bisóodi baa ádahojilyánígíí dashdiijée'go kin haal'áágóó aníjííjée'go , éí áhóót'įįdígíí t'áá ałtso índa diné níłch'i bida'iiníziinii bii' hólónę́ę bii' hanoolkaadígíí baa dahojoolne' .
40:8:034:0	Áko kin haal'áádóó diné t'áá ałtso ch'íheezhjée'go Jesus bidááh náznísą́ . Áko dajiiłtsą́ągo nídajookąąhgo ádajiní , Nihikéyahdóó nówehjį' haninááh .
