40:27:001:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
40:27:012:0	Índa aláahgo nááda'iiłniihii áádóó diné yá aląąjį' naazíinii hak'i dahodii'aahgo , t'áadoo hadzoodzíi' da .
40:27:013:0	Nít'éé' Páílat áháłní , Daa shį́į́ néelą́ą́' yee nik'i dahodii'aahígíísh doo dints'a' da ?
40:27:004:1	Jesus hodi'yoolyéełjį' há nihoot'ą́
40:27:014:0	Nidi t'áadoo bich'į' hanáádzoodzíi' da , bee hak'i hodiit'aahii t'ááłá'í nidi t'áadoo baa nídzíst'įįd da , áko éidíígíí bik'ee naat'áanii t'áá íiyisí t'óó bił ahayóí .
40:27:015:0	Hodílzingo áłah ná'ádleeh góne' naat'áanii éí diné áłah nádleehígíí awáalyaaí t'ááłá'ígo t'áá deinízinígíí yá ch'ééyiiłt'e' łeh .
40:27:016:0	Íídą́ą́' diné léi' Barábas wolyéego , t'áá íiyisí béého'dílzinii awáalyaaí nilį́ .
40:27:017:0	Áko áłah dzizlį́į'go Páílat áhodííniid , Háishą' nihá béédíshchííd , Barábas daats'í , éí doodaii' Jesus éí Christ wolyéhígíí daats'í ?
40:27:018:0	Háálá ooch'į́į́d biniinaa Jesus haa deideez'ą́ągo hoł bééhózin .
40:27:019:0	Áádóó bikáá'dóó ánihwiit'aahii bikáá'dóó dah dzizdáago , hwe'asdzą́ą́ haa níł'a'go ání , Eii diné t'áá ákogi át'éii ts'ídá t'áadoo baa nánít'íní , háálá abínídą́ą́' biidiiyeelgo yéego bik'ee ti'hwiisénii' .
40:27:020:0	Áádóó aláahgo nááda'iiłniihii índa diné yá aląąjį' naazíinii diné áłah nilínígíí yídeinił kadgo , Barábas dayídóohkił , áádóó Jesus éí diyoolyééł dadidoohniił , deidííniid .
40:27:021:0	Nidi naat'áanii hanáánáádzíi'go áhodííniid , Diné naakiígíí háidíígíishą' nihá béédíshchííd ? Nít'éé' , Barábas lą́ą , dadííniid .
40:27:022:0	Páílat ánááhodoo'niid , Ákoshą' Jesus éí Christ wolyéhígíí haa deeshłííł ? Áko t'áá ałtso ádadííniid , Bíni'dii tsin ałnáoszid bikáa'jį' bił e'elkaałgo daatsxaah .
40:27:023:0	Áko ábizhdííniid , Ha'át'éegoshą' ? Ha'át'íí doo aaníí shį́įshą' yaa naayá ? Nidi t'ah yówehígo hanáádadeeshghaazhgo ádaaní , Bíni'dii tsin ałnáoszid bikáa'jį' bił e'elkaałgo daatsxaah !
40:27:024:0	Áko Páílat t'áadoo biniyéhígóó ájít'į́įgo , nidi t'óó hahodidlaadgo jiiłtsą́ągo , tó nízhdiiką́ áádóó kójíníigo áłah ílínígíí binááł hála' táádzízgiz , Díí diné ts'ídá t'áá ákogi át'éii bidił doo bá naashtłizh da ; t'áá nihí bá nanohdeeh doo .
40:27:025:0	Áádóó diné t'áá ałtso hadaasdzíi'go ádadííniid , Nihí lá bidił bá naniideeh ni , niha'áłchíní t'áá bił .
40:27:005:1	Jesus éí siláo há nidahast'i'
40:27:026:0	Áko Barábas bá ch'éézhníłt'e' , nidi Jesus éí hazaad k'ehgo nibí'íltsxasgo tsin ałnáoszid bikáa'jį' bił i'doolkał biniyé baazhdiní'ą́ .
40:27:027:0	Ákohgo naat'áanii bikin góne' Jesus yah adeizlóozgo naat'áanii bisiláo t'áá yinélee haa áłah ádayiilaa .
40:27:028:0	Áko ha'éé' haa deidiinilgo éénééz tsídídééh nahalingo łichíí' léi' yiih dahastį́ ,
40:27:029:0	áádóó ch'il hooshahii nídeiniisxodgo ch'ah ádayiilaago hak'i deideez'ą́ , índa lók'aatsoh nish'náájí hálák'ee deiztą́ . Áádóó hadááhdę́ę́' nitséédadigohgo kódaaníigo há nidahałt'i' , Yá'át'éhéii , Jew dine'é Aláahgo biNanit'a'í nílíinii !
40:27:030:0	Áádóó hak'ídahidizheeh , áádóó éí lók'aatsoh yee hatsiits'iin nínádeidiiłhał .
40:27:006:1	Tsin ałnáoszid bikáa'jį' Jesus hoł o'oolkaal
40:27:031:0	Índa há nidahast'i'dóó bik'ijį' éí éénééz haa nídeidiiłtsoozgo , t'áá hó ha'éé' yee háádahodiidlaa , áádóó tsin ałnáoszid bikáa'jį' hoł ada'doołkał biniyé dah dahodiilóóz .
40:27:032:0	Áko ch'ínínáago , Sairíinii hoolyéédę́ę́' diné léi' Sáíman wolyéego yik'ékai ; éí Jesus bá tsin ałnáoszid yootį́įł doo biniyé áajį' adeineeshchxą́ą́' .
40:27:033:0	Áko Gálgatha hoolyéegi yíkaigo éí tsiits'in si'ání jiníigo óolyé ,
40:27:034:0	wáin atł'izh nahalingo dích'íi'ii bił ałtahgo jidoodlį́į́ł biniyé haa deizką́ , áko dzizlįhgo , t'áadoo joodlą́ą' da .
40:27:035:0	Áádóó tsin ałnáoszid bikáa'jį' hoł ada'askaalgo , ha'éé' biniyé yáá'iilt'e' yaa naaskaigo ałtaadeis'nii' . [ Diyin God yá halne'ii kóníigo , Shi'éé' ałtaadeis'nii' , índa shi'é'ígíí yiniyé yáá'iilt'e' yaa naaskai , nínígíí bohodoolnííł biniyé ákódzaa . ]
40:27:036:0	Áádóó t'áá ákǫ́ǫ́ naháaztą́ągo haa ádahalyą́ .
40:27:037:0	Yee hak'i dahodii'ánígíí éí bee ak'e'ashchį́įgo hak'igi dah deiztą́ kóníigo , Díí Jesus , Jew dine'é Aláahgo biNanit'a'í nilį́ .
40:27:038:0	Áádóó ani'įįhii nidilt'éego ałdó' t'áá ał'ąą tsin ałnáoszid bikáa'jį' bił ada'askaal , ła' éí honish'náájí dah hidiilt'e' , ła' éí honishtł'ají .
40:27:039:0	Áko hwíighah dahidikáhígíí há nidahałt'i'go bitsiits'iin deiłne'go
40:27:040:0	ádaaní , Kin bii' sohodizin tídeeshłííł áádóó táá' yiską́ąjį' áńdeeshdlííł , dííníniid ni' , haa'íshą' yisdá'ádílteeh ! Diyin God biYe' nílį́įgo , tsin ałnáoszid bąąhdę́ę́' hadááńdááh .
40:27:041:0	T'áá ákót'éego ałdó' aláahgo nááda'iiłniihii áádóó bee haz'áanii yínda'niłtinii índa diné yá aląąjį' naazíinii há nidahałt'i'go ádadííniid ,
40:27:042:0	Náánáła' yisdáńdziiznil nidi , t'áá hó t'éí doo yisdá'ázhdóltééł át'ée da . Jó , Ízrel Aláahgo biNanit'a'í jílį́įgo háni'dii k'ad tsin ałnáoszid bąąhdę́ę́' hadajighááh , áko índa dahwiidiidląąłgo haa dadzííníidlíi doo .
40:27:043:0	Diyin God beijólí ; t'áá aaníí honízin ládą́ą́' háni'dii k'ad yisdáháłteeh , háálá , Diyin God biYe' nishłį́ , jiní .
40:27:007:1	Jesus dadziztsą́
40:27:044:0	Ani'įįhii tsin ałnáoszid bąąhjį' hoł , bił ada'askaalígíí ałdó' t'áá ákót'éego hóó'įįd .
40:27:045:0	Nít'éé' ałní'ní'ą́ą́dóó táadi ahéé'ílkidjį' t'áá át'éé nít'éé' chahóółhéél .
40:27:046:0	Áko tá'ígi daats'í oolkiłgo Jesus yéego hadoolghaazhgo ání , Éílii , Éílii lama sabákthanii ? éí , ShiDiyin God , shiDiyin God , ha'át'éegoshą' yóó'ashidííní'ą́ ? jiníigo óolyé .
40:27:047:0	Áko ła' ákǫ́ǫ́ naazínígíí éí deidiizts'ą́ą'go , Díí diné Iiláíjah yíká ání , dadííniid .
40:27:048:0	T'áá áko ła' dah diilwodgo , tó náyiits'ǫsígíí ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí yínéíz'ą́ , áádóó lók'aatsoh bílátahgi dah yiz'ą́ągo bąąh jidoots'ǫs biniyé haa yí'níłtsih .
40:27:049:0	Áádóó ła'ígíí ádadííniid , Átsé , t'áadoo baa nídaaht'íní ! Haa'íshą' , Iiláíjah daats'í haa doogáałgo yisdáhodoołtééł dadíníil'įįł .
40:27:050:0	Áádóó Jesus yéego hanáázhdoolghaazhgo hwii' sizíinii ninázhdiní'ą́ .
40:27:051:0	Nít'éé' jó'akon , kin bii' sohodizin biyi' góne' ach'ą́ą́h naníbaal wódahdę́ę́' yaago ats'áádláád , áádóó ni' hidees'náa'go , tsé éí daazdlad ,
40:27:052:0	índa dajishcháá' ąą ádaadzaago , lą'í Diyin God bidiyį́į́' daneeznánígíí náádabi'diyiiljéé' ,
40:27:053:0	áádóó Jesus daaztsą́ą́dę́ę́' náádiidzáádóó bik'ijį' éí dajishcháá'dę́ę́' ch'ééjiiskaigo diyingo kin haal'áá góne' aheeskai , áko lą'í yich'į' ída'diilyaa .
40:27:054:0	Ákohgo siláo neeznádiingo binanit'a'í índa Jesus yaa ádahalyą́ągo yił naazíinii ni' hidees'náá' áádóó ádahóót'įįdígíí dayiiłtsą́ągo , kódaaníigo t'áá íiyisí nídaasdzííd , Díí t'áá aaníí Diyin God biYe' nilį́į́ nít'éé' lá !
40:27:055:0	Ákwe'é ałdó' asdzání lą'í nízaadę́ę́' dadéez'į́į'go naazį́ , éí Gáliliidę́ę́' Jesus yá nidaal'a'go yikéé' yíkai ;
40:27:008:1	Jesus yóó'áho'diilyaa
40:27:056:0	Mary Mágdaliin áádóó Mary , éí James áádóó Jóseph bimá , índa Zébedii biye'ké bimá ákwe'é atah naazį́ .
40:27:057:0	Áko Arimathíya hoolyéédę́ę́' diné at'íinii léi' Jóseph wolyéego , éí ałdó' Jesus yíhooł'aahii nilį́įgo , hííłch'į'go níyá .
40:27:058:0	Éí Páílat baazhníyáago Jesus bits'íís yę́ę bíjííkeed . Áko Páílat éí ats'íís haa nídooltéełgo yee haadzíí' .
40:27:059:0	Áko Jóseph éí ats'íís haa náltį́įgo , áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii chin bąąh ádinii bił dzizdis ,
40:27:060:0	áádóó t'áá ániidígo tséní'ootséél , t'áá hó ádá hasht'ehojiilaaí góne' nizhníłtį́ , áko tsé ayóó áníłtso léi' bidáázhdiníłmááz áádóó dashdiiyá .
40:27:009:1	Siláo éí tséní'ootséelgi jishcháá' yaa ádahalyą́
40:27:061:0	Áko Mary Mágdaliin índa Mary ła'ígíí ałdó' éí tséní'ootsélígíí binaashiidę́ę́' siké .
40:27:062:0	Hasht'ehodi'nééh biiskání , aláahgo nááda'iiłniihii índa Férisii danilíinii Páílat yaa áłah silį́į́' ,
40:27:063:0	kódaaníigo , Nihinanit'a'í nílíinii , éí anó'áahii t'ah hiná yę́ędą́ą́' , Táá' yiską́ągo náádideeshdááł , dííniidii béédeiilniih .
40:27:064:0	Éí bąą táá' yiską́ąjį' tséní'ootséél yéego baa áháyą́ą doogo bee nihoní'aah , éí doodago bídahooł'aahii [ tł'ée'go] baa dookahgo nídabidínóo'į́įłgo yóó'adabidoołtééł , áko diné ádeididooniił , Dadziztsą́ą́dę́ę́' náázdiidzá , áko akée'di wooch'íid dooleełígíí átséhígíí biláahgo t'óó tsé'édinda ádoonííł .
40:27:065:0	Áko Páílat áhodííniid , Nihílááh , jishcháá' yaa ádahalyą́ą dooleeł biniyé siláo ła' nidanohnííł , áko yéego baa áháyą́ągo ádaahłééh .
40:27:066:0	Áko dashdiikai , áádóó tséní'ootséelgi tsé dáádeelmáazgo t'ááłáhígi hashtł'ish nidadziztłéé' áádóó bik'i nidadziz'ą́ . Áádóó siláo nidadziznilígíí ádabizhdííniid , Yéego baa ádahołyą́ .
