46:10:001:1	Eda'alyaii bich'į nahadlá bits'ánóhjeeh
46:10:011:0	Jó, díidíígíí t'áá ałtso diné náádaała' bida'ílnííh biniyé ádabi'dool'įįd, áádóó nihí bee nidanihidi'nitin biniyé bee ak'eda'ashchį́, háálá nihí díí hoolzhishígíí k'adę́ę bił niit'éehii daniidlį́. 
46:10:012:0	Éí bąą bíni'dii t'áá háiida oodlą́ bee sézį́ jiniizį́'ígíí ádaa áhojilyą́ą doo, áko doo t'ą́ą́' anízhdootłish da. 
46:10:013:0	Bee na'íhonitaah diné t'áá ałtso bich'į' ááníiłii t'éiyá bee naníhodi'nitaah, nidi Diyin God éí ba'ahódlí, áko éí bídanooł'áanii biláahdi nanihíhodínóotahgi doo yee has'ą́ą da, nidi na'íhonitaah t'áá bił ch'íhonít'i'go nihá íidoolííł, áko bídanooł'ą́ą doo. 
46:10:014:0	Éí bąą, ayóó'ánihósh'níinii, eda'alyaii bich'į' nahadlá bits'ánóhjeeh. 
46:10:015:0	Diné dahóyáanii bich'į' yáti'ígi át'éego nihich'į' yáshti'; beinísht'ínígíí baa nitsídaahkees. 
46:10:016:0	Díí doodlį́įłii bee ak'ihojidlíii Diyin God bich'į' baa ahééh daniidzinii, da' éísh doo Christ bidił ałts'ą́ą́' da'niilk'iizgo bee łá'í daniidlį́į da? Bááh nidahiitíhígíí, da' éísh doo Christ bits'íís ałts'ą́ą́' da'niilk'iizgo bee łá'í daniidlį́į da? 
46:10:017:0	Jó, bááh t'ááłá'í si'ánígíigi át'éego nihí t'óó ahonii'yói nidi, Christ bee ats'íís t'ááłá'íígíí daniidlį́, háálá t'áá áníiltso éí bááh t'ááłá'íígíí ałts'ą́ą́' da'niilk'iizgo nídeiidį́į́h. 
46:10:018:0	Ízrel dine'é baa nijikaígíí baa nitsídaahkees; jó, éí náádahaniihii dajiyánígíí bikáá'dóó náá'iiniihgi nahadláhígíísh doo ałts'ą́ą́' da'jíłk'iiz da? 
46:10:019:0	Ákoshą' ha'át'íí ááhdishní? Da' eda'alyaiísh diyin ádaat'é? Da' bich'į' náádahaniihiísh t'áá yą́ą́h nilį́? 
46:10:020:0	Dooda lą́ą! Díí ááhdishní, Diyin God doo dayoodláanii náádayiiłniihígíí éí níłch'i bida'iiníziinii yich'į' náádayiiłniih, Diyin God bich'į' éí dooda. Áko níłch'i bida'iiníziinii t'áadoo bił ahił danohdlíní doo, nihósh'ní. 
46:10:021:0	Bóhólníihii bibee adlání bee da'ohdlą́ągo níłch'i bida'iiníziinii bibee adlání doo bee da'oohdlą́ą́' át'ée da. Bóhólníihii bidiyingo adą́ daahsą́ągo níłch'i bida'iiníziinii bibikáá'adání bikáa'gi doo da'oohsą́ą́' át'ée da. 
46:10:002:1	Diyin God bee baa ha'niih doo biniyé t'áá ałtsoní baa nidaahkai
46:10:022:0	Da' ákoósh Bóhólníihii oołch'į́įdgo ííníilzin? Da' bíísh biláahgo nihidziil? 
46:10:023:0	T'áá ałtsoní bee shá haz'ą́ą nidi doo t'áá ałtsoní shá yá'át'éeh da. T'áá ałtsoní bee shá haz'ą́ą nidi doo t'áá ałtsoní anooséełgo bidziilgo é'éléeh da. 
46:10:024:0	Diné ła'da t'áá hó há yá'át'éehii t'éiyá t'áadoo ádá baa nitsídzíkeesí doo, nidi náánáła' bá yá'át'ééh dooleełígíí baa nitsídzíkees doo. 
46:10:025:0	T'áá ha'át'íhída atsį' bá hooghandóó nidahaniihígíí daahsą́. Doo nihida'diił'áa da dooleeł biniyé t'áadoo nida'ídółkidí. 
46:10:026:0	Háálá nahasdzáán éí Bóhólníihii bí, áádóó yee hadít'éii ałdó' t'áá ałtso bí. 
46:10:027:0	Doo oodlání ła' áda'azįįdjį' hágo nihiłníigo, ákǫ́ǫ́ diikah danoozį́į'go nihiyaa ni'iizką́ągo dadoohsį́į́ł. Doo nihida'diił'áa da dooleeł biniyé t'áadoo nida'ídółkidí. 
46:10:028:0	Nidi diné ła' ánihiłníigo, Díí e'elyaii bich'į' nááhaaznii'ii át'é, éí ákózhdííniidígíí haniinaa, índa doo ho'diił'áa da dooleełígíí biniyé daohsą́ą́' lágo, [háálá nahasdzáán éí Bóhólníihii bí, áádóó yee hadít'éii ałdó' t'áá ałtso bí]. 
46:10:029:0	Jó, ánihidishní, Ni t'áá ákót'é nínízin nidi doo ákót'ée da jinízinígíí biniinaa doo dííyį́įł da. Ła'da daats'í ádidooniił, T'áá shił ákogo ha'át'éegoshą' diné náánáła' bi'diił'áhígíí nashiníłtł'ago bee shaa hwiinít'į́į doo? 
46:10:030:0	Diyin God shaa joozba'go bich'į' ahééh nisingo ashą́ągo, ha'át'éegoshą' baa ahééh niizį́į'go yisháanii biniinaa nichǫ́'ógo shá ha'doodzih? 
46:10:031:0	Da'ohsą́ągo, da'ohdlą́ągo, ha'át'íhída baa nidaahkaigo, éí t'áá ałtso Diyin God bee haa ha'niih doo biniyé baa nidaahkai. 
46:10:032:0	Jew dine'é danilíinii, doodaii' doo Jew dine'é danilíinii, doodaii' Diyin God dayoodláanii áłah nídaadleehígíí t'áadoo danółtł'aaí. 
46:10:033:0	T'áá ałtsojį' diné t'áá ałtso bił dahonishónígi át'éii t'éí baa nidaahkai. Doo t'áá shí shá yá'át'éehii t'éiyá ádá baa nitséskees da, nidi diné lą'í bá yá'át'éehii bá baa nitséskeesgo, yisdáhidookah biniyé ásht'į́.
