41:13:001:1	Pen . xiij .
41:13:011:0	Eithyr pan vont ich arwein ac ich ethrod , na rag ovelwch , ac na rac vefyriwch pa beth a ddywetoch : eithyr pa beth pynac a rodder y chwy yn y pryd hwnw , hynny ymadroddwch : can ys nyd chwi ys y yn ymadrodd , anyd yr Yspryt glan .
41:13:012:0	Ac e ddyry y brawd y brawd i varwoleth , a’r tad y map , a’r plant a gyvodant yn erbyn y rhieni , ac ei marwolaethant wy .
41:13:013:0	A’ dygasoc vyðwch gan bawp er mwyn vy Enw i : and pwy pynac a baraho yd y dyweð , efe vyð catwedic .
41:13:014:0	Hefyd pan weloch y ffiaið ðiffeithwch ) ry ðywetpwyt o hanaw gan Ddaniel y Prophwyt ) yn bot lle ny ddyly , ( a’i darllen , dyalled ) yno yr ei a vontyn Iudaia , ciliant i’r mynyðedd .
41:13:015:0	A hwn a vo ar ben y tuy : naddescendet i’r tuy , ac nag aed ymewn y gyrchy dim allan o ei duy .
41:13:016:0	A’ hwn a vo yn y maes , na ddadymchweled tra i gefyn at y pethae a adawoð ar i ol , y gym’ryd ei ddillat .
41:13:017:0	Yno gwae ’r ei beichiogion , ar ei vont yn rhoi bronae yn y dyddiae hynny .
41:13:018:0	Gweddwch gan hyny na bo eich cilio yn y gayaf .
41:13:019:0	Can ys byð yn y dyðiae hyyn gyfryvv ’orthrymder ac na bu o ddechrae ’r creadurieth a greawdd Duw yd y pryd hyn , ac ny bydd .
41:13:020:0	Ac o ddyeithr vesei i Dduw vyrhay ’r dyðiae hyny , ny chadwesit vn cnawd : and er mwyn yr etholedigion yr ei a ddetholes ef , ’ , y byrhaodd ef y dyddiae hyny .
41:13:021:0	Ac yno a’s dywait nep y chwi , Nycha ll’yma Christ , ai , nycha , ll’yna ef , na chredwch ,
41:13:022:0	Can ys cyfyd gau‐Gristiae , a’ gau Brophwyti , ac a wnant arwyðion ac aruthroeð i hudaw , pe bei possibil , y gwir etholedigion .
41:13:023:0	A’ mogelwch chwitheu : wele , ys racðywedais y chwy bop peth oll ,
41:13:024:0	A’ hefyt yn y dyðiae hyny , gwedy’r gorthrymder hwnw y tywylla yr haul , a’r lloer ny rydd hi llewych ,
41:13:025:0	a’ ser y nef a syrthiaut : a’r nerthoedd ’sydd yn y nefoedd a yscytwir .
41:13:026:0	Ac yno y gwelant Vap y dyn yn dyvot yn yr wybrēnæ , y gyd a nerth lliosawc a’ gogoniant .
41:13:027:0	Ac yno yd enfyn ef ei Angelion , ac y cascla ef ei etholedigion y wrth petwar gwynt , ac o eithavoedd y ðaiar yd eithavoedd y nef , dyscwch barabol y gan y fficuspren .
41:13:028:0	Tra vo ei gangen eto yn dyner , ac e yn bagluraw dail , ys gwyddoch vot yr haf yn agos .
41:13:029:0	Ac velly chwitheu , pan weloch y pethae hyn wedy dyvot gwybyddwch pan yw bot teyrnas Duw yn agos , sef wrth y drws .
41:13:030:0	Yn wir y dywedaf y chwi , nad a a’r oes hon heibio , yd pā wneler y pethæ hyn oll .
41:13:031:0	Nef a’ daiar aant heibio , eithr vy‐gairiae i nid ant heibio .
41:13:032:0	Ac am y dydd hwnw a’r awr ny’sgwyr vn dyn , na’r Angelion chwaith yr ei ’sy yn y nef , na’r Map yntef , namyn y Tat yn vnic .
41:13:033:0	Ymogelwch : gwiliwch a’ gweddiwch : can na wyddoch pa bryd yw’r amser .
41:13:034:0	Can ys Map y dyn ys y val dyn yn ymddaith i wlad bell , ac yn gadael ei duy , ac yn rhoi awdurdot y’w weision , ac i bob vn ei waith , ac yn gorchymyn ir porthor wiliaw .
41:13:035:0	Gwiliwch am hyny , ( can na wyddoch pa bryd y daw Arglwydd y tuy , gan hwyr , ai am haner nos , ar ganiat y ceilioc , ai’r borae ddydd )
41:13:036:0	rac pan ðel ef yn ddysumwth , iddo ych cael yn cuscy .
41:13:037:0	A’r hyn pethe a ddywedaf wrthyh‐wi , a ddywedaf wrth bawp , Gwiliwch .
