41:15:001:1	Pen . xv .
41:15:016:0	Yno ’r milwyr y ducesont ef ir llys , ys ef yw , y dadleuduy , ac ’alwesont yn‐cyt yr oll gaterva ,
41:15:017:0	ac y gwiscesant ef a phorphor , ac a blethesant coron o ddrain , ac hei dodesont am ei benn ,
41:15:018:0	ac a ddechreusant gyfarch‐gwell ydd‐aw , can ddywedyt , Hanpych‐well Vrenhin yr Iuddaeon .
41:15:019:0	Ac wy ei trawsant ar ei ben a chorsen , ac a boeresont arnaw , ac a blygesont ei glinie , ac ei addolesant .
41:15:020:0	A’ gwedy yddwynt ei watwor ef , wy a ddioscesont y porphor y amdanaw , ac ei gwiscesont ef oei ddillat ehun , ac ei arwenesont allan y’w groci .
41:15:021:0	Ac wy a gympellesont vn oedd yn mynet heibio , a elvvit Simon o Cyren , ( yr hwn a ddeuthei o’r ’wlat , ac ytoeð tad Alexander a’ Rufus ) y ddwyn y groc ef .
41:15:022:0	Ac wy ei ducesont y le a elwir Golgotha , yr hwn yw oei ddeongl , y benglocva .
41:15:023:0	Ac wy a roesout yddaw y yuet win myrhllyt : anid ny chymerawdd ef ddim hanaw .
41:15:024:0	Ac wedy yddynt y groci ef , wy a rannesont ei ddillat , gan vwrw coelbrenni am danwynt , pa gaffei pop vn .
41:15:025:0	A’r drydedd awr yd oedd hi , pan grogesont ef .
41:15:026:0	Ac yscrifen y achos ef a escrifenit uch pen , ys ef BRENHIN YR IVDAEON .
41:15:027:0	Ac wy a grocesant ddau leitr gyd ac ef , vn ar y llaw ddeheu , a’r‐all ar ei law asw :
41:15:028:0	Ac val hyn y cyflawnwyt yr Scrythur , yr hon a ðyweit . Ac cyd ar ei enwir y cyfrifwyt ef .
41:15:029:0	A’r ei oedd yn myned heibiaw , y ceplynt ef , can yscytwyt ei pennae , a’ dywedyt , Och , tydi yr hwn a ddinistryt y Templ , ac ei adailyt mewn tri‐die ,
41:15:030:0	ymwared dyhun , a’ descen o groc .
41:15:031:0	A’r vn ffynyt y gwatworoð ys yr Archoffeiriat , gan ðywedyt , yn y plith ehunain y gyd a’r Gwyr-llē , Ereill a waredawdd ef , ehun ny ddychon e ymwared .
41:15:032:0	Descenet yr awrhon Christ Vrenhin yr Israel y lawer o’r groc , val y gwelom , a’ chredy . A’r ei a grocesit gyd ac ef , a liwient yddaw .
41:15:033:0	A gwedy dyvot y chwechet awr , e gyfodes tywyllwch dros yr oll ddaiar yd y nawvet awr .
41:15:034:0	Ac ar y nawvet awr y dolefawdd yr Iesu a llef vchel , can ddywedyt , Eloi , Eloi , lamma sabachthani ? yr hyn yw o ei gyfiaithy ? Vy‐Duw , vy‐Duw , paam im gwrthddodeist ?
41:15:035:0	A’r ei oedd yn sefyll yno pan gwlywson hynny , a ddywedesont . Nycha , y mae ef yn galw Elias .
41:15:036:0	Ac vn a redawdd , ac ac yspong yn llawn o vinegr , ac ei dodes ar gorsen , ac ei rhoes yddaw i yfet , can ddywedyt . Gadwch iddaw : gwelwn a ddaw Elias yw dynnu ef y lawr .
41:15:037:0	A’r Iesu a lefawdd a llef vchel , ac a ellyngawdd yr yspryt .
41:15:038:0	A’ llenn y Templ a rwygwyt yn ddwy , o dduchot y ddisot .
41:15:039:0	A’ phan weles y Cannwriat yr hwn oedd yn sefyll gyferbyn ac ef , lefain o honaw velly a’ gellwng yr yspryt , ef a ddyvot , Yn wir map Duw ytoedd y dyn hwn .
41:15:040:0	Ac ydd oedd gwraged yn tremio o hirbell , ym‐plith yr ei’n ydd oedd Mair Magdalen , a’ Mair ( mam Iaco vachan ac Iose ) a’ Salome ,
41:15:041:0	a’r ei’n pan oedd ef yn Galilea , y dylynent ef ac a wasanathent yddaw , a’ llawer o wragedd eraill yr ei a ddaethent i vyny gyd ac ef i Gaerusalem .
41:15:042:0	A’ phan ytoedd hi yn hwyr ( can y bot hi yn ddydd darpar , ys ef yw o vlaen y Sabbath )
41:15:043:0	yno Ioseph o Arimathaia cygcorwr gwiw , yr hwn oedd hefyt yntef ynedrych am deyrnas Duw , a ðeuth ac aeth y mewn yn hyderus at Pilatus , ac a archawdd gorph yr Iesu .
41:15:044:0	A’ rhyveddy a wnaeth Pilatus , a vesei e varw eisius , ac a alwodd ataw y Cannwriad ac a ’ovynawdd iddaw a oedd ne‐mawr er pan vesei ef varw .
41:15:045:0	A’ phan wybu e’r gvvir , can y Cannwriat e roddes y corph i Ioseph ,
41:15:046:0	yr hwn a brynawð liain , ac ei tynnawdd ef i lawr , ac ei amwiscawdd yn y lliain , ac ei dodes ef mewn monwent a na ddesit o graic , ac a dreiglawdd vaen ar ddrws y vonwent :
41:15:047:0	A’ Mair Vagdalen , a’ Mair mam Iose oeddent yn edrych p’le y dodit ef .
