41:9:001:1	Pen . ix .
41:9:018:0	yr hwn p’le pynac y cymer ef , a ei dryllia , ac y bwrw‐yntef-ewyn ac ydd yscyrnyga ei ddanedd , ac y dihoena : a’ dywedais wrth dy ddiscipulon am y vwrw ef y maes , ac ny allasant .
41:9:019:0	Yno ydd atepodd ef iddo , ac y dyvot , A genedlaeth anffyddlon , pa hyd weithian y byddaf gyd a chwi ? pa hyd weithian ich dyoddesaf ? Dugwch ef ata vi .
41:9:020:0	Yno y ducesont ef attaw : ac yn gymmedr ac y canvu yr yspryt ef , ey drylliawdd , ac ef a gwympodd yr llavvr ar y ddaiar , gan ymcreinio , a’ maly‐ewyn .
41:9:021:0	A’ govyn a oruc ef y’w dat , Beth ’sy o amser er pan ddarvu iddo val hyn ? Ac ef a ddyuot , Er yn vap .
41:9:022:0	A’ mynech y tavl ef yn tan , ac i’r dwfr yw gyfergolli ef : eithyr a’s gelly di ddim , cymporth ni , a thosturia wrthym .
41:9:023:0	A’r Iesu a ddyvot wrthaw , A’s gelly di gredy hyn , pop peth sy possibil i hvvn a gredo .
41:9:024:0	Ac yn ddiohir tad y bachcen gan lefain gyd a deigrae , a ddyuot , Arglwydd , Credaf : cymmorth vy ancrediniaeth .
41:9:025:0	Pan welawdd yr Iesu vot y popul yn dyvot‐atavv‐ar ei rhedec , ef a geryddawdd yr yspryt aflan , gan ðywedyt wrthaw , Tydi yspryt mut a’ byddar , mi a ’orchymynaf yty , dyred allan o hanaw , ac na ddos mwyach yndaw ef .
41:9:026:0	Yno llefain o’r yspryt , ac y drylliodd ef yn dost , ac a ddaeth allan , ac ydd oedd ef val vn marw , y’ny ðywedei lhawer , y varw ef .
41:9:027:0	A’r Iesu a gymerth ei law ef , ac ei derchafawdd , ac ef a gyfodes y vynydd .
41:9:028:0	A’ gwedy y ddyuot ef ir tuy , ei ddiscipulon a ’ovynent iddo yn ddirgel , Paam na’s gallem ni y vwrw ef allan ?
41:9:029:0	Ac ef a ðyvot wrthynt , Y rhyw hwn nyd all mewn vn modd ddyvot allan , anyd gan ’weddi , ac vmpryd .
41:9:030:0	Ac wy a ymadawsan o ddyno , ac aethant trwy Galilaea , ac nyd ’wyllesei gael o nep wybot .
41:9:031:0	Can ys dyscawdd ef ei ddiscipulon , a dywedawdd wrthynt , Map y dyn a roddir yn‐dwylo dynion , ac wy y lladant ef , a’ gwedy y lladder , ef gyvyd tragefyn y trydydd dydd .
41:9:032:0	Eithyr nyd oedden vvy yn deally yr ymadrodd hwnw , ac ofn oedd arnyn ymofyn ac ef .
41:9:033:0	Gwedy hyny y daeth ef i Capernaum : a’ phan oedd ef yn tuy , y govynnawdd yddynt , Pa beth oedd yr hyn a ymddadleuech yn eich plith eich hunain , rhyd y ffordd ?
41:9:034:0	Ac wy a dawson a son : can ys ar hyd y ffordd yr ymddadleynt aei gylydd , pwy’n vyddei bennaf .
41:9:035:0	Ac ef a eisteddawð , ac a alwodd y deuddec , ac a ddyvot wrthyn , A’s deisyf nep vot yn gyntaf , e gaiff vot yn ddywethaf oll , ac yn weinidoc i pawb oll .
41:9:036:0	Ac ef a gymerth vachcenyn ac ei gesodes yn y cyfrwng wy , ac ei cymerawdd yn ei vreichie , ac a ddyvot wrthwynt , Pwy pynac a dderbynio yr vn o gyfryw vechcynos yn vy Enw i , a’m derbyn i :
41:9:037:0	a’ phwy pynac a’m derbyn i , nyd myvi a dderbyn ef , anyd hwn a’m danvones i .
41:9:038:0	Yno ydd atepawdd Ioan iddo , gan dywddyt , Athro , ys gwelsam vn yn bwrw allan gythrelieit drwy dy Enw di , yr hwn nyd yw yn eyn dylyn ni , a’ goharddesam ef , can na ðylyn ef nyni .
41:9:039:0	A’r Iesu a ddyuot , Na ’oherddwch ef ddim : can nad oes nep a wna wrthiae gan vy Enw i , ac a aill yn hawdd ddywedyt drwc am danaf .
41:9:040:0	Can ys pwynac nyd yw yn eyn erbyn , ’sy trosom .
41:9:041:0	A’ phwy pynac a roddo i chwi gwppaneit o ddwfr y’w yfet er mvvyn vy Enw i , can y chwi vot yn perthyn i Christ , yn wir y dywedaf wrthych , ny chol’ ef ei vvobrvvy .
41:9:042:0	A’ phwy pynac a rwystro r’ vn o’r ei bychain hyn , a gredant yno vi , gwell oedd iðo yn hytrach pe gesodit maē melin y amgylch ei vwnwgl , a ei davly yn y mor .
41:9:043:0	Can hyny a’s dy law ath rwystra , tor y hi ymaith : gwell yw y‐ti vyned y mewn i’r bywyt , yn efrydd , nac yti a’ dwy law vyned iyffern i’r tan andiffoddadwy ,
41:9:044:0	lle ny bydd marw y pryf hwy , ac ny ddiffodd y tan byth .
41:9:045:0	Ac a’s dy droet ath rwystra , tor e ymaith : gwell yw yty vyned yn gloff i’r bywyt , nac ac yti ddau droet dy davly i yffern i’r tan andiffoðadwy ,
41:9:046:0	lle ny’s marw y pryf hwy , ac ny’s dyffydd y tan byth .
41:9:047:0	Ac a’s dy lygat ath rwystra , tynn ef allan : gwell yw i ti vyned i deyrnas Duw yn vnllygeidioc , nag a’ dau lygad genyt , dy davly i yffern dan ,
41:9:048:0	lle nyd marw y pryf wy , a’r tan ny ddiffyð byth .
41:9:049:0	Can ys pop dyn a helltir a than : a’ phop aberth a helltir a halen .
41:9:050:0	Da yw halen : and a’s bydd yr halen yn ddivlas , a’ pha beth y temperir ef ? Bid y chwi halen ynoch eich vnain , a’ bid tan gneddyf genwch bavvp wrth ei gylydd .
