41:7:001:1	Pen . vij .
41:7:026:0	( A’r wreic oedd Groec , a’ Sirophenissiat o genedl ) a’ hi ervyniawdd iddo vwrw allan y cythrael o hei merch .
41:7:027:0	A’r Iesu a ddyvot wrthei , Gad yn gyntaf borthi y plant : can nad da cymeryd bara ’r plāt a’ ei davly i’r cynavon .
41:7:028:0	Yno ydd atepodd hi ac y dyuot wrthaw , Diau , Arglwydd : eto eisioes e vwyta ’r cynavon y dan y vord o vriwson y plant .
41:7:029:0	Yno y dyuot ef wrthi , Am yr ymadrodd hwn dos ymaith : ef aeth y cythrael allan o’th verch .
41:7:030:0	A’ gwedy y dyuot hi adref y’w thuy , hi a gavas y cythrael gwedy ymadel , a’ ei merch yn gorwedd ar y gwely . Yr Euangel y xij . Sul gwedy Trintot .
41:7:031:0	Ac ef aeth drachefn ymaith o ffiniae Tyrus a’ Sidon , ac a ddaeth yd vor Galilea trwy perveð cyffiniae y Dectref .
41:7:032:0	Ac wy a dducesont attaw vn byddar ; ac ac attal dywedyt arnaw , ac a atolygesont iddaw ’osot ei law arno .
41:7:033:0	A’ gwedy iddaw ei gymeryt ef or neilltu allan o’r tyrfa , ef a estennawdd ey vyssedd yn ei glustiae , ac a boyrawdd , ac a gyfyrddawð a ei davot ef .
41:7:034:0	Ac ef a edrychawð ir nef , can vcheneidiaw , ac a ddyvot wrthaw , Ephphatha ys ef yw , ymagor .
41:7:035:0	Ac yn y man ydd ymagorawdd ey glustiae , ac ydd ymellyngawdd rhwym ei davot , ac ef a ddyvot yn eglur .
41:7:036:0	Ac ef a ’orchymynawdd yddwynt , na ddywedynt i nep : an’d pa vwyaf y goharddei yðwynt , mwy o lawer y manegynt ,
41:7:037:0	a’ brawychy eb weð a wnaethant , can ðoedyt Tec y gwnaeth ef pop peth : ir byddair y gwna ef glywet , ac ir mution ddywedyt .
