41:14:001:1	Pen . xiiij .
41:14:042:0	Cyfodwch : awn : wele , yr hwn a’m bradycha , ys id yn agos .
41:14:043:0	Ac yn y man ac ef yn ymddiddan , y dauei Iudas yr hwn oedd vn o’r dauddec , ac gyd ac ef dyrfa vawr a chleddyfae a’ phastynae oywrth yr Archoffeiriait y Gwyr‐llen , a’r Henurieit .
41:14:044:0	A’rhwn y bradychesei ef , a roddesei amnaid yddwynt , can ddywedyt , Pwy’n bynac a’ gusanwyf , hwnw yw : deliswch ef ac ewch ac ef ymaith yn ðirgel .
41:14:045:0	Ac wedy ei ddyvot ef , ef aeth ataw yn y van , ac a ddyvot vvrthavv , Rabbi , Rabbi , ac ei cusanawdd ef .
41:14:046:0	Ac wy a roesont ei dwylo arnaw , ac ei daliesont .
41:14:047:0	Ac vn o’r ei oedd yn sefyll yno , a dynnawð gleddyf , ac a drawodd ’was yr Archoffeiriat , ac a dorrawdd ei glust ymaith .
41:14:048:0	A’r Iesu atepawdd ac a ddyvot wrthwynt , Chwi ddaethoch allan megis at leitr , a chleðyfe ac a phastinae im dalha i .
41:14:049:0	Ydd oeddwn paunydd gyd a chwi yn traethy‐dysc yn y Templ , ac ny’m daliesoch : eithyr hynn ys ydd er cyflawny ’r Scrythurae .
41:14:050:0	Yno wy y gadawsant ef , ac a giliesont bawp .
41:14:051:0	Ac ydd oedd vn gwr ieuanc , wedyr wiscaw a lliain ar ei gorph noeth , yn ei gynlyn ef , a’r gwyr ieuainc y daliesant ef .
41:14:052:0	Ac ef a adawodd ei liainvvisc , ac a giliawdd y wrthwynt yn noeth .
41:14:053:0	Yno y ducesont yr Iesu at yr Archoffeiriat , ac ato ef y deuth yr oll Archoffeiriait , a’r Henurieit , a’r Gwyr-llen .
41:14:054:0	Ac Petr oedd yn y ddylyn ef o hir‐bell , yd y mewn llys yr Archoffeiriat , ac a eisteddawdd gyd a’r gwasanaethwyr , yn yndwymo wrth y tan .
41:14:055:0	A’r Archoffeirieit a’r oll Senedd oedd yn caisiaw testiolaeth yn erbyn yr Iesu , er i roi ef i varwolaeth , ac ny’s cawsant .
41:14:056:0	Can ys llawer a dducsont gau testiolaeth yn y erbyn ef , eythyr nyd oedd y testiolaethae wy yn gysson .
41:14:057:0	Yno y cyfodes ’r ei , ac a dducesont gau testiolaeth yn ei erbyn ef , can ðywedyt ,
41:14:058:0	Nyni y clywsam ef yn dywedyt , Mi a ðinistriaf y templ hon o waith llaw , ac o vewn tri‐die yr adailiaf arall , nid o waith llaw .
41:14:059:0	Ac eto nyd oedd y testiolaeth wy gyfun chvvaith .
41:14:060:0	Yno y cyfodes yr Archoffeiriat yn ei cenol wy , ac a ’ovynodd i’r Iesu , can ddywedyt , Anyd atepy di ddim ? paam y mae yr ei hynn yn testolaethy yn dy erbyn ?
41:14:061:0	Ac ef a dawodd , ac nyd atepawdd ddim . Trachefyn y gofynawdd yr Archoffeiriat yddaw , ac ydyvot wrthaw , Ai ti Christ Map y Bendicedic ?
41:14:062:0	A’r Iesu a ddyvot , Mivi yw ef , a’ chewch weled Map y dyn yn eistedd ar ddehau gallu Dyvv , ac yn dawot yn wybrennae’r nef .
41:14:063:0	Yno ’r Archoffeiriat a rwygawdd ei ddillat ac a ddyuot , Paam y rait y ni mwy wrth testiō ?
41:14:064:0	Clywsoch y cabledigaeth : peth a dybigw‐chwi ? Ac wynt oll a varnesont y vot ef yn euawc i angae .
41:14:065:0	A’r ei a ddechreuawdd poeri arnaw , a chuddiaw ei wynep , a’ ei ddyrnodiaw , a’ dywedyt wrthaw , Prophwyta . A’ ringilliait y trawsont ef a ei gwiail .
41:14:066:0	Ac val yr oedd Petr yn y nauadd isod , y deuth vn o vorynion yr Archoffeiriat .
41:14:067:0	A’ phan ganvu hi Petr yn ymdwymo , hi a edrychodd arnaw , ac a ddyvot , Tithe hefyt oeddyt gyd a Iesu o Nazaret .
41:14:068:0	Ac ef a wadawdd , gan ddywedyt , Nyd adwaen i ef , ac ny ’wn beth dwyt yn ei ddywedyt . Yno ydd aeth ef allan ir rhacnauadd , ac a ganawdd y celiawc .
41:14:069:0	Yno pan welawdd morwyn ef drachefyn , hi a ddechreuawdd ddywedyt wrth yr ei oedd yn sefyll yno , Hwn yw vn a hanwynt .
41:14:070:0	Ac ef a ymwadawdd dracyefyn : ac ychydic gwedy , yr ei oedd yn sefyll yno , a ðywedesont trachefyn wrth Petr , Yn wir ydd wyt vn o hanwynt : can ys Galileat wyt , a’th lediaith ys y gynhebic .
41:14:071:0	Ac yntef a ddechreawdd dynghedy , a’ thyngu , gan ddyvvedyt , Nyd adwaen i’r dyn yr ych yn ei ddywedyt .
41:14:072:0	A’r ailwaith y canodd y ceiliawc , ac y cofiawdd Petr y gair a ddywedesei’r Iesu wrthaw , Cyn canu o’r ceiliawc ddwywaith , im gwedy dair-gwaith , ac wrth adveddylied , ef a wylawdd .
