45:11:001:1	Diyin God éí Ízrel dine'é yaa jooba'
45:11:015:0	Háálá Jew dine'é éí Diyin God nahjį' kóhoolaago nihokáá' dine'éda yił k'é ná'ahidoo'niidgo Jew dine'é éí Diyin God yił k'é ná'ahididoo'niiłígíí dooládó' baa hózhǫ́ǫ da! Aninéédę́ę́' nídahii'na'ígíí dooleeł! 
45:11:016:0	Taos'nii' átsé bidoolts'i'ii dílzingo nááhaaznii'go taos'nii' t'áá si'ą́ą́ nít'éé' ałdó' dílzin doo, áádóó tsin bihétł'óól dílzingo bits'ádaoz'a' ałdó' dílzin doo. 
45:11:017:0	Áliv sikaadii bits'áoz'a' ła' nahgóó adahaasti'go, áko ni, doo Jew dine'é nílíinii, áliv sikaadii t'áá ádzaagóó haníísáanii bits'áoz'a' nílį́įgo, nahgóó aheesti'ii bitsásk'ehgi aghą́ą́h ní'dootsigo, áko áliv bihétł'óól t'áá íiyisí yee bidziilgo nooséełii bił ałts'ą́ą́' aníłk'iiz doo. 
45:11:018:0	Éí bąą ats'áoz'a' nahgóó aheesti'ii t'áadoo bilááh ánít'éego ádaa hó'niihí. Nidi ádaa hó'niih ládą́ą́' díí béénílniih, ni éí ats'áoz'a' nílį́. Ats'áoz'a' éí tsehétł'óól doo de áyósin da, nidi tsehétł'óól éí ats'ádaoz'a' de ádayósin. 
45:11:019:0	Ákondi ádidííniił, Aghą́ą́h shidi'dootsih biniyé ats'áoz'a' dajílíinii nahgóó adaho'diisti'. 
45:11:020:0	Éí t'áá aaníí. Jó, éí doo da'oodlą́ą́góó biniinaa nahgóó adabi'diisti', nidi ni éí ne'oodlą' bee doo nahgóó andi'dootih da. Áko t'áadoo ádaa hó'niihí, t'óó hodíínísin. 
45:11:021:0	Háálá Diyin God éí íiyisí ats'áoz'a' danilíinii t'áadoo ánéísįįd da, áko ni ałdó' doo ádaa áhólyą́ą́góó doo áandoosįįł da. 
45:11:022:0	Éí bąągo Diyin God be'ajooba', índa t'áá hashkée yee atí'éł'íinii baa ákoniizįįh. Jó, Jew dine'é dajílíinii doo da'joodlánígíí biniinaa t'áá hashkée atíháł'į́, nidi ni t'éí Diyin God bibee ajooba' yee naa jooba'ígíí baa ákoniizįįh. Áłahjį' baa dzíínílíigo hinínáago naa jooba' doo, éí doodago ni ałdó' t'óó nahjį' andi'dootih. 
45:11:023:0	Áádóó Jew dine'é danilíinii da'oosdląądgo aghą́ą́h nídabididootsihgo át'é, háálá Diyin God aghą́ą́h nídabididootsihgo yíneel'ą́. 
45:11:003:1	Diné t'áá ádzíłtso Diyin God haa a'ááh nízin
45:11:024:0	Áliv sikaadii t'áá bíni' haníísáanii bąąhdóó nani'dooti'go, Diyin God t'áadoo bá nantł'aaí áliv k'idoolyáii bighą́ą́h nánidi'dootsih, dooládó' Diyin God t'áadoo bá nantł'aaí Jew dine'é éí áliv k'idoolyáii bits'áoz'a' danilíinii yighą́ą́h nídeididootsih da lá. 
45:11:025:0	Shik'isóó, doo ádaa dajíínóhdlíi da doo biniyé díí doo bééhózin da yę́ę nihił béédahózin doo nihósh'ní. Jó, Ízrel dine'é ła' k'ad doo da'oodlą́ą́góó doo ádahodiilts'a' da daazlį́į́'. Nidi doo Ízrel dine'é danilíinii Diyin God bíká ádííniidígíí t'áá ałtso baa náhaaskaigo índa, Ízrel dine'é bił ch'éédadidoodlałgo át'é. 
45:11:026:0	Áadi índída Ízrel dine'é t'áá ałtso yisdádookah, t'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego:Yisdá'iiníiłii Záiyandę́ę́' doogááł,doo dahozdísin nít'éé' yę́ę Jéíkab bits'ą́ą́dóó da'ahílchíihii yits'éidoonił.  
45:11:027:0	Áko bibąąhági ádaat'éii bits'áhidí'ą́ągo índa bidziilgo bił ahadadi'deesht'ááł. 
45:11:028:0	Jew dine'é éí hane' yá'át'éehii doo deiniizį́į́'góó bąą Diyin God yi'ana'í daazlį́į'go nihíjígo nihá yá'íít'ééh. Nidi ałk'idą́ą́' Jew dine'é dabizhé'é yę́ę Diyin God nábiizlá'ígíí binahjį' t'ah nidi Jew dine'é ayóó'áyó'ní. 
45:11:029:0	Háálá Diyin God diyingo ainíláii áádóó áká ádííniidgo ts'ídá doo łahgo ánáyódle' át'ée da. 
45:11:030:0	Nihí, doo Jew dine'é danohłíinii, Diyin God doo deinohdlą́ą da nít'éé', nidi Jew dine'é éí Diyin God doo dayoodlą́ą da daazlį́'ígíí biniinaa k'ad nihí Diyin God nihaa a'ááh niizį́į́'. 
45:11:031:0	T'áá ákót'éego Jew dine'é k'ad Diyin God doo dayoosdląądígíí bąą Diyin God nihaa a'ááh niizį́į'go binahjį' bí ałdó' Diyin God baa a'ááh dínóozįįł. 
45:11:032:0	Háálá Diyin God éí diné t'áá ałtso yaa a'ááh dínóozįįł biniyé t'áá ádzíłtso doo oodlą́ yaa hodiní'ą́. 
45:11:033:0	Dooládó' Diyin God hóyą́ągo t'áá ałtsoní bił bééhózin da! Dooládó' yee nihwii'aahii doo bik'izh'dootą́ą́' át'ée da! Dooládó' bihonít'i'ii doo bééjółkaah át'ée da! 
45:11:034:0	Háishą' Bóhólníihii bintsíkees hoł bééhózin? Háishą' Bóhólníihii kót'éego yiłníí nít'éé'? 
45:11:035:0	Háishą' hach'į' ninádadoodleeł biniyé Bóhólníihii bazh'nílá? 
45:11:036:0	Háálá Bóhólníihii t'áá ałtsoní áyiilaa, t'áá ałtsoní nayiiłná, t'áá ałtsoní bee bóhólnííh. Hool'áágóó baa ha'niih doo. T'áá ákót'ée doo. 
