45:2:001:1	Diyin God ts'ídá t'áá ákogi át'éego ánihwii'aah
45:2:015:0	Áko éí bee haz'áanii áníinii dabijéí biyi'di bił ííshjání áyósin, háálá éí yik'ehgo ádaanííł. Ha'át'íhída ádajoolíłígíí yá'ádaat'éehgo, doodaii' doo yá'ádaat'ééhgóó hoł béédahózinígíí ałdó' éí bił ííshjání áyósin. Ałk'ídahojit'ááh, éí doodago t'óó ahida'jiilníihgo nitsídadzikees. 
45:2:002:1	Jew dine'é áádóó bee haz'áanii
45:2:016:0	Jó, hane' yá'át'éehii baa hashne'ii bik'ehgo ánihwiit'aah beiníłką́ądi hajéí biyi'di nidazhnił'inii Jesus Christ binahjį' Diyin God há nihodiyoo'ááł. 
45:2:017:0	Jó'akon, Jew dine'é nishłį́, diní, bee haz'áanii Mózes baa deet'áanii baa dzíínílíigo Diyin God bee ádaa hó'niih, 
45:2:018:0	áádóó Diyin God yee ná íinízinii nił bééhózin, índa bee haz'áanii bits'ą́ą́dóó nandi'neestą́ą'go yá'át'éehii nidííní'ą́; 
45:2:019:0	doo da'oo'íinii t'áá aaníí yish'ish índa chahałheeł yii' dayíkáhígíí bá adinídíín nishłį́ nínízin. 
45:2:020:0	Diné doo dahóyáanii hasht'e'nináhásh'éésh índa áłchíní át'éii nanishtin nínízin. Bee haz'áanii t'áá yíní át'éegi índa t'áá aaníinii nił bééhózin. 
45:2:021:0	Áko ni, diné náánáła' neinitinii nílíinii, da' niísh t'áá ni doo niná'ádidíníítįįł da? Doo azhni'įįh da, diníigo diné bił hólne'ii, t'áá ni daats'í aní'įįhgo ádíní? 
45:2:022:0	Doo azhdilée da, diníinii, t'áá ni daats'í adíléego ádíní? Eda'alyaii t'áá íiyisí bik'ee diníniihii, t'áá ni daats'í t'áadoo le'é dadiyinii nihíłchxǫǫh? 
45:2:023:0	Bee haz'áanii bee ádaa hó'niihii, t'áá ni daats'í bee haz'áanii hítíihgo bee Diyin God doo nił nilį́į da? 
45:2:024:0	Háálá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego, Nihí nihiniinaa doo Jew dine'é danilíinii bitahgóó Diyin God bízhi' t'óó baa'ihgo baa yáti'.  
45:2:025:0	Bee haz'áanii Mózes baa deet'áanii bik'eh hojíł'į́įgo ąąh náhinilgish t'áá aaníí ílį́, nidi bee haz'áanii doo bik'eh hojíł'į́į́góó ąąh náhinilgish t'áadoo biniyéhí da yileeh. 
45:2:026:0	Éí bąą doo Jew dine'é jílíinii éí bee haz'áanii t'áá ákogi át'éego áníinii bik'ehgo ájít'éego, doo hąąh náhineeshgizh da nidi, t'áá bąąh náhineeshgizhii jílį́ nahalingo Diyin God haa nitsíkees. 
45:2:027:0	T'áá aaníí Jew dine'é danohłį́įgo nihąąh nídahineeshgizhgo bee haz'áanii bee ak'e'ashchíinii nihee dahólǫ́ǫ nidi dahohtííh, áko ła' doo Jew dine'é danilį́į da nidi, áádóó doo bąąh nídahineeshgizh da nidi, bee haz'áanii yik'eh dahół'į́įgo, da' éísh doo nihaa nídadóot'įįłgo nihá nidahodiyoo'áał da? 
45:2:028:0	Háálá t'áá aaníí Jew dine'é jílíinii éí doo ats'íís t'éiyá bee Jew dine'é jílíinii óolyée da, índa t'áá aaníí ąąh náhineeshgizh wolyéii éí doo t'áá ats'íís t'éí bąąh náhineeshgizhii óolyée da. 
45:2:029:0	Nidi t'áá aaníí Jew dine'é jílíinii éí t'áá aaníígóó ąąh náhinilgish bee hajéí tł'áahdi Níłch'i Diyinii nahwiiłnáanii, éí doo bee haz'áanii bik'ehgo da. Áko éí bee haa ha'niihii doo diné bits'ą́ą́dę́ę́' át'ée da, nidi Diyin God bits'ą́ą́dę́ę́' át'é.
