11:2:001:1	David 's Final Instructions to Solomon
11:2:031:0	“ Do as he said , ” the king replied . “ Kill him there beside the altar and bury him . This will remove the guilt of Joab 's senseless murders from me and from my father 's family .
11:2:032:0	The Lord will repay him for the murders of two men who were more righteous and better than he . For my father knew nothing about the deaths of Abner son of Ner , commander of the army of Israel , and of Amasa son of Jether , commander of the army of Judah .
11:2:033:0	May their blood be on Joab and his descendants forever , and may the Lord grant peace forever to David , his descendants , his dynasty , and his throne . ”
11:2:034:0	So Benaiah son of Jehoiada returned to the sacred tent and killed Joab , and he was buried at his home in the wilderness .
11:2:035:0	Then the king appointed Benaiah to command the army in place of Joab , and he installed Zadok the priest to take the place of Abiathar .
11:2:036:0	The king then sent for Shimei and told him , “ Build a house here in Jerusalem and live there . But do n't step outside the city to go anywhere else .
11:2:037:0	On the day you so much as cross the Kidron Valley , you will surely die ; and your blood will be on your own head . ”
11:2:038:0	Shimei replied , “ Your sentence is fair ; I will do whatever my lord the king commands. ” So Shimei lived in Jerusalem for a long time .
11:2:039:0	But three years later two of Shimei 's slaves ran away to King Achish son of Maacah of Gath . When Shimei learned where they were ,
11:2:040:0	he saddled his donkey and went to Gath to search for them . When he found them , he brought them back to Jerusalem .
11:2:041:0	Solomon heard that Shimei had left Jerusalem and had gone to Gath and returned .
11:2:042:0	So the king sent for Shimei and demanded , “ Did n't I make you swear by the Lord and warn you not to go anywhere else or you would surely die ? And you replied , ‘ The sentence is fair ; I will do as you say . '
11:2:043:0	Then why have n't you kept your oath to the Lord and obeyed my command ? ”
11:2:044:0	The king also said to Shimei , “ You certainly remember all the wicked things you did to my father , David . May the Lord now bring that evil on your own head .
11:2:045:0	But may I , King Solomon , receive the Lord 's blessings , and may one of David 's descendants always sit on this throne in the presence of the Lord . ”
11:2:046:0	Then , at the king 's command , Benaiah son of Jehoiada took Shimei outside and killed him.So the kingdom was now firmly in Solomon 's grip .
