11:22:001:1	Jehoshaphat and Ahab
11:22:037:0	So the king died , and his body was taken to Samaria and buried there .
11:22:038:0	Then his chariot was washed beside the pool of Samaria , and dogs came and licked his blood at the place where the prostitutes bathed , just as the Lord had promised .
11:22:039:0	The rest of the events in Ahab 's reign and everything he did , including the story of the ivory palace and the towns he built , are recorded in The Book of the History of the Kings of Israel .
11:22:004:1	Jehoshaphat Rules in Judah
11:22:040:0	So Ahab died , and his son Ahaziah became the next king .
11:22:041:0	Jehoshaphat son of Asa began to rule over Judah in the fourth year of King Ahab 's reign in Israel .
11:22:042:0	Jehoshaphat was thirty-five years old when he became king , and he reigned in Jerusalem twenty-five years . His mother was Azubah , the daughter of Shilhi .
11:22:043:0	Jehoshaphat was a good king , following the example of his father , Asa . He did what was pleasing in the Lord 's sight . During his reign , however , he failed to remove all the pagan shrines , and the people still offered sacrifices and burned incense there .
11:22:044:0	Jehoshaphat also made peace with the king of Israel .
11:22:045:0	The rest of the events in Jehoshaphat 's reign , the extent of his power , and the wars he waged are recorded in The Book of the History of the Kings of Judah .
11:22:046:0	He banished from the land the rest of the male and female shrine prostitutes , who still continued their practices from the days of his father , Asa .
11:22:047:0	( There was no king in Edom at that time , only a deputy . )
11:22:048:0	Jehoshaphat also built a fleet of trading ships to sail to Ophir for gold . But the ships never set sail , for they met with disaster in their home port of Ezion-geber .
11:22:049:0	At one time Ahaziah son of Ahab had proposed to Jehoshaphat , “ Let my men sail with your men in the ships. ” But Jehoshaphat refused the request .
11:22:005:1	Ahaziah Rules in Israel
11:22:050:0	When Jehoshaphat died , he was buried with his ancestors in the City of David . Then his son Jehoram became the next king .
11:22:051:0	Ahaziah son of Ahab began to rule over Israel in the seventeenth year of King Jehoshaphat 's reign in Judah . He reigned in Samaria two years .
11:22:052:0	But he did what was evil in the Lord 's sight , following the example of his father and mother and the example of Jeroboam son of Nebat , who had led Israel to sin .
11:22:053:0	He served Baal and worshiped him , provoking the anger of the Lord , the God of Israel , just as his father had done .
