11:8:001:1	The Ark Brought to the Temple
11:8:043:0	then hear from heaven where you live , and grant what they ask of you . In this way , all the people of the earth will come to know and fear you , just as your own people Israel do . They , too , will know that this Temple I have built honors your name .
11:8:044:0	“ If your people go out where you send them to fight their enemies , and if they pray to the Lord by turning toward this city you have chosen and toward this Temple I have built to honor your name ,
11:8:045:0	then hear their prayers from heaven and uphold their cause .
11:8:046:0	“ If they sin against you—and who has never sinned ? —you might become angry with them and let their enemies conquer them and take them captive to their land far away or near .
11:8:047:0	But in that land of exile , they might turn to you in repentance and pray , ‘ We have sinned , done evil , and acted wickedly . '
11:8:048:0	If they turn to you with their whole heart and soul in the land of their enemies and pray toward the land you gave to their ancestors—toward this city you have chosen , and toward this Temple I have built to honor your name—
11:8:049:0	then hear their prayers and their petition from heaven where you live , and uphold their cause .
11:8:050:0	Forgive your people who have sinned against you . Forgive all the offenses they have committed against you . Make their captors merciful to them ,
11:8:051:0	for they are your people—your special possession—whom you brought out of the iron-smelting furnace of Egypt .
11:8:052:0	“ May your eyes be open to my requests and to the requests of your people Israel . May you hear and answer them whenever they cry out to you .
11:8:005:1	The Dedication of the Temple
11:8:053:0	For when you brought our ancestors out of Egypt , O Sovereign Lord , you told your servant Moses that you had set Israel apart from all the nations of the earth to be your own special possession . ”
11:8:054:0	When Solomon finished making these prayers and petitions to the Lord , he stood up in front of the altar of the Lord , where he had been kneeling with his hands raised toward heaven .
11:8:055:0	He stood and in a loud voice blessed the entire congregation of Israel :
11:8:056:0	“ Praise the Lord who has given rest to his people Israel , just as he promised . Not one word has failed of all the wonderful promises he gave through his servant Moses .
11:8:057:0	May the Lord our God be with us as he was with our ancestors ; may he never leave us or abandon us .
11:8:058:0	May he give us the desire to do his will in everything and to obey all the commands , decrees , and regulations that he gave our ancestors .
11:8:059:0	And may these words that I have prayed in the presence of the Lord be before him constantly , day and night , so that the Lord our God may give justice to me and to his people Israel , according to each day 's needs .
11:8:060:0	Then people all over the earth will know that the Lord alone is God and there is no other .
11:8:061:0	And may you be completely faithful to the Lord our God . May you always obey his decrees and commands , just as you are doing today . ”
11:8:062:0	Then the king and all Israel with him offered sacrifices to the Lord .
11:8:063:0	Solomon offered to the Lord a peace offering of 22,000 cattle and 120,000 sheep and goats . And so the king and all the people of Israel dedicated the Temple of the Lord .
11:8:064:0	That same day the king consecrated the central area of the courtyard in front of the Lord 's Temple . He offered burnt offerings , grain offerings , and the fat of peace offerings there , because the bronze altar in the Lord 's presence was too small to hold all the burnt offerings , grain offerings , and the fat of the peace offerings .
11:8:065:0	Then Solomon and all Israel celebrated the Festival of Shelters in the presence of the Lord our God . A large congregation had gathered from as far away as Lebo-hamath in the north and the Brook of Egypt in the south . The celebration went on for fourteen days in all—seven days for the dedication of the altar and seven days for the Festival of Shelters .
11:8:066:0	After the festival was over , Solomon sent the people home . They blessed the king and went to their homes joyful and glad because the Lord had been good to his servant David and to his people Israel .
