11:1:001:1	David in His Old Age
11:1:025:0	Today he has sacrificed many cattle , fattened calves , and sheep , and he has invited all the king 's sons to attend the celebration . He also invited the commanders of the army and Abiathar the priest . They are feasting and drinking with him and shouting , ‘ Long live King Adonijah ! '
11:1:026:0	But he did not invite me or Zadok the priest or Benaiah or your servant Solomon .
11:1:003:1	David Makes Solomon King
11:1:027:0	Has my lord the king really done this without letting any of his officials know who should be the next king ? ”
11:1:028:0	King David responded , “ Call Bathsheba ! ” So she came back in and stood before the king .
11:1:029:0	And the king repeated his vow : “ As surely as the Lord lives , who has rescued me from every danger ,
11:1:030:0	your son Solomon will be the next king and will sit on my throne this very day , just as I vowed to you before the Lord , the God of Israel . ”
11:1:031:0	Then Bathsheba bowed down with her face to the ground before the king and exclaimed , “ May my lord King David live forever ! ”
11:1:032:0	Then King David ordered , “ Call Zadok the priest , Nathan the prophet , and Benaiah son of Jehoiada. ” When they came into the king 's presence ,
11:1:033:0	the king said to them , “ Take Solomon and my officials down to Gihon Spring . Solomon is to ride on my own mule .
11:1:034:0	There Zadok the priest and Nathan the prophet are to anoint him king over Israel . Blow the ram 's horn and shout , ‘ Long live King Solomon ! '
11:1:035:0	Then escort him back here , and he will sit on my throne . He will succeed me as king , for I have appointed him to be ruler over Israel and Judah . ”
11:1:036:0	“ Amen ! ” Benaiah son of Jehoiada replied . “ May the Lord , the God of my lord the king , decree that it happen .
11:1:037:0	And may the Lord be with Solomon as he has been with you , my lord the king , and may he make Solomon 's reign even greater than yours ! ”
11:1:038:0	So Zadok the priest , Nathan the prophet , Benaiah son of Jehoiada , and the king 's bodyguard took Solomon down to Gihon Spring , with Solomon riding on King David 's own mule .
11:1:039:0	There Zadok the priest took the flask of olive oil from the sacred tent and anointed Solomon with the oil . Then they sounded the ram 's horn and all the people shouted , “ Long live King Solomon ! ”
11:1:040:0	And all the people followed Solomon into Jerusalem , playing flutes and shouting for joy . The celebration was so joyous and noisy that the earth shook with the sound .
11:1:041:0	Adonijah and his guests heard the celebrating and shouting just as they were finishing their banquet . When Joab heard the sound of the ram 's horn , he asked , “ What 's going on ? Why is the city in such an uproar ? ”
11:1:042:0	And while he was still speaking , Jonathan son of Abiathar the priest arrived . “ Come in , ” Adonijah said to him , “ for you are a good man . You must have good news . ”
11:1:043:0	“ Not at all ! ” Jonathan replied . “ Our lord King David has just declared Solomon king !
11:1:044:0	The king sent him down to Gihon Spring with Zadok the priest , Nathan the prophet , and Benaiah son of Jehoiada , protected by the king 's bodyguard . They had him ride on the king 's own mule ,
11:1:045:0	and Zadok and Nathan have anointed him at Gihon Spring as the new king . They have just returned , and the whole city is celebrating and rejoicing . That 's what all the noise is about .
11:1:046:0	What 's more , Solomon is now sitting on the royal throne as king .
11:1:047:0	And all the royal officials have gone to King David and congratulated him , saying , ‘ May your God make Solomon 's fame even greater than your own , and may Solomon 's reign be even greater than yours ! ' Then the king bowed his head in worship as he lay in his bed ,
11:1:048:0	and he said , ‘ Praise the Lord , the God of Israel , who today has chosen a successor to sit on my throne while I am still alive to see it . ' ”
11:1:049:0	Then all of Adonijah 's guests jumped up in panic from the banquet table and quickly scattered .
11:1:050:0	Adonijah was afraid of Solomon , so he rushed to the sacred tent and grabbed on to the horns of the altar .
11:1:051:0	Word soon reached Solomon that Adonijah had seized the horns of the altar in fear , and that he was pleading , “ Let King Solomon swear today that he will not kill me ! ”
11:1:052:0	Solomon replied , “ If he proves himself to be loyal , not a hair on his head will be touched . But if he makes trouble , he will die . ”
11:1:053:0	So King Solomon summoned Adonijah , and they brought him down from the altar . He came and bowed respectfully before King Solomon , who dismissed him , saying , “ Go on home . ”
