11:20:001:1	Ben-Hadad Attacks Samaria
11:20:025:0	Recruit another army like the one you lost . Give us the same number of horses , chariots , and men , and we will fight against them on the plains . There 's no doubt that we will beat them. ” So King Ben-hadad did as they suggested .
11:20:026:0	The following spring he called up the Aramean army and marched out against Israel , this time at Aphek .
11:20:027:0	Israel then mustered its army , set up supply lines , and marched out for battle . But the Israelite army looked like two little flocks of goats in comparison to the vast Aramean forces that filled the countryside !
11:20:028:0	Then the man of God went to the king of Israel and said , “ This is what the Lord says : The Arameans have said , ‘ The Lord is a god of the hills and not of the plains . ' So I will defeat this vast army for you . Then you will know that I am the Lord . ”
11:20:029:0	The two armies camped opposite each other for seven days , and on the seventh day the battle began . The Israelites killed 100,000 Aramean foot soldiers in one day .
11:20:030:0	The rest fled into the town of Aphek , but the wall fell on them and killed another 27,000 . Ben-hadad fled into the town and hid in a secret room .
11:20:031:0	Ben-hadad 's officers said to him , “ Sir , we have heard that the kings of Israel are merciful . So let 's humble ourselves by wearing burlap around our waists and putting ropes on our heads , and surrender to the king of Israel . Then perhaps he will let you live . ”
11:20:032:0	So they put on burlap and ropes , and they went to the king of Israel and begged , “ Your servant Ben-hadad says , ‘ Please let me live ! ' ” The king of Israel responded , “ Is he still alive ? He is my brother ! ”
11:20:033:0	The men took this as a good sign and quickly picked up on his words . “ Yes , ” they said , “ your brother Ben-hadad ! ” “ Go and get him , ” the king of Israel told them . And when Ben-hadad arrived , Ahab invited him up into his chariot .
11:20:004:1	A Prophet Condemns Ahab
11:20:034:0	Ben-hadad told him , “ I will give back the towns my father took from your father , and you may establish places of trade in Damascus , as my father did in Samaria. ” Then Ahab said , “ I will release you under these conditions. ” So they made a new treaty , and Ben-hadad was set free .
11:20:035:0	Meanwhile , the Lord instructed one of the group of prophets to say to another man , “ Hit me ! ” But the man refused to hit the prophet .
11:20:036:0	Then the prophet told him , “ Because you have not obeyed the voice of the Lord , a lion will kill you as soon as you leave me. ” And when he had gone , a lion did attack and kill him .
11:20:037:0	Then the prophet turned to another man and said , “ Hit me ! ” So he struck the prophet and wounded him .
11:20:038:0	The prophet placed a bandage over his eyes to disguise himself and then waited beside the road for the king .
11:20:039:0	As the king passed by , the prophet called out to him , “ Sir , I was in the thick of battle , and suddenly a man brought me a prisoner . He said , ‘ Guard this man ; if for any reason he gets away , you will either die or pay a fine of seventy-five pounds of silver ! '
11:20:040:0	But while I was busy doing something else , the prisoner disappeared ! ” “ Well , it 's your own fault , ” the king replied . “ You have brought the judgment on yourself . ”
11:20:041:0	Then the prophet quickly pulled the bandage from his eyes , and the king of Israel recognized him as one of the prophets .
11:20:042:0	The prophet said to him , “ This is what the Lord says : Because you have spared the man I said must be destroyed , now you must die in his place , and your people will die instead of his people . ”
11:20:043:0	So the king of Israel went home to Samaria angry and sullen .
