19:18:001:1	Yisdá'oodzáájí David biyiin
19:18:022:0	Háálá yee nihodiiz'áanii shilą́ąjį' hólǫ́ǫ́ nít'éé', áádóó yee nihwiiz'áanii doo áts'ą́ąjį' kwíishłaa da. 
19:18:023:0	Binááł t'áá ákóne' ásht'į́į́ nít'éé', índa doo ákwii át'éii bits'ąą ádaa áháshyą́ą́ nít'éé'. 
19:18:024:0	Éí bąą t'áá ákogi ánísht'éii bik'ehgo Bóhólníihii shich'į' na'nílá, áádóó binááł a'át'e' shąąh ádinígíí bik'ehgo Bóhólníihii shich'į' na'nílá. 
19:18:025:0	Aa a'ááh danízinii bich'į' aa a'ááh nínízingo í'díínílzin; t'áá ákóne' ádaat'į́įgo deíkáahii bich'į' t'áá ákóne' ánít'į́įgo í'díínílzin. 
19:18:026:0	Ba'át'e' ádaadinii bich'į' na'át'e' ádingo í'díínílzin, áádóó ák'edahal'íinii bik'ijį' nílį́įgo í'díínílzin. 
19:18:027:0	Jó, diné atídabi'dil'íinii yisdáhínííł, nidi ádaa deidzódlíii níníł'į́; éí a'ohgo ádaat'éego ádíílííł. 
19:18:028:0	Jó, bee hool'iní shá didííłtłił; shił tł'ée'go Bóhólníihii shiDiyin God shił ch'ídi'doołdlał. 
19:18:029:0	Jó, ni neego siláo yinéełii bik'eh dideeshdleeł, índa shiDiyin God bee tsé ahénátł'inígíí báhátis dah dínéeshjį́į́ł. 
19:18:030:0	Áko Diyin God t'áá bí át'éii ts'ídá t'áá ákogi át'é, Bóhólníihii bizaad bóhoneestą́ą'go bee baa hodzoosdlíí'; baa deidzólíii t'áá ałtso yá naagé nilį́. 
19:18:031:0	Háí lá Diyin God nilį́? Bóhólníihii lą́ą. Háísh tsé niłdzilii nilį́? NihiDiyin God lą́ą. 
19:18:032:0	Éí Diyin God nilíinii adziil yee áká nínáshiisisgo áshósin; t'áá ákogi ánísht'éego áshósin. 
19:18:033:0	Bįįhtsa'ii dilwo'ígi át'éego shikee' bee doo shił nahontł'agóó áshósin, áádóó shi'aghádahaz'áagi dah náshiisįįh. 
19:18:034:0	Shíla' bee ana'ash'į́į doogo yínashiniłtin, áko shigaan éí béésh łitsoii ałtį́į́' náyiiłtas. 
19:18:035:0	Nibee yisdá'iildééh naagé ałdó' shaa dííní'ą́, áádóó nigaan nish'náájí bee de áshíínísin, áko ná áhwiinít'į́'íii bee ayóó ánísht'éego áshiinilaa. 
19:18:036:0	Doo nantł'agóó nihidishtaałgo áshiinilaa, áko t'áadoo ałtádiighaz da. 
19:18:037:0	Shi'ana'í danilíinii nidaníłchą́ą'go nibéhéshwod, áádóó ałtso t'áadoo ánáhoosht'įįhí áséłdįįdjį' nibéhéshwod. 
19:18:038:0	Atídeishłaa, áko doo náádahidoojeeh ádaadzaa da; shiyaajį' naa'aníídee'go bik'i dadiis'eez. 
19:18:039:0	Háálá ana'al'į́į doogi adziil bee áká síszaazgo áshiinilaa; shik'i néijah yę́ę shiyaajį' bik'eh dadínídlį́į́'. 
19:18:040:0	Shi'ana'í danilíinii shits'ánííníłkaad, áko shik'ee dadiniihii ádahodeeshdįį ł. 
19:18:041:0	Bíká adoolwołígíí yíká dadilwosh nít'éé', nidi t'áadoo yisdábóníłí da; Bóhólníihii yich'į' dadilwosh nít'éé', nidi t'áadoo bich'į' ééhoosįįd da. 
19:18:042:0	Áko níyol bidáahjį' łeezhgi át'é daazlį́į'jį' bik'ída'iisíłhaal; kintah nida'aztiingi łeezh nahjį' ajii łkaad nahalingo nahjį' ahéłkaad. 
19:18:043:0	Diné saad dahółóonii bits'ąą yisdáshííníłtį́; ał'ąą dine'é aláahgo binanisht'áago áshiinilaa; dine'é doo béédahasinii shá nidaal'a'. 
19:18:044:0	T'áá shaa dahodiits'į́hí shik'eh dahół'į́; dé'éyóní danilíinii shiyaajį' ni'ídii'nííł. 
19:18:045:0	Dé'éyóní bichoo'į́ ádaasdįįd, áádóó bidziilgo bił nahaz'ą́ą́dę́ę́' bitah dahoditłidgo ch'éhékááh. 
19:18:046:0	Bóhólníihii hiná; éí shitsé niłdzilii nilį́įgo baa ha'niih le', áádóó Diyin God yisdáshíłtéehii ayóó át'éii nilį́į le'; 
19:18:047:0	Diyin God éí shá k'éédoo'nííł áádóó t'áá bí dadine'é shá yik'eh doodleełgo shiyaa ayiinííł. 
19:18:048:0	Shi'ana'í danilíinii bits'ąą yisdáshíłtééh; t'áá aaníí shi'ana'í danilíinii shik'i néijahígíí bilááh ánísht'éego áshíínísin; diné doo daats'íidii bits'ąą yisdáshíłtééh. 
19:18:049:0	Éí bąą shí nich'į' ahééh nisin doo. Bóhólníihii nílíinii, ał'ąą dine'é bitahgóó nízhi' baa hashniihgo hashtaał doo. 
19:18:050:0	Aláahgo bá nant'áii ayóó át'éego ak'eh didlį́įgo áyósin, índa ak'ah bik'i yaadziidgo yiyíísį́į'ii David áádóó bits'ą́ą́dóó náás ahoolchíłígíí ał dó' Bóhólníihii aa a'ááh nízinii hool'áágóó hach'į' yit'íní áyósin doo.
