3:9:001:1	Éran éí náádahaniihii nááyiisnii'
3:9:015:0	Áko Ízrel dine'é bá nááhidoonihígíí nizhnílóóz; éí tł'ízí ádił oodzíí'jí nááhidoonihígíí Ízrel dine'é bá nááhániihii át'éego nízdiidzį́į́z áádóó jiisxį́įgo t'áá átséedi ádił oodzíí'jí náájiisnii'ígi át'éego náájiisnii'. 
3:9:016:0	Áádóó didlidgo nááhidoonihígíí nízdiilóozgo bik'ehgo hoogáałii bik'ehgo náájiisnii'. 
3:9:017:0	Áko ak'áán nááhidoonihígíí nízhdiiką́ągo hálák'ee hadeezbingo ła' hajííjaa'go bikáá' náá'iiniihí bikáa'jį' abínígo didlidgo nááhániihii bóóltą'go jidííłid. 
3:9:018:0	Dóola yázhí índa deenásts'aa' nízhdii'eezhgo nidzistseed; éí nááhidoonihii hózhǫ́ǫ́jí nááhániihii át'éego Ízrel dine'é bá náájiisnii', áko Éran haye'ké éí diłígíí haa deizką́ągo bikáá' náá'iiniihí t'áá ałtsodę́ę́' bik'ídzístah. 
3:9:019:0	Dóola yázhí índa deenásts'aa' bik'ahígíí áádóó bitsee' neesk'ahígíí áádóó bitsą́ siláí bąąh ak'ahígíí, bitsą́ áshk'azhí áádóó azid bíighahgi ak'ahígíí 
3:9:020:0	éí ak'ahígíí ajéíts'iin yikáá' nideiznilgo bikáá' náá'iiniihí bikáa'jį' jidííłid. 
3:9:021:0	Mózes haadzí'ígi át'éego Éran éí ajéíts'iin áádóó ajáád nish'náájíígíí náásee bił nídi'dilnihgo nááhániihii át'éego Bóhólníihii binááł náásee bił jidideesnii'. 
3:9:022:0	Áádóó Éran éí diné bich'į' dashdidiilnii'go, Nihik'idahojidlíi le', bizhdííniid, áádóó ádił ni'iidzííhjí nááhániihii áádóó didlidgo nááhániihii índa hózhǫ́ǫ́jí nááhániihii náájiisnii'dę́ę́' hadajííyá. 
3:9:023:0	Áko Mózes áádóó Éran éí níbaal bii' dahozdísinii góne' yah ajíí'áázh áádóó áádę́ę́' ch'ééjít'áazhgo, Nihik'idahojidlíi le', diné bizhdííniid, áádóó Bóhólníihii bee bi'oh adidilyéehii diné t'áá át'é bich'į' yit'íní silį́į́'. 
3:9:024:0	Ákohgo Bóhólníihii bits'ą́ą́dę́ę́' kǫ' bidadíínóodgo bikáá' náá'iiniihí bikáa'jį' didlidgo nááhániihii áádóó ak'ah ałtso adíík'ą́ą́', áko éí diné t'áá ałtso dayiiłtsą́ągo hadadeeshghaazhgo tsé'yaa daneeshjool.
