3:25:001:1	Tsosts'id nínáhahgo dá'ák'eh hanínályįhígíí áádóó baa hózhǫ́ǫgo nínáhahígíí Júbilii wolyéii
3:25:031:0	Nidi kin haal'á binaa ahéé'ítł'in bits'áhwiiní'ą́ądi kin dah naazhjaa'ígíí éí t'áá hakédaayah bił aheełt'éego baa nitsáhákees doo; éí bik'é niná'iilyéego bee haz'ą́; baa hózhǫ́ǫgo yihah wolyéhígíí baa náhwiilzhíishgo haa nídahidit'aah doo. 
3:25:032:0	Ákondi Líívai dine'é bikin hadaas'áagi éí daakinígíí kin hadaas'áago daabíhígíí yik'é nináda'iidléego hool'áágóó bá bee haz'ą́. 
3:25:033:0	Diné ła' éí Líívai dine'é kin yaa nayiis'nii'go kin haal'áádóó bikin baa nahaaznii'ígíí éí baa hózhǫ́ǫgo yihah wolyéhígíí baa hoolzhiizhgo baa nídidoot'ááł, háálá Líívai dine'é bikin hadaas'áhídóó daakinígíí éí Ízrel dine'é bitahgi Líívai dine'é náás ahoolchíiłii daabí. 
3:25:034:0	Nidi dabikin hadaas'áágóó dahootsooígíí éí doo baa nidahaniih da, háálá éí hool'áágóó t'áá daabí dooleeł. 
3:25:035:0	Áko nihik'is ła' bahojoobá'í silį́į'go éí nihitahgi ch'ééh ák'idildzíiłgo bíká adoohjah; éí ayóní, doodaii' t'óó átsééd nihił kééhat'ínígíí t'áá bik'i nidaałdzilígi át'éego nihił bighan doo. 
3:25:036:0	Ínáóltą'í t'áadoo bídeínóhkeedí, doodaii' binahjį' t'áadoo béeso ádaał'íní, nidi nihiDiyin God dadíínóhsin, áko nihik'is t'áá nihił bighan doo. 
3:25:037:0	Áádóó ínáóltą'í t'áágééd béeso baa nída'ohnił, áádóó ch'iyáán baa dahohníiłgo bee t'áadoo nááda'áyółbįįhí. 
3:25:038:0	Jó, shí éí Bóhólníihii nihiDiyin God nishłį́; éí Ííjip kéyahdę́ę́' ch'éénihiní'eezhii nishłį́ áádóó nihiDiyin God nishłį́į doo biniyé Kéínan kéyah nihaa dinish'aah. 
3:25:039:0	Áádóó nihik'is nihíighahgóó kééhat'íinii bahojoobá'í silį́į'go nihich'į' na'ádiis'nii'go doo naalte' nilį́įgo nihá naal'a' da doo. 
3:25:040:0	Nidi adeenáago nihá naal'a' doo áádóó t'óó átsééd kééhat'íinii nahalingo nihił bighan doo, áádóó baa hózhǫ́ǫgo yihah wolyéhígíí baa hoolzhiizhjį' nihá naal'a' doo. 
3:25:041:0	Áko índa nihits'ą́ą́dóó ba'áłchíní yił bik'éí yich'į' dah nídidookah áádóó bizhé'é danilį́į́ nít'éé' yę́ę bikéyahjį' nídookah. 
3:25:042:0	Háálá shá nidaal'a'í danilį́; éí Ííjip kéyahdę́ę́' ch'ééní'eezh; éí bąą doo naalte' biniyé nidahaniih da doo. 
3:25:043:0	T'áadoo t'áá na'níle'dii bindanoht'áhí, nidi nihiDiyin God dadíínóhsin doo. 
3:25:044:0	Diné áádóó asdzání nihinaalte' danilį́į doogo éí ał'ąą dine'é nihinaagóó kéédahat'ínígíí bitahdę́ę́' diné áádóó asdzání nihinaalte' danilį́į doo biniyé nidahidoołnihgo bee haz'ą́. 
3:25:045:0	Áádóó ałdó' dé'éyóní t'óó átsééd nihitahgóó kéédahat'ínígíí bada'áłchíní índa banááda'áłchíní nihikéyahgi nidahaazhchį́įgo nihił kéédahat'ínígíí bitahdę́ę́' nidahołniihgo danihí doo. 
3:25:046:0	Áko nihikéé' ádahasdįįdgo nihada'áłchíní daabíí' dadooleełgo bá ádadoohłííł; éí hool'áágóó bindaalte' doo, nidi nihik'isóó Ízrel dine'é danilíinii éí doo t'áá na'níle'dii bił ahindanoht'áa da doo.  
3:25:047:0	Dé'éyóní t'óó átsééd nihitahgi kééhat'íinii nihinahjį' at'į́ silį́į'go áádóó nihik'is éí yíighahgóó kééhat'į́įgo bahojoobá'í silį́į'go éí dé'éyóní, doodaii' ba'áłchínída ła' yich'į' na'ádiis'nii'go 
3:25:048:0	na'ádiis'nii'dóó bik'ijį' hak'é niná'doolyéełgo bee haz'ą́; hak'isóó ła' hak'é niná'doodlééł. 
3:25:049:0	Hadá'í, doodaii' hadá'í biye'da hak'é niná'doodlééł, doodaii' áhą́dígo hak'éí éí bada'áłchínída ła' t'áá hak'é niná'doodlééł, doodaii' t'áá hó bízhneel'ą́ągo ák'é ninázh'doodlééł. 
3:25:050:0	Áádóó haash yit'éego háá'ádizhdooltéełgi bich'į' na'ázdiis'nii'ii bił baa yázhdoołtih; éí na'ázdiis'nii' yę́ędóó baa hózhǫ́ǫgo yihah wolyéhígíí baa níhaijį' éí nináháháahgo ák'é ninádziisya'ígíí bik'ehgo há yídóołtahgo ahíidoodzoh, áádóó adeenáago naalnishii bich'į' nahalyéii bik'ehgo hak'é niná'doolyééł. 
3:25:051:0	Lą'í nááhaidi baa hózhǫ́ǫgo yihah wolyéhígíí baa hodoolzhishgo béeso hak'é naalyáhígíí bik'ehgo t'áá hó łahjį' ák'é ninázh'doodlééł. 
3:25:052:0	Áádóó baa hózhǫ́ǫgo yihah wolyéhígíí t'ah t'áá díkwíí nídoohah hadziihgo éí nááhai yidziihígíí bik'ehgo t'áá hó ák'é ninázh'doodlééł. 
3:25:053:0	Nináháháahgo adeenáago ła' há naalnishígi át'éego há naalnish doo; ninááł doo t'áá na'níle'dii binazhnit'áa da doo. 
3:25:054:0	Áko díí nínáháháhígíí biyi' doo nabi'diiznii'góogo baa hózhǫ́ǫgo yihah wolyéii baa hoolzhiizhgo bí áádóó ba'áłchíní bił t'óó béé'doolnih. 
3:25:055:0	Háálá Ízrel dine'é éí shá naal'a'í danilį́; éí shá naal'a'í danilį́įgo Ííjip kéyahdę́ę́' ch'ééní'eezh; jó, shí Bóhólníihii nihiDiyin God nishłį́.
