19:119:001:1	Aleph
19:119:006:1	Waw
19:119:040:0	I long to obey your commandments ! Renew my life with your goodness .
19:119:041:0	Lord , give me your unfailing love , the salvation that you promised me .
19:119:042:0	Then I can answer those who taunt me , for I trust in your word .
19:119:043:0	Do not snatch your word of truth from me , for your regulations are my only hope .
19:119:044:0	I will keep on obeying your instructionsforever and ever .
19:119:045:0	I will walk in freedom , for I have devoted myself to your commandments .
19:119:046:0	I will speak to kings about your laws , and I will not be ashamed .
19:119:047:0	How I delight in your commands ! How I love them !
19:119:007:1	Zayin
19:119:048:0	I honor and love your commands.I meditate on your decrees .
19:119:049:0	Remember your promise to me ; it is my only hope .
19:119:050:0	Your promise revives me ; it comforts me in all my troubles .
19:119:051:0	The proud hold me in utter contempt , but I do not turn away from your instructions .
19:119:052:0	I meditate on your age-old regulations ; O Lord , they comfort me .
19:119:053:0	I become furious with the wicked , because they reject your instructions .
19:119:054:0	Your decrees have been the theme of my songswherever I have lived .
19:119:055:0	I reflect at night on who you are , O Lord ; therefore , I obey your instructions .
19:119:008:1	Heth
19:119:056:0	This is how I spend my life : obeying your commandments .
19:119:057:0	Lord , you are mine ! I promise to obey your words !
19:119:058:0	With all my heart I want your blessings.Be merciful as you promised .
19:119:059:0	I pondered the direction of my life , and I turned to follow your laws .
19:119:060:0	I will hurry , without delay , to obey your commands .
19:119:061:0	Evil people try to drag me into sin , but I am firmly anchored to your instructions .
19:119:062:0	I rise at midnight to thank youfor your just regulations .
19:119:063:0	I am a friend to anyone who fears you—anyone who obeys your commandments .
19:119:009:1	Teth
19:119:064:0	O Lord , your unfailing love fills the earth ; teach me your decrees .
19:119:065:0	You have done many good things for me , Lord , just as you promised .
19:119:066:0	I believe in your commands ; now teach me good judgment and knowledge .
19:119:067:0	I used to wander off until you disciplined me ; but now I closely follow your word .
19:119:068:0	You are good and do only good ; teach me your decrees .
19:119:069:0	Arrogant people smear me with lies , but in truth I obey your commandments with all my heart .
19:119:070:0	Their hearts are dull and stupid , but I delight in your instructions .
19:119:071:0	My suffering was good for me , for it taught me to pay attention to your decrees .
19:119:010:1	Yodh
19:119:072:0	Your instructions are more valuable to methan millions in gold and silver .
19:119:073:0	You made me ; you created me.Now give me the sense to follow your commands .
19:119:074:0	May all who fear you find in me a cause for joy , for I have put my hope in your word .
19:119:075:0	I know , O Lord , that your regulations are fair ; you disciplined me because I needed it .
19:119:076:0	Now let your unfailing love comfort me , just as you promised me , your servant .
19:119:077:0	Surround me with your tender mercies so I may live , for your instructions are my delight .
19:119:078:0	Bring disgrace upon the arrogant people who lied about me ; meanwhile , I will concentrate on your commandments .
19:119:079:0	Let me be united with all who fear you , with those who know your laws .
19:119:011:1	Kaph
19:119:080:0	May I be blameless in keeping your decrees ; then I will never be ashamed .
19:119:081:0	I am worn out waiting for your rescue , but I have put my hope in your word .
19:119:082:0	My eyes are straining to see your promises come true.When will you comfort me ?
19:119:083:0	I am shriveled like a wineskin in the smoke , but I have not forgotten to obey your decrees .
19:119:084:0	How long must I wait ? When will you punish those who persecute me ?
19:119:085:0	These arrogant people who hate your instructionshave dug deep pits to trap me .
19:119:086:0	All your commands are trustworthy.Protect me from those who hunt me down without cause .
19:119:087:0	They almost finished me off , but I refused to abandon your commandments .
19:119:012:1	Lamedh
19:119:088:0	In your unfailing love , spare my life ; then I can continue to obey your laws .
19:119:089:0	Your eternal word , O Lord , stands firm in heaven .
19:119:090:0	Your faithfulness extends to every generation , as enduring as the earth you created .
19:119:091:0	Your regulations remain true to this day , for everything serves your plans .
19:119:092:0	If your instructions had n't sustained me with joy , I would have died in my misery .
19:119:093:0	I will never forget your commandments , for by them you give me life .
19:119:094:0	I am yours ; rescue me ! For I have worked hard at obeying your commandments .
19:119:095:0	Though the wicked hide along the way to kill me , I will quietly keep my mind on your laws .
19:119:013:1	Mem
19:119:096:0	Even perfection has its limits , but your commands have no limit .
19:119:097:0	Oh , how I love your instructions ! I think about them all day long .
19:119:098:0	Your commands make me wiser than my enemies , for they are my constant guide .
19:119:099:0	Yes , I have more insight than my teachers , for I am always thinking of your laws .
19:119:100:0	I am even wiser than my elders , for I have kept your commandments .
19:119:101:0	I have refused to walk on any evil path , so that I may remain obedient to your word .
19:119:102:0	I have n't turned away from your regulations , for you have taught me well .
19:119:103:0	How sweet your words taste to me ; they are sweeter than honey .
19:119:014:1	Nun
19:119:104:0	Your commandments give me understanding ; no wonder I hate every false way of life .
19:119:105:0	Your word is a lamp to guide my feetand a light for my path .
19:119:106:0	I 've promised it once , and I 'll promise it again : I will obey your righteous regulations .
19:119:107:0	I have suffered much , O Lord ; restore my life again as you promised .
19:119:108:0	Lord , accept my offering of praise , and teach me your regulations .
19:119:109:0	My life constantly hangs in the balance , but I will not stop obeying your instructions .
19:119:110:0	The wicked have set their traps for me , but I will not turn from your commandments .
19:119:111:0	Your laws are my treasure ; they are my heart 's delight .
19:119:015:1	Samekh
19:119:112:0	I am determined to keep your decreesto the very end .
19:119:113:0	I hate those with divided loyalties , but I love your instructions .
19:119:114:0	You are my refuge and my shield ; your word is my source of hope .
19:119:115:0	Get out of my life , you evil-minded people , for I intend to obey the commands of my God .
19:119:116:0	Lord , sustain me as you promised , that I may live ! Do not let my hope be crushed .
19:119:117:0	Sustain me , and I will be rescued ; then I will meditate continually on your decrees .
19:119:118:0	But you have rejected all who stray from your decrees.They are only fooling themselves .
19:119:119:0	You skim off the wicked of the earth like scum ; no wonder I love to obey your laws !
19:119:016:1	Ayin
19:119:120:0	I tremble in fear of you ; I stand in awe of your regulations .
19:119:121:0	Do n't leave me to the mercy of my enemies , for I have done what is just and right .
19:119:122:0	Please guarantee a blessing for me.Do n't let the arrogant oppress me !
19:119:123:0	My eyes strain to see your rescue , to see the truth of your promise fulfilled .
19:119:124:0	I am your servant ; deal with me in unfailing love , and teach me your decrees .
19:119:125:0	Give discernment to me , your servant ; then I will understand your laws .
19:119:126:0	Lord , it is time for you to act , for these evil people have violated your instructions .
19:119:127:0	Truly , I love your commandsmore than gold , even the finest gold .
19:119:017:1	Pe
19:119:128:0	Each of your commandments is right.That is why I hate every false way .
19:119:129:0	Your laws are wonderful.No wonder I obey them !
19:119:130:0	The teaching of your word gives light , so even the simple can understand .
19:119:131:0	I pant with expectation , longing for your commands .
19:119:132:0	Come and show me your mercy , as you do for all who love your name .
19:119:133:0	Guide my steps by your word , so I will not be overcome by evil .
19:119:134:0	Ransom me from the oppression of evil people ; then I can obey your commandments .
19:119:135:0	Look upon me with love ; teach me your decrees .
19:119:018:1	Tsadhe
19:119:136:0	Rivers of tears gush from my eyesbecause people disobey your instructions .
19:119:137:0	O Lord , you are righteous , and your regulations are fair .
19:119:138:0	Your laws are perfectand completely trustworthy .
19:119:139:0	I am overwhelmed with indignation , for my enemies have disregarded your words .
19:119:140:0	Your promises have been thoroughly tested ; that is why I love them so much .
19:119:141:0	I am insignificant and despised , but I do n't forget your commandments .
19:119:142:0	Your justice is eternal , and your instructions are perfectly true .
19:119:143:0	As pressure and stress bear down on me , I find joy in your commands .
19:119:019:1	Qoph
19:119:144:0	Your laws are always right ; help me to understand them so I may live .
19:119:145:0	I pray with all my heart ; answer me , Lord ! I will obey your decrees .
19:119:146:0	I cry out to you ; rescue me , that I may obey your laws .
19:119:147:0	I rise early , before the sun is up ; I cry out for help and put my hope in your words .
19:119:148:0	I stay awake through the night , thinking about your promise .
19:119:149:0	In your faithful love , O Lord , hear my cry ; let me be revived by following your regulations .
19:119:150:0	Lawless people are coming to attack me ; they live far from your instructions .
19:119:151:0	But you are near , O Lord , and all your commands are true .
19:119:020:1	Resh
19:119:152:0	I have known from my earliest daysthat your laws will last forever .
19:119:153:0	Look upon my suffering and rescue me , for I have not forgotten your instructions .
19:119:154:0	Argue my case ; take my side ! Protect my life as you promised .
19:119:155:0	The wicked are far from rescue , for they do not bother with your decrees .
19:119:156:0	Lord , how great is your mercy ; let me be revived by following your regulations .
19:119:157:0	Many persecute and trouble me , yet I have not swerved from your laws .
19:119:158:0	Seeing these traitors makes me sick at heart , because they care nothing for your word .
19:119:159:0	See how I love your commandments , Lord.Give back my life because of your unfailing love .
19:119:021:1	Shin
19:119:160:0	The very essence of your words is truth ; all your just regulations will stand forever .
19:119:161:0	Powerful people harass me without cause , but my heart trembles only at your word .
19:119:162:0	I rejoice in your wordlike one who discovers a great treasure .
19:119:163:0	I hate and abhor all falsehood , but I love your instructions .
19:119:164:0	I will praise you seven times a daybecause all your regulations are just .
19:119:165:0	Those who love your instructions have great peaceand do not stumble .
19:119:166:0	I long for your rescue , Lord , so I have obeyed your commands .
19:119:167:0	I have obeyed your laws , for I love them very much .
19:119:022:1	Taw
19:119:168:0	Yes , I obey your commandments and lawsbecause you know everything I do .
19:119:169:0	O Lord , listen to my cry ; give me the discerning mind you promised .
19:119:170:0	Listen to my prayer ; rescue me as you promised .
19:119:171:0	Let praise flow from my lips , for you have taught me your decrees .
19:119:172:0	Let my tongue sing about your word , for all your commands are right .
19:119:173:0	Give me a helping hand , for I have chosen to follow your commandments .
19:119:174:0	O Lord , I have longed for your rescue , and your instructions are my delight .
19:119:175:0	Let me live so I can praise you , and may your regulations help me .
19:119:176:0	I have wandered away like a lost sheep ; come and find me , for I have not forgotten your commands .
