42:9:001:1	Jesus, Vitsyaa Nąįį Googwitr'it
42:9:048:0	ts'ą' jyaa goovahnyąą, “Juu jii tr'iinin shoozhri' zhit shoo haa anli' ooheendal ts'ą' nihdeehahchyaa ąįįt'ee shįį chan gwik'it t'ishiheelyaa ąįįts'ą' juu dzaa gwats'ą' shihił'e' chan gwik'it t'iheelyaa. Ąįį eenjit t'ee nakhwatee juu ch'andaa gwintsal veegoo'aii, ąįįt'ee ch'andaa hil'ee.” 
42:9:049:0	John ąįį Jesus t'ahnyąą, “Shigeech'ǫąąhtan, dinjii ch'ihłak ąįį ch'izhii dinjii zhit ch'anky'aa iizųų noozhri' zhit gihłeehiłchįį tr'ąąh'ya', diitee gwats'an nilii kwaa ts'ą' ąįį geh'an jyaa dii'in akhagoiinyąą varaiinyą'.” 
42:9:007:1	Samaria Gwich'in Nąįį Jesus Nihdeegahchįį Gitr'igii'ee.
42:9:050:0	Jesus t'iiyahnyąą, “Chan jyaa dii'in akhagoiinyąą vohnyą' shrǫ', juu nitr'ii'ee kwaa ąįįt'ee nats'ąįį nadhat t'oonchy'aa.” 
42:9:051:0	Jesus zheekat neerooheendal eenjit zhat nigwiighit ts'ą' t'ee gininjich'iłthat ts'ą' Jerusalem gwats'ą' hihshyaa nindhan ts'ą' gwats'ą' haazhii. 
42:9:052:0	Neeyahah'ak nąįį idits'įį Samaria gookwaiik'it gwats'ą' niinlii, giiyeenjit shrigweheelyaa geenjit. 
42:9:053:0	Gaa Jerusalem gwats'ą' hahkhaii giiyaandaii ts'ą' izhit geh'an nihdeegiiyąąhchįį gitr'igii'ee. 
42:9:054:0	Nijin vitsyaa James chan ts'ą' John haa jii nigwigwiił'in dąį' jyaa ginyąą “Shik'eegwaadhat, zheekat gwats'an kǫ' haa an goorohtsyaa diinoiinyaa?” 
42:9:055:0	Jesus neediil'ee ts'ą' t'agoovahnyąą, “Jyaa dohnyąą kwaa!” 
42:9:008:1	Juu Jesus Vaa Hoihjyaa Niindhan Nąįį
42:9:056:0	Ąįįts'ą' ch'adanh kwaiik'it gwats'ą' giiyaahaajil. 
42:9:057:0	Jesus ditsyaa nąįį haa tąįį geedaa gwiizhit dinjii ch'ihłak Jesus t'ahnyąą, “Nijuk inkhaa datthak naa k'eehihdik.” 
42:9:058:0	Jesus t'iiyahnyąą, “Neegǫǫ kwaii chan ch'a'an gwigwii'įį chiitsal kwaii chan ch'at'oh gwigwii'įį. Gaa shįį ąįį Gwidinji' ihłii ts'ą' gwihihchy'aa gwishi'įį kwaa.” 
42:9:059:0	Ch'izhii dinjii chan t'ahnyąą “Shaa hinkhaii!”Gaa ąįį dinjii t'iiyahnyąą, “Shik'eegwaadhat, gwik'it t'ishi'yaa gaa oo'an shizheh nineehihdyaa ts'ą' shiti' vanahałdal.” 
42:9:060:0	Gaa Jesus t'iiyahnyąą, “Juu dinjii iłchįį ky'aa veegoo'aii gwik'iinjiighit kwaa nąįį nihłanagąąnjii. Hinkhaii ts'ą' K'eegwaadhat Veegwinii'ee eech'ǫąąhtan.” 
42:9:061:0	Ch'izhii dinjii chan jyaanyąą, “Shik'eegwaadhat, natąįį hihshyaa gaa shalak nąįį naahihshyaa goovaahihjyaa gwats'ą' t'ashahthan.” 
42:9:062:0	Jesus t'iiyahnyąą, “Juu gwanzhįh deek'it shrigwilii gaa gwintł'oo k'iinji' neegwaa'ik, ji', dagwanzhih iizųų hahtsyaa ąįį gwik'it juu gwintł'oo k'iinji' neegwaa'ik t'ee K'eegwaadhat Veegwinii'ee geenjit iizųų.” 
