42:8:001:1	Tr'injaa Lat Nąįį Jesus ts'ą' Vitsyaa ts'ą' haa Ts'igiinyą'.
42:8:012:0	Zhit gwanzhįh an-nihłik tąįį gwiinjik naadhak t'ee zhit juu ch'oołk'įį gaa Ch'anky'aa Tr'aanduu jidii Vit'eegwijyąhchy'aa Viginjik gaak'įį ąįį goodrii ts'an noonjik. Gwik'iinjigeheeghit kwaa ts'ą' neegeheezhii kwaa geenjit, ąįį nąįį t'arahnyąą. 
42:8:013:0	Zhit gwanzhįh łųh vitee kii teiinjil ąįį chan juu ch'oołk'įį ts'ą' shoh haa Vit'eegwijyąhchy'aa Viginjik goontą'. Gaa Viginjik goozhit nahshii kwaa, ts'ą' ch'ihłee gwizhrįh gwik'iinjigiighit ąįįtł'ęę nijin goovaagogwantrii nagwaanąįį dąį' gook'injigwiighit akhooheenjyaa nąįį t'arahnyąą. 
42:8:014:0	Zhit gwanzhįh khoh teiinjil chan juu gwinzii ch'oołk'įį gaa geetee hee goovaagogwantrii ts'ą' chan łyaa gwinzii googwandaii, ąįįts'ą' chan łyaa gwiizųų gwizhit shroonchy'aa googwahtsii. Jii datthak goovaa nihteegwadal ts'ą' K'eegwaadhat eenjit gwitr'it googwah'in kwaa t'agwarahnyąą. 
42:8:005:1	Khwaiidaak'a', Videekat Diin'ąįį haa
42:8:015:0	“Zhit gwanzhįh nan nizįį kat naadhak kwaii chan zhit juu gwinzii ch'oołk'įį ts'ą', łi'didlii haa digidrii zhit deegwinyąą t'igwinyąą gaagiindaii ts'ą' chan gwik'eegogwahahtthat ts'ą' chan K'eegwaadhat eenjit gwitr'it gwinzii t'igihee'yaa ąįį kwaii t'agwarahnyąą. 
42:8:016:0	“Ch'ihłee gaa duuyeh khwaiidaak'a' dahk'ii ąįįtł'ęę k'ik yideekat dichįį akwat chan duuyeh dehk'it gwit'eh yakaii gaa vakaii'aa kat deeyeheekaa. Jyąhts'ą' gwik'iighai' juu nihdąhkhat nąįį ch'aadrii googwahąąh'yaa. 
42:8:017:0	“Gwit'eegwirił'ąįį eenjit gogwantrii akwat gwit'eegwirił'ąįį ts'ą' ch'ihłak gaa gaaheendaii kwaa ts'ą' gwizhrįh nagwahaadhal chan gogwantrii. 
42:8:006:1	Ch'ihłan Jesus Valak Nąįį Yats'ą' Haajil.
42:8:018:0	“Gwinzii ch'oodǫǫhk'įį ts'ą' nakhwadrii zhit gooh'ąįį, juu gwinzii ch'oołk'įį ts'ą' didrii zhit gwin'ąįį t'ee gwats'an gwandaa tł'eegwahaadhaa, juu gwinzii ch'oołk'įį kwaa ts'ą' gwintsal gwizhrįh gaandaii t'ee datthak vits'į' neerooheendal.” 
42:8:019:0	Jesus zheh gwizhit dinjii lęįį nąįį haa dhidii gwiizhit vahan chan ts'ą' vachaa nąįį haa giiyahaah'yaa eenjit giits'ą' haa'oo. Nihdeegaha'oo gaa tr'ihkhit goots'ooghaii dinjii gwanlii, 
42:8:020:0	Ąįįts'ą' dinjii ch'ihłak ąįį Jesus jyaa dahnyąą, “Nahan, nachaa haa chiitąįį nagadhat, łyaa narooh'ya' nagoonyąą.” 
42:8:007:1	Jesus Ahtr'aii Neet'aanąįį.
42:8:021:0	Datthak ts'ą' Jesus jyaa goovahnyąą, “Juu Vit'eegwijyąhchy'aa viginjik oołk'įį ts'ą' gwik'it dinjii nilii ąįįt'ee shahan, shachaa nąįį haa k'it t'igiinchy'aa t'oonchy'aa.” 
42:8:022:0	Ch'ihłan gwanaa Jesus, ditsyaa nąįį haa tr'ihchoh zhiinzhii ts'ą' t'agoovahnyąą, “Oonjik van ndųhts'ąįį gwats'ą' tr'ahoojyaa.” 
42:8:023:0	Ąįįts'ą' k'iinji' geekwaa gwiizhit Jesus naachįį. Khan hee gwiint'aii van kat teiintr'ąįį ts'ą' tr'ihchoh zhit chųų deedahkhii. Tr'ihchoo goovaachilit.  
42:8:024:0	Jesus vitsyaa nąįį Jesus khakigiiyiin'ąįį ts'ą' t'igiiyahnyąą “Jesus, Jesus! Tr'ahahchyaa ji' gaa neenjit k'eegwiichy'aa t'igweheechy'aa kwaa?”Jesus khakee'ąįį ts'ą' ahtr'aii nint'aii ts'ą' tit choh kwaii haa ts'ą' khaginkhee ts'ą' datthak tsinehdan nagwaanąįį. 
42:8:008:1	Jesus, Dinjii Vizhit Ch'anky'aa Iizųų ts'ą' Tr'iinjik
42:8:025:0	Ąįįtł'ęę ditsyaa nąįį t'ahnyąą, “Shit'injuhchy'a' jaghaii?”Jesus goovandaa gwihil'ee t'iizhik ts'ą' łyaa gihilghaa. “Jii juu t'iinchy'aa,” nihłagaanyąą?“Ahtr'aii ts'ą' tit kwaii haa ts'ą' khaginkhee ts'ą' giik'eegwahthat!” 
42:8:026:0	Galilee van ndųhts'ąįį gwats'an Jesus ditsyaa nąįį haa yaagha' Gerasa nahkat gwats'ą' neeginkwaii. 
42:8:027:0	Jesus teedhizhii gwiizhit kwaiik'it gwats'an dinjii vizhit ch'anky'aa iizųų yeeniinzhii. Łyaa niighyuk gwach'aa ehdan dhidii ts'ą' dizheh chan duuyeh dhidii, gaa kii zhit tth'ank'it goodlii izhit gwizhrįh idiildii. 
42:8:028:0	Nijin Jesus niił'in dąį' gwint'aii khaiintrii ts'ą' yakwai' ehzhee oo'an teehiilnaii ts'ą' azhral ts'ą' jyaa nyąą, “Jesus, Vit'eegwijyąhchy'aa Choh Vidinji'! Jaghaii shaanagwiin'ąįį t'ini'in? Khaiinjich'ashǫhthat shrǫ'!” 
42:8:029:0	Yizhit ch'anky'aa iizųų gihłeehahchįį geh'an jyaa nyąą. Gwehkįį gwinlęįį yaa oo'an neet'eehaadhak ts'ą' yaa khaiinjich'ohoodhat, ch'iitsii tły'ah haa vanli', vakwai' haa dach'akhwachaa gaa łeeyaahnaii ts'ą' ąįį vizhit ch'anky'aa iizųų oo'at nangwinjir k'ii'an yahah'ak. 
42:8:030:0	Jesus yuahkat, “Nats'ąą noozhri'?”“Diinoozhri' Legion oaazhii,” nyąą-gwehkįį ch'anky'aa iizųų lęįį nąįį chan vizhit diindhat geh'an. 
42:8:031:0	Ąįį ch'anky'aa iizųų nąįį oozhak gwit'eh goo'aii kwaa gwats'ą' Jesus goovahahchyaa kwaa eenjit giits'ą' gwinzii ginkhii. 
42:8:032:0	Geeghaih gwa'an taihkhyuu pig lęįį ch'a'aa. Ąįįts'ą' pig kwaii zhit digiheedhaa gwats'ą' t'agoohahkhyaa eenjit Jesus goahkat, ąįįts'ą' gwats'ą' t'agoovahthan. 
42:8:033:0	Ąįį dinjii ts'an tr'ineegiijil ts'ą' pig kwaii zhit deegiindhat. Ąįį pig t'ąąnchy'aa datthak taihdik vanzhit oondaa gahaajil ts'ą' teenagahoonii. 
42:8:034:0	Ąįį juu pig k'ąąhtii nąįį tthak googwąąh'ya', ts'ą' gihłeegalgihiljil ts'ą' zhat gwa'an gogwąąhshii dehk'it goodlii gwich'įį nąįį chan ts'ą' kwaiik'it haa gwa'an geegoogwaandak. 
42:8:035:0	Dinjii nąįį zhat googwahąąh'yaa eenjit zhat gwats'ą' gahaajil, ąįįts'ą' nijin Jesus ts'ą' tr'igiinjil dąį', ąįį dinjii vizhit ch'anky'aa iizųų tr'iinjil ąįį Jesus vakwai' ehzhee dhidii agogwąh'ąįį, gwach'aa chan naazhii ts'ą' gwinzii chan niinjich'adhat łee, ąįįts'ą' datthak giiyaanjat. 
42:8:036:0	Ąįįts'ą' dinjii gwah'ya' nąįį nats'ahts'ą' yats'ą' tr'iinjik geegoovaagogwaandak. 
42:8:037:0	Ąįįts'ą' izhit nahkat gwich'in nąįį datthak Jesus gihłeehindii agahnyąą, goozhit ch'andaii in'ąįį geh'an. Ąįįts'ą' t'ee Jesus tr'ihchoo zhineezhii ts'ą' neehoozhii. 
42:8:038:0	Ąįį dinjii vizhit ch'anky'aa iizųų tr'ineiinlii chy'aa Jesus oahkat, “Naaneehooshizhi'.”Gaa Jesus nakwaa nyąą, ts'ą' jyaa yahnyąą, 
42:8:009:1	Jairus Vigii Nich'it Tsal ąįįts'ą' Tr'injaa haa Jesus Shrineegooviinlik Googwandak.
42:8:039:0	“Nizheh gwits'eehindii ts'ą' Vit'eegwijyąhchy'aa neenjit deezhik geegwandak.”Ąįį dinjii ąįį kwaiik'it datthak gwits'eehoozhii ts'ą' Jesus yeenjit deezhik geegwaandak. 
42:8:040:0	Nijin Jesus van ndųhts'ąįį gwats'an k'iinaa neehoozhii dąį' dinjii lęįį niiyul'in nąįį giiyeenjit shoo dhidlit. 
42:8:041:0	Dinjii lat nąįį Jesus ts'ą' giginkhii gwizhik dinjii Jairus oozhii k'idik. Israel nąįį tee gwa'an tr'igiinkhii zheh gwizhit gwats'ą' k'eegwaadhat nilii. Jesus vakwai' eeghaii zhak gwiint'aii nikiigwiintthaii ts'ą', “Shizheh gwats'ą' shaahinkhaii!” yahnyąą. 
42:8:042:0	“Shigii nich'it tsal veenjit gwinzii neegwąhtsii, ąįį zhrįh shigii t'iinchy'aa,” yahnyąą. Ąįįts'ą' Jesus yaahaazhii.Jesus gwa'an ahaa veelin datthak dinjii gwanlii. 
42:8:043:0	Gootee tr'injaa ch'ihłak łyaa niighyuk ąįį dah vats'an an ilii haa khaiinjich'iighit. Dah gwiintł'oo vats'an an ilii haa, łyaa dalaraa di'įį datthak chan iłts'ik shrinilii ts'ą' an yiłtsąįį gaa giiyeenjit gwinzii neegwąhtsii kwaa. 
42:8:044:0	Jesus ant'ii niinzhii ts'ą' yi'ik kat yeentak naanjik ts'ą' veenjit gwinzii nagwaanąįį. 
42:8:045:0	Jesus ch'oahkat, “Juu shakat naanjik?”Datthak ts'ą' shįį shizhit kwaa ginyąą. Peter ąįį t'iiyahnyąą, “Dinjii neelin gwanlii, ts'ą' juu t'iizhik gaagwiindaii kwaa t'iinyąą?” 
42:8:046:0	Gaa Jesus ąįį t'iiyahnyąą, “Sharąąhjik dąį' shat'aii lat shats'an t'iizhik gwiky'aljik t'ihnyąą!” 
42:8:047:0	Nijin zhit tr'injaa vik'igwaanjik gwiky'aanjik dąį' naajat googaa Jesus ts'ą' haazhii, ts'ą' yehzhee nikiigwiintthaii. Juu nąįį tthak andah t'iiyahnyąą, “Shįį nakat naaljik ts'ą' sheenjit gwinzii neegwaanąįį.” 
42:8:048:0	Jesus ąįį t'iiyahnyąą, “Shik'injiinghit geh'an neenjit gwinzii neegahoodlit, tsinehdan haa oo'an neehiindii.” 
42:8:049:0	Jesus jyaanyąą gwiizhit, dinjii ch'ihłak Jairus vizheh gwats'an oo'ee haazhii, ts'ą' Jairus t'ahnyąą, “Nigii nich'it tsal ch'adąį' niindhat. Jesus gwahkwaa ni'in vaiinyąą ch'adąį' hee nigii niindhat t'oonchy'aa.” 
42:8:050:0	Jesus deegwinyąą gwaak'įį ts'ą' t'agoovahnyąą, “Nanjat kwaa, shik'injinghit ji' neegweheendaii t'inchy'aa.” 
42:8:051:0	Nijin Jesus Jairus vizheh nihdeegiinjil dąį' Peter, John, James, nich'it tsal vahan ts'ą' viti' nąįį haa giiyaa nihdeiinjil ąįįts'ą' ch'izhii dinjii nąįį vaanihdijyaa gitr'ii'ee. 
42:8:052:0	Juu chiitąįį itree nąįį datthak tr'iinin niindhat eenjit gitree. “Ohtree kwaa ahnyąą tr'iinin niindhat kwaa zhyaa dhichįį t'inchy'aa,” goovahnyąą. 
42:8:053:0	Ąįį juu chiitąįį dilk'ii nąįį nich'it tsal niindhat gaagiindaii ts'ą' Jesus deenyąą eegeedlaa. 
42:8:054:0	Jesus nich'it tsal anli' oonjii ts'ą' “Nich'it tsal, ndak nineenjii!” yahnyąą. 
42:8:055:0	Khan hee nich'it tsal vizhin yizhit needeedhat gwandaii neekhwadlit ts'ą' ndak niinzhii. Yihee'aa ji' vantł'ohtsit, goovahnyąą. 
42:8:056:0	Viiyehghan nąįį łyaa goovandaa t'igwiizhik gaa Jesus “Jii deegwiizhik geegǫǫndak shrǫ',” goovahnyąą.
