42:21:001:1	Tr'injaa Jidii Di'įį Datthak K'eegwaadhat Antł'inlii.
42:21:019:0	Akhagohnyą' shrǫ'! Gwandaii nizįį gaayiihootsyaa.” 
42:21:020:0	“Nijin niveet'ah'in nąįį Jerusalem geelin nigiinjil gooh'in ji' t'ee ąįį kwaiik'it an gweheelyaa ts'ą' gaakhwahandaii. 
42:21:021:0	Juu Judea nahkat dilk'ii nąįį oodak taih tee gwats'ą' galgahohjyaa gwizhrįh, juu Jerusalem kwaiik'it gwachoo gwizhit dilk'ii nąįį chan gihłeegiheedaa gwizhrįh, juu oo'ok tr'ałtee tthan dilk'ii nąįį chan kwaiik'it gwats'ą' gohoojyaa shrǫ'! 
42:21:022:0	Ąįį kwaii t'ee zhit ji' jyąhts'ą' t'ee dinjii agwahaanzhii, Dęhtły'aa Choh zhit jyaa deegwinyąą. 
42:21:023:0	Izhit ji' łyaa tr'injaa vizhit tr'iinin chants'ą' juu tr'iinin ach'ahma' nąįį haa eenjit gwigweheetrii! Jii nahkat gwich'in nąįį ts'ą' gwiizųų teegwahaadhal, ąįįts'ą' Vit'eegwijyąhchy'aa googwahąhshii. 
42:21:005:1	Gwidinji' Veeneegwahaakyaa
42:21:024:0	Goolat nąįį shrii choh haa googiheeghaa ts'ą' nahkat datthak gwitee googwąąnchy'aa ts'ą' zhee gwaazhrąįį nagoogiheelyaa ts'ą' dahkhyuk gooveegoo'aii gwats'ą' ch'adanh gwich'in nąįį Jerusalem gwats'ą' k'eegogwahaadhat.” 
42:21:025:0	“Shree, tǫǫ oozhrii, są' kwaii ts'an gwilii t'igwehee'yaa. Nankat datthak dinjii lęįį nąįį zhit tr'igwidii hee'aa, nijin chųų choh kat chųų dohtth'ak ji', deegweheentsai' ts'ą' chųų zheet'atł'ak haa gwintsii an gweheelyaa. 
42:21:026:0	Jii nankat datthak dinjii nąįį tth'aii goots'ą' deegwehee'yaa gaagiindaii kwaa ąįį eenjit nagogwal'in gwiizhit naajat haa oo'an t'eegahaadhal. Zheetii jidii dhidlii datthak haatrat. 
42:21:027:0	Ąįįtł'ęę t'ee Gwidinji' ineegwahaakyaa, zheek'ǫh zhit vich'eegwąhndit ts'ą' t'aih nitsii haa t'ihee'yaa. 
42:21:006:1	Ts'iivii Kat Figs Nahshii Ąįį Googwandak haa Geech'ǫąąhtan
42:21:028:0	Nijin jii kwaii jyaa dagwahah'ya' ji', k'igwąą'ee nohthat ts'ą' nakhwakiitth'an ndak dhoh'ąįį, it'ee niighit kwaa neenakhwarahahshii geh'an.” 
42:21:029:0	Ąįįtł'ęę t'ee Jesus jii gwandak zhit geegavoąąhtan, “Zhit vakat Figs nahshii ąįįts'ą' ts'iivii kwaii datthak nǫh'in. 
42:21:030:0	Nijin vakat ch'at'an nahshii nǫh'in dąį' t'ee niighit kwaa shin gweheelyaa gaakhwandaii. 
42:21:031:0	Izhit gwik'it deegwehee'yaa diinyą' gwik'it t'igwii'in gooh'in ji' t'ee K'eegwaadhat Veegwinii'ee eenineegwiighit t'igwii'in gaakhwahandaii. 
42:21:032:0	“Łi'haa nakhwats'ą' ginkhii t'ihnyąą! Juk gweendaa gwandaii nąįį datthak niinjik kwaa tł'ęę jii kwaii zhit gweheedhaa. 
42:21:007:1	Gwik'eerahąąhtyaa Goo'aii.
42:21:033:0	Zhee, nan haa kwaa gweheelyaa gaa shiginjik ąįį khit łi'didlii heelyaa.” 
42:21:034:0	“Adak'ǫǫntii! Ch'akhwanįį ts'ą' shraa haa khaihłan nineekhwadal kwaa ts'ą' chan jidii datthak goohǫhdaii eenjit gwizhrįh geetr'agoh'in kwaa, ąįį drin t'ee nakhwarahtee nagwahaadhal. 
42:21:035:0	Jii nankat gwidinji' nąįį datthak ts'ą' khanhee vineegwahaakyaa t'inchy'aa, nin khyąh zhiinzhii ts'ą' dhadroo gwik'it. 
42:21:036:0	Gweedhaa datthak gwak'ǫǫhtii ts'ą' jii gwinzii gwideetaa hinkhaa ts'ą' geenjit t'aih hini'yaa eenjit khit khadagohjii, ąįįts'ą' chan Gwidinji' vats'ą' nihiinkhaa giindhan ji' eenjit chan.” 
42:21:037:0	Jesus Kharigidiinjii Zhee Gwachoo gwizhit drin gwitee gwąąnchy'aa datthak, geech'ǫąąhtan, khaa neegwiilik hee heechyaa eenjit Taih Vakat Olives Nahshii ts'eehidik. 
42:21:038:0	Vanh dąį' hee juu nąįį datthak Kharigidiinjii. Zhee Gwachoo gwits'eegihiidal ts'ą' giiyuułk'įį.
