42:20:001:1	Jesus, T'aih Di'įį ąįį Ach'agoahkat.
42:20:020:0	Goodhaii nihdeegiihaathal eenjit nagogwal'in. Dinjii agogookwat ts'ą' dinjii nizįį łi'didlii adagaa'įį ts'ą' Jesus goohaahkat ts'ą' goodhaiinideegiihaahtthal eenjit giits'ą' hił'e', ąįį ji' t'ee Roman nahkat gwats'ą' k'eegwaadhat intł'eegiihahchyaa eenjit. 
42:20:021:0	Jii juu giits'ą' hił'e' nąįį Jesus jyaa agahnyąą, “Geech'ǫąąhtan, jidii gǫąąhtan chan ts'ą' deiinyąą datthak łi'didlii haa t'iinyąą naagwiindaii. Dinjii chan nihteetr'ananzhik kwaa ts'ą' łi'didlii haa Vit'eegwijyąhchy'aa vagwandak eech'ǫąąhtan naagwiindaii. 
42:20:022:0	Zhit Caesar, Rome nahkat gwats'ą' k'eegwaadhat laraa vintł'ineeraazhik ąįį jyaa deegwehee'yaa goo'aii lee t'igwii'in? Akwat jyaa deegwehee'yaa kwaa goo'aii? Jidii shrit? Ąįį diinaa gwandak.” 
42:20:023:0	Gaa Jesus ąįį goodhaii nideegiihaahkhii t'iginyąą goovaandaii, 
42:20:024:0	“Laraa ghoo tsal nooł'ya'. Juu vinin chan ts'ą' voozhri' haa vakat dha'aii?”“Caesar reh,” ginyąą. 
42:20:025:0	Jesus t'agoovahnyąą, “Akwaa ji', Caesar, ąįį jidii vats'an heelyaa goo'aii ąįį eenjit vagohkwat ts'ą' Vit'eegwijyąhchy'aa jidii haa vagoohohkwat goo'aii gaakhwandaii ąįį haa vagohkwat.” 
42:20:004:1	Dinjii Nadhak ąįįtł'ęę Neegwiindaii Gach'ooraahkat
42:20:026:0	Dinjii nąįį andah, khyų' goodhaii nideegiiyaahkhii ts'ą' zhyaa deegiheenjyaa gaa gaagiindaii kwaa, ts'ą' gahahchįį kwaa. 
42:20:027:0	Sadducee gwiginkhii nąįį, ąįį dinjii nadhak ąįįtł'ęę neegwiindaii gwinyąą gwik'iinjigiighit kwaa. Ąįį nąįį Jesus ts'ą' gahaajil ts'ą' giiyųąhkat. 
42:20:028:0	“Geech'ǫąąhtan, jii Law t'ee Moses diineenjit diiyaantł'oo, ‘Dinjii niindhat gwiizhit va'at gwanlii gaa vigii kwaa ji', ąįį dinjii niindhat, ąįį vachaa ya'at nooheendal goo'aii, tr'iinin gihee'yaa eenjit, gaa ąįį dinjii niindhat ąįį vigii k'it goorooheendal eenjit.’ 
42:20:029:0	Ch'ihłan dinjii 7 nąįį nihchaa giilįį. Ch'oondee ąįį goonjik ts'ą' tth'aii vigii kwaa gwiizhit niindhat. 
42:20:030:0	Vats'ąįį vachaa yiinlii ąįį tr'injaa noonjik. 
42:20:031:0	Ąįįtł'ęę gwats'ąįį vachaa chan neeyuunjik. Gooteegwagwaanchy'aa ts'ą' datthak ąįį tr'injaa eegaak'į', datthak ts'ą' googii kwaa ts'ą' nigiinjik. 
42:20:032:0	Ąįįtł'ęę ndaagwąą'ąį' dąį', ąįį tr'injaa chan niindhat. 
42:20:033:0	Nihchaa 7 nąįį datthak neegiiyuunjik ts'ą' nijin drin zhit niindhat nąįį neegogwandaii neegahoodlit ji', juu va'at heelyaa t'inchy'aa?” giiyahnyąą. 
42:20:034:0	Jesus jyaa goovahnyąą, “Juk gweendaa dinjii akwat tr'injaa haa nihteegogwaanjii. 
42:20:035:0	Izhit zhat ji' ąįį juu Vit'eegwijyąhchy'aa gwinzii yąąh'in nąįį zhrįh neegweheendaii gaayiihahtsyaa ts'ą' duuyeh dinjii tr'injaa nąįį haa neegogoonjii. 
42:20:036:0	Zheekat gwich'in k'it t'igiheechy'aa ts'ą' duuyeh nigiighit. Vit'eegwijyąhchy'aa vidinji' giheelyaa, nigiindhat ąįįtł'ęę neegwigwiindaii geh'an. 
42:20:037:0	Moses chan dinjii nadhak tł'ęę neegwiindaii łyaa t'igwinyąą ts'ą' geenjit gwadąąntł'oo, ąįį nijin tr'ał kǫ' yąhtsit gaa dhik'in kwaa gwinyąą dąį', zhat dąį' t'ee Vit'eegwijyąhchy'aa ąįįt'ee Abraham, Isaac, Jacob nąįį haa Goovit'eegwijyąhchy'aa nilii nyąą. 
42:20:038:0	Gwandaii nąįį tthak eenjit Vit'eegwijyąhchy'aa nilii, gaa niindhat nąįį nakwaa, niindhat akwat gwandaii nąįį haa tthak gwandaii oonyąą.” 
42:20:039:0	Law eech'ǫąąhtan lat nąįį khagiginkhee “Geech'ǫąąhtan, łyaa gwinzii goodii ginkhe'!” 
42:20:005:1	Christ Vach'aroahkat
42:20:040:0	Ąįįtł'ęę t'ee ch'ihłak gaa Jesus noohaahkat gatr'agwaanyąą. 
42:20:041:0	Jesus jyaa goovahnyąą, “Nats'ąą Christ ąįį yeenii David ts'an deedhaa ginyąą t'iginyąą? 
42:20:042-043:0	David, Psalms dęhtły'aa zhit jyaa nyąą,‘K'eegwaadhat ąįį Shik'eegwaadhat jyaa ahnyąą,dzaa shriits'ąįį sheeghaii dhindii,nitr'ii'ee nąįį nandah oozhii hałtsyaa.’ 
42:20:006:1	Jesus ąįį Law Eech'ǫąąhtan Nąįį Ts'į' Adak'ǫǫntii Nyąą
42:20:044:0	David ąįį ‘Shik'eegwaadhat.’ yahnyąą gwiizhit nats'ąą Christ ąįį yeenii David ts'an diheedhaa?” 
42:20:045:0	Dinjii nąįį datthak giiyuułk'įį gwiizhit Jesus ąįį ditsyaa nąįį jyaa ahnyąą, 
42:20:046:0	“Law eech'ǫąąhtan nąįį ts'į' adak'ǫǫntii, digi'ik zų' haa zhit gwa'an ch'eet'igwiniindhan haa sharahoh'e' zhrįh giindhan. Israel nąįį tr'igiinkhii zheh gwizhit gwinzii gwizhrįh tr'oodi' giindhan ts'ą' chan ch'ara'aa dąį' chan gwinzii gwizhrįh tr'oodi' giindhan. 
42:20:047:0	Tr'injaa vakai' niindhat nąįį goozheh goots'į' gohdak ts'ą' shroondaii chan niighyuk khadigigiinjii. Łyaa gwandaa gwiizųų googwarahaahshii gooveenjit goo'aii!”
