42:13:001:1	Nakhwatr'agwaanduu Akhagoonyąą Akwaa Ji', Nahohthaa
42:13:023:0	Dinjii ch'ihłak yuahkat, “K'eegwaadhat, dinjii nitsya' nąįį zhrįh neeheezhii lee t'oonchy'aa?” Jesus jyaa diyahnyąą, 
42:13:024:0	“Gindeiinvyaa k'it łyaa gwiints'ik gaa nihdeehinhaa geetr'agwah'in; dinjii lęįį nąįį nihdeegiheedaa geetr'agogwahah'yaa gaa khyų' t'igihee'yaa geh'an. 
42:13:025:0	Ąįį zheh gwats'ą' k'eegwaadhat khakihee'aa ts'ą' angineehąhdal. Ąįįtł'ęę chiitąįį niindhat ts'ą' ganlaanaii ts'ą' jyaa deehiinjyaa, ‘K'eegwaadhat! Sheenjit gihdiinchįį!’ Oozhaa jyaa nahaanjyaa, ‘Juu inlii? Nijin gwats'an inkhaa naashandaii kwaa!’ 
42:13:026:0	Ąįįtł'ęę jyaa vahaiinjyaa, ‘Naa neech'irin'al ts'ą' chan naa ch'ireenį' ts'ą' diikwaiik'it gwizhit chan geech'ǫąąhchya'!’ 
42:13:027:0	Chan hee jyaa nahaanjyaa, ‘Nijin gwats'an inkhaa naashandaii kwaa. Dinjii tr'aanduu gwahtsii nąįį, shihłeekhwajyaa!’ 
42:13:028:0	Abraham, Isaac, Jacob chan ts'ą' ch'izhii Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį datthak nah'in ji' gwintł'oo hintree ts'ą' nagho' nihts'ą' łǫǫn'al haa neiink'ii k'it t'ini'yaa, nijin chit'eenirahaahkhii gwiizhit ji'! 
42:13:029:0	Jii nihky'aa nankat gwats'an dinjii nąįį K'eegwaadhat Veegwinii'ee gwizhit vakat ch'ara'aa ts'ą' gahaaky'aa. 
42:13:006:1	Jesus Jerusalem Eenjit Ch'eet'igwiniindhan Di'įį
42:13:030:0	Zhat ji' juk juu yeenii nilii nąįį goolat tr'ookit giheelyaa, ąįįts'ą' juk juu tr'ookit nilii nąįį yeenii heelyaa.” 
42:13:031:0	Izhit gwiizhit chan Pharisee lat nąįį Jesus ts'ą' gahaajil ts'ą' jyaa giiyahnyąą, “Herod nęhdaa tr'agoih'aa noonyąą t'inchy'aa. Cheehindii ts'ą' t'oołii gwa'an gwats'ą' hinkhaii.” 
42:13:032:0	Jesus t'agoovahnyąą, “Ąįį neegǫǫ jyaa vohnyąą, ‘Juk drin, nihkaa haa dinjii ts'an ch'anky'aa iizųų tr'ihłii ts'ą' iłts'ik nąįį chan shrineihłii, drin tik ęhdaa tr'igwiighit gwiizhit ndaanahałdal.’ 
42:13:033:0	Juk drin, nihkaa, nihkaa gęhdaa kwaii haa datthak jyaa dishihi'yaa eenjit gwats'ą' ihshyaa t'ishi'in Jerusalem geh'ok Vit'eegwijyąhchy'aa Eenjit Ginkhii ęhdaa tr'igwirehee'aa kwaa goo'aii. 
42:13:034:0	“Jerusalem, Jerusalem! Nakhwatee juu Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį aghan ts'ą' juu Vit'eegwijyąhchy'aa nakhwats'ą' hił'e' nąįį chan kii haa dohkhok. Gwilin neegweedhat gwizhit zhat gwich'in nąįį datthak ts'ą' khaihłan nineegavoihłyaa goovoihnyąą, zhit gwa'an dats'an digii tsal nąįį datthak dit'ee t'eh iłdlii gwik'it gaa khyų' t'anaihnyąą. 
42:13:035:0	Nizheh nits'į' gwarooheendal. Naagwaldak, shahąąh'yaa kwaa nijin drin jyaa deehiinjyaa gwats'ą', ‘K'ii'ee juu ahaa Vit'eegwijyąhchy'aa voozhri' zhit Vit'eegwijyąhchy'aa yaa shoo oolį'.’”
