42:6:001:1	Jesus Vitsyaa Nąįį Neegwaazhii Drin gwizhit Tr'agogwah'in.
42:6:010:0	Jesus dinjii nąįį datthak tee gwąąh'in ts'ą' ąįį dinjii vanli' iłchįį dhidlit t'ahnyąą, “Nanleetth'ak kwaii nihky'aa oonjii.” Ąįį dinjii jyaa diizhik ts'ą' vanli' nizįį neekhwadlit. 
42:6:003:1	Jesus Ditsyaa Nąįį Teegwįłjik
42:6:011:0	Pharisee nąįį łyaa gook'įį gwanlii ts'ą' Jesus deegahah'yaa geegiginkhii. 
42:6:012:0	Izhit zhat dąį' Jesus ąįį khadigiheejyaa eenjit taih kat gwats'ą' haazhii, ąįįts'ą' tǫǫ datthak K'eegwaadhat ts'ą' khagideedi'. 
42:6:004:1	Jesus Geech'ǫąąhtan ts'ą' Vit'igwiin'ee Nąįį Shrinilii
42:6:013-016:0	Gineech'ahoo'ąįį tł'ęę ditsyaa nąįį aanaii ahnyąą, ts'ą' 12 nąįį gootee gwats'an tr'iinlii. Jii nąįį t'ee Jesus Tr'ihił'e' nąįį goovahnyąą: Simon vachaa Andrew; James, John, Philip, Bartholomew, Matthew, Thomas; Alphaeus vigii James chan; ch'izhii Simon ąįį Zealot nilii chan; Judas vigii James chan; Judas Iscariot t'ee Jesus gwintł'eehahchyaa ąįį chan. 
42:6:017:0	Jesus taih kat k'iidąą goovaaneehoozhii ts'ą' ditsyaa lęįį nąįį haa gwaląįį kat nadhat. Jerusalem, Judea nahkat gwats'an dinjii lęįį nąįį chan zhat dilk'ii, Chųų choh vee gwats'an kwaiik'it Tyre ąįįts'ą' Sidon gwats'an chan. 
42:6:018:0	Giiyuuhaaky'aa ts'ą' chan goots'ą' tr'iheendal eenjit chan. Zhit juu vizhit ch'anky'aa iizųų t'inchy'aa nąįį chan ts'ą' tr'iinjik. 
42:6:005:1	Jesus Shroonchy'aa akwat Tr'igwidii haa Eech'ǫąąhtan
42:6:019:0	Juu nąįį datthak giikat nahaandal geetr'agogwah'in, vat'aii łyaa nint'aii ts'ąįį shrineegaanjii. 
42:6:020:0	Jesus ditsyaa nąįį nah'in ts'ą' t'inyąą,“Nakhwatee juu neeshraahchy'aa nąįį shoo ǫhłįį,ąįį K'eegwaadhat Veegwinii'ee vats'an ǫhłįį! 
42:6:021:0	“Juk juu nakhwatee vizhit gwiłts'ik nąįį shoo ǫhłįį,nakhwantł'eech'ahaachaa t'oonchy'aa!“Juk juu nakhwatee itree nąįį shoo giheelyaa,hohdlaa t'oonchy'aa! 
42:6:022:0	“Dinjii nakhwatr'ii'ee,nakhwadraii ch'aha'ąįį kwaa ts'ą' gwiizųų nakhwats'ą' ginkhii ts'ą' ohsųų nakhwahnyąą gaa shoo ǫhłįį;Gwidinji' ihłii, shik'injuhkhit geh'an. 
42:6:023:0	Jyąhts'ą' nats'ą' t'igwii'in dąį', shoh haa ch'oodzaa, zheekat gwizhit nakhweenjit gwinzii gwiintsii goo'aii! Yeenii goolak nąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį ts'ą' jyaa digee'ya' geh'an! 
42:6:024:0	“Nakhwatee juu valaraa gwanlii nąįį nakhweenjit gwigweheetrii,shroonchy'aa gwizhit gwizhrįh gǫhdaii chy'aa ndaagwąą'ąį'! 
42:6:025:0	“Nakhwatee juu gwintł'oo ch'a'aa nąįį nakhweenjit gwigweheetrii,Nakhwazhit gwahahts'ik.“Juk juu dlok haa azhral nąįį nakhweenjit gwigweheetrii,tr'agohohdii ts'ą' chan hohtree t'oonchy'aa! 
42:6:006:1	Nakhwatr'ii'ee Eet'ohthan
42:6:026:0	“Nakhweenjit gwigweheetrii, nijin dinjii nąįį datthak gwinzii nakhweeginkhii ji',yeenii goolak nąįį jyąhts'ą' t'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii adaa'įį nąįį jyaa dagąįįnyą'!” 
42:6:027:0	Gaa juu nakhwatee shįįtth'ak nąįį, nakhwats'ą' giihkhii shoodǫǫhk'įį. Juu nakhwats'ą' gwił'ąįį nąįį eet'ohthan, ts'ą' juu nakhwatr'ii'ee nąįį ts'ą' ohsįį. 
42:6:028:0	Juu nakhwadiveegwiizųų ji' niindhan nąįį nihk'it gooveenjit gwinzii ninjich'ǫhthat ąįįts'ą' juu ts'anakhwaahthat nąįį eenjit khagadǫhjii. 
42:6:029:0	Ch'ihłee ninin nak'ah naat'an ji', ch'angwąhts'ąįį chan neenat'an. Ch'ihłee nach'ada'ik oonjik ji', zhak khii ni'ik chan vantł'ąhtsuu. 
42:6:030:0	Ch'ihłee nats'an k'aiich'ii yiindhan ji', vintł'eeyiin'ąįį; ch'ihłee nats'an k'aiich'ii oonjik ji', shintł'ineeroo'aa doiinyą' shrǫ'! 
42:6:031:0	Ch'ihłee nats'ahts'ą' nats'ą' dinjii oolį' oiinyąą gwik'it vats'ą' dinjii inlii. 
42:6:032:0	“Zhit juu dinjii neet'iindhan nąįį zhrįh eet'iindhan ji', jaghaii geenjit narahah'aa? Juu tr'agwaanduu tr'agwah'in nąįį gaa jyaa diginchy'aa. 
42:6:033:0	Ąįįts'ą' juu nats'ą' nizįį nąįį zhrįh ts'ą' inzii ji', jaghaii geenjit narahah'aa? Juu tr'agwaanduu tr'agwah'in nąįį gaa jyaa diginchy'aa. 
42:6:034:0	Ąįįts'ą' juu shineegwahahtsyaa oiinyąą nąįį zhrįh eech'idiintł'oo ji', jaghaii geenjit narahah'aa? Juu tr'agwaanduu tr'agwah'in nąįį gaa ch'izhii tr'agwaanduu tr'agwah'in nąįį eech'adagantł'oo dąį', daanchy'aa gooveedagaantł'oo aanchy'aa shintł'ineeroo'aa giindhan. 
42:6:035:0	Nakwaa! Juu nats'ą' gwił'ąįį nąįį eet'ohthan ts'ą' goots'ą' ohsįį. Gooveech'idiintł'oo ts'ą' noihjii yuunyą' shrǫ'! Zheekat gwizhit gaayiigootsąįį neenjit gwehee'aa, ts'ą' dakhii Vit'eegwijyąhchy'aa choh Vidinji' hohłyaa. Ąįįt'ee zhit juu iizųų ąįįts'ą' juu mahsį' niindhan kwaa nąįį ts'ą' nizįį t'arahnyąą. 
42:6:007:1	Dinjii Nats'ąą Deerooheenjyaa Goo'aii
42:6:036:0	Dinjii neeshraahchy'aa ohnyąą, zheekat Nakhwati' neeshraahchy'aa niindhan di'įį gwik'it.” 
42:6:037:0	“Dinjii nakhweenjit oozųų shrǫ', ąįį ji' t'ee Vit'eegwijyąhchy'aa chan jyaa nakhooheenjyaa kwaa; dinjii gwiizųų gwats'ą' gwantł'eedǫhchyaa shrǫ', ąįį ji' Vit'eegwijyąhchy'aa chan gwik'it jyaa danakhwahah'yaa kwaa; dinjii nakhwats'ą' iizųų gaa nihk'it veenjit oo'an gahohłii, ąįį gwik'it Vit'eegwijyąhchy'aa chan nakhwatr'agwaanduu nakhweenjit oo'an gweheelyaa. 
42:6:038:0	Vit'eegwijyąhchy'aa nakhwantł'eegwilii gwik'it nakhwant'ee gwantł'eegohłii. Łyaa gwintsii nantł'eech'ahahchaa ts'ą' gaa nandaa t'agwahaanchy'aa dinjii intł'eehaandal googwahtsii chan Vit'eegwijyąhchy'aa nintł'eehaandal.” 
42:6:039:0	Ąįįts'ą' Jesus jii gwandak zhit geegoovąąhtan, “Dinjii vandee kwaa duuyeh ch'izhii dinjii vandee kwaa nee'aa t'oonchy'aa. Jyaa diizhik ji' nihłaa ts'ą' nanzhit gweedii t'eegahaadhal t'oonchy'aa. 
42:6:040:0	Juu geerǫąąhtan ąįį duuyeh ąįį juu geeyųąąhtan andaa gaandaii t'oonchy'aa, gaa juu geerǫąąhtan, ąįį gǫąąhtan ndaanaahjik ji' ąįį geech'ǫąąntan k'it t'iheechy'aa. 
42:6:041:0	“Jaghaii nachaa vandee zhit gał nah'in, gwiizhit nandee ąįį zhit traa eenjit k'eegwiichy'aa t'ini'in kwaa? 
42:6:008:1	Gwanzhįh Vakat Jak nahshii
42:6:042:0	Nats'ąą nachaa jyaa vahaiinjyaa, ‘Shachaa, nandee zhit gałgihłeehoihchyaa,’ diinyąą gwiizhit nandee zhit traa ąįį nah'in kwaa. Dinjii nizįį adaa'įį nąįį! Nan tr'ookit nandee zhit traa gihłeehinchįį ąįįtł'ęę gwinzii naa gweech'in tł'ęę nachaa vandee zhit gałkhaneiinchįį.” 
42:6:043:0	“Jak t'an nizįį duuyeh jak iizųų vakat nahshii t'oonchy'aa, ąįį gwik'it jak t'an iizųų duuyeh vakat jak nizįį nahshii. 
42:6:044:0	Jidii gwanzhįh vakat gwąąhshii tthak nats'ahts'ą' jidii jak vakat nahshii vaagwiindaii. Duuyeh khoh dachan kat Figs tr'ąąhtsii, ąįį gwik'it duuyeh khoh dachan kat jak choh (grapes) tr'ąąhtsii t'oonchy'aa.   
42:6:009:1	Dinjii Neekwaii Zheh Gwahtsii Giinlii
42:6:045:0	Dinjii nizįį ąįį vidrii zhit gwats'an gwinzii tr'igwijyaa. Dinjii iizųų ąįį chan vidrii zhit gwats'an gwiizųų tr'igwijyaa. Dinjii vidrii zhit doonchy'aa k'iighai' ginkhii t'igwinyąą.” 
42:6:046:0	“Jaghaii zhyaa, ‘Shik'eegwaadhat, Shik'eegwaadhat,’ shohnyąą gwiizhit deenakhwaihnyąą gwik'it t'akhwa'in kwaa? 
42:6:047:0	Juu shats'ą' haazhii, ts'ą' shiginjik oołk'įį ts'ą' shik'eegwahthat, ąįįt'ee jidii dinjii nilii nakhwaagwahaldak. 
42:6:048:0	Dinjii zheh gwiłtsąįį k'it t'inchy'aa. Nanzhit niighit khagwiindhat izhit kii kat zheh nigwiin'ąįį. Chųų ndak t'iizhik ts'ą' chųų viniitthak gaa needagwaanaii kwaa. Gwinzii gwakat deegwaa'aii geh'an. 
42:6:049:0	Gaa juu shiginjik oołk'įį ts'ą' gwik'it t'ii'in kwaa, ąįįt'ee dinjii zhyaa nankat k'ii'an zheh gwiłtsąįį k'it veegoo'aii. Nijin chųų gwakat t'iizhik dąį' khan needagwaanaii. Łyaa gwint'aii needagwaanaii!”
