42:23:001:1	Jesus, Pilate ts'ą' Nigiiyąąhchįį
42:23:013:0	Pilate ąįį giinkhih kįh dilk'ii nąįį, Israel kįh dilk'ii nąįį, dinjii nąįį haa khaihłan niinlii, 
42:23:014:0	ts'ą' jyaa goovahnyąą, “Jii dinjii shats'ą' noohchįį. ‘Dinjii nąįį teehilii,’ vohnyąą. Juk nakhwandah gwizhrįh naałchįį, gaa dee'ya' vohnyąą, ąįį ch'ihłak gaa gwik'it t'ee'ya' veegwaał'in kwaa. 
42:23:015:0	Herod chan diits'eeyihił'e' akwat adan chan gwik'it t'iiyahthan. K'eegwiichy'aa t'ee'ya' nakwaa akwat duuyeh tr'ąąhkhwąįį t'inchy'aa. 
42:23:016:0	Tr'ahahtrii veenjit gwahałtsyaa. Ąįįtł'ęę vineereheendal.” 
42:23:017:0	(Passover gwigwiłtsąįį nineegwiidhak hee Pilate zhee gwaazhrąįį gwats'an dinjii ch'ihłak chineehahchik goo'aii.) 
42:23:018:0	Juu zhat dilk'ii nąįį datthak jyaa ginyąą ts'ą' gazhral, “Vęhdaa tr'agǫh'ąįį! Barabbas diineenjit chinoohchįį!” 
42:23:019:0	(Barabbas t'ee dinjii ęhdaa tr'igwiin'ąįį ts'ą' chan veh'an dinjii nąįį nihłeegha' geh'an zhee gwaazhrąįį dhidii). 
42:23:020:0	Pilate ąįį Jesus vineeroonjii niindhan ts'ą' chan hee dinjii nąįį oahkat. 
42:23:021:0	Gaa gazhral ts'ą' jyaa ginyąą, “Cross kat gohtsak! Cross kat gohtsak!” 
42:23:022:0	Neekwat gwehkįį gavoahkat ts'ą' chan hee t'agoovahnyąą. “Jidii gwiizųų tr'agwah'ya' eenjit t'avohnyąą? Dee'ya' vohnyąą ąįį ch'ihłak gaa gwik'it t'ee'ya' veegwaał'in kwaa. Jaghaii tr'ahaahkhwaa vaashandaii kwaa. Tr'ahahtrii veenjit gwahałtsyaa. Ąįįtł'ęę vineereheendal.” 
42:23:023:0	Googaa nihk'it dinjii nąįį ąįįts'ą' giinkhih kįh dilk'ii nąįį gwint'aii gazhral ts'ą', “Jesus garohtsak!” ginyąą, ts'ą' t'ee gaayiideech'igiiłtsąįį. 
42:23:024:0	Ąįįts'ą' t'ee Pilate deeginyąą, “Gwik'it Jesus t'ireheelyaa,” nyąą. 
42:23:004:1	Jesus Giriłtsak
42:23:025:0	Ąįį juu dinjii zhee gwaazhrąįį chineerohchyaa giindhan, ąįį chinąąhchįį, ąįįt'ee yaagha' juu veh'an nihłich'eegha' ts'ą' dinjii diłkhwąįį reh. Ąįįts'ą' t'ee Jesus goovantł'ąhchįį, deegiiyuh'ya' giindhan gwik'it t'igiihah'yaa eenjit. 
42:23:026:0	Jesus gihłeegihiłchįį. Gihłeegihiijyaa gwiizhit Cyrene gwats'an dinjii, Simon oaazhii, kwaiik'it gwachoo ąįį oo'ok gwats'an k'idik łee ąįį adagaajil. Giiyąhtsit ts'ą' Jesus tąįį cross ichyaa giiyiłtsąįį. 
42:23:027:0	Dinjii lęįį nąįį yatąįį adaa. Gootee gwa'an tr'injaa lat nąįį gwint'aii giiyeenjit itree. 
42:23:028:0	Jesus goots'ą' neediil'ee ts'ą' jyaa goovahnyąą, “Jerusalem gwitr'injaa nąįį! Sheenjit ohtree kwaa. Nakhwagii chan ts'ą' ideenjit haa ts'ąįį ohtree. 
42:23:029:0	Niighit kwaa dinjii nąįį jyaa deeheenjyaa geenjit goo'aii, juu tr'injaa vigii kwaa ts'ą' digii ich'iłma' kwaa geenjit shoo oolį'! 
42:23:030:0	Izhit nigwiindhat ji' t'ee dinjii nąįį, ‘Ddhah diik'aa nooghyii ts'ą' taih chan geegoh'it diinohdli',’ giheenghyaa. 
42:23:031:0	Ts'iivii tth'aii diłtraa gwiizhit t'ee jyaa deegwehee'yaa, nijin ąįį ts'iivii traa dhidlit ji', gwandaa gwiizųų nagwahaatth'aa.” 
42:23:032:0	Dinjii neekwaii gwiizųų tr'agogwąh'ya'. Ąįį nąįį chan Jesus haa gigihiłtsak. 
42:23:033:0	Nijin taih, “Dinjii kiitth'an (Skull)” oaazhii, k'eegiidal dąį', Jesus chan ts'ą' ąįį dinjii iizųų neekwaii haa gagoogiłtsak. Ch'ihłak chan Jesus veeghaih shriits'ąįį dhidii ts'ą' ch'izhii chan tł'ohts'ąįį dhidii. 
42:23:034:0	Jesus jyaa nyąą, “Shiti', giveenjit oo'an gwihiinlii! Deegii'in t'igii'in gaagiindaii kwaa t'igii'in.” Kii tsal gahahtł'ak haa juu yagwach'aa ts'an hąąh'yaa eenjit tseegii'in.  
42:23:035:0	Dinjii nąįį tthak aakin gogwaa'įį gwiizhit Israel kįh dilk'ii nąįį giiyeedlaa. “Christ nilii ts'ą' Vit'eegwijyąhchy'aa gwitee tr'iiyąąhchįį t'inchy'aa ji', ch'izhii nąįį nahshii, akwat adan chan needoozhii jaghaii!” 
42:23:036:0	Niveet'ah'in nąįį chan giiyeedlaa. Giits'ą' nineedal ts'ą' jak chų' daatł'oo kwaa giits'ą' ootą', 
42:23:037:0	Ts'ą' jyaa ginyąą, “Jews nąįį goo-King inlii ji', needaanzhii!” 
42:23:038:0	Vehdee jii danahootł'oo, “Jii t'ee Jews nąįį eenjit King t'inchy'aa!” 
42:23:039:0	Ąįį juu veeghaii dinjii ch'ihłak giltsak ąįį shraa haa t'iiyahnyąą, “Christ inlii t'oonchy'aa, akwat gwats'an tr'eedaanchįį ts'ą' diikhwan chan gwats'an tr'eediinąąhchįį!” 
42:23:040:0	Ch'izhii dinjii chan ch'ats'ą' t'iiyahnyąą ts'ą' jyaa yahnyąą, “Vit'eegwijyąhchy'aa viyinjiihooh'ee? Datthak ts'ą' diirahaaghan. 
42:23:041:0	Diikhwan, ąįį łi'didlii haa t'idiirah'in, gwiizųų tr'agwarah'ya' ąįį geenjit diineegwarookwat izhit geh'an, gaa adan ąįį gwiizųų tr'agwah'ya' kwaa.” 
42:23:042:0	Ąįįts'ą' Jesus jyaa ahnyąą, “Shanandaii, Jesus, King dhindlit tł'ęę!” 
42:23:005:1	Jesus Tr'oołkhwąįį
42:23:043:0	Jesus t'iiyahnyąą, “Łi'didlii haa zhit juk drin zheekat shroonchy'aa goo'aii gwizhit shaa t'ahohchy'aa t'oonchy'aa.” 
42:23:044:0	Drin tł'an gwats'an gishreen'ąįį kwaa goodlit ts'ą' 3 o'clock gwats'ą' zhat nahkat datthak tǫǫ gwiinli'. 
42:23:045:0	Kharigidiinjii Zhee Gwachoo gwizhit gihdeiinvyaa gaa teetł'an nihtr'iinch'aa. 
42:23:046:0	Jesus shraa haa khashraa'iintrat, “Shiti'! Shanky'aa nanli' zhit gwihih'aa!” Jyaa nyąą ts'ą' niindhat. 
42:23:047:0	Niveet'ah'in nąįį ts'ą' Diik'eegwaadhat deegwiizhik gwąąh'in dąį', Vit'eegwijyąhchy'aa deehiił'ee ts'ą' jyaa nyąą. “Jii łyaa dinjii nizįį t'inchy'aa łee!” 
42:23:048:0	Nijin zhat dinjii dilk'ii nąįį deegwiizhik googwąąh'ya' dąį', oo'an digizheh tr'igwidii haa gwits'eegahoojil. 
42:23:006:1	Jesus Ohotsii
42:23:049:0	Gootee juu gwinzii Jesus haandaii nąįį, zhit juu tr'injaa Galilee gwats'an yatąįį adaa nąįį shriit'ąhthee gwa'an gwats'an tr'igwidii haa gwik'eegąąhtii. 
42:23:050-051:0	Judea nahkat gwizhit kwaiik'it gwachoo Arimathea goozhii gwats'an dinjii Joseph oaazhii. Dinjii nizįį akwat viyinjirihił'ee nilii. K'eegwaadhat Veegwinii'ee giheelyaa geenjit nagwal'in. Ąįį kįh dilk'ii nąįį tee dhidii, gaa Jesus deeroolyaa giinyą' dąį', adan ąįį goovaa gitr'ii'ee. 
42:23:052:0	Pilate ts'ą' niinzhii ts'ą', “Jesus vichį' shintł'eerohchyaa,” nyąą. 
42:23:053:0	Yichi' neenąhchįį ts'ą' ts'at dril zhit yahchįį. Ąįįtł'ęę kii zhit gweedii goo'aii gwizhit yahchįį. Ąįį tth'ank'it gwehkįį dinjii gitsii kwaa. 
42:23:054:0	Drints'ą' drin gweedhaa, ąįįts'ą' t'ee Neegwaazhii Drin nigwiighit. 
42:23:055:0	Ąįį tr'injaa juu Galilee gwats'an Jesus tąįį haajil nąįį Joseph haa gahaajil ts'ą' nijin Jesus vichį' vanaanjik googwąąh'in. 
42:23:056:0	Ąįįtł'ęę digizheh gwits'eegahoojil ts'ą' gwinzii vagwaatsan giiyeenjit shrinlik.Law zhit deegwinyąą gwik'it Neegwaazhii Drin tr'agogwąh'ya' kwaa.
