42:14:001:1	Jesus Dinjii Iłts'ik Shrinilik.
42:14:018:0	“Gaa gootee googwąąnchy'aa ts'ą' gwats'ą' gihijyaa gitr'igii'ee ts'ą' ch'ihłak jyaa nyąą,‘Gwanzhįh deek'it goiihkwat ts'ą' zhat nihihshyaa goo'aii; łyaa duuyeh ch'ara'aa nihshee,’ nyąą. 
42:14:019:0	“Ch'izhii chan jyaa nyąą, ‘Aak'ii ch'ihłoaatin oiikwat ts'ą' gwinzii gwitr'it googwahah'yaa ji' eenjit goovahał'yaa łyaa duuyeh ch'ara'aa nihshee,’ nyąą. 
42:14:020:0	“Ch'izhii chan jyaa nyąą, niighit kwaa dąį' goodhiijik ts'ą' ąįį geh'an duuyeh ch'arehee'aa nihshii. 
42:14:021:0	“Ąįį goots'ą' k'eedeegwaadhat vitsyaa oo'an neehoozhii ts'ą' deeginyąą datthak yaagwaandak. Ąįį zheh gwizhit gwats'ą' k'eedeegwaadhat nilii zhiilts'įį ts'ą' ąįį ditsyaa jyaa dahnyąą, ‘Khan oo'ok tąįį gwinjik gwa'an gwats'an neeshraahchy'aa chan ts'ą' veegogwantrii chan ts'ą' vandee kwaa chan ts'ą' neehidik kwaa nąįį haa oo'ee neegoovinlii,’ yahnyąą. 
42:14:022:0	“Ąįįts'ą' t'ee vitsyaa jyaa nyąą, ‘K'eedeegwaadhat, deegoo'ya' diinyąą chy'aa gwik'it t'igwiizhik gaa tth'aii hee lęįį nąįį ch'ihee'aa eenjit vakaa'aa dhidlii.’ 
42:14:023:0	“Ts'ą' t'ee gwats'ą' k'eedeegwaadhat ąįį ditsyaa jyaa ahnyąą, ‘Oo'ok nanhtee gwa'an tąįį gwinjik, ts'ą' tr'ał tee niighit gwats'an dinjii oo'ee neiinlii, ąįį ji' shizheh dinjii deedahąą'ąį'. 
42:14:004:1	Nats'ąą Jesus Vitsyaa Tr'iheelyaa
42:14:024:0	Nakhwaagwahaldak, zhit dinjii datthak juu ch'ihee'aa geenjit aanaii goovaihnyąą ch'ihłak gaa duuyeh ach'ał'aa t'oonchy'aa,’ nyąą.” 
42:14:025:0	Dinjii lęįį nąįį Jesus haa adaa. Goots'ii ahaa ts'ą' goots'ą' neediil'ee ts'ą' t'agoovahnyąą, 
42:14:026:0	“Juu shats'ą' hoozhi' niindhan, duuyeh shitsyaa nilii, akwat dahan, diti', da'at, digii, dachaa, dijuu, adan nąįį haa shandaa eet'iindhan ji'. 
42:14:027:0	Juu da-cross ichyaa kwaa ts'ą' shatąįį haazhii, ąįį duuyeh shitsyaa nilii t'oonchy'aa. 
42:14:028:0	Nakhwatee ch'ihłak zheh gwintsii gwahahtsyaa ji', tr'ookit heedyaa ts'ą' deegwahtsii gweheelyaa, akwat zheh gwintsii geenjit laraa di'įį ji', eenjit shrigweheelyaa. 
42:14:029:0	Jyaa diizhik kwaa ji', zheh gwitł'ee gwizhrįh nigwehee'aa ts'ą' ndak ts'ą' duuyeh shrigwilii. Ąįįts'ą' juu andah t'iizhik nąįį datthak giiyeheedlaa. 
42:14:030:0	‘Jii dinjii gwihiłtsąįį, gaa khyų' shrigwilii,’ jyaa digiheenjyaa. 
42:14:031:0	King ch'ihłak viniveet'ah'in 10,000 di'įį ts'ą' ch'izhii King ąįį chan 20,000 nąįį di'įį, ąįį nąįį haaghan ji', heedyaa ts'ą' gwinzii gininjich'ahahthat, ch'izhii King andaa t'ąąht'aii ji' eenjit. 
42:14:032:0	Gwandaa t'ąąht'aii kwaa ji', ch'izhii King niighit gwa'an dhidii gwiizhit yats'ą' nideech'ihee'aa, nihłigiheeghaa kwaa eenjit. 
42:14:005:1	Lisil Vagwaandaii Kwaa
42:14:033:0	Jesus ndaanich'igįįnkhee, “Izhit gwik'it, nakhwatee ch'ihłee gaa duuyeh shitsyaa nilii, jidii di'įį, datthak akhagoonyąą ji' gwizhrįh.” 
42:14:034:0	“Lisil nizįį, gaa vagwaandaii kwaa dhidlit ji' chan duuyeh lisil k'it vagwaandaii neerahtsii ąįį lisil iizųų. 
42:14:035:0	Nankat akwat nin trin kwaii eenjit gaa iizųų; ts'ą' oo'an tr'ahahtł'aa. Ch'oodǫǫhk'įį, nakhwadzee gwanlii ji'!”
