42:3:001:1	John Chųų Gwats'an Ąhtsii Nilii Gwaandak
42:3:014:0	Niveet'ah'in lat nąįį chan giiyųąhkat, “Diikhwan ąįį yu', deegwehee'yaa t'oonchy'aa?” giiyahnyąą.“Zhyaa dinjii ts'an laraa tr'ohłyaa shrǫ', ąįįts'ą' geenjit kwaa zhyaa dinjii iizųų dohnyą' shrǫ'! Jidii laraa ohtsii haa shoo ǫhłįį,” goovahnyąą. 
42:3:015:0	Izhit dąį' dinjii lęįį nąįį Christ goots'ą' tr'ahah'aa googwahąąh'yaa eenjit nagogwal'in ts'ą' John ąįį adan t'inchy'aa shrǫǫ giindhan. 
42:3:016:0	John t'agoovahnyąą, “Chųų nakhwats'an ałtsii, gaa shandaa t'ahtsii ąįį ahaa t'oonchy'aa, vakwaiitryaa dineehih'at gaa geenjit ihsįį kwaa. Adan ąįį Ch'anky'aa Shroodiinyąą ts'ą' kǫ' haa nakhwats'an chųų hahtsyaa.  
42:3:017:0	Tł'ooli' vaa ineech'ariitthak khaltin ąįį haa wheat nizįį kwaii gwitee tr'iheelyaa ts'ą' dadrah zhit nihdeeheelyaa geenjit gaa, zhit tł'ooli' wheat iizųų kwaii kǫ' nikyaa kwaa zhit yiheelyaa ts'ą' khit geenjit heek'an.” 
42:3:018:0	John nihłehjuk gwinlęįį dinjii nąįį K'eegwaadhat Vagwandak Nizįį haa gwaandak haa geegoovołtin. 
42:3:019:0	Gaa John ąįį Herod Governor khit ch'ats'ą' t'ahnyąą, doondee'at Herodias noonjik ts'ą' chan gwinlęįį gwiizųų tr'agwah'ya' geh'an. 
42:3:002:1	Jesus Chųų Vats'an Dhidlit.
42:3:020:0	Ąįįtł'ęę Herod, John zhee gwaazhrąįį naachįį dąį' gwandaa gwiizųų t'iizhik. 
42:3:021:0	Dinjii nąįį datthak chųų goots'an dhidlit ts'ą', Jesus chan chųų vats'an dhidlit. Khagidiinjii gwiizhit zheezhit nihky'aa t'igwiizhik gwąąh'in. 
42:3:003:1	Jesus Nijin Gwats'an Deedhaa.
42:3:022:0	Ąįįts'ą' Ch'anky'aa Shroodiinyąą, dziitsal dove k'it t'inchy'aa vakat needaanąįį. Ąįįtł'ęę gwideezhuh zheekat gwats'an jyaa nyąą, “Shidinji', łi'haa neet'iihthan ts'ą' łyaa nashoo ahłįį!” 
42:3:023:0	Nijin Jesus 30 years nilii gwanaa dąį' t'ee tr'ookit geech'ǫąąhtan, dinjii nąįį datthak Joseph vigii t'inchy'aa gwich'in giiyuunyąą. Jii nąįį t'ee ts'an deedhaa: Joseph t'ee Heli vidinji' nilii, 
42:3:024:0	Heli chan Matthat vidinji' nilii,Matthat chan Levi vidinji' nilii,Levi chan Melchi vidinji' nilii,Melchi chan Jannai vidinji' nilii,Jannai chan Joseph vidinji' nilii, 
42:3:025:0	Joseph chan Mattathias vidinji' nilii,Mattathias chan Amos vidinji' nilii,Amos chan Nahum vidinji' nilii,Nahum chan Esli vidinji' nilii,Esli chan Naggai vidinji' nilii, 
42:3:026:0	Naggai chan Maath vidinji' nilii,Maath chan Mattathias vidinji' nilii,Mattathias chan Semein vidinji' nilii,Semein chan Josech vidinji' nilii, Josech chan Joda vidinji' nilii, 
42:3:027:0	Joda chan Joanan vidinji' nilii,Joanan chan Rhesa vidinji' nilii,Rhesa chan Zerubbabel vidinji' nilii,Zerubbabel chan Shealtiel vidinji' nilii,Shealtiel chan Neri vidinji' nilii, 
42:3:028:0	Neri chan Melchi vidinji' nilii,Melchi chan Addi vidinji' nilii,Addi chan Cosam vidinji' nilii,Cosam chan Elmadam vidinji' nilii,Elmadam chan Er vidinji' nilii, 
42:3:029:0	Er chan Joshua vidinji' nilii,Joshua chan Eliezer vidinji' nilii,Eliezer chan Jorim vidinji' nilii,Jorim chan Matthat vidinji' nilii,Matthat chan Levi vidinji' nilii, 
42:3:030:0	Levi chan Simeon vidinji' nilii,Simeon chan Judah vidinji' nilii,Judah chan Joseph vidinji' nilii,Joseph chan Jonam vidinji' nilii,Jonam chan Eliakim vidinji' nilii, 
42:3:031:0	Eliakim chan Melea vidinji' nilii,Melea chan Menna vidinji' nilii,Menna chan Mattatha vidinji' nilii,Mattatha chan Nathan vidinji' nilii,Nathan chan David vidinji' nilii, 
42:3:032:0	David chan Jesse vidinji' nilii,Jesse chan Obed vidinji' nilii,Obed chan Boaz vidinji' nilii,Boaz chan Salmon vidinji' nilii,Salmon chan Nahshon vidinji' nilii, 
42:3:033:0	Nahshon chan Amminadab vidinji' nilii,Amminadab chan Admin vidinji' nilii,Admin chan Arni vidinji' nilii,Arni chan Hezron vidinji' nilii,Hezron chan Perez vidinji' nilii,Perez chan Judah vidinji' nilii, 
42:3:034:0	Judah chan Jacob vidinji' nilii,Jacob chan Isaac vidinji' nilii,Isaac chan Abraham vidinji' nilii,Abraham chan Terah vidinji' nilii,Terah chan Nahor vidinji' nilii, 
42:3:035:0	Nahor chan Serug, vidinji' nilii,Serug chan Reu vidinji' nilii,Reu chan Peleg vidinji' nilii,Peleg chan Eber vidinji' nilii,Eber chan Shelah vidinji' nilii, 
42:3:036:0	Shelah chan Cainan vidinji' nilii,Cainan chan Arphaxad vidinji' nilii,Arphaxad chan Shem vidinji' nilii,Shem chan Noah vidinji' nilii,Noah chan Lamech vidinji' nilii, 
42:3:037:0	Lamech chan Methuselah vidinji' nilii,Methuselah chan Enoch vidinji' nilii,Enoch chan Jared vidinji' nilii,Jared chan Mahalaleel vidinji' nilii,Mahalaleel chan Cainan vidinji' nilii, 
42:3:038:0	Cainan chan Enos vidinji' nilii,Enos chan Seth vidinji' nilii,Seth chan Adam vidinji' nilii,Adam chan Vit'eegwijyąhchy'aa vidinji' nilii.
