42:7:001:1	Jesus, Roman Niveet'ah'in Kheihkwaii Vitsyaa Ineegwahdaii
42:7:013:0	Nijin K'eegwaadhat Jesus yąąh'in dąį' łyaa gwantł'oo neeshraahchy'aa yuunyąą ts'ą' t'iiyahnyąą, “Intree kwaa!” 
42:7:014:0	Ąįįts'ą' yits'ą' haazhii ts'ą' yidachantyąą kat naanjik, ąįį juu yidachantyąą gee'aa nąįį khaihłan nigiilzhii nagaanaii. Jesus t'iiyahnyąą, “Shalak, ndak dhindii!” 
42:7:015:0	Ąįį tsyaa niindhat khakee'ąįį ts'ą' khaginkhee. Jesus yahan intł'ineeyahchįį. 
42:7:016:0	Juu nąįį datthak gihilghaa ąįįts'ą' K'eegwaadhat hil'ee agahnyąą. “Jii dinjii łi'haa hil'ee ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii t'inchy'aa! Diik'eegwaadhat dinjii nąįį neehahshii eenjit diits'ą' haazhii.” 
42:7:003:1	John Chųų gwats'an Ąhtsii Nilii ąįį Vats'an Tr'ihił'e' Nąįį.
42:7:017:0	Jii Jesus deezhik Judea nahkat nihky'aa nankat datthak vagwandak goodlit. 
42:7:018:0	John vitsyaa nąįį Jesus dee'in datthak eenjit giiyaagwaandak ąįįtł'ęę gootee neekwaii nąįį aanaii ahnyąą. 
42:7:019:0	Ąįį nąįį Diik'eegwaadhat Jesus ts'ą' goovihił'e' jii giiyuuhaahkat eenjit, “Nan lee John k'eehindik nahnyąą chy'aa lee t'inchy'aa? Akwat ch'izhii dinjii lee t'arahnyąą?” 
42:7:020:0	Nijin Jesus ts'ą' tr'igin'oo dąį' jii giiyųąhkat, “John chųų gwats'an ąhtsii nilii nats'ą' diihił'e', naroohaahkat eenjit ‘Nan lee k'eehindik nahnyąą chy'aa lee t'inchy'aa? Akwat ch'izhii dinjii geerooheelyaa lee t'agwarahnyąą?’” 
42:7:021:0	Izhit zhat gwiizhit Jesus, dinjii ts'ik daazhyaa haa iłts'ik nąįį, ąįįts'ą' juu vizhit ch'anky'aa iizųų nąįį datthak shrinilii. Zhit juu vandee kwaa nąįį chan haa gweech'in neegwąhtsii. 
42:7:022:0	Jesus, John vitsyaa nąįį t'ahnyąą “Oo'an neegahoo'oo ts'ą' jii jidii gǫǫh'ya' ts'ą' jidii dohtth'ak geegǫǫndak. Juu vandee kwaa nąįį chan gwah'in niłtsąįį. Juu neehidik kwaa nąįį chan juk neehiidal. Juu vatthąį' ahjat (leprosy) haa iłts'ik nąįį chan gookat ch'akwaa. Juu vidzii gwakwaa nąįį chan juk ch'iitth'ak. Juu niindhat nąįį chan neegogwandaii. Ąįįts'ą' Gwandak Nizįį chan neeshraahchy'aa nąįį ts'ą' geerǫąąhtan 
42:7:023:0	Juu łyaa shik'injiighit duuyeh shihłeehidii nąįį haa shrigweheechy'aa!” 
42:7:024:0	John vitsyaa nąįį neegahoo'oo ąįįtł'ęę Jesus dinjii lęįį nąįį ts'ą' nadhat ts'ą' John eegoovaagwaandak, “Nijin oo'ok nangwinjir John vats'ą' noojil dąį', jidii hǫǫh'yaa gwich'in nohthan? Tł'oo ts'ik tsal ahtr'aii yichik hǫǫh'yaa nohthan? 
42:7:025:0	Jidii hǫǫh'yaa eenjit t'akhwa'in? Dinjii gwach'aa zų' naazhii hąąh'yaa eenjit lee? Łyaa juu jyąhts'ą' nagwaazhii nąįį t'ee zhee gwachoo gwihil'ee gwizhit gwizhrįh gooraah'in t'oonchy'aa. 
42:7:026:0	Shaagwandak, jidii hąąh'yaa eenjit t'ini'in? Dinjii Vit'eegwijyąhchy'aa Eenjit Ginkhii hąąh'yaa eenjit lee? Aahą', nakhwaagwahaldak, ąįį k'it t'inchy'aa dinjii andaa veegoo'aii nǫh'ya' t'oonchy'aa. 
42:7:027:0	Ąįį John t'ee Dęhtły'aa Choh zhit jyąhts'ą' veerigiinkhe', ‘Sheenjit tr'ihił'e' nilii, Vit'eegwijyąhchy'aa nyąą, nakhwadeets'ii nahałchyaa, nakhweenjit shrigweheelyaa eenjit.’ 
42:7:028:0	Nakhwaagwahaldak,” Jesus nyąą, “Dinjii gwandaii ch'ihłak gaa yandaa ts'ą' veegoo'aii kwaa, gaa juu K'eegwaadhat Veegwinii'ee gwizhit jyaa dagwahtł'oo veegoo'aii kwaa nąįį giiyandaa ts'ą' gooveegoo'aii.” 
42:7:029:0	Zhit dinjii datthak ąįįts'ą' dinjii tax eenjit laraa oonjii nilii nąįį giiyiitth'ak, geedan it'ee Vit'eegwijyąhchy'aa k'eegwigwiłthat geh'an John goots'an chųų iłtsąįį. 
42:7:030:0	Gaa zhit Pharisee nąįį chan ts'ą' Law eech'ǫąąhtan nąįį Vit'eegwijyąhchy'aa doo'ya' goovoonyąą ąįį gwits'į' t'iginchy'aa ts'ą' John goots'an chųų ąhtsii gitr'igii'ee. 
42:7:031:0	“Juk gweendaa gwidinjii nąįį nats'ąą gook'it teech'igihihkhyaa? Jidii k'it t'inchy'aa dinjii ginlii? 
42:7:032:0	Zhit gwa'an gwadal tr'ookwat dehk'it goo'aii gwa'an tr'iinin dilk'ii k'it t'iginchy'aa. Oo'an nihts'ą' gazhral ts'ą' jyaa nihłagaanyąą, ‘Nihłeegwarahchįį gwich'ilik nakhweenjit ach'araahłii gaa ch'oodzaa kwaa. Dinjii anarahjii gwich'ilik nakhweenjit ach'araahłii gaa ohtree kwaa.’ 
42:7:033:0	Nijin John chųų gwats'an ąhtsii nilii ąįį k'idik dąį' adach'agaa'aa kwaa ts'ą' jak chų' chan dinįį kwaa gwiizhit jyaa davohnyąą, ‘Zhit vizhit ch'anky'aa iizųų dhidii!’ 
42:7:034:0	Gwidinji' k'idik ts'ą' ch'in'al ts'ą' ch'eenį' ąįįtł'ęę jyaa vaiinyą', ‘Jii dinjii nǫh'in! Gwintł'oo chan ch'a'aa ts'ą' chan gwintł'oo chan ch'iinįį. Dinjii tax eenjit laraa oonjii nąįį chan ts'ą' tr'aanduu nąįį jyaa nilii.’ 
42:7:004:1	Jesus, ąįį Pharisee Dinjii Simon Oaazhii Vizheh Noozhii.
42:7:035:0	Gaa juu gwizhit gwandaii ts'ą' gwik'it t'igii'in nąįį t'ee Vit'eegwijyąhchy'aa vigwizhi' łi'didlii gahtsik.” 
42:7:036:0	Pharisee dinjii ch'ihłak ąįį Jesus yaaneech'ihee'aa eenjit aanaii ahnyąą. Jesus ąįį yizheh gwats'ą' haazhii ts'ą' ch'ihee'aa eenjit gat'ąąnchįį. 
42:7:037:0	Tr'injaa ch'ihłak vatr'agwaanduu gwanlii ąįį Jesus t'ee Pharisee vizheh neech'a'aa gwinyąą gwiitth'ak ąįįts'ą' zhat gwats'ą' haazhii, Alabaster tyah zhit gwanzhįh chų' gwinzii vagwaatsan chan neeha'ak. 
42:7:038:0	Jesus gat'ąąnchįį gwiizhit yakwai' ant'ii niinzhii ts'ą' itree. Vitree chų' Jesus vakwai' kat daa'il ąįįts'ą' dikiighai' haa yach'ahjii ts'ą' yakwai' naats'ų' ąįįtł'ęę ąįį gwanzhįh chų' yakat t'inlik. 
42:7:039:0	Nijin ąįį Pharisee gwąąh'in dąį', adats'ą' niinjich'adhat, “Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii, gaa jii tr'injaa iizųų nilii yaandaii kwaa.” 
42:7:040:0	Jesus khaginkhee ts'ą' t'iiyahnyąą, “Simon, jii naagwahaaldak.”“Aahą', shigeech'ǫąąhtan shaagwandak.” 
42:7:041:0	“Jii gwandak eenaagwahaldak, Dinjii neekwaii nąįį laraa geedantł'oo nilii ąįį laraa gooveedaantł'oo. Ch'ihłak $500 denarius eedąąntł'oo. Ąįįts'ą' ch'ihłak chan $50 denarius. 
42:7:042:0	Nihłaa ts'ą' laraa gii'įį kwaa geh'an khyų' giineegookwat, ąįįts'ą' ąįį laraa gooveedaantł'oo shineegohkwat gwat'oohchy'aa kwaa goovahnyąą. Juu shrit ch'andaa ąįį dinjii laraa gooveedaantł'oo eet'igehęęnghyaa li'?” 
42:7:043:0	Akhai' Simon t'inyąą, “Duulee ąįį juu ch'andaa gwats'ą' gaandaii reh.”“Łyaa t'iinyąą!” Jesus yahnyąą. 
42:7:044:0	Ąįįtł'ęę ąįį tr'injaa ts'ą' neediil'ee ts'ą' Simon t'ahnyąą. “Jii tr'injaa nah'in? Nizheh nihdeiinzhii dąį' shakwai' eenjit chųų shintł'eiinkaii kwaa gaa jii tr'injaa ąįį ditree chų' haa shakwai' k'eech'ąhtryaa ts'ą' dikiighai' haa yach'ąhjik. 
42:7:045:0	Łyaa ch'eeshroonchy'aa haa nihdeeshąąhchįį kwaa gaa jii tr'injaa ąįį nihdeiinzhii dąį' gwats'an shakwai' naats'ų'. 
42:7:046:0	Shiki' eenjit olive ghwai' shintł'in'ąįį kwaa gaa jii tr'injaa ąįį gwanzhįh chų' gwinzii vagwaatsan shakwai' kat t'inlik. 
42:7:047:0	Naagwahaaldak, vatr'agwaanduu oo'an gweheedaa, ąįį geh'an łyaa gwantł'oo sheet'iindhan. Juu vatr'agwaanduu gwanlii veenjit oo'an gwirihilii dąį' gwandaa ch'eet'igwiniindhan di'įį.” 
42:7:048:0	Ąįįtł'ęę Jesus tr'injaa t'ahnyąą, “Natr'agwaanduu neenjit oo'an gahoilii.” 
42:7:049:0	Ąįį juu dinjii zhat ch'a'aa nąįį adats'ą' niinjich'agadhat, “Dinjii atr'agwaanduu gaa oo'an gwihilii! Jii juu dinjii t'inchy'aa?” 
42:7:050:0	Gaa Jesus ąįį tr'injaa t'ahnyąą, “Nigwik'iinjigwiighit eh'an neehįįnzhii, tsinehdan naa oolį'.”
