42:22:001:1	Jesus Tr'ahaahkhwaa Giiyeenjit Gwiłtsąįį.
42:22:013:0	Jerusalem kwaiik'it gwats'ą' gahaa'oo ts'ą' t'ee Jesus deegoovahnyąą chy'aa datthak gogogwąh'ąįį ts'ą' t'ee Passover drin eenjit ch'arehee'aa shrigwigwiinlik. 
42:22:014:0	Nijin zhat nigwiindhat dąį', Jesus vakaii'aa ts'ą' Tr'ihił'e' nąįį haa naadii. 
42:22:015:0	Ąįį t'agoovahnyąą, “Khaiinjich'isheheeghit gwehkįį jii Passover nakhwaa noih'aa nihthan. 
42:22:016:0	Nakhwaa gwaldak. Jii Passover, chan duuyeh nakhwaa neih'aa, dahthee K'eegwaadhat Veegwinii'ee zhit gwik'it gweheelyaa gwats'ą'.” 
42:22:017:0	Nijin Jesus chųų tyah oonjik dąį', Vit'eegwijyąhchy'aa ts'ą' “Mahsį',” nyąą. Ąįįtł'ęę givintł'eeyiinkaii. “Jii jak chų' nakhwatee googwąąnchy'aa ts'ą' akhwanįį. 
42:22:018:0	Nakhwaa gwaldak duuyeh vats'an ishinįį dahthee K'eegwaadhat Veegwinii'ee nineegweheedhaa gwats'ą'.” 
42:22:019:0	Ąįįtł'ęę łųhchy'aa oonjik ts'ą' Vit'eegwijyąhchy'aa ts'ą', “Mahsį',” nyąą. Ąįįtł'ęę łeeyiiłnaii ts'ą' givintł'eeyąhtsit ts'ą' t'inyąą, “Jii t'ee shatthąį', nakhweenjit Vit'eegwijyąhchy'aa antł'eehałchaa. Jii shineehoondaii eenjit jyaa dakhwa'in.” 
42:22:020:0	Ąįį chųų tyah chan gwik'it t'inlik. Ch'igiin'al tł'ęę chųų tyah oonjik ts'ą' t'inyąą, “Jii jak chų' t'ee Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'iizhik shadaa nakhweenjit gwats'an hahtsyaa. 
42:22:021:0	“Gooh'in! Jii juu gwintł'eeshahahchyaa, juk dzaa vakaii'aa ts'ą' shaa dhidii! 
42:22:022:0	Vit'eegwijyąhchy'aa jyaa nyąą geh'an Gwidinji' niheedhaa, gaa zhit juu gwintł'eeyąhchįį łyaa veenjit gitr'iih'ee!” 
42:22:005:1	Juu Gwitee Ch'andaa Hil'ee Eenjit Nihzheedagąąn'ee
42:22:023:0	Ąįįtł'ęę nihłagoahkat, diitee juu t'ahnyąą? 
42:22:024:0	Juu gootee ch'andaa hil'ee eenjit vitsyaa nąįį nihzheedagąąn'ee. 
42:22:025:0	Jesus jyaa goovahnyąą, “Jii nankat gwi-King nąįį datthak nankat gwidinjii datthak eenjit t'aih gii'įį, ąįįts'ą' zhit gwats'ą' k'eegwaadhat nąįį, Dinjii nąįį ‘Jyaa',’ jyąhts'ą' goovoozhri'. 
42:22:026:0	Gaa nakhwaa jyaa deegweheechy'aa kwaa goo'aii. Nakhwatee juu ch'andaa hil'ee ąįį zhit khaiints'ą' k'it t'iheechy'aa goo'aii. Ąįįts'ą' juu kįh dhidii chan ch'itsyaa heelyaa k'it t'iheechy'aa goo'aii. 
42:22:027:0	Juu shrit ch'andaa hil'ee, zhit juu ch'ihee'aa eenjit dhidii akwat zhit juu ch'itsyaa nilii? Zhit juu dhidii reh. Gaa shįį ąįįt'ee nakhwatee ch'itsyaa ihłii gwik'it t'ishi'yaa. 
42:22:028:0	“Shaa gogwantrii dąį', datthak shaa t'oochy'a'. 
42:22:029:0	Ąįįts'ą' Zheekat Shiti' t'aih shats'an ąhtsii gwiłtsąįį, izhit gwik'it shant'ee jyaa danakhwahihłyaa. 
42:22:006:1	Peter ąįį Jesus Haandaii Kwaa Heenjyaa ąįį Jesus Geegwaandak.
42:22:030:0	Gwats'ą' k'eegwaldhat gwizhit vakat ch'ara'aa kat ch'ahoh'aa ts'ą' ch'akhwanjyaa. Ąįįts'ą' Israel nahkat neezheedijii ch'ihłoaatin ts'ą' neekwaii (12) nąįį gwich'įį eenjit k'eegwahaadhat.” 
42:22:031:0	“Simon, Simon! Ch'oodǫǫhk'įį! Satan nakhwatee gwąąnchy'aa nakhwaa tr'agwahaah'ya', nizįį nąįį iizųų nąįį ts'an tr'iheelyaa, dinjii gwąąhshii dagwanzhih tee tr'igwilii gwik'it. 
42:22:032:0	Gaa neenjit khadigiidi' t'oonchy'aa Simon, nigwik'iinjigwiighit akhagoohiinjyaa kwaa geenjit. Nijin shits'eenoozhii tł'ęę, nachaa nąįį gook'injigwiighit t'aih neehahtsyaa gwizhrįh.” 
42:22:033:0	Peter jyaa yahnyąą, “Shik'eegwaadhat, it'ee zhee gwaazhrąįį naa gwats'ą' hihshyaa ts'ą' naanihihthaa eenjit nanoodhal'in!” 
42:22:007:1	Laraa Dhah, Khwah Chan Ts'ą' Shrii Choh
42:22:034:0	“Naagwahaaldak Peter, tik agwaanchy'aa shaanandaii kwaa hinjyaa gwats'ą' datthak juk khaa rooster hahchyaa kwaa t'oonchy'aa,” jyaa yahnyąą. 
42:22:035:0	Ąįįtł'ęę Jesus jyaa goovahnyąą, “Nijin laraa dhah, khwah chan ts'ą' dachan kwaiitryah haa ehdan nakhwahooł'e' dąį' nik'ee k'aiich'i' t'oohchy'a'?”“K'eiich'i' t'eegwaahchy'aa kwaa,” ginyąą. 
42:22:036:0	“Gaa juk, juu laraa dhah akwat khwah haa di'įį ji' adahaayehee'aa gwizhrįh. Ąįįts'ą' juu vishrii choo kwaa chan di'ik laraa t'įį hahchal ts'ą' shrii choh ooheekwat gwizhrįh. 
42:22:037:0	Jii geenjit nakhwaagwahaldak, Dęhtły'aa Choh kat gwa'an jyaa deegwinyąą, ‘Law łaahnaii k'it giits'ą' tr'agwah'in.’ Ąįįt'ee łyaa sheenjit gwik'it gweheelyaa gwizhrįh goo'aii. Ąįį sheenjit gwadanakhwatł'oo gwik'it gweheelyaa geh'an.” 
42:22:008:1	Taih Vakat Olives Nahshii
42:22:038:0	“Shik'eegwaadhat,” giiyahnyąą, “Juk dzaa shrii choh neekwaii dhitin.”Akhai' jyaa goovahnyąą, “Jyaa dohnyąą kwaa!” 
42:22:039:0	Ąįįtł'ęę Taih Vakat Olives Nahshii chan hee Jesus ditsyaa nąįį haa gwits'eehoozhii. 
42:22:040:0	Nijin zhat k'eegiidal dąį', jyaa goovahnyąą, “Neenakhwareheen'ee gwizhit gwiizųų tr'agahoh'yaa kwaa geenjit khadagohjii.” 
42:22:041:0	Ąįįtł'ęę t'ee goołeehaazhii, kii nireheetthaa gąhthee gwa'an nikiigwiintthaii ts'ą' khadigiinjii. 
42:22:042:0	“Shiti', Gwik'it t'ini'yaa ji', jii chųų tyah shats'an tr'iin'ąįį. Shįį deeyiihthan ąįį gwik'it nǫh'ya' shrǫ', gaa nan deenoo'ya' niindhan ąįį gwik'it t'ini'in.” nyąą. 
42:22:043:0	Ąįįtł'ęę zheekat gwats'an Zheekat Gwich'in t'aih yintł'eehee'aa eenjit vats'ą' igwiilkįį. 
42:22:044:0	Ąįįtł'ęę gwint'aii khadigiinjii ts'ąįį gaa viniteiinjat ts'ą' gwintł'oo tr'igwidii ts'ą' dah k'it t'inchy'aa vats'an nankat daa'il. 
42:22:045:0	Nijin khadigiinjii gwats'an ndak ninehjin dąį', Vitsyaa Nąįį tr'igwidii haa giłchųų chy'aa ts'eehoozhii. 
42:22:009:1	Jesus Tr'oonjik
42:22:046:0	“Jaghaii dhohchųų?” goovahnyąą. “Khakyuuzhii ts'ą' neenakhwariheen'ee gwizhit gwiizųų tr'agahoh'yaa kwaa geenjit khadagohjii!” 
42:22:047:0	Jesus tth'aii hee ginkhii gwiizhit lęįį nąįį zhat k'eedal vitsyaa ch'ihłak, Judas oaazhii, ąįį goots'ii ahaa ąįį Jesus ts'ą' niinzhii ts'ą' yiilts'ų'.  
42:22:048:0	Gaa Jesus ąįį jyaa yahnyąą, “Judas, shįį t'ee Gwidinji', gwintł'eeshąhchįį, ąįį ts'ų' haa lee t'ini'in?” 
42:22:049:0	Jesus vitsyaa nąįį deegweheenjyaa t'igwinyąą gwik'igaanjik dąį', jyaa ginyąą, “Diizhrii haa gooroogha' jaghaii, K'eegwaadhat?” 
42:22:050:0	Gootee ch'ihłee zhit ndak khii giinkhih choh vi-slave ch'ihłak iłkhaa ts'ą' shriits'ąįį yidzee gadąąhtrit. 
42:22:051:0	Gaa Jesus ąįį jyaa nyąą, “Jyaa dineekhwa'yaa kwaa t'oonchy'aa!” Ąįįtł'ęę ąįį dinjii vidzee kat naanjik ts'ą' shranaazhik. 
42:22:052:0	Zhat giinkhih k'įh dilk'ii nąįį chan ts'ą' Kharigidiinjii Zhee Gwachoo gwak'ąąhtii chan ts'ą' Israel k'įh dilk'ii nąįį yuuhaanjik nąįį jyaa ahnyąą, “Law łaahnaii iizųų ihłii k'it zhit shrii choh, gałkhwąįį haa sheenjit t'oohchy'aa gwat'oohchy'aa lee t'akhwa'in? 
42:22:010:1	Peter, Jesus Haandaii Kwaa, Nyąą
42:22:053:0	Drin gwiteegwaanchy'aa Kharigidiinjii Zhee Gwachoo gwizhit nakhwaadhiidii gaa shǫhjii gwik'eegǫhdaii kwaa. Juk zhat t'ee deekhwa'yaa goo'aii chy'aa gwik'it t'akhwa'in. Khaa hee tr'aanduu digwitr'it t'agwah'in gwiizhit.” 
42:22:054:0	Jesus goonjik ts'ą' ndak khii giinkhih choh vizheh gwats'ą' giihiłchįį. Peter ąįį gootąįį niighit ahaa. 
42:22:055:0	Ndak khii giinkhih choh zheh gokwantee gwigwiiłk'a' ts'ą' Peter zhat juu kǫ' eelin dilk'ii nąįį teiinzhii. 
42:22:056:0	Nijin gootee nich'it tsal giveetr'agwah'in nilii, ąįį Peter kǫ' ts'ą' dhidii niił'in dąį', yąąh'in ts'ą' jyaa nyąą, “Jii dinjii Jesus haa neehidik t'inchy'aa!” 
42:22:057:0	Gaa Peter, “Ąįį nakwaa!” nyąą. “Tr'injaa, ąįį vaashandaii kwaa t'inchy'aa!” 
42:22:058:0	Ąįįtł'ęę ch'izhii dinjii chan niyiił'in ts'ą' jyaa nyąą, “Nan chan gootee gwats'an inlii łee!”Gaa Peter ąįį jyaa nyąą, “Shįį t'ihchy'aa kwaa, naihnyą'!” 
42:22:059:0	Ąįįtł'ęę niighit gwahaadhat kwaa tł'ęę dinjii ch'ihłak jyaa nyąą, “Jii dinjii t'ee łyaa vaa yaał'ya' t'inchy'aa, Galilee gwats'an ahaa geh'an reh!” 
42:22:060:0	Gaa Peter t'iiyahnyąą, “Dinjii, jidii eeginkhii t'iinyąą gaashandaii kwaa!” Zhazhat tth'aii ginkhii gwiizhit rooster haahchik.  
42:22:061:0	Diik'eegwaadhat Jesus neediil'ee ts'ą' Peter nah'in. Ąįįts'ą' Peter Diik'eegwaadhat deiinyą' chy'aa yiginjik anaanjik, jii jyaa diyaiinyą', “Juk drin rooster haahchyaa gwats'ą' tik agwaanchy'aa shaanandaii kwaa hinjyaa.” 
42:22:011:1	Jesus Giiyeedlaa ts'ą' Giiyąąhkhwąįį
42:22:062:0	Peter chyahaazhii ts'ą' gwint'aii iintrii. 
42:22:063:0	Ąįį juu dinjii Jesus k'ąąhtii nąįį giiyeedlaa ts'ą' giiyąąhkhwąįį. 
42:22:064:0	Giiyandee tł'an dineech'ahchal ts'ą' giiyųąhkat, “Juu nilgwat? Diinaa gwandak lee?” 
42:22:012:1	Jesus, Israel Gwich'in Kįh Dilk'ii Nąįį ts'ą' Nigiiyąąhchįį
42:22:065:0	Ants'ą' gwinlęįį geenjit zhideegiiyąąhts'įį. 
42:22:066:0	Drin neegahoodlit dąį', Israel kįh dilk'ii nąįį, giinkhih kįh dilk'ii nąįį chan ts'ą' Law eech'ǫąąhtan nąįį khaihłan nigiinjil ts'ą' nigiiyąąhchįį. 
42:22:067:0	“Diinaa gwandak,” giiyahnyąą, “Nan lee Christ Diik'eegwaadhat t'inchy'aa?”Jyaa goovahnyąą, “Nakhwaagwaldak ji', duuyeh shik'iinjuhkhit, 
42:22:068:0	ąįįts'ą' shįį chan nakhwaałkat ji', duuyeh shidiineegoohjii. 
42:22:069:0	Gaa juk gwats'an Zheekat Gwidinji' ąįį Vit'eegwijyąhchy'aa datthak geenjit t'aih di'įį veeghaii shriits'ąįį heedyaa.” 
42:22:070:0	Datthak jyaa ginyąą, “Akwaa ji', nan lee Vit'eegwijyąhchy'aa Vidinji' t'inchy'aa?”Jyaa goovahnyąą, “Nakhwan, ąįįt'ee jyaa dashohnyąą.” 
42:22:071:0	Ąįįts'ą' jyaa nihłagaanyąą, “Juk t'ee dinjii yeediinaagwahaandak veenjit t'eegwaahchy'aa kwaa! Diinandah deiinyą' gwizhrįh, gaa gwinzii!”
