41:14:001:1	Jesus diyoolyéełgo binahast'ą́
41:14:021:0	Háálá Diné Silį́į'ii t'áá bá bee ak'e'ashchínígi bik'ehgo ábidi'doolnííł, nidi Diné Silį́į'ii ninázhdiní'ánígíí, éí doo hojooba' ájíníi da! Éí dinéhígíí t'áadoo ho'dizhchį́į́jígo há yá'át'ééh nít'éé'. 
41:14:022:0	Áko da'jiyą́ągo bááh néidii'ą́ągo yik'i sodoolzingo niyiizti' índa hataiznii'go áhodííniid, Nídahidooh'aahgo daohsą́; díí shits'íís át'é. 
41:14:023:0	Áko doodlį́įłii néidiiką́, áádóó sodoolzingo yaa ahééh niizį́į'go hainíką́, áko ałtadzideeską́ągo t'áá ádzíłtso dajoodlą́ą́'. 
41:14:024:0	Áko ábizhdííniid, Díí shidił, bee aha'deet'áanii ániidíii, diné t'óó ahayóí bá deezna'ígíí át'é. 
41:14:025:0	T'áá aaníígóó ánihidishní, Kodóó ch'il na'atł'o'ii bitoo' doo ła' náádeeshdlį́įł da, Diyin God bee bóhólníihgo bił haz'áanii biyi'di índa ch'il na'atł'o'ii bitoo' ániidíii náádeeshdlį́į́ł. 
41:14:006:1	Peter éí, Jesus doo bééhasin da, bidizhdooniiłígíí t'áá bítséedi baa hane'
41:14:026:0	Áádóó sin ła' bee dahojíítáalgo, Dził Álivz hoolyéhígóó dashdiikai. 
41:14:027:0	Áko Jesus áháłní, Díí tł'éé' t'áá ánółtso shiniinaa t'ą́ą́' anídínóohdah, háálá kót'éego bee ak'e'ashchį́,Na'niłkaadii atídeeshłííł,áádóó dibé da'níłts'ą́ą́'góó taidoojah.  
41:14:028:0	Nidi dasétsą́ą́dę́ę́' nááshi'diilzáádóó bik'ijį' Gáliliigóó nihiba' yisháał dooleeł. 
41:14:029:0	Nidi Peter áháłní, Azhą́ t'áá ádzíłtso t'ą́ą́' anázhníídee' nidi, shí éí ts'ídá doo t'ą́ą́' anídeeshtłish da. 
41:14:030:0	Áádóó Jesus áháłní, T'áá aaníígóó ándishní, T'áá díí tł'éé' naa'ahóóhai biką'í t'áadoo naakidi ániihí, táadi, Doo hwééhasin da, náshididíí'niił. 
41:14:007:1	Gethsémaniigi Jesus sodilzin
41:14:031:0	Nidi bił ni'deeltáalgo hadzoodzíi'go ájíní, T'áá níighah dasétsą́ą nidi, Doo hwééhasin da, doo nidideeshniił da. Nít'éé' t'áá ałtso t'áá ákót'éego hadaasdzíí'. 
41:14:032:0	Áádóó Gethsémanii hoolyéhígi jíkaigo hódahooł'aahii ábizhdííniid, T'áá kwe'é nahísóotą́, shí nahí sodideeszįįł. 
41:14:033:0	Áko Peter áádóó James índa John bił dashdiikai, nít'éé' t'áá íiyisí yíní biih níjíítłizh áádóó nitsidzídzá. 
41:14:034:0	Áko ábizhdííniid, Shii' sizíinii nitseeltłah, t'áá hoyółhéełgo. T'áá kǫ́ǫ́ nahísóotą́ągo shił hada'ísídół'į́į́'. 
41:14:035:0	Áádóó t'áá áháníjį' dashdiiyáago ákwii tsé'yaa jineeshjoolgo kójíníigo sozdoolzin, Bohónéedzą́ą́ ládą́ą́' díí bił shaa hoolzhiizhígíí shits'ą́ąjį' kódoolnííł. 
41:14:036:0	Áádóó ánáázhdoo'niid, Ába, shiTaa', t'áá ałtsoní bíninil'ą́; díí doodlį́įłii shits'ą́ąjį' kónílééh, ákondi, shí íinisinígíí éí dooda, nidi ni íinínízinígíí éí ádoonííł. 
41:14:037:0	Áádóó baa nídzídzá, nít'éé' da'ałhosh lá, áko Peter ábijiní, Sáíman, da' íłhoshísh? T'ááłá'í ahéé'ílkidjį' nidiísh doo ha'ísííd ánít'ée da? 
41:14:038:0	Hada'ísídół'į́į́' áádóó sodadołzin, áko doo nihídahodí'nóotah da; níłch'i ii' sizíinii éí lą́ nízin, nidi ats'íís éí doo bidziil da. 
41:14:039:0	Áko anáádzoodzáago t'áá ákót'éego sodizin t'áá éí bee sonáázdoolzin. 
41:14:040:0	Áádóó haa nínáádzídzá, nít'éé' nááda'jiłhosh lá, háálá t'áá íiyisí bił ho'niighą́ą́', áko ha'át'éegoda bich'į' hadazdoodzihígíí doo hoł béédahózin da. 
41:14:041:0	Áko táadi aleeh góne' haa nínáádzídzáago áhojiní, Da' t'ahdiísh da'ołhosh áádóó háádaałyį́į́h? K'adíhéi, áajį' o'oolkid, jó'akon, Diné Silį́į'ii bąąhági ádaaníiłii bílák'eejį' ninádeet'ą́. 
41:14:008:1	Jesus ninádeet'ą́ áádóó bi'diiltsood
41:14:042:0	Nídoohjeeh, k'ad yiikah doo, jó'akon nináshidee'aahígíí aadę́ę́' yigááł. 
41:14:043:0	T'áá áko, t'ah yájíłti'go Júdas, naakits'áadahígíí ła' nilíinii níyá, áádóó aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii áádóó diné yá aląąjį' naazíinii bits'ą́ą́dóó, diné t'óó ahayóí diltłish índa tsihał dayíjáahgo yił haa níná. 
41:14:044:0	Áko nináhodiní'ánígíí éí yaa honíłtínígíí bee ééhózin dooleełii ła' yee yił hoolne' lá, kóníigo, T'áá séts'ǫsígíí ííshją́ą́ éí bí át'į́į doo; éí dadoohsiłgo hazhó'ó dah dadidoohłóós. 
41:14:045:0	Áko níyáago t'áá áko hach'į' dah diiyáago, Na'nitiní, hałníigo hazts'ǫs. 
41:14:046:0	Áko dahasiłgo dahoołtsood. 
41:14:047:0	Nidi hoł naazínígíí ła' bidiltłish hayíítą́, áádóó aláahgo náá'iiłniihii binaalte' néidííłhaalgo bijaa' na'iidiiłhaal. 
41:14:048:0	Áko Jesus hach'į' haadzíi'go áháłní, Da' diltłish índa tsihał dayínóhjáahgo agha'ii'níiłii bich'į' oonééł nahalingo shił nidadoohdił biniyé shich'į' ch'ínooná? 
41:14:049:0	Shą́ą́', t'áá ákwíí jį́ kin bii' sohodizin bił haz'ą́ą́ góne' nihitaasháago na'nishtin nít'éé', nidi t'áadoo dashoołtsood da. Nidi haa'íshą' bíni'dii Diyin God bizaad bee ak'eda'ashchíinii bidahodoolnííł. 
41:14:009:1	Dinééh léi' yóó'eelwod
41:14:050:0	Áko hódahooł'aahii t'áá ałtso hats'ą́ą́' dah diijée'go yóó'aheeswod. 
41:14:051:0	Nít'éé' dinééh léi' áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii t'éiyá bik'ésti'go hakéé' yigááł, áko deisił, 
41:14:010:1	Jesus éí diné ándaha'áii bidááhdę́ę́' niho'deedlóóz
41:14:052:0	nít'éé' na'at'ą́hí yii' haalwodgo t'áá łichí'ígo dah diilwod. 
41:14:053:0	Áko Jesus éí aláahgo náá'iiłniihii yaa deizlóóz; áadi aláahgo nááda'iiłniihii áádóó diné yá aląąjį' naazíinii índa bee haz'áanii yínda'niłtinii t'áá ałtso áłah silį́į́'. 
41:14:054:0	Áádóó Peter t'áá nízaadę́ę́' hakéé' yigáałgo, aláahgo náá'iiłniihii bikin binaa haz'ą́ągi biná'ástł'iní góne' yah ííyá; ákwe'é kǫ' léi'gi siláo yił naháaztą́ągo ná'iidzííł. 
41:14:055:0	Áko aláahgo nááda'iiłniihii áádóó diné ándaha'áii t'áá ałtso, Jesus biniinaa diyoolyéełii ch'ééh yíkadadilts'i', nidi t'áá ádin lá. 
41:14:056:0	Háálá lą'í wooch'ííd yee haa nidahasne', nidi yee haa nidahasne'ígíí doo ahidaałt'ée da. 
41:14:057:0	Áko ła' deizį'go wooch'ííd yee haa nidahasne'go kódaaní, 
41:14:058:0	Nihí lą́ą éí kójíníigo dahosidiits'ą́ą' ni', Díí kin bii' sohodizin yílá bee ályaaígíí atídeeshłííł, áádóó táá' yiską́ąjį' náánáła' yílá doo bee ályaii ninádeesh'ááł. 
41:14:059:0	Kót'éego dahoolne' nidi, baa hane' doo ahidaałt'ée da. 
41:14:060:0	Áko aláahgo náá'iiłniihii nídii'na' áádóó ałníi'gi yiizį'go Jesus nayídééłkidgo ání, Da' doósh ák'ihadidíídzih da? Díí dinéshą' ha'át'íí yee naa dahalne'? 
41:14:061:0	Nidi t'áadoo ák'ihazdoodzíi' da. Áko aláahgo náá'iiłniihii ninááhódééłkidgo ánááhodi'ní, Da' niísh Aláahgo Baa Ha'niihii biYe', Christ nílį́? 
41:14:062:0	Áko Jesus ázhdííniid, Aoo', shí éí ásht'į́. Jó, Diné Silį́į'ii Aláahgo Bidziilii yinish'náájí dah sidáago índa yádiłhił biyi'dę́ę́' k'os bił yildohgo deidoołtsééł. 
41:14:063:0	Áko aláahgo náá'iiłniihii ák'ina'ooldláadgo ání, Ha'át'íishą' biniyé ła' ch'ínáádahót'aah doo? 
41:14:064:0	Diyin God baa'ihgo bá hadzoodzíi'go dahosidoots'ą́ą́'. Éí haash yit'éego baa nitsídaahkees? Nít'éé' hodi'yoolyéełgo t'áá ałtso há hadaasdzíí'. 
41:14:011:1	Peter éí, Jesus doo bééhasin da, jiní
41:14:065:0	Áko ła' hak'ídahidizheehgo áádóó hanák'e nináda'ałbałgo índa yéego nínádahodiika'go, Diyin God yá halne'ii nílį́įgo háishą' nándííłts'in bee nihił hólne', dahałníigo haa nídiikai. Áádóó siláo dah dahodiilóozgo yéego hoł dzinídeidika'go yaa naaskai. 
41:14:066:0	Áko Peter wóyahdi kin binaagi haz'ą́ągo biná'ástł'iní góne' dzizdáago, aláahgo náá'iiłniihii asdzání bá nidaal'a'ígíí ła' ákwe'é níyá, 
41:14:067:0	áko Peter ná'iidzíiłgo yiyiiłtsą́ índa honééł'į́į'go áháłní, Ni la' ałdó' Jesus Názarethdóóígíí bił nanikai ni'. 
41:14:068:0	Nidi dooda jidííniid kójíníigo, Baa nánít'ínígíí doo shił bééhózin da, doo nidi nik'i'diishtįįh da. Áko tł'óó'góó chaha'oh dah sikáníjį' ch'ízhníyá, nít'éé' naa'ahóóhai biką'í ádííniid. 
41:14:069:0	Nít'éé' asdzání ła' nááhoołtsą́ągo ákǫ́ǫ́ naazínígíí ánéidoo'niid, Díí éí ła' át'į́. 
41:14:070:0	Nidi dooda náázhdoo'niid. Áádóó t'óó nááhodoo'na'go ákǫ́ǫ́ naazínígíí ánáádahodoo'niid, T'áá aaníí ni éí ła' ánít'į́, háálá Gálilii dine'é nílį́ (nizaadígíí bee nééhózin). 
41:14:071:0	Nidi ádił ni'jít'įįhgo ádee hanáázdoodzíí', Diné baa nídaaht'ínígíí doo bééhasin da nihidishní. 
41:14:072:0	T'áá áko naa'ahóóhai biką'í ánáádoo'niidgo, éí bił naakidi azlį́į́'. Áko Peter éí Jesus, Naa'ahóóhai biką'í t'áadoo naakidi ániihí táadi doo hwééhasin da shididííniił, hodííniidígíí bééjoolnii'go jíícha.
