45:8:001:1	Ch'anky'aa Shroodiinyąą Deediinahnyąą Zhit Gwarandaii
45:8:011:0	Vit'eegwijyąhchy'aa Vanky'aa Shroodiinyąą Jesus ninehkhin nakhwazhit gwandaii ji', t'ee Vit'eegwijyąhchy'aa juu Christ niniłkhin t'ee dzaa nankat gwatthąį', Ch'anky'aa Shroodiinyąą nakhwazhit t'inchy'aa k'iighai' nakhwan chan nineenakhwahahkhin t'inchy'aa. 
45:8:012:0	Ąįįts'ą' t'ee shijyaa nąįį, diitthąį' tr'agwaanduu zhrįh t'oo'ya' niindhan ąįį gwik'it gwireheendaii nakwaa gaa, nats'ąą Ch'anky'aa Shroodiinyąą gwaroondaii diinoonyąą gwik'it gwireheendaii gwizhrįh goo'aii. 
45:8:013:0	Nakhwatthąį' tr'agwaanduu zhrįh t'oo'ya' nindhan nats'ąą gǫhdaii nakhoonyaa gwik'it gǫhdaii ji' ndaanąą'ąį' kwaa gwizhit nanohthaa gwizhrįh; gaa Ch'anky'aa Shroodiinyąą k'iighai' nakhwatr'agwaanduu oo'an gwahohłii ts'ą' vizhit gǫhdaii ji' t'ee gwandaii ndaanąą'ąį' kwaa akhwa'yaa. 
45:8:014:0	Juu Vit'eegwijyąhchy'aa Vach'anky'aa Shroodiinyąą k'eegwahthat t'ee Vit'eegwijyąhchy'aa vigii nilii t'oonchy'aa. 
45:8:015:0	Vit'eegwijyąhchy'aa Ch'anky'aa Shroodiinyąą nantł'eegwirin'ąįį t'ee noojat akwat slaves nakhwahtsii kwaa. Ch'anky'aa Shroodiinyąą k'iighai' Vit'eegwijyąhchy'aa vigii tr'iinlii, ąįį geh'an Ch'anky'aa Shroodiinyąą t'aih haa Vit'eegwijyąhchy'aa “Shiti', Shiti'!” varahnyąą t'oonchy'aa. 
45:8:016:0	Vit'eegwijyąhchy'aa vigii tr'iinlii diihaanjyaa geenjit, Vit'eegwijyąhchy'aa Vach'anky'aa Shroodiinyąą ts'ą' diikhwan diinanky'aa haa adahaa ninlii t'inchy'aa. 
45:8:002:1	Yeendaa Ji' Ch'eegwąhndit Tr'ihee'yaa
45:8:017:0	Vigii tr'iinlii geh'an Vit'eegwijyąhchy'aa jidii digii nąįį eenjit di'įį ąįį, ts'ą' Christ eenjit jidii di'įį chan nihłaa tr'ooheendal, Christ vaa khaiinjich'iriighit ji' vich'eegwąhndit vaa tr'ihee'yaa. 
45:8:018:0	Juk khaiinjich'iriighit t'ee zhyaa k'it t'oonchy'aa nijin yeendaa ch'eegwąhndit gwandaa gwintsii diits'ą' gwagwahahkyaa gwaraah'in dąį'. 
45:8:019:0	Vit'eegwijyąhchy'aa, Zheekat ts'ą' nankat haa jidii datthak iłtsąįį kwaii, Vit'eegwijyąhchy'aa digii nąįį gwizhrįh niheelyaa geenjit khyų' nagwagool'in k'it t'oonchy'aa. 
45:8:020:0	Vit'eegwijyąhchy'aa jidii iłtsąįį kwaii datthak gwits'į' t'inchy'aa ts'ą' datthak an gweheelyaa geenjit gwiizųų gwiłtsąįį, gaa geedan gwik'it t'igiindhan geh'an ąįį nakwaa, gaa adan ąįį gwik'it t'iindhan geh'an. Ąįį googaa yeendaa ji' gwinzii neegwahahtsyaa t'inchy'aa. 
45:8:021:0	Vit'eegwijyąhchy'aa jidii datthak iłtsąįį ts'ą' nijin drin Vit'eegwijyąhchy'aa vigii nąįį yaa kheihłan nigiinjil ji' vich'eegwąhndit zhit jidii iłtsąįį kwaii datthak vigii nąįį haa niheedaa ts'ą' izhit ji' ch'ichį' heekwaa ts'ą' chan an neegweheelyaa kwaa. 
45:8:022:0	Ąįį juk drin gwats'ą' gaagwiindaii, tr'injaa, tr'iinin haa iłts'ik k'it, zhee, nan haa iłtsąįį datthak khaiinjich'igiighit haa gahahchik. 
45:8:023:0	Zhee, nan haa gwiłtsąįį gwizhrįh tree haa khaiinjich'iighit k'it hahchik t'igwinyąą kwaa, diikhwan gwik'injiriighit nąįį Ch'anky'aa Shroodiinyąą tr'ii'įį ąįį Vit'eegwijyąhchy'aa tr'ookit vich'eegwąhndit diits'an hahtsyaa. Diikhwan gaa tree haa khaiinjich'ireheeghit k'it tr'ahahchik Vit'eegwijyąhchy'aa vigii tr'iinlii ts'ą' jidii diinantł'eehee'aa ąįį eenjit nagwarool'in geh'an jyaa digwinyąą t'igwinyąą ts'ą' ch'ichį' ts'ą' diitthąį' ahjat ilii ąįį ts'an zhyaa tr'ineediiheelyaa. 
45:8:024:0	Nijin Vit'eegwijyąhchy'aa dii gwik'injigwiighit k'iighai' neediinahshii dąį' gwats'an ch'ichį' ts'ą' diitthąį' ahjat ilii ts'an zhyaa tr'ineereejil ji' gwindhan. Ch'ihłee gaa jidii ch'adąį' di'įį ts'ą' dinjiighit kwaa t'oonchy'aa. 
45:8:025:0	Gaa jidii tr'ii'įį kwaa ts'ą' dinjiriighit ji' khai'gwidlii haa nagoorahaa'yaa. 
45:8:026:0	Ąįįts'ą' chan diit'aii kwaa geh'an Ch'anky'aa Shroodiinyąą diits'inyaa t'ii'in. Nats'ąą khadigiriinjii gaagwiindaii kwaa geh'an, Ch'anky'aa Shroodiinyąą zhit, Vit'eegwijyąhchy'aa vats'a' diineenjit ginjik vaagwiindaii kwaa haa khadigihjii. 
45:8:027:0	Vit'eegwijyąhchy'aa diidrii zhit doonchy'aa gaandaii ts'ą' Ch'anky'aa Shroodiinyąą nats'ahts'ą' ninjich'adhat chan gaandaii geh'an Ch'anky'aa Shroodiinyąą, ąįį Vit'eegwijyąhchy'aa vigii nąįį eenjit nats'ąą khagadǫhjyaa yuunyąą gwik'it khagidiinjii. 
45:8:028:0	Zhit juu yeet'iindhan nąįį gweedhaa datthak Vit'eegwijyąhchy'aa gooveenjit dee'in datthak gwinzii gwahtsii, ts'ą' juu niindhan nąįį gwitee tr'iinlii. 
45:8:029:0	Vit'eegwijyąhchy'aa Vidinji' ąįį ik'injigiheeghit geenjit gwiteetr'iinlii nąįį, tthok nagoovinlii. Vidinji' Jesus k'it t'igiheechy'aa geenjit. Jyąhts'ą' t'ee Jesus adan tr'ookit Vit'eegwijyąhchy'aa vigii nilii t'inchy'aa. 
45:8:003:1	Jesus Christ, K'iighai' Vit'eegwijyąhchy'aa Deegwahtł'oo Diineenjit Ch'eet'igwiniindhan Di'įį Diits'ą' Gwagwahch'in.
45:8:030:0	Ąįįts'ą' Vit'eegwijyąhchy'aa zhit juu gwiteetr'iinlii nąįį tthok ideenjit nagoovinlii, ts'ą' gwinzii giiyaa adaa gooviłtsąįį, Vit'eegwijyąhchy'aa vich'eegwąhndit lat goovantł'eeheelyaa geenjit. 
45:8:031:0	Jii kwaii datthak gwaraah'in geenjit deegweheenjyaa? Vit'eegwijyąhchy'aa diinaa t'inchy'aa ji' juu dee diits'į' t'iheechy'aa? 
45:8:032:0	Vit'eegwijyąhchy'aa Didinji' ootą' kwaa gaa diineenjit gwantł'eeyahchįį! Didinji' diineenjit gwantł'ąhchįį gwizhit zhyaa jidii gwiindhan datthak diinantł'eehee'aa? 
45:8:033:0	Juu dee Vit'eegwijyąhchy'aa dinjii gwitee tr'iinlii nąįį gwiizųų t'igiizhik heenjyaa? Ch'ihłee gaa nakwaa Vit'eegwijyąhchy'aa adan ąįį gootr'agwaanduu kwaa goovahnyąą t'oonchy'aa! 
45:8:034:0	Juu dee dinjii tr'agwaanduu vigwitr'it gwanlii ts'ą' nooghit heenjyaa? Christ Jesus diineenjit niindhat ts'ą' ninehjin, ts'ą' Vit'eegwijyąhchy'aa vishriits'ąįį gwihil'ee dhidii gwiizhit diineenjit ch'oodiikwat ąįį nakwaa. 
45:8:035:0	Juu, akwat jidii dee Christ vich'eet'igwiniindhan ts'an tr'eediihahchyaa? Googwantrii akwat khaiinjich'iriighit akwat neeshreeraahchy'aa, diigwarahshii akwat ch'ichį'. Kwaii khan gwats'an tr'idiiheelyaa lee t'oonchy'aa? 
45:8:036:0	Dęhtły'aa Choh zhit jyaa digwinyąą,“Nakhweh'an khit ch'ichį' ts'an gwiizųų gwak'ooriijyaa.Divii tr'iheeghaa geenjit tthok nirilii k'it t'idiigah'in.” 
45:8:037:0	Ch'ihłee gaa nakwaa! Juu diineet'iindhan k'iighai' khit gaiiyiigwarahtsii t'oonchy'aa! 
45:8:038:0	Izhit geh'an ch'ihłee gaa duuyeh vich'eet'igwiniindhan ts'an tr'eediinąąhchįį gaashandaii: gwarandaii akwat niriindhat gaa duuyeh, zheekat gwich'in akwat zhee zhit gwats'ą' k'eedeegwaadhat nąįį gaa nakwaa, juk gweendaa akwat yeendaa deegweheenjyaa kwaii gaa nakwaa, 
45:8:039:0	zhee, nan haa datthak gwiłtsąįį ch'ihłak gaa duuyeh Vit'eegwijyąhchy'aa vich'eet'igwiniindhan, ąįį K'eegwaadhat Christ Jesus k'iighai' diits'an nilii ts'an tr'eediirąhchįį t'oonchy'aa.
