45:12:001:1	Nats'ąą Vit'eegwijyąhchy'aa Vitsyaa Tr'iinlii.
45:12:011:0	Tr'agoodiinjik kwaa haa gwintł'oo gwitr'it t'agoh'in. Nakhwadrii datthak haa K'eegwaadhat veenjit gwitr'it t'agoh'in. 
45:12:012:0	K'eegwaadhat yeendaa nakhwadiveegweheezyaa geenjit vit'injuhchy'aa, jyąhts'ą' t'ee khit shoo hohłyaa, nakhwaa gwiizųų dąį' khadhoochį' kwaa, ts'ą' khit khagadǫhjii. 
45:12:013:0	K'aiich'ii akhwa'įį chan juu gwik'injiighit valaraa kwaa ts'ą' k'aiich'ii di'įį kwaa nąįį haa ts'ohnyaa, ts'ą' aakin nąįį nakhwazheh nihdǫhchik. 
45:12:014:0	Ąįįts'ą' dinjii nąįį nakhwats'ą' gwiizųų t'igii'in ji', Vit'eegwijyąhchy'aa goots'į' t'inchy'aa dohnyąą shrǫ' gaa Vit'eegwijyąhchy'aa goots'ą' gwinzii t'ini'in vohnyąą 
45:12:015:0	Juu vaashroonchy'aa nąįį haa nakhwaa shroonchy'aa, juu itree ji' goovaa ohtree. 
45:12:016:0	Datthak ts'ą' nakhwanee'ok dinjii nąįį haa gwinzii gwadhoh'ąįį, shigwizhi' gwanlii nǫhkhya' shrǫ', deekhwa'yaa goo'aii ąįį gwik'it t'akhwa'yaa geenjit adashoo ǫhłį' shrǫ', gaa gwik'it t'akhwa'in. 
45:12:017:0	Juu nakhwats'ą' gwiizųų tr'agwah'in ji' gaa vats'a' gwiizųų t'akhwa'ya' shrǫ'. Gwinzii t'akhwa'yaa gwizhrįh gwik'eegǫhdaii. 
45:12:018:0	Juu nąįį datthak haa tsinehdan zhit goohǫhdaii gwizhrįh gwik'eegǫhdaii. 
45:12:019:0	Shijyaa nąįį nakhwats'ą' gwiizųų t'igwii'in gaa gwit'iineegohtsyaa shrǫ', Vit'eegwijyąhchy'aa vats'a' t'agohthan. Dęhtły'aa Choh zhit geenjit jyaa digwinyąą: “K'eegwaadhat jyaa nyąą, Shįį neegwahoihkwat ts'ą' gwit'ineegwahałtsyaa, nyąą.” 
45:12:020:0	Gaa Dęhtły'aa Choh zhit ch'adanh gwa'an jyaa digwinyąą: “Dinjii nąįį neet'iindhan kwaa, ts'ą' goozhit gwiłts'ik ji' gooch'ah'aa, chųų chan gahłįį ji' chųų goovantł'eiinkaii; Jii jyaa dini'in ji' łyaa oozhii goots'an hahtsyaa t'oonchy'aa.” 
45:12:021:0	Tr'agwaanduu gaiiyiinahohtsyaa shrǫ', gaa gwinzii t'akhwa'in haa tr'aanduu gaiiyii'ohtsii.
