42:4:001:1	Ch'anky'aa Tr'aanduu , Jesus K'eegwandaii
42:4:011:0	Daganli' haa ndak nagooheetą' ts'ą' duuyeh gaa kii kat nakwai' ts'iighit gwinyąą , ’ ” Ch'anky'aa Tr'aanduu yahnyąą .
42:4:012:0	Jesus t'iiyahnyąą “ Dęhtły'aa Choh zhit jyaa deegwinyąą , ‘Vit'eegwijyąhchy'aa Nik'eegwaadhat zhyaa shroondaii tsinteerookaii shrǫ' ! ’ ”
42:4:002:1	Jesus Galilee Nahkat Gwitr'it T'igwihił'ya'
42:4:013:0	Nijin Ch'anky'aa Tr'aanduu nats'ahts'ą' datthak Jesus shroondaii tsinteehąąhkaa gwik'eegoonjik ąįįtł'ęę ch'ihłee yiłeehoozhii .
42:4:014:0	Ąįįtł'ęę Jesus ąįį Galilee gwats'ą' gwa'an neehoozhii . Ch'anky'aa Shroodiinyąą vat'aii vaa nilii ts'ą' izhit nahkat gwa'an datthak vagwandak goodlit .
42:4:003:1	Nazareth Kwaiik'it gwizhit Dinjii Nąįį Jesus K'injigiighit Kwaa
42:4:015:0	Israel nąįį tr'igiinkhii zheh kwaii gwizhit geech'ǫąąhtan eenjit juu nąįį datthak dinjii nizįį giiyahnyąą .
42:4:016:0	Ąįįtł'ęę Jesus Nazareth gwats'ą' haazhii , izhit t'ee dink'iindhat . Neegwaazhii Drin gwiizhit Israel nąįį tr'igiinkhii zheh gwits'eehooniindik , chy'aa gwats'ą' chan hee neehoozhii .
42:4:017:0	Dęhtły'aa Choh kat giheehkhyaa eenjit ndak niinzhii ąįįts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii Isaiah oaazhii Vidęhtły'aa giiyintł'eiin'ąįį . Ąįį dęhtły'aa zhit nijin jii gwadanakhwatł'oo googwąh'ąįį ,
42:4:018-019:0	“ Vit'eegwijyąhchy'aa ts'an vanky'aa shaanilii , neeshraahchy'aa nąįį ts'ą' Gwandak Nizįį hih'aa eenjit gwitee tr'ashąąhchįį geh'anjuu viteegwirįłjik nąįį geenjit kwaa chineereheelyaa eenjit nakhwats'ą' shirihił'e' . Ąįįts'ą' chan vandee kwaa nąįį gwąąh'in neehałtsyaa . Juu tr'eeroaadhan nąįį ineehihdal ts'ą' chan zhat nigwiindhat ji'zhit juu Vit'eegwijyąhchy'aa neeyahshii nąįį jyaa davahaihjyaa . ”
42:4:020:0	Jesus dęhtły'aa nihts'ą' noonjik ts'ą' zhit juu gwats'ą' k'eegwaadhat nilii nąįį intł'ineeyin'ąįį ąįįtł'ęę naadii . Israel nąįį tr'igiinkhii zheh gwizhit dinjii nąįį datthak aakin giiyaa'įį gwizhrįh t'igiiyahthan .
42:4:021:0	Ąįįts'ą' jyaa goovahnyąą . “ Jii Dęhtły'aa Choh kat nakhwats'ą' geegwaldak goohtth'ak ąįįt'ee deegweheenjyaa gwinyąą t'ee juk gwik'it t'igwii'in . ”
42:4:022:0	Łyaa geegagoolii kwaa , dinjii nizįį giiyahnyąą ts'ą' gwinzii ginkhe' eenjit giiyeenjit jyaa ginyąą . “ Jii lee Joseph vigii ! ”
42:4:023:0	Ąįįts'ą' jyaa goovahnyąą , “ Jii t'ee jyaa shahǫǫhjyaa gaashandaii . ‘Iłts'ik shrinilii inlii , ąįį geenjit adats'ą' tr'iinjii lee . ’ Capernaum gwizhit deegwiizhik t'igwinyąą chan dzaa shakwaiik'it gwizhit jyaa diinjii shahǫǫhjyaa gaashandaii .
42:4:024:0	Jii jyaa nakhwahaihjyaa . ” Jesus nyąą , “ Zhit juu Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį khit dagakwaiik'it gwizhit gihil'ee kwaa .
42:4:025:0	Shoodǫǫhk'įį ! Elijah gwandaii gwanaa dąį' Israel nahkat gwizhit tr'injaa vakai' niindhat nąįį gwanlii łyaa t'igwinyąą , izhit dąį' 3½ years datthak ąhtsin kwaa ts'ą' chan lęįį nąįį nankat ihdeengaii .
42:4:026:0	Googaa Israel gwats'ą' ch'ihłak eenjit gaa hił'e' kwaa gaa tr'injaa vakai' niindhat ąįį Zarephath gwich'įį , izhit geeghaih kwaiik'it Sidon nahkat izhit gwizhrįh gwats'ą' Elijah hił'e' .
42:4:027:0	Elisha t'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii gwandaii gwanaa dąį' zhit juu Israel gwich'įį lęįį nąįį gwatthąį' ahjat ( leprosy ) haa iłts'ik haa khaiinjich'igiighit , gootee ch'ihłak gaa shranąąnjii kwaa , gaa dinjii Naaman oaazhii , Syria nahkat gwats'an ahaa zhrįh shranaazhik . ”
42:4:028:0	Nijin Israel nąįį tr'igiinkhii zheh gwizhit dinjii nąįį jii gwigwiitth'ak dąį' gook'įį goodlit ts'ą' ,
42:4:029:0	ndak nagaakhin ts'ą' Jesus kwaiik'it cheegihiłchįį ts'ą' taih kat gwats'ą' giiyihiłchįį , izhit t'ee kwaiik'it nigwigwiin'ąįį . Tł'eedik gwats'an drihdit'eerookhii giiyuunyąą ,
42:4:004:1	Ch'ihłan Dinjii Ch'anky'aa Iizųų Vizhit T'iizhik
42:4:030:0	gaa dinjii gwanlii gwats'an gootee tr'ineezhii .
42:4:031:0	Ąįįtł'ęę Jesus ts'ą' Galilee nahkat gwizhit kwaiik'it Capernaum k'idik . Zhat Neegwaazhii Drin dąį' Israel nąįį tr'igiinkhii zheh gwizhit dinjii nąįį gǫąąhtan .
42:4:032:0	Geegagoolii kwaa gwik'it geech'ǫąąhtan , viginjik nint'aii geh'an .
42:4:033:0	Izhit gwizhit dinjii ch'ihłee ch'anky'aa iizųų vizhit , ąįį Jesus ts'ą' khashraa'iintrat ,
42:4:034:0	“ Jesus Nazareth kwaiik'it gwats'an inkhaa , jidii diinanh niindhan ? An diihahtsyaa lee t'ini'in ? Juu t'iinchy'aa naashandaii ! Vit'eegwijyąhchy'aa vats'an Shroodiinyąą t'iinchy'aa ! ”
42:4:035:0	Jesus t'iiyahnyąą , “ Didhiinyąą ts'ą' ąįį dinjii vats'an tr'inidii ! ” ąįį dinjii ch'anky'aa iizųų neet'eeyahnąįį ts'ą' yats'an tr'ineezhii gaa ts'idiiyahthat kwaa .
42:4:036:0	Datthak gihilghaa ts'ą' t'inihłagaanyąą , “ Nats'ahts'ą' yeenjit ginjik di'įį t'inyąą ? Ch'anky'aa iizųų nąįį , gaa yik'eegwahthat ! ”
42:4:005:1	Jesus Dinjii Lęįį Nąįį Shrinilii
42:4:037:0	Izhit geendih datthak Jesus deezhik gwigwiitth'ak .
42:4:038:0	Jesus Israel nąįį tr'igiinkhii zheh gwats'an Simon vizheh gwats'ą' haazhii . Simon vach'ootr'į' iłts'ik ts'ą' łyaa vatthąį' nindhaa , ąįįts'ą' Jesus giiyeenjit akǫǫ t'ahnyą' .
42:4:039:0	Yits'ą' haazhii ts'ą' yidehk'it gwik'eevee yits'ą' niinzhii , ts'ą' ts'ik akǫǫ t'ahnyąą , ąįįtł'ęę ts'ik akhayuunyąą . Ąįįtł'ęę zhat ninehjin ts'ą' zhat gooveegwitr'it t'igwihił'ya' .
42:4:040:0	Gwik'ich'iin'ąįį ąįį tł'ęę , juu dinjii ts'ik nihłehts'į' daazhyaa di'įį , Jesus ts'ą' nagoogiinlii . Datthak ts'ą' danli' haa gookat naanjik , ts'ą' gooveenjit gwinzii neegwaanąįį .
42:4:006:1	Jesus , Judea Nahkat gwizhit Tr'igiinkhii Gwiłtsąįį
42:4:041:0	Ch'anky'aa iizųų nąįį gaa gwich'in lęįį nąįį ts'an tr'iinjil , ts'ą' ch'anky'aa iizųų nąįį zhral haa , “ K'eegwaadhat Vidinji' t'inchy'aa ! Geegiheehkhyaa kwaa geenjit Jesus akǫǫ t'agoovahnyąą , ts'ą' Jesus gahahchįį kwaa goovąh'įį , Christ nilii giiyaandaii geh'an . ”
42:4:042:0	Neeyahkaa gwizhit Jesus kwaiik'it gihłeehaazhii , ts'ą' t'oołii tthan gwats'ą' haazhii . Gwich'in nąįį giiyųųkeegwah'in , ąįįtł'ęę nijin giigwąh'ąįį dąį' , neeheedyaa gwits'į' zhak giiyųųntą' gwik'eegwigoonjik .
42:4:043:0	Gaa t'agoovahnyąą , “ Ch'adanh kwaiik'it gwa'an K'eegwaadhat Veegwinii'ee gwizhit gwandak nizįį eegwahaaldak gwat'aałchy'aa geenjit , K'eegwaadhat gwats'ą' shihił'e' . ”
42:4:044:0	Ąįįtł'ęę Judea nahkat gwizhit Israel nąįį tr'igiinkhii zheh datthak gwizhit gwaandak .
