42:12:001:1	Gwik'iinjiighit Adaa'įį Nąįį Ts'į' Adak'ǫǫntii .
42:12:012:0	Izhit nigwiindhat ji' Ch'anky'aa Shroodiinyąą deehiinjyaa nahahtsyaa geenoohąąhchyaa . ”
42:12:013:0	Dinjii tee gwa'an gwats'an dinjii jyaa yahnyąą , “ Geech'ǫąąhtan , zhit shiti' veegoo'aii datthak shoondee haa diineenjit akhoonyąą . Ąįį shoondee teetł'an nih'an tr'ooheendal goo'aii vaiinyąą . ”
42:12:014:0	Jesus jyaa yahnyąą , “ Dzaa gwąąh'in ! Juu ch'aroahkat zheh gwizhit noohaałkat akwat niti' veegoo'aii , noondee haa teetł'an ǫhjii nakhwahaihjyaa eenjit sheenjit gwiłtsąįį ? ”
42:12:015:0	Ąįįts'ą' datthak chan jyaa goovahnyąą , “ Gwak'ǫǫhtii , k'aiich'i' eenjit dinjikhwaghit shrǫ' ! Dinjii hil'ee k'iighai' gwandaii di'įį kwaa t'oonchy'aa , ” jyaa nyąą .
42:12:016:0	Ąįįtł'ęę Jesus gwandak eegoovaagwaandak , “ Ch'ihłan dinjii gwintsii veegoo'aii . Nan nitsii di'įį . Kat gwanzhįh nizįį niłshįį .
42:12:017:0	Idizhit niinjich'adhat ts'ą' jyaa diindhan , ‘Gwanzhįh noołshįį kwaii nijin nihihłyaa ? Videek'it gwishi'įį kwaa . Deehishi'yaa li' ? ’
42:12:018:0	Adahaa niinjich'adhat , ‘Shadraa kwaii khadigwihįhłyaa ts'ą' gwintsii neegwahałtsyaa , ts'ą' shagwanzhįh , shishii kwaii nihdeehihłyaa .
42:12:019:0	It'ee łyaa shidivee gwinzii . Shih niighyuk vit'eehaałchy'aa shi'įį . Zhyaa hihdyaa . Ąįįts'ą' ch'ihih'aa . Hihchyaa . Deeshi'yaa gwik'it t'ihishi'yaa . ’
42:12:020:0	Vit'eegwijyąhchy'aa jyaa yahnyąą , ‘Tr'igwiinjik kwaa ! Juk khaa gwats'ą' gwizhrįh gwihiindaii . Ąįįtł'ęę juu nats'an kwaii ts'ą' k'eegwahaadhat ? ’ ”
42:12:003:1	Vit'eegwijyąhchy'aa Vik'injirighit
42:12:021:0	Nijin Jesus gwandak eegwaandak ndaanaahjik dąį' , jyaa nyąą , “ Jyąhts'ą' t'ee juu adan zhrįh ideenjit k'aiich'i' tthak di'įį , haa gwintsii veegoo'aii , gaa Vit'eegwijyąhchy'aa ąįį gwintsii veegoo'aii k'it yąąh'in kwaa . ”
42:12:022:0	Ąįįtł'ęę Jesus ditsyaa nąįį jyaa dahnyąą , “ Izhit geenjit goohǫhdaii eenjit shih eenjit ninjich'ǫhthat kwaa akwat chan gwach'aa nohoozhyaa chan gwik'it .
42:12:023:0	Gwarandaii ąįį shih andaa ts'ą' gwihil'ee , ąįįts'ą' diizhin chan gwach'aa andaa hil'ee .
42:12:024:0	Zhit deetrya' kwaii nǫh'in , gogwąąhshii khagiiyilii kwaa t'inchy'aa , dagogwanzhii gahahdlyaa gwakwaa , Vit'eegwijyąhchy'aa yach'ah'aa t'inchy'aa ! Chiitsal nąįį andaa ts'ą' nakhweegoo'aii !
42:12:025:0	Duuyeh ch'ihłak gaa geenjit tr'igwidii ts'ą' nahgwan neegwiindaii t'oonchy'aa .
42:12:026:0	Jii gwarandaii zhit jidii gwatsal khyų' t'agwah'in gwiizhit jaghaii ch'andaa gwa'an geenjit tr'igwindii .
42:12:027:0	“ Zhit gwa'an nankat gwanzhįh gwinzii vigweech'in nahshii nǫh'in . Ąįį tr'agogwah'in kwaa ts'ą' gwach'aa ideenjit gahtsii kwaa t'inchy'aa . Gaa naagwaldak , King Solomon łyaa valaraa gwanlii gaa jyaa dagwahtł'oo ąįį gwanzhįh gwinzii vigweech'in andaa ts'ą' vagwach'aa nizįį kwaa t'inchy'aa .
42:12:028:0	Vit'eegwijyąhchy'aa ąįįt'ee zhit gwa'an gwanzhįh anagwąąhshii t'inchy'aa juk drin gwanzhįh nilii tł'ęę nihkaa an heelyaa , ch'iitsii zhit heek'an . Ąįįts'ą' łyaa gwach'aa nanahąąhshyaa t'inchy'aa . Gwik'iinjiighit natsal ni'įį !
42:12:029:0	“ Jii ch'ihin'aa , chųų nihinjyaa kwaii eenjit tr'igwindii kwaa .
42:12:030:0	Ąįį juu jii nankat Vit'eegwijyąhchy'aa eenjit gwik'iinjiighit di'įį kwaa nąįį t'ee jii kwaii datthak geenjit tr'igwigwidii . Zheekat Nakhwati' jii kwaii t'ohchy'aa nakhwaandaii t'inchy'aa .
42:12:004:1	Zheekat Ideenjit Khaihłan Nigwirilii .
42:12:031:0	K'eegwaadhat Veegwinii'ee gwats'ą' hoh'al eenjit tr'agoh'in ąįįts'ą' jii kwaii nakhwats'an hahtsyaa . ”
42:12:032:0	“ Divii tsya' tsal nąįį , noojat shrǫ' ! Ąįįt'ee Zheekat Nakhwati' nijin drin jii nankat dinjii datthak idik'iinjyahjik ts'ą' vaahohłyaa nakhweenjit gwiłtsąįį ąįį nakhwantł'eehee'aa geenjit shoo nilii geh'an .
42:12:033:0	Nakhwagwadal kwaii laraa t'įį hohłii ts'ą' ąįį laraa chan neeshraahchy'aa nąįį tohłii . Khahthaa tsal iizųų heelyaa kwaa ideenjit shrohłii ąįįts'ą' zheekat ideenjit khaihłan nagohłii , izhit t'ee duuyeh nitsya' ilii , ch'an'įį nąįį chan duuyeh yeenakhaii ts'ą' duuyeh chan moths ya'aa .
42:12:005:1	Ch'itsyaa Nilii Nąįį Khit Gwik'eegahąąhtyaa Goo'aii .
42:12:034:0	Nijin khaihłan nagoolii izhit t'ee nakhwadrii dha'aii t'oonchy'aa . ”
42:12:035:0	“ Naatreegwideheetal eenjit łyaa oohadhanzhii , ni'ik nats'ooghaih hąhtsųų kwaa geenjit gwint'aii nazhrak tł'an dąhchaa ts'ą' zhit adrii chan dǫǫk'a' .
42:12:036:0	Zhit juu goots'ą' k'eedeegwaadhat ts'ą' giiyeetr'agwah'in nilii nąįį dąhthee nihłeegwarahchįį gwats'an oo'ee neeheedyaa nigiiyuul'in gwik'it t'ohchy'aa . Nijin oo'ee neezhįį ts'ą' ganlaanaii ji' , zhazhat giiyeenjit gidiheechyaa .
42:12:037:0	Nijin ąįį goots'ą' k'eedeegwaadhat nilii oo'ee neezhįį ts'ą' vitsyaa nąįį tth'aii gagaandaii łee ts'ą' nigwigwil'in łee ji' łyaa geenjit adashoogahahłyaa gwachoh ! Naagwaldak , adan ąįį di'ik dazhrak tł'an dahahchaa ts'ą' goohąąhdyaa ts'ą' shih goovehzhee nitł'eeheelyaa .
42:12:038:0	Tǫhtł'an gęhdaa giiyeenjit nagogwal'in tł'ęę goots'ą' nihdineezhii ji' łi'haa adashoogahahłyaa gwachoh !
42:12:039:0	Ąįįts'ą' jii ganoondaii ! Dinjii ch'ihłak nijin ji' ch'an'įį nąįį yizheh łeegwahahnaii gaandaii ji' duuyeh gwik'it t'igwinjii gwah'įį .
42:12:006:1	Juu Dinjii Eenjit Gwiizųų ts'ą' Gwinzii Gwitr'it T'agwah'in
42:12:040:0	Ąįįts'ą' nakhwan chan , oohadhanzhii , nijin geegoiinlii kwaa gwiizhit t'ee Gwidinji' k'ineeheedik . ”
42:12:041:0	Peter jyaa nyąą , “ Shik'eegwaadhat , jii gwandak zhit geediinǫąąhtan , diikhwan zhrįh lee t'idiinaiinyąą ? Akwat juu nąįį datthak chan lee ? ”
42:12:042:0	K'eegwaadhat yidii khaginkhee , “ Juu k'eegwaadhat vitsyaa nilii nąįį tee gwinzii gwitr'it t'agwah'in ts'ą' chan goozhii , ąįį dinjii jidii k'it t'inchy'aa dinjii t'arahnyąą ? Adan ąįįt'ee zhit juu yats'ą' k'eegwaadhat gwats'ą' k'eegwaadhat yahahtsyaa . Zheh gwizhit chan gwats'ą' k'eegwahaadhat ts'ą' zhit juu yaatr'agwah'in nąįį chan drin gwiteegwaanchy'aa zhat nineegwiidhak hee ach'ahah'aa .
42:12:043:0	Nijin zhit juu yats'ą' k'eegwaadhat oo'ee neezhįį ts'ą' jyaa dii'in ji' łyaa adashoohahłyaa gwachoh !
42:12:044:0	Naagwaldak ! Ąįį juu yats'ą' k'eegwaadhat zhit veegoo'aii datthak geenjit k'eegwaadhat yahahtsyaa .
42:12:045:0	Gaa ąįį dinjii jyaa adaanyąą , ‘Shats'ą' k'eegwaadhat oo'ee neeheedyaa eenjit niighyuk gwahthaa , ’ nyąą ts'ą' zhit dinjii akwat tr'injaa juu yaatr'agwah'in nąįį dahkhwaii ts'ą' ch'a'aa tł'ęę neech'iniinjik .
42:12:046:0	Nijin drin geeneeyuulii kwaa gwiizhit zhit juu yats'ą' k'eegwaadhat yazhrahtee k'ineeheedik , gwint'aii yagwahąąhshii ąįįts'ą' gwik'iinjiighit kwaa nąįį tee yahahchyaa .
42:12:047:0	“ Ąįį juu ch'itsyaa nilii zhit yats'ą' k'eegwaadhat ts'ą' adan chan deehee'yaa gaandaii googaa oohilzhin kwaa ts'ą' chan yats'ą' k'eegwaadhat doo'ya' yuunyąą gwik'it t'ii'in kwaa ąįįt'ee gwintł'oo yahahtrii .
42:12:007:1	Dinjii Nihts'įį Nihts'ą' Nineeheedal ts'ą' Tsinehdan Heekwaa
42:12:048:0	Gaa juu ch'itsyaa nilii ts'ą' yats'ą' k'eegwaadhat jidii doo'ya' yuunyąą ąįį gaandaii kwaa ts'ą' dee'ya' k'iighai' geenjit gwintsal tr'ahahtrii . Vit'eegwijyąhchy'aa ąįį juu dinjii gwintł'oo vidivee gwinzii ts'ą' intł'eegwa'ak ąįįt'ee yats'an gwandaa ts'ą' geeneegoolii . Juu dinjii yit'injyaahchy'aa nilii ąįįt'ee gwandaa ts'ą' dinjii lęįį nąįį yats'an geeneegooheelyaa . ”
42:12:049:0	“ Jii nan kǫ' vihihtthal eenjit dzaa gwats'ą' hoiizhii . Ch'adąį' daak'a' ji' , oihnyąą gwiizhit !
42:12:050:0	Khaiinjich'asharahthat sheenjit goo'aii izhit gęhdaa tr'ihihshyaa gwats'ą' gwintł'oo shiyinji' haa nigwii'ąįį .
42:12:051:0	Nankat tsinehdan gwintł'eehih'aa eenjit dzaa gwats'ą' hoiizhii shrǫǫ niindhan ? Nakhwaagwahaldak ! Tsinehdan , ąįį nakwaa , gaa nihts'įį nanakhwahihłyaa .
42:12:052:0	Juk gwats'an zhehk'aa gwizhit juu ch'ihłoanli' gwich'įį nąįį nihts'an tr'igiheedaa tik nąįį , neekwaii ts'ą' nich'itsigahahthat , neekwaii nąįį chan tik nąįį ts'ą' nich'itsigahahthat .
42:12:008:1	Gweedhaa Gwizhit
42:12:053:0	Ch'iti' nąįį chan digigii tsyaa nąįį ts'ą' nich'itsigahahthat . Googii tsyaa nąįį chan digiti' ts'ą' nich'itsigahahthat . Ch'ahan nąįį chan digigii nich'it ts'ą' nich'itsigahahthat , ts'ą' googii nich'it chan dagahan ts'ą' nich'itsigahahthat . Gavootr'i' nąįį chan gootseii nąįį ts'ą' nich'itsigahahthat , ts'ą' gootseii nąįį chan dagootr'i' nąįį ts'ą' nich'itsigahahthat . ”
42:12:054:0	Jesus dinjii nąįį chan jyaa ahnyąą , “ Nijin yeenaa zheek'ǫh alaa nǫh'in dąį' , zhazhat ‘Hahtsin t'oonchy'aa , ’ dohnyąą ts'ą' it'ee ąhtsin .
42:12:055:0	Ąįįts'ą' nijin yeenii nakhwaneiintr'aii dąį' ‘Gweheendhaa t'oonchy'aa , ’ dohnyąą ts'ą' it'ee gwiindhaa .
42:12:056:0	Gwik'iinjiighit adaa'įį nąįį ! Zhit zhee , nan haa nǫh'in gwik'iighai' deehee'yaa gaakhwandaii , gaa jaghaii jii gweedhaa , ąįį gaakhwandaii kwaa t'ohchy'aa ?
42:12:057:0	“ Jaghaii jidii gweheezyaa ts'ąįį ideenjit gaakhwandaii kwaa t'ohchy'aa ?
42:12:058:0	Dinjii gwiizųų t'inizhik nahnyąą ts'ą' ch'aroahkat zheh nihdeenąąhchįį ji' . Ch'aroahkat zheh gwats'ą' vaa inkhaa gwiizhit vaa gwinzii nineegwin'ąįį gwik'eegwiindaii , ąįį ji' ąįį juu vandaa diiroahkat ts'ą' nanahahchyaa kwaa eenjit , ąįį chan gwak'ąąhtii nąįį ts'ą' nanahahchyaa ts'ą' ąįį chan zhee gwaazhrąįį nanahahchyaa t'oonchy'aa ,
42:12:059:0	naagwahaaldak izhit duuyeh chineiindii , dahthee nalaraa tsal datthak haa goiinkwat gwats'ą' datthak . ”
