42:19:001:1	Jesus , Zacchaeus haa .
42:19:014:0	“ Gaa vanahkat gwich'in nąįį yitr'ii'ee ts'ą' jyaa giihaanjyaa eenjit giitąįį dinjii nąįį hił'e' , ‘Jii dinjii dii-King nilii gitr'igwii'ee . ’
42:19:015:0	“ Nijin ąįį dinjii gwintsii veegoo'aii King dhidlit ąįįtł'ęę k'inidik googwahkhan ditsyaa juu laraa intł'inlii nąįį aanaii ahnyąą , Laraa dahtsii giłtsąįį gaashoondaii niindhan eenjit .
42:19:016:0	“ Zhit tr'ookit ahaa ąįį jyaa yahnyąą , ‘Shik'eegwaadhat , ąįį gold laraa ch'ihłak shintł'in'ąįį haa ch'ihłoaatin gaayiidoołtsąįį . ’
42:19:017:0	“ ‘Ąįįt'ee łyaa gwinzii' , ’ yahnyąą , ‘łyaa shitsyaa nizįį inlii ! Juk it'ee łyaa gwitr'it gwatsal eenjit inzii łee niky'aaljik . Kwaiik'it gwachoo ch'ihłoaatin gwats'ą' k'eegwahandhat nahałtsyaa . ’
42:19:018:0	“ Zhit gwats'ąįį ahaa chan jyaa yahnyąą ‘Shik'eegwaadhat , ąįį gold laraa ch'ihłak shintł'in'ąįį haa ch'ihłoanli' gaayiidoołtsąįį . ’
42:19:019:0	“ Jii ąįį jyaa dahnyąą , ‘Nan ąįį kwaii k'it gwachoo ch'ihłoanli' gwats'ą' k'eegwahandhat . ’
42:19:020:0	“ Ch'izhii vitsyaa chan oo'ee haazhii ts'ą' jyaa nyąą , ‘Shik'eegwaadhat , dzaa nalaraa , k'ǫǫneent'ąįį zhit gwit'ii'ał'ai' ,
42:19:021:0	dinjii neeshraahchy'aa oiinyąą kwaa ts'ą' naaljat . Nats'an t'inchy'aa kwaa chan oihdak ts'ą' nagwanzhih t'inchy'aa kwaa chan zhyaa oihdak . ’
42:19:022:0	Akhai' jyaa diyahnyąą , ‘Shitsyaa iizųų inlii ! Deeshaiinyą' gwik'it eenjit nagwahaałshii ! Dinjii neeshraahchy'aa oihnyąą kwaa ts'ą' shaanandaii shats'an t'inchy'aa kwaa chan oihdak ts'ą' shagwanzhįh t'inchy'aa kwaa chan oihdak gaanandaii ji' .
42:19:023:0	Jaghaii shalaraa nitsii dhąhtsąįį kwaa gǫ' ? Nijin k'inidik ji' nitsii dhidlit ji' noohihdal reh . ’
42:19:024:0	“ Ąįįtł'ęę t'ee zhat niilzhii nąįį jyaa ahnyąą , ‘Zhit laraa vits'į' nǫhjii ts'ą' zhit juu laraa ch'ihłoaatin gaayiidiltsąįį ąįį vintł'eeyuhłii . ’
42:19:025:0	“ Jyaa giiyahnyąą , ‘K'eegwaadhat , ch'adąį' hee gold laraa ch'ihłoaatin di'įį t'inchy'aa ! ’
42:19:026:0	“ Naagwaldak , nyąą , ‘Juu laraa di'įį ts'an gwintsii gwiłtsąįį ąįįt'ee gwandaa laraa neehoondal gaa juu gwintsii gwiłtsąįį kwaa gaa ąįį laraa tth'aii zhat dha'aii ji' vits'į' neerooheendal .
42:19:003:1	Jesus , Jerusalem K'idik
42:19:027:0	Ąįį juu shitr'ii'ee nąįį goo-King ihłii gitr'ii'ee nąįį , dzaa gwats'ą' goovahohłii ts'ą' shandah goovohkhan . ’ ”
42:19:028:0	Jesus jyaa diinyą' , ąįįtł'ęę oodak Jerusalem gwats'ą' goots'iin haazhii .
42:19:029:0	Bethphage , Bethany kwaiik'it haa gwats'ą' niighit kwaa nijin Taih Vakat Olives Nahshii goo'aii gwats'ą' niighit kwaa ahaa , ditsyaa neekwaii nąįį jyaa ahnyąą ,
42:19:030:0	“ Zhit nakhwats'įį kwaiik'it goo'aii gwats'ą' hoh'oo . Izhit nihdǫh'oo gwiizhit donkey tsal zhat dakhwachaa hǫǫh'yaa , ąįįt'ee gwehkįį neegiihahchik kwaa . Gwats'an tr'oohchįį ts'ą' dzaa gwats'ą' hohchįį .
42:19:031:0	‘Jaghaii gwats'an tr'oohchįį t'oh'in ? ’ nakhwarahnyąą ji' , jyaa vohnyąą , ‘K'eegwaadhat yat'ąąhchy'aa . ’ ”
42:19:032:0	Izhit gwats'ą' gahaajil ts'ą' Jesus jidii agahoh'aa goovahnyąą chy'aa agogwąh'ąįį .
42:19:033:0	Donkey tsal gwats'an tr'agąąhchįį gwiizhit ąįį vats'an yinlii t'agoovahnyąą , “ Jaghaii gwats'an tr'ohchįį t'oh'in ? ”
42:19:034:0	“ K'eegwaadhat yat'ąąhchy'aa , ” ginyąą .
42:19:035:0	Ąįįtł'ęę ąįį donkey tsal Jesus ts'ą' gihiłchįį . Ąįįtł'ęę ik giikat diłtsuu tł'ęę Jesus giikat diłchįį .
42:19:036:0	Donkey tsal yahchyaa gwiizhit dinjii nąįį giideekwaii digi'ik nigilii .
42:19:037:0	Jerusalem gwats'ą' niighit kwaa ahaa izhit gwats'an t'ee k'iizhak tąįį goo'aii , Taih Vakat Olives Nahshii gwats'an . Vitsyaa lęįį nąįį gwint'aii giginkhii ts'ą' gwintsii t'ee'ya' giiyąąh'ya' eenjit Vit'eegwijyąhchy'aa , “ Mahsį' , ” agahnyąą ts'ą' deegiiyihiił'e' .
42:19:038:0	“ Ąįį King k'ii'ee K'eegwaadhat voozhri' zhit ahaa Vit'eegwijyąhchy'aa yaa nilii ! Zheekat gwizhit tsinehdan goo'aii . Ąįįts'ą' Vit'eegwijyąhchy'aa deerihiił'e' ! ”
42:19:039:0	Akhai' dinjii tee gwats'an Pharisee nąįį Jesus jyaa dagahnyąą . “ Geech'ǫąąhtan , nitsyaa nąįį dadhohnyąą , ” goovaiinyąą .
42:19:004:1	Jesus , Jerusalem Gwak'aa Tr'igwidii
42:19:040:0	“ Gahaahchįį kwaa ji' , nakhwaagwahaldak zhit gwa'an kii nąįį gaa giheezhral , ” Jesus goovahnyąą .
42:19:041:0	Jerusalem gwats'ą' niighit kwaa niinzhii ts'ą' nigwiił'in dąį' jyaa nyąą ts'ą' gwak'aa itree .
42:19:042:0	“ Nats'ąą tsinehdan gwini'yaa ąįį geenjit juk drin gaanandaii ji' noihnyąą ! Gaa juk neenjit gwigweech'in kwaa .
42:19:043:0	Yeendaa ji' zhit juu nats'ą' nich'itsahthat nąįį neelin nigiheedaa , duuyeh chan dinjii chyahahkhaii , duuyeh chan dinjii nihdąhkhaii , nihts'ahts'ą' datthak nak'aa giheedaa .
42:19:005:1	Jesus Kharigidiinjii Zhee Gwachoo Nihdeiinzhii .
42:19:044:0	An nagahahtsyaa ts'ą' dinjii datthak chan giheeghaa . Kii tsal ch'ihłak gaa nihdak hee'aa kwaa nagahahtsyaa , ąįįt'ee Vit'eegwijyąhchy'aa neenahahshii eenjit neenoozhii gaa gwiky'aanjik kwaa geh'an . ”
42:19:045:0	Jesus Kharigidiinjii Zhee Gwachoo nihdeiinzhii ts'ą' zhit juu laraa t'įį gwihilii nąįį datthak cheehaanzhit ,
42:19:046:0	jyaa goovahnyąą , “ Dęhtły'aa Choh zhit Vit'eegwijyąhchy'aa jyaa nyąą , ‘Shizheh t'ee Kharigidiinjii Zhee Gwachoo t'inchy'aa ! ’ Gaa nakhwan ąįį ch'an'įį nąįį gwizhit geegoh'it dhohdlii . ”
42:19:047:0	Drin gwiteegwaanchy'aa Kharigidiinjii Zhee Gwachoo gwizhit Jesus geech'ǫąąhtan . Zhit giinkhih k'įh dilk'ii nąįį , Law eech'ǫąąhtan nąįį chan ts'ą' Israel kįh dilk'ii nąįį haa datthak giihaahkhwaa gwik'eegogwandaii .
42:19:048:0	Zhat khit dinjii nąįį gwanlii ts'ą' deenyąą datthak giiyuułk'įį ts'ą' khyų' giihaahkhwaa giiyeenjit gogwah'ąįį .
