42:17:001:1	Gwatr'agwaanduu
42:17:011:0	Jesus ąįį Jerusalem gwats'ą' ahaa , Samaria chan ts'ą' Galilee haa gwiteetł'an gwa'an .
42:17:012:0	Jesus kwaiik'it gwats'ą' ahaa . Ąįį gwizhit dinjii ch'ihłoaatin nąįį yidaajil . Ąįį dinjii gwatthąį' ahjat ( leprosy ) haa iłts'ik nąįį . Niighit geh'at gwa'an nigiilzhii gwats'an
42:17:013:0	giineeshraadiitrak . “ Jesus ! Diik'eegwaadhat ! Neeshraahchy'aa diinoiinyaa ! ”
42:17:014:0	Jesus nagaviił'in ts'ą' t'agoovahnyąą , “ Oo'at giinkhih nąįį goots'ą' hohjyaa ts'ą' nakhwakat gahaanjii . ” Giinkhih nąįį ts'ą' geedaa , ąįį gwiizhit shrineegaanjik .
42:17:015:0	Nijin gootee ch'ihłee shranaazhik nagwiił'in dąį' , Jesus ts'ą' khan neehoozhii . Ąįįts'ą' , “ Vit'eegwijyąhchy'aa łyaa tr'ahah'aa , ” yahnyąą .
42:17:016:0	Jesus kwaiichan khatroogwiintthaii ts'ą' “ Mahsį' , ” ahnyąą . Jii dinjii aakin nilii .
42:17:017:0	Jesus juu dinjii nąįį yaa nilii nąįį t'ahnyąą , “ Dinjii ch'ihłoaatin nąįį ashranǫąhjik . Zhit juu dinjii vaa shranoaazhik nąįį dagaajii ?
42:17:018:0	Jaghaii jii aakin zhrįh nihkhaneezhii ts'ą' Vit'eegwijyąhchy'aa mahsį' , ahnyąą ? ”
42:17:005:1	Nats'ąą Vit'eegwijyąhchy'aa Dinjii Idik'iinjyahahdaa Gweheelyaa
42:17:019:0	Jesus jii dinjii t'ahnyąą , “ Ndak nininjii ts'ą' oo'an neehindii . Gwik'iinjinghit geh'an t'ee natthąį' shranoaanjik . ”
42:17:020:0	Pharisee lat nąįį Jesus goahkat , nijin ji' nankat datthak Vit'eegwijyąhchy'aa dinjii idik'iinjyahahdaa ? Akhai' jyaa dagoovahnyąą , “ Nankat datthak Vit'eegwijyąhchy'aa , dinjii idik'iinjyahahdaa ji' diinandee ts'ą' t'igwehee'yaa t'igwinyąą kwaa .
42:17:021:0	Duuyeh ch'ihłak gaa jyaa nyąą , ‘Gooh'in , jii t'arahnyąą , Gooh'in , zhit t'agwarahnyąą ! ’ Zhit Vit'eegwijyąhchy'aa dinjii idik'iinjyahahdaa gwinyąą ąįįt'ee nakhwadrii zhit t'igweheenjyaa dagwarahnyąą . ”
42:17:022:0	Ąįįtł'ęę ditsyaa nąįį jyaa ahnyąą “ Gwidinji' , dinjii idik'iinjyahjik nigwiindhat gwandaa nǫh'ya' yuuhthan nagwahaadhal , gaa duuyeh nǫh'in .
42:17:023:0	Goolat nąįį chan jyaa diinahąąnjyaa , ‘Gooh'in , zhit goo'aii ! Akwat , Gooh'in , dzaa hee ! ’ Gaa juu jyaanyąą tąįį hǫǫnzhi' shrǫ' !
42:17:024:0	Nahtan kǫ' haadhak ( lightning ) ts'ą' datthak gach'ahdrii gwaraah'in gwik'it Gwidinji' needyaa ji' gwizhrįh t'igwehee'yaa .
42:17:025:0	Gaa tr'ookit khaiinjich'iheedhat ts'ą' chan juk gweendaa gwidinjii nąįį giik'iinjiheedhaa kwaa .
42:17:026:0	“ Noah gwandaii gwanaa gwik'it ąįįts'ą' chan Gwidinji' k'ineeheedik gwats'ą' .
42:17:027:0	Juu nąįį datthak nihk'it ch'aga'aa ts'ą' ch'igiinįį , dinjii , ts'ą' tr'injaa nąįį chan nihłiteegogwahjii , nijin drin Noah tr'ihchoo zhiinzhii gwats'ą' , ąįįtł'ęę t'ee chųų ndak t'iizhik ts'ą' datthak an gaadlit .
42:17:028:0	“ Lot gwandaii dąį' chan jyaa deegwiizhik . Juu nąįį datthak ch'aga'aa , ch'igiinįį ; ch'agookwat , k'aiich'ii laraa t'įį gihilii , gogwąąhshii akwat zheh gogwaghan gwizhrįh gagąhjii .
42:17:029:0	Nijin drin Lot ąįį Sodom gihłeehaazhii dąį' kǫ' chan ts'ą' sulfur haa zheekat gwats'an haa ąhtsin ts'ą' datthak gooviinghan .
42:17:030:0	Izhit gwik'it chan nijin drin Gwidinji' Vineegwiilkįį ji' t'ee jyaa dineegweheenjyaa .
42:17:031:0	“ Izhit drin ji' juu dizheh gwakat doodii neenoozhi' ts'ą' dizheh gwizhit dik'eiich'i' noonjii shrǫ' ! Izhit gwik'it juu dinjii gwanzhįh deek'it gwitr'it t'agwah'in chan dizheh gwits'eehoozhi' shrǫ' !
42:17:032:0	Lot va'at deezhik ganoondaii !
42:17:033:0	Juu gweheendaii geetr'agwah'in t'ee vaa an heelyaa . Juu an dhidlit chan neegweheendaii .
42:17:034:0	“ Izhit zhat khaa ji' , naagwaldak , dinjii neekwaii nąįį dehk'it ch'ihłak kat digiheechyaa , ch'ihłak gihłeerahahchyaa , ch'ihłak chan zhat akharooheenjyaa .
42:17:035:0	Tr'injaa neekwaii nąįį neech'agandlat : ch'ihłak gihłeerahahchyaa , ch'ihłak chan zhat akharooheenjyaa .
42:17:036:0	Dinjii neekwaii nąįį gwanzhįh deek'it gwitr'it t'agoogwah'in ch'ihłak gihłeerahahchyaa , ch'ihłak chan zhat akharooheenjyaa . ”
42:17:037:0	Vitsyaa nąįį yuahkat , “ Ąįį nijin t'agwaiinyąą , K'eegwaadhat ? ” Jesus t'agoovahnyąą , “ Nijin ch'atthąį' iłchįį t'ee zhat gwa'an vultures , ( deetrya' k'it t'inchy'aa ) nąįį łaahaadaa t'oonchy'aa . ”
