42:11:001:1	Jesus , Nats'ąą Kharigidiinjii Geech'ǫąąhtan
42:11:011:0	“ Nakhwatee nik'ee ch'iti' vigii ‘łuk , ’ yahnyąą , gwiizhit gyųų choh yintł'eehahchyaa ?
42:11:012:0	Akwat ch'aghoo ach'oohkat , gwiizhit gwideedrii Scorpion ha'al iizųų yintł'eehahchyaa ?
42:11:002:1	Jesus , Ch'anky'aa Iizųų Viginjik Kwaa haa
42:11:013:0	Deegwahtł'oo ohsųų . Googaa nakhwagii k'aiich'ii nizįį antł'ohłii gaakhwandaii . Izhit gwandaa ts'ą' zheekat Diiti' juu yuahkat , ąįį Ch'anky'aa Shroodiinyąą antł'eehee'aa . ”
42:11:014:0	Jesus ąįį dinjii vizhit ch'anky'aa iizųų viginjik kwaa nilii ąįį chyahahchįį , yizhit tr'idiindhat dąį' , ąįį dinjii vighit neegahoodlit . Zhat dinjii dilk'ii nąįį datthak goovandaa t'igwiizhik .
42:11:015:0	Gaa goolat nąįį jyaa diginyąą “ Ch'anky'aa iizųų nąįį datthak ts'ą' k'eedeegwaadhat Beelzebul oaazhii ąįį vat'aii haa ch'anky'aa iizųų cheehilii t'ii'in . ”
42:11:016:0	Goolat nąįį chan goodhaiinarookhii giiyuunyąą eenjit , “ Vit'eegwijyąhchy'aa vat'aii ni'įį ji' ąįį haa diits'ą' nagwąhtsį' , ” giiyahnyąą .
42:11:017:0	Gaa Jesus deegiindhan goovaandaii ts'ą' jyaa goovahnyąą , “ Jidii nahkat nihts'įį nihts'ą' nineegiidal ts'ą' nihłigiighan ji' khants'ą' an gweheelyaa . Zhehk'aa gwizhit chan nihłigiighan ji' t'ee tthak an gweheelyaa .
42:11:018:0	Ąįįts'ą' Satan vitsyaa nąįį geedan chan nihłigiighan ji' , nats'ahts'ą' ndaagiheedaa ? Beelzebul vat'aii eh'an ch'anky'aa iizųų cheehihłii shohnyąą .
42:11:019:0	Jyąhts'ą' ch'anky'aa iizųų cheehihłii ji' , nitsyaa nąįį juu t'aih goots'an ąhtsii haa ch'anky'aa iizųų cheegihilii gǫ' ?
42:11:020:0	Nakwaa , Vit'eegwijyąhchy'aa vat'aii haa ch'anky'aa iizųų cheehihłii t'ishi'in , ąįįt'ee Vit'eegwijyąhchy'aa nakhweenjit K'eegwaadhat Veegwinii'ee nilii izhit gagwaach'in t'igwii'in .
42:11:021:0	“ Nijin dinjii nint'aii jidii vaa dinjii tr'aghan datthak haa dik'eiich'i' dizheh gwak'aa nich'itsahthat ji' duuyeh vak'aiich'ii tr'an'įį .
42:11:022:0	Gaa dinjii gwandaa t'ąąht'aii yats'ą' niinzhii ts'ą' gaayiiyiłtsąįį tł'ęę vaa dinjii tr'aghan yit'injyahchy'aa di'įį datthak yits'į' oonjik ts'ą' gihłeehoozhii tł'ęę dijyaa nąįį teeyaadlii .
42:11:003:1	Ch'anky'aa Iizųų Oo'ee Neezhįį
42:11:023:0	“ Juu shaa nilii kwaa nąįį t'ee shats'ąįį nadhat kwaa , juu shits'inyąą kwaa ts'ą' shaa khaihłan nigwilii kwaa t'ee shrihtee gwilii t'inchy'aa . ”
42:11:024:0	“ Nijin ąįį ch'anky'aa iizųų dinjii ts'an tr'idiindhat dąį' tthan gwa'an gwizhrįh needahaachik ts'ą' gweheechy'aa gwinkeegwaah'in . Khyų' gogwah'ąįį ts'ą' adats'ą' jyaa nyąą , ‘Ąįį juu vizhit diidhat chy'aa vits'eehihdyaa . ’
42:11:025:0	Yits'eehoozhii akhai' ąįį dinjii vizhit shragwaazhik łee .
42:11:004:1	Nats'ahts'ą' Diinaa Shrigweheechy'aa
42:11:026:0	Ąįįtł'ęę t'oołii haazhii ts'ą' vandaa ch'anky'aa iizųų 7 nąįį oo'ee neiinlii ąįį nąįį haa giizhit diindhat . Nijin ndaanagąąhjik dąį' ąįį dinjii tr'ookit iizųų chy'aa gwandaa t'agwahtł'oo iizųų dhidlit . ”
42:11:027:0	Nijin Jesus jyaa nyąą dąį' , dinjii tee gwa'an gwats'an tr'injaa khaginkhee ts'ą' jyaa yahnyąą , “ Ąįį tr'injaa vats'an nagoodlit ts'ą' dink'inahthat łyaa gashoo'ahłi' ! ”
42:11:005:1	Geegwaroolii Kwaa Diinandah T'agǫǫnjii Giindhan Eenjit Ch'agoahkat .
42:11:028:0	Gaa Jesus jyaa yahnyąą , “ Juu Vit'eegwijyąhchy'aa Viginjik oołk'įį ts'ą' gwik'it t'ii'in ąįį nąįį t'ee ch'andaa ts'ą' łyaa gashoo'ahłi' ! ”
42:11:029:0	Dinjii lęįį nąįį Jesus eelin giilk'ii gwiizhit jyaa goovahnyąą , “ Juk gweendaa gwidinjii nąįį łyaa iizųų ! Geegwaroolii kwaa goots'ą' goovandaa t'agǫǫ'ya' giindhan gaa ch'ihłak gaa googwahąąh'yaa kwaa , Jonah deezhik izhit gwizhrįh .
42:11:030:0	Jonah t'ee kwaiik'it gwachoo Nineveh gwich'in nąįį eenjit gwigweelkįį nilii , ąįįt'ee Gwidinji' juk gweendaa dinjii nąįį ts'ą' gwigweelkįį heelyaa eenjit .
42:11:031:0	Ch'aroahkat Drin ji' Sheba gwats'an Queen nilii ndak niheehaa ts'ą' juk gweendaa gwidinjii nąįį k'ąą ndaagwahąąddhal ts'ą' gootr'agwaanduu gwanlii heenjyaa . Sheba yeenji' danahkat gwats'an k'idik , King Solomon vigwizhi' gwanlii zhit geech'ǫąąhtan oohąąhky'aa eenjit . Nakhwaagwahaldak , dzaa juk Solomon andaa ts'ą' veegoo'aii diitee t'inchy'aa t'oonchy'aa .
42:11:006:1	Nakhwazhin Vit'eegwijyąhchy'aa Va'aadrii .
42:11:032:0	Ch'aroahkat drin ji' Nineveh kwaiik'it gwachoo gwich'in nąįį ndak niheehaa ts'ą' nakhwak'aa ndaagwahąąddhal . Ąįįt'ee Jonah geech'ǫąąhtan gwigwiitth'ak dąį' dagatr'agwaanduu akhagagoonyąą . Nakhwaagwahaldak , dzaa juk Jonah andaa ts'ą' veegoo'aii diitee t'inchy'aa t'oonchy'aa . ”
42:11:033:0	“ Dinjii ch'ihłak duuyeh neech'aahdrii ts'ą' k'ik t'ee gwit'eh yakaii , gaa dinjii nąįį nihdeegijyaa gwiizhit ch'aadrii googwahąąh'yaa eenjit vakaii'aa kat deeyehee'aa .
42:11:034:0	Nakhwandee t'ee nakhwazhin eenjit ch'ahdrii k'it t'inchy'aa . Nakhwandee haa gwinzii gweech'in dąį' nakhwazhin datthak adrii gaa nakhwandee haa gwinzii gweech'in kwaa ji' nakhwazhin datthak tǫǫ gwizhit hee'aa .
42:11:035:0	Tǫǫ ąįį nakwaa gaa khit Vit'eegwijyąhchy'aa va'aadrii zhit gwizhrįh adadhoodii .
42:11:007:1	Pharisee chan ts'ą' Law Eech'ǫąąhtan Gwik'iinjiighit Adaa'įį Nąįį .
42:11:036:0	Nakhwazhin datthak va'aadrii ts'ą' tǫǫ gwahąąh'yaa kwaa ts'ą' datthak haadrii , adrii nakhwak'aa ch'ahahdrii gwik'it . ”
42:11:037:0	Nijin Jesus ginkhii ndaanaahjik dąį' Pharisee ch'ihłak yaa ch'ihee'aa eenjit aanaii yahnyąą , ąįįts'ą' yats'ą' nihdeiinzhii ts'ą' naadii ts'ą' ch'ahaa'al .
42:11:038:0	Ąįį Pharisee łyaa gwik'iinjigiighit kwaa nijin Jesus danli' k'eech'ąhtryaa kwaa ts'ą' ch'ahaa'al dąį' .
42:11:039:0	Akhai' Diik'eegwaadhat jyaa diyahnyąą , “ Juk nakhwachųų tyah , nakhwak'ik haa ǫhtsąįį gwizhrįh gwik'eech'ohtryaa gaa nakhwazhit ąįį gwiizųų gwizhrįh haa deegwadąą'ai' .
42:11:040:0	Łyaa nakhwakiitth'an zhit gwihiljii ! Vit'eegwijyąhchy'aa ǫhtsąįį gwiłtsąįį ji' gwizhit chan gwahahtsyaa gwizhrįh goo'aii hee ?
42:11:041:0	Gaa nakhwak'ik , nakhwachųų tyah zhit k'ii'an neeshraahchy'aa nąįį intł'eech'ohchak , ąįį ji' t'ee jidii datthak nakhweenjit shriitr'eegwahaatth'aa .
42:11:042:0	“ Pharisee nąįį , tr'igwidii nakhweenjit goo'aii ! Gwanzhįh Mint , Rue vaa vikeech'arahchy'aa ch'ihłoaatin ts'an ch'ihłak Vit'eegwijyąhchy'aa intł'ohtsit gaa ch'izhii nąįį ts'ą' gwinzii t'akhwa'in kwaa ts'ą' Vit'eegwijyąhchy'aa veenjit ch'eet'igwiniindhan khwa'įį kwaa . Jii kwaii jyaa diinchy'aa kwaii akhagoiinyąą ts'ą' nihk'it Vit'eegwijyąhchy'aa vintł'eegohłii .
42:11:043:0	“ Pharisee nąįį , tr'igwidii nakhweenjit goo'aii ! Israel nąįį tr'igiinkhii zheh kwaii gwizhit hohdyaa nakhweenjit khit tr'iilęįį goo'aii ts'ą' ch'arookwat deek'it gwa'an chan khit ts'ą' gwihil'ee haa nakhwaneerahahdak .
42:11:044:0	Tr'igwidii nakhweenjit goo'aii ! Tth'ank'it gwigweech'in kwaa ts'ą' gwakat neegihiidal k'it nakhweegoo'aii . ”
42:11:045:0	Law eech'ǫąąhtan ch'ihłak jyaa yahnyąą , “ Geech'ǫąąhtan , jii jyaa diinaiinyąą t'ee nan chan gwiizųų diits'ą' ginkhii t'iinyąą t'oonchy'aa ! ”
42:11:046:0	Jesus t'iiyahnyąą , “ Law eech'ǫąąhtan nąįį , nakhwan chan tr'igwidii nakhweenjit goo'aii ! Dinjii nąįį ant'ii nidii giheeghwaa eenjit ninoh'ak gaa goots'ahohjyaa eenjit nakhwanleetth'ak gaa hohchįį kwaa .
42:11:047:0	Tr'igwidii nakhweenjit goo'aii ! Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį eenjit tth'ank'it gwihil'ee nagoo'aii , dąį' t'ee yeenii nakhwalak nąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį giinghan izhit nakhweenjit gwinzii t'igwiizhik geh'an .
42:11:048:0	Nakhwandah t'igwiizhik ts'ą' chan yeenii nakhwalak deezhik ąįį nakhweechįį t'igiizhik ; ąįįt'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį ęhdaa tr'igwigwiin'ąįį ąįįtł'ęę nakhwan ąįį gootth'ank'it gohtsii .
42:11:049:0	Ąįį eenjit t'ee Vit'eegwijyąhchy'aa vigwizhi' jyaa nyąą , ‘Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį chan ts'ą' Tr'ihił'e' nąįį haa goots'ą' nihihłyaa goolat nąįį chan ęhdaa tr'igwigwehee'aa ts'ą' giiyuuheendal gwik'eegogwandaii . ’
42:11:050:0	Ąįįt'ee jii nan goodlit dąį' gwanaa gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį giinghan eenjit juk gweendaa gwidinjii nąįį agwarahahshįį .
42:11:051:0	Abel tr'oołkhwąįį gwats'an oondaa nijin Zechariah ataiinjii tr'ahtsii deek'it chan ts'ą' Kharigidiinjii Zhee Gwachoo haa gwiteetł'an tr'iiłkhwąįį gwats'ą' . Aahą' , naagwaldak , juk gweendaa gwidinjii nąįį ąįį kwaii geenjit googwarahaahshii .
42:11:052:0	“ Law eech'ǫąąhtan nąįį , tr'igwidii nakhweenjit goo'aii , gwik'eegwahaandal eenjit zheh goo'aii ąįį gwadąįį lidlįį gwits'į' ohtą' . Nakhwan googaa nihdeedoochįį kwaa ts'ą' juu nihdeeheehaa geetr'agwah'in nąįį datthak chan zhak ohdak ! ”
42:11:053:0	Nijin Jesus zhat chineezhii dąį' Law eech'ǫąąhtan chan ts'ą' Pharisee nąįį haa łyaa gook'įį gwanlii ts'ą' gwinlęįį gigiiyuahkat ,
42:11:054:0	goodhaii nihdeegiihaathal ts'ą' ch'ijuk khagiheekhyaa ji' eenjit .
