42:18:001:1	Tr'injaa Vakai' Niindhat ts'ą' Dinjii Ch'aroahkat Zheh gwizhit Ch'oahkat haa Googwandak
42:18:014:0	Jii tax eenjit laraa oonjii t'ee Vit'eegwijyąhchy'aa haa vaa gwinzii goodlit ts'ą' dizheh gwits'eehoozhii dąį' . Gaa Pharisee ąįį Vit'eegwijyąhchy'aa haa vaa gwinzii kwaa . Ąįį geh'an juu ch'andaa adoodiinyąą , t'ee heetsal , ts'ą' juu ch'andaa adoodiinyąą kwaa t'ee heetsii , ” Jesus nyąą .
42:18:015:0	Dinjii lat nąįį digitr'iinin tsal Jesus gook'aa nahaandal eenjit giits'ą' haadlii . Vitsyaa nąįį googwąąh'in dąį' geenjit ch'ats'ą' t'agoogahnyąą .
42:18:016:0	Gaa Jesus ąįį tr'iinin nąįį aanaii ahnyąą ts'ą' jyaa nyąą , “ Tr'iinin shats'ą' hijyaa nąįį , zhyaa goovoh'in , K'eegwaadhat Veegwinii'ee t'ee dinjii tr'iinin k'it veegoo'aii nąįį gaa ts'an t'agwarahnyąą .
42:18:004:1	Dinjii Valaraa Gwanlii
42:18:017:0	Jii ganoondaii ! Juu K'eegwaadhat Veegwinii'ee oonjii kwaa t'ee tr'iinin tsal k'it veegoo'aii ts'ą' duuyeh zhat gwats'an ilii . ”
42:18:018:0	Israel kįh nilii ąįį Jesus oahkat , “ Geech'ǫąąhtan nizįį , khit gwarandaii shi'yaa ji' geenjit deeshi'yaa goo'aii ? ”
42:18:019:0	“ Jaghaii dinjii nizįį shaiinyąą ? ” Jesus yuahkat . Vit'eegwijyąhchy'aa zhrįh nizįį t'oonchy'aa .
42:18:020:0	Moses va-law kat jyaa deegwinyąą gaakhwandaii . ‘Nakąį' akwat na'at nilii kwaa haa oonchį' shrǫ' ! Dinjii ęhdaa tr'agoon'aa shrǫ' ! Ch'ooan'įį shrǫ' ! Oonts'it ts'ą' dinjii ts'ą' gadǫǫhtrit shrǫ' ! Nahan , niti' haa gook'eegwąhthat ! ’ ”
42:18:021:0	Ąįį dinjii jyaa nyąą , “ Tr'iinin ihłii dąį' gwats'an Moses va-Law kwaii k'eegwałthat . ”
42:18:022:0	Nijin jyaa nyąą Jesus yiitth'ak dąį' t'iiyahnyąą , “ Jii kwaii tth'aii t'ini'yaa goo'aii , nizheh gwits'eehindii ts'ą' nik'eiich'ii datthak laraa t'įį hinlii ts'ą' ąįį laraa neeshraahchy'aa nąįį teiinlii . Jyaa dinizhik ji' zheekat gaayiigwahantsyaa neenjit gwehee'aa . Ąįįtł'ęę shits'eehindii ts'ą' shitsyaa inlii . ”
42:18:023:0	Gaa nijin ąįį dinjii jii gwiitth'ak dąį' , łyaa tr'igwidii yiłtsąįį , valaraa gwanlii geh'an .
42:18:024:0	Jesus tr'igwidii dhidlit yąąh'in ts'ą' jyaa yahnyąą , “ Dinjii valaraa gwanlii K'eegwaadhat Veegwinii'ee ts'an heelyaa eenjit gogwantrii t'oonchy'aa !
42:18:025:0	Nin nitsii Camel ąįį tahtsal keeheehaa ąįį gogwantrii kwaa gaa dinjii valaraa gwanlii K'eegwaadhat Veegwinii'ee nihdeeheehaa eenjit veegogwantrii . ”
42:18:026:0	Juu zhat dilk'ii yiitth'ak nąįį giiyųąhkat , “ Juu neeheezhii gǫ' ? ”
42:18:027:0	Jesus jyaa goovahnyąą , “ Dinjii khyų' t'ii'in ąįį Vit'eegwijyąhchy'aa eenjit gogwantrii kwaa . ”
42:18:028:0	Peter jyaa nyąą , “ Gwąąh'in ! Natąįį tr'iheedaa eenjit diizheh gihłeerahaajil . ”
42:18:005:1	Gwehkįį Neekwat Chan ąįįts'ą' Juk Chan Hee Jesus Niheedhaa Yeeginkhii .
42:18:029-030:0	Jesus jyaa goovahnyąą , “ Aahą' ! Łi'haa nakhwaagwahaldak ! Juu K'eegwaadhat Veegwinii'ee eenjit dizheh , akwat da'at , dachaa , doondee , diyehghan ts'ą' digii haa iłeehaazhii ąįįt'ee juk gweendaa ts'ą' khit gwarandaii haa andaa ts'ą' Vit'eegwijyąhchy'aa ts'an heelyaa . ”
42:18:031:0	Jesus ditsyaa 12 nąįį khaihłan niinlii ts'ą' jyaa goovahnyąą , “ Ch'oodǫǫhk'įį ! Jerusalem gwats'ą' tr'iheedaa , izhit t'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį Gwidinji' eenjit deegiinyą' ts'ą' gwadagaantł'oo chy'aa gwik'it gweheelyaa .
42:18:032:0	Israel gwich'in nilii kwaa nąįį intł'eehaachyaa , ąįį nąįį t'ee giiyeeheedlaa ts'ą' giich'itsyaahaa'ee ts'ą' giik'aa heezhree .
42:18:033:0	Giihaahtrii ts'ą' giiyęhdaa tr'igwihee'aa , gaa drin tik nigiindhat giizhit neegweheendaii . ”
42:18:006:1	Dinjii Ch'oodiikwat Vandee Kwaa Shranaazhik .
42:18:034:0	Gaa vitsyaa nąįį deegwinyąą t'igwinyąą gaagiindaii kwaa . Deenyąą t'inyąą ąįį khyų' gwiky'aanjii , ts'ą' jidii eeginkhii t'inyąą giiyaandaii kwaa .
42:18:035:0	It'ee łąą Jesus khaiinjii Jericho k'idik gwiizhit tąįį gwikhyųų dinjii vandee kwaa dhidii ts'ą' ch'oodiikwat .
42:18:036:0	Lęįį nąįį yehgoo hijyaa diitth'ak dąį' ch'oahkat , “ Deegwii'in t'igwinyąą ? ”
42:18:037:0	“ Nazareth gwats'an Jesus oaazhii gehgoo hahkhaii t'igwinyąą , ” giiyahnyąą .
42:18:038:0	Ąįį dinjii zhral haa jyaanyąą , “ Jesus , David vidinji' ! Neeshraahchy'aa shǫįįnyąą ! ”
42:18:039:0	Ąįį dinjii yits'ii dilk'ii nąįį jyąhts'ą' t'igiiyahnyąą ts'ą' didhiinyąą giiyahnyąą . Gaa gwandaa azhral haa jyaanyąą , “ David vigii Jesus , neeshraahchy'aa shǫįįnyąą ! ”
42:18:040:0	Ąįįts'ą' Jesus ndaaniinzhii ts'ą' ąįį dinjii vandee kwaa , “ Shats'ą' narohchyaa , ” nyąą .
42:18:041:0	Jesus jyaa yahnyąą , “ Neenjit dooshi'yaa shǫįįnyąą ? ” “ Shik'eegwaadhat , shaagoochy'a' nihthan , ” nyąą .
42:18:042:0	Jesus jyaa yahnyąą , “ Nandee noiinjii , nigwik'iinjigwiighit neenjit gwinzii neegwiłtsąįį t'oonchy'aa . ”
42:18:043:0	Zhazhat łąą vaagweech'in neegwaanąįį ts'ą' Jesus tąįį haazhii ts'ą' Vit'eegwijyąhchy'aa mahsį' ahnyąą . Nijin dinjii nąįį datthak googwąąh'ya' dąį' Vit'eegwijyąhchy'aa deegihiił'ee .
