42:24:001:1	Jesus Neegwiindaii
42:24:021:0	Ąįįts'ą' Israel gwich'in nąįį neehahshii ji' , tr'oonyaa eenjit veenjit niinjich'aradhat ! Izhit gwizhrįh nakwaa , juk t'ee k'ehdąį' gehnaa hee t'igwiizhik .
42:24:022:0	Diitee gwats'an tr'injaa lat łyaa geegwaroolii kwaa diineenjit t'igiizhik . Vanh gineech'ihii'aii gwiizhit , tth'ank'it gwats'ą' gahaajil .
42:24:023:0	Gaa khyų' giichį' kantii . Oo'ee neegiijil ts'ą' zheekat gwich'in diits'ą' igwiilkįį ts'ą' tth'aii hee Jesus gwandaii diigahnyąą .
42:24:024:0	Diilak nąįį zhat nagaajil akhai' ąįį tr'injaa deegiinyą' chy'aa tth'aii nihk'it t'oonchy'aa googwąąh'ya' , gaa adan ąįį giiyąąh'ya' kwaa . ”
42:24:025:0	Tł'ęę Jesus jyaa goovahnyąą , “ Łyaa tr'agǫhjik , deegwahtł'oo zhyaa Vit'eegwijyąhchy'aa Eenjit Ginkhii deegiinyą' gaa gwik'iinjuhkhit kwaa !
42:24:026:0	Christ Diik'eegwaadhat jyaa ts'ą' t'ee khaiinjich'ohoodhat , ąįįtł'ęę geh'an t'ee zheekat gwizhit vich'eegwąhndit . ”
42:24:027:0	Ąįįts'ą' Jesus Dęhtły'aa Choh zhit deevaraiinyą' datthak eegoovaagwaandak , oondaa nijin Moses vidęhtły'aa chan ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį dagogwąąntł'oo izhit gwats'an hee .
42:24:028:0	Nijin kwaiik'it gwats'ą' geedaa geenigiinjil dąį' Jesus ąįį gehgoo heekhaa k'it t'ii'in .
42:24:029:0	Gaa zhak giiyuunjik ts'ą' jyaa giiyahnyąą , “ Diinaa niinkhaa . It'ee niighit kwaa tǫǫ gweheelyaa . ” Ąįįts'ą' t'ee goovaanihdineezhii ts'ą' naahaa .
42:24:030:0	Vakat ch'ara'aa ts'ą' goovaanaadii , łųhchy'aa oonjik ts'ą' “ Vit'eegwijyąhchy'aa mahsį' , ” nyąą . Ąįįtł'ęę łeeyiiłnaii ts'ą' goovantł'eeyahtsit .
42:24:031:0	Jesus t'inchy'aa łee giiky'aanjik , gaa goovandah hiljii naanaii .
42:24:032:0	Jyaa nihłagaanyąą , “ Nijin dzaa gwats'ą' tr'eedaa dąį' , Dęhtły'aa Choh kat geediinaagwaandak gwiizhit łyaa shoo diizhit dha'aii k'it t'oonchy'aa . ”
42:24:033:0	It'ee zhat nineegehjin ts'ą' Jerusalem gwits'eegahoo'oo , izhit t'ee gah vitsyaa 11 nąįį chan ts'ą' ch'izhii nąįį łigiiljil ts'ą'
42:24:034:0	jyaa ginyąą , “ Diik'eegwaadhat neegwiindaii t'oonchy'aa . Simon Peter ts'ą' vigwiilkįį ! ”
42:24:003:1	Jesus Ditsyaa Nąįį ts'ą' Vigwiilkįį
42:24:035:0	Ąįįts'ą' t'ee ąįį dinjii neekwaii nąįį gee'al gwiizhit goots'ą' deegwiizhik chan ts'ą' Diik'eegwaadhat łųhchy'aa nihtr'aahnaii jyąhts'ą' juu nilii giiky'aanjik geegoovaagogwaandak .
42:24:036:0	Ąįį dinjii neekwaii nąįį jii kwaii geegoovaagwaandak gwiizhit khanhee Diik'eegwaadhat gootee nadhat naanaii ts'ą' jyaa goovahnyąą , “ Tsinehdan nakhwaa oolį' ! ”
42:24:037:0	Łyaa gihilghaa ts'ą' gąąnjat , ch'anky'aa t'inchy'aa giiyuunyąą .
42:24:038:0	Gaa jyaa goovahnyąą , “ Jaghaii noojat ts'ą' jidii datthak geenjit gwik'iinjuhkhit kwaa ?
42:24:039:0	Shakwai' , shanli' haa nǫh'in ąįįtł'ęę shįį t'ihchy'aa shaakhwahandaii . Tth'an , shatthąį' haa shakat noonjii ji' t'ee gwahǫǫh'yaa , duuyeh ch'anky'aa jyaa t'inchy'aa . ”
42:24:040:0	Jyaa nyąą ts'ą' danli' , dakwai' haa goots'ą' agwaahch'in .
42:24:041:0	Googaa tth'aii gwik'iinjigiighit kwaa , gaa łi'didlii giiyaandaii haa goozhit shoh dha'aii , ąįįts'ą' Jesus goovahkat , “ Dzaa nik'ee tr'ihee'aa khwa'įį ? ”
42:24:042:0	Łuk dhichy'aa giiyantł'ahtsit ,
42:24:043:0	ts'ą' goovandah iin'al .
42:24:044:0	Ąįįtł'ęę jyaa goovahnyąą , “ Tth'aii nakhwaa dhiidii dąį' jii kwaii t'ee geenakhwaagwahaldak , Moses vidęhtły'aa , Vit'eegwijyąhchy'aa Eenjit Ginkhii goodęhtły'aa chan ts'ą' Psalms gwakat deesharaiinyą' datthak gwik'it gweheelyaa . ”
42:24:045:0	Dęhtły'aa Choh kat gwigweheetth'ak eenjit t'aih goots'an iłtsąįį ,
42:24:046:0	tł'ęę jyaa goovahnyąą , “ Jii t'ee gwadanakhwatł'oo : Christ khaiinjich'iheedhat , ąįįtł'ęę drin tik gweheedhaa ts'ą' neegweheendaii .
42:24:047:0	Dęhtły'aa Choh kat vitsyaa nąįį giiginjik eech'oohąąhchyaa gwinyąą . Nakhwatr'agwaanduu akhagoiinyąą tł'ęę Vit'eegwijyąhchy'aa neenjit oo'an gweheelyaa . Jerusalem gwizhit tr'ookit jii gwandak gwintł'eegihee'aa ąįįtł'ęę dohju' hee jii nankat dinjii datthak chan .
42:24:048:0	Jidii gǫǫh'ya' łyaa geegohoondak yuu .
42:24:004:1	Jesus Zheekat Hee Gwits'ee Hil'e'
42:24:049:0	Ch'anky'aa Shroodiinyąą nakhwats'an hahtsyaa Shiti' diginjik shats'an iłtsąįį haa . Gaa ąįį t'aih yeendaa gwats'an nakhwats'an heelyaa gwats'ą' Jerusalem nagahoo'yaa gwizhrįh . ”
42:24:050:0	Kwaiik'it gwachoo goovaacheehoozhii ts'ą' Bethany kwaiik'it hee goovaanoozhii . Izhit hee ndak nąąhjik ts'ą' gook'aa ginkhe' goovaagweheezyaa geenjit .
42:24:051:0	Gook'aa ginkhii gwiizhit , zheekat gwats'ą' goołeedahoodhat .
42:24:052:0	Giits'ą' khadigiinjii . Ąįįtł'ęę Jerusalem gwats'ą' shoh goozhit dha'aii ts'ą' geedaa .
42:24:053:0	Izhit hee niighyuk Kharigidiinjii Zhee Gwachoo gwizhit Vit'eegwijyąhchy'aa deegihiił'ee , agahnyąą .
